package_path,original_path,size_bytes,sha256,modified_utc,category,paper_sections,run_id,status,redistributable,notes
01_MANUSCRIPT_SNAPSHOT/main_manuscript/SIR_paper_2026-09-02.pdf,D:\SIR_paper\draft\SIR_paper.pdf,2249526,94ccf533b841fe39a0468735eb2dbc31a80cceba70b094bcaa480a4029ea7b70,2026-09-02T15:45:33.564703+00:00,manuscript,all,,STALE_ONLY_MANUSCRIPT_ARTIFACT_IN_REPO,yes,"The ONLY manuscript artifact in the repository. Contains main text and Supplementary Notes S1-S8 in one PDF. Demonstrably stale on the q_rec branch: 16 occurrences of REL10, zero of 'cross-fitted' or '3451'. No TeX source, and no \releasepending placeholder, exists anywhere under D:\SIR_paper."
02_CONTROLLED_STUDIES/01_Lorenz_Generator_Containment/BENCHMARK_REPORT.md,D:\SIR_paper\Lorenz\benchmark\BENCHMARK_REPORT.md,9527,1bfc28ad7c97e60ab12d1f5848699553e79a709fb45cef54244e3432cc686645,2026-08-27T20:27:55.773981+00:00,controlled_study,"Results 1.3, 1.4; Supplement S6",SIR-LORENZ-BENCHMARK,CANONICAL,yes,"Lorenz fixed-representation containment benchmark: config, run manifest, results, SIR/pySINDy/MLP arms, audits, tables, tests, report."
02_CONTROLLED_STUDIES/01_Lorenz_Generator_Containment/README.md,D:\SIR_paper\Lorenz\benchmark\README.md,2865,eca5480334ee47773bdd954c15960245ee8c28adcc17224bf9b4d6e5d99881fa,2026-08-27T20:30:00.686774+00:00,controlled_study,"Results 1.3, 1.4; Supplement S6",SIR-LORENZ-BENCHMARK,CANONICAL,yes,"Lorenz fixed-representation containment benchmark: config, run manifest, results, SIR/pySINDy/MLP arms, audits, tables, tests, report."
02_CONTROLLED_STUDIES/01_Lorenz_Generator_Containment/SECTION_1_4_RESULTS.tex,D:\SIR_paper\Lorenz\benchmark\SECTION_1_4_RESULTS.tex,5144,c98410c53c2b5f24eda51fbb770193ee5f9a756a6266d8a2c9ec380972b7496f,2026-08-27T20:29:01.935991+00:00,controlled_study,"Results 1.3, 1.4; Supplement S6",SIR-LORENZ-BENCHMARK,CANONICAL,yes,"Lorenz fixed-representation containment benchmark: config, run manifest, results, SIR/pySINDy/MLP arms, audits, tables, tests, report."
02_CONTROLLED_STUDIES/01_Lorenz_Generator_Containment/audit/COORDINATE_AUDIT.md,D:\SIR_paper\Lorenz\benchmark\audit\COORDINATE_AUDIT.md,3132,7c517e4f560b63adf78b84b2007c5c0e4d42fec61782e33df1e55e6a7ec4b93b,2026-08-27T20:26:42.984989+00:00,controlled_study,"Results 1.3, 1.4; Supplement S6",SIR-LORENZ-BENCHMARK,CANONICAL,yes,"Lorenz fixed-representation containment benchmark: config, run manifest, results, SIR/pySINDy/MLP arms, audits, tables, tests, report."
02_CONTROLLED_STUDIES/01_Lorenz_Generator_Containment/audit/DATA_AUDIT.md,D:\SIR_paper\Lorenz\benchmark\audit\DATA_AUDIT.md,1619,80e0bf7bf819920aaf04721d87266818a785878658a4b9dd48af99368844b2c2,2026-08-27T20:25:55.850289+00:00,controlled_study,"Results 1.3, 1.4; Supplement S6",SIR-LORENZ-BENCHMARK,CANONICAL,yes,"Lorenz fixed-representation containment benchmark: config, run manifest, results, SIR/pySINDy/MLP arms, audits, tables, tests, report."
02_CONTROLLED_STUDIES/01_Lorenz_Generator_Containment/audit/FAIRNESS_AUDIT.md,D:\SIR_paper\Lorenz\benchmark\audit\FAIRNESS_AUDIT.md,2496,b43c52c8583997429bc1db9aa0d3f5a27c0b679f0b3c60df0fe2ba0c7e5babf0,2026-08-27T20:26:24.806352+00:00,controlled_study,"Results 1.3, 1.4; Supplement S6",SIR-LORENZ-BENCHMARK,CANONICAL,yes,"Lorenz fixed-representation containment benchmark: config, run manifest, results, SIR/pySINDy/MLP arms, audits, tables, tests, report."
02_CONTROLLED_STUDIES/01_Lorenz_Generator_Containment/audit/FINAL_REVIEWER_AUDIT.md,D:\SIR_paper\Lorenz\benchmark\audit\FINAL_REVIEWER_AUDIT.md,6839,ec62e50f1279086ee818762f287dc96b0766dc3b0c57cf09baecbc450d4fac49,2026-08-27T20:28:32.880328+00:00,controlled_study,"Results 1.3, 1.4; Supplement S6",SIR-LORENZ-BENCHMARK,CANONICAL,yes,"Lorenz fixed-representation containment benchmark: config, run manifest, results, SIR/pySINDy/MLP arms, audits, tables, tests, report."
02_CONTROLLED_STUDIES/01_Lorenz_Generator_Containment/audit/LEAKAGE_AUDIT.md,D:\SIR_paper\Lorenz\benchmark\audit\LEAKAGE_AUDIT.md,2746,92af60bf324e2b1d6327288ed8e76f19ef2c456fcf9ffb1ff661a5cd83080561,2026-08-27T20:26:11.137419+00:00,controlled_study,"Results 1.3, 1.4; Supplement S6",SIR-LORENZ-BENCHMARK,CANONICAL,yes,"Lorenz fixed-representation containment benchmark: config, run manifest, results, SIR/pySINDy/MLP arms, audits, tables, tests, report."
02_CONTROLLED_STUDIES/01_Lorenz_Generator_Containment/audit/REPRODUCIBILITY_AUDIT.md,D:\SIR_paper\Lorenz\benchmark\audit\REPRODUCIBILITY_AUDIT.md,3032,081001d7e95ca7370501213d44a6cc3ebb09b667eab71c723b0ca64a996312d8,2026-08-27T20:27:02.038070+00:00,controlled_study,"Results 1.3, 1.4; Supplement S6",SIR-LORENZ-BENCHMARK,CANONICAL,yes,"Lorenz fixed-representation containment benchmark: config, run manifest, results, SIR/pySINDy/MLP arms, audits, tables, tests, report."
