ablation,level,representation,learner,n_coordinates,test_rmse,test_r2,n_test,test_rmse_std,n_train_trajectories,dt
noise,0.0,C0_matched,STLSQ,10,9.04445052397199,-0.0008886415809026271,17002,,,
noise,0.0,C0_matched,MLP,10,0.2673445131593036,,17002,0.029051538083042706,,
noise,0.0,C_all,STLSQ,38,1.3029216378765308e-05,0.9999999999979229,17002,,,
noise,0.0,C_all,MLP,38,0.05231379570977345,,17002,0.003023407669953111,,
noise,0.0,C_star,STLSQ,12,3.321519457147023e-05,0.9999999999865012,17002,,,
noise,0.0,C_star,MLP,12,0.02578337561455515,,17002,0.00419338966871559,,
noise,0.01,C0_matched,STLSQ,10,9.012373175526482,-0.0008866625837893327,16721,,,
noise,0.01,C0_matched,MLP,10,0.756554655647133,,16721,0.010536720563061127,,
noise,0.01,C_all,STLSQ,38,2.210606994210801,0.9397815394187247,16721,,,
noise,0.01,C_all,MLP,38,0.8474452936012224,,16721,0.012349284435322322,,
noise,0.01,C_star,STLSQ,12,5.331099418931629,0.6497806538170023,16721,,,
noise,0.01,C_star,MLP,12,0.8168844321072545,,16721,0.034399399150940174,,
noise,0.05,C0_matched,STLSQ,10,8.921128606400945,-0.0005820140043126809,16535,,,
noise,0.05,C0_matched,MLP,10,1.5984527540128042,,16535,0.006352663351171376,,
noise,0.05,C_all,STLSQ,38,2.9952332751084922,0.887209013475024,16535,,,
noise,0.05,C_all,MLP,38,1.6721607240246987,,16535,0.0034609412831466033,,
noise,0.05,C_star,STLSQ,12,7.500765047521723,0.29266651912433417,16535,,,
noise,0.05,C_star,MLP,12,1.6157334884576435,,16535,0.0044230110488226735,,
train_fraction,0.1,C0_matched,STLSQ,10,9.017899965114207,-0.002114615758191274,16721,,3.0,
train_fraction,0.1,C0_matched,MLP,10,1.0512982326886535,,16721,0.0245189063830324,3.0,
train_fraction,0.1,C_all,STLSQ,38,2.2516648295571438,0.9375238788882533,16721,,3.0,
train_fraction,0.1,C_all,MLP,38,1.2930153322494218,,16721,0.01482568652221798,3.0,
train_fraction,0.1,C_star,STLSQ,12,5.3352397232673425,0.6492364592231206,16721,,3.0,
train_fraction,0.1,C_star,MLP,12,1.2148117937548149,,16721,0.022854572105278432,3.0,
train_fraction,0.25,C0_matched,STLSQ,10,9.010944448832335,-0.0005693476842063561,16721,,8.0,
train_fraction,0.25,C0_matched,MLP,10,0.9166300838747118,,16721,0.012434750582334259,8.0,
train_fraction,0.25,C_all,STLSQ,38,2.207318131307826,0.9399605879203455,16721,,8.0,
train_fraction,0.25,C_all,MLP,38,1.1330451294450825,,16721,0.03941727541219326,8.0,
train_fraction,0.25,C_star,STLSQ,12,5.325156238963502,0.6505610768569302,16721,,8.0,
train_fraction,0.25,C_star,MLP,12,0.8777743291199348,,16721,0.021857046927519105,8.0,
train_fraction,0.5,C0_matched,STLSQ,10,9.01082690918436,-0.0005432448039734972,16721,,16.0,
train_fraction,0.5,C0_matched,MLP,10,0.833202369054003,,16721,0.021523628095567997,16.0,
train_fraction,0.5,C_all,STLSQ,38,2.2012339538521846,0.9402911129997288,16721,,16.0,
train_fraction,0.5,C_all,MLP,38,0.8884058202350268,,16721,0.0072838547832282646,16.0,
train_fraction,0.5,C_star,STLSQ,12,5.32184082211049,0.650996059416509,16721,,16.0,
train_fraction,0.5,C_star,MLP,12,0.8216368878804738,,16721,0.006380335667228449,16.0,
train_fraction,1.0,C0_matched,STLSQ,10,9.012373175526482,-0.0008866625837893327,16721,,32.0,
train_fraction,1.0,C0_matched,MLP,10,0.756554655647133,,16721,0.010536720563061127,32.0,
train_fraction,1.0,C_all,STLSQ,38,2.210606994210801,0.9397815394187247,16721,,32.0,
train_fraction,1.0,C_all,MLP,38,0.8474452936012224,,16721,0.012349284435322322,32.0,
train_fraction,1.0,C_star,STLSQ,12,5.331099418931629,0.6497806538170023,16721,,32.0,
train_fraction,1.0,C_star,MLP,12,0.8168844321072545,,16721,0.034399399150940174,32.0,
resolution,1.0,C0_matched,STLSQ,10,9.04445052397199,-0.0008886415809026271,17002,,,0.005
resolution,1.0,C0_matched,MLP,10,0.2673445131593036,,17002,0.029051538083042706,,0.005
resolution,1.0,C_all,STLSQ,38,1.3029216378765308e-05,0.9999999999979229,17002,,,0.005
resolution,1.0,C_all,MLP,38,0.05231379570977345,,17002,0.003023407669953111,,0.005
resolution,1.0,C_star,STLSQ,12,3.321519457147023e-05,0.9999999999865012,17002,,,0.005
resolution,1.0,C_star,MLP,12,0.02578337561455515,,17002,0.00419338966871559,,0.005
resolution,2.0,C0_matched,STLSQ,10,9.050992588971097,-0.001011132320925423,8473,,,0.01
resolution,2.0,C0_matched,MLP,10,0.21358329995653547,,8473,0.027503583606325332,,0.01
resolution,2.0,C_all,STLSQ,38,0.00012263912822911213,0.9999999998162173,8473,,,0.01
resolution,2.0,C_all,MLP,38,0.06799631912543984,,8473,0.0043362766041657504,,0.01
resolution,2.0,C_star,STLSQ,12,0.0005243111072104216,0.9999999966408871,8473,,,0.01
resolution,2.0,C_star,MLP,12,0.04281689660782057,,8473,0.0031044969257722982,,0.01
resolution,4.0,C0_matched,STLSQ,10,9.061046784018895,-0.0010154573244476328,4227,,,0.02
resolution,4.0,C0_matched,MLP,10,0.23722125861212554,,4227,0.018608241190020556,,0.02
resolution,4.0,C_all,STLSQ,38,0.0016407428201721899,0.9999999671779983,4227,,,0.02
resolution,4.0,C_all,MLP,38,0.10033025138361813,,4227,0.006104767181085989,,0.02
resolution,4.0,C_star,STLSQ,12,0.008035429144748753,0.9999992127689956,4227,,,0.02
resolution,4.0,C_star,MLP,12,0.07738165774477068,,4227,0.01369574273287046,,0.02
