representation,learner,trajectory,rmse,r2,n
C0_center,STLSQ,traj_001,9.157404762141036,-0.0007649573302517254,2110
C0_center,STLSQ,traj_009,8.918149514861726,-8.575826782042384e-08,2116
C0_center,STLSQ,traj_016,9.278298113421926,-0.004043549666827628,2151
C0_center,STLSQ,traj_025,9.097961653716622,-0.000539050629714044,2141
C0_center,STLSQ,traj_029,8.613266361742033,-6.778938975093851e-05,2146
C0_center,STLSQ,traj_033,9.444609178503226,-0.0009970048865581838,2114
C0_center,STLSQ,traj_042,8.669922967629706,-0.0009958421135678464,2098
C0_center,STLSQ,traj_047,9.130133052228611,-0.0034582848164808055,2126
C0_center,MLP(seed=0),traj_001,1.436676051575694,0.9753676995447631,2110
C0_center,MLP(seed=0),traj_009,1.1929256668880097,0.9821072413109366,2116
C0_center,MLP(seed=0),traj_016,1.317261361615824,0.9797623625250055,2151
C0_center,MLP(seed=0),traj_025,1.193083958124514,0.9827936856771972,2141
C0_center,MLP(seed=0),traj_029,1.1398297548231666,0.9824864710855659,2146
C0_center,MLP(seed=0),traj_033,1.3083815227776876,0.9807897242055434,2114
C0_center,MLP(seed=0),traj_042,1.5447696550297865,0.9682218028249693,2098
C0_center,MLP(seed=0),traj_047,1.2917943337949058,0.979912223833226,2126
C0_center,MLP(seed=1),traj_001,1.4631099452572527,0.9744529244006058,2110
C0_center,MLP(seed=1),traj_009,1.2106848398947367,0.9815705341734882,2116
C0_center,MLP(seed=1),traj_016,1.3131782568169783,0.9798876289749294,2151
C0_center,MLP(seed=1),traj_025,1.2333869405271667,0.9816115750774411,2141
C0_center,MLP(seed=1),traj_029,1.1404186756985009,0.982468368825564,2146
C0_center,MLP(seed=1),traj_033,1.316225505225824,0.9805586956323709,2114
C0_center,MLP(seed=1),traj_042,1.6038935087324013,0.96574272173275,2098
C0_center,MLP(seed=1),traj_047,1.3262689125835447,0.9788257376381793,2126
C0_center,MLP(seed=2),traj_001,1.4749351695521629,0.9740382997527639,2110
C0_center,MLP(seed=2),traj_009,1.1634216158237944,0.9829813621782058,2116
C0_center,MLP(seed=2),traj_016,1.2445591848587445,0.9819346236211788,2151
