coordinate,in_C_star,family
x[k-2],True,raw
x[k-1],True,raw
x,True,raw
x[k+1],True,raw
x[k+2],True,raw
y[k-2],True,raw
y[k-1],True,raw
y,True,raw
y[k+1],True,raw
y[k+2],True,raw
dx,False,rate
dy,False,rate
d2x,False,curvature
d2y,False,curvature
x*y,False,product
x*x,False,product
y*y,False,product
x*dy,False,product
y*dx,False,product
dx*dy,False,product
x*dx,False,product
y*dy,False,product
Q[dy|x],True,quotient
Q[y|x],True,quotient
Q[dy|dx],False,quotient
Q[dx|dy],False,quotient
CA[dy|x],False,ca_ratio
RS[dy|x],False,reference_shifted
SC[dy|x],False,sensitivity_centered
CA[y|x],False,ca_ratio
RS[y|x],False,reference_shifted
SC[y|x],False,sensitivity_centered
CA[dy|dx],False,ca_ratio
RS[dy|dx],False,reference_shifted
SC[dy|dx],False,sensitivity_centered
CA[dx|dy],False,ca_ratio
RS[dx|dy],False,reference_shifted
SC[dx|dy],False,sensitivity_centered
