canonical_or_augmentation,noise_sigma,noise_percent,noise_replicate,dev_noise_seed,conf_noise_seed,representation_id,representation_label,n_coordinates,n_features,n_active_terms,stlsq_threshold,estimator,cohort,trajectory_id,support_scope,rmse,nrmse,n_samples
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_000,native,2.6410129605837898,0.3042247374907151,2397
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_000,common,2.4614065152925058,0.27909399307652294,2067
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_001,native,2.0481726891884304,0.2306619121650818,2397
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_001,common,1.9399492965381349,0.2097939378958067,2123
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_002,native,1.644930523593333,0.22371582784397576,2397
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_002,common,1.5810306440195365,0.20793613246069706,2139
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_003,native,2.2132334190813823,0.2784031432188816,2397
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_003,common,2.1612601172069144,0.2698375948190863,2072
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_004,native,2.2500700372318985,0.25864816856662887,2397
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_004,common,2.242013982854806,0.2492657591320683,2092
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_005,native,2.358293801004328,0.2743030894301663,2397
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_005,common,2.1606823705974594,0.24867387532438676,2027
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_006,native,2.3312668816176956,0.26079151980579646,2397
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_006,common,2.346619742502386,0.2537217861948251,2090
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_007,native,2.6719045844342406,0.33061295628425674,2397
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_007,common,2.4916494848238577,0.3113196291302082,2047
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_008,native,2.094217307920892,0.249799716425785,2397
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_008,common,2.0528612287960324,0.23751187405000548,2111
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_009,native,2.236505038917758,0.2586837324385941,2397
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_009,common,2.113061720564456,0.23673830692519524,2099
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_010,native,2.4438221963781634,0.2927637303206314,2397
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_010,common,2.3244059778973503,0.27513658668998175,2085
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_011,native,2.221514499168566,0.25781786933534423,2397
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_011,common,2.2207800672603595,0.24895531372747043,2096
