canonical_or_augmentation,noise_sigma,noise_percent,noise_replicate,noise_seed,trajectory_id,representation_id,representation_label,support_scope,rmse,estimator,cohort
canonical,0.0,0.0,0,,conf_000,C0_matched,raw stencil (10),native,8.668608440940467,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_001,C0_matched,raw stencil (10),native,8.882524664609054,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_002,C0_matched,raw stencil (10),native,7.415776841117644,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_003,C0_matched,raw stencil (10),native,7.966711745436023,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_004,C0_matched,raw stencil (10),native,8.706593351353083,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_005,C0_matched,raw stencil (10),native,8.591855818365095,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_006,C0_matched,raw stencil (10),native,8.928580211813177,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_007,C0_matched,raw stencil (10),native,8.086574088294917,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_008,C0_matched,raw stencil (10),native,8.382987551509272,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_009,C0_matched,raw stencil (10),native,8.641927929987329,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_010,C0_matched,raw stencil (10),native,8.365098152427912,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_011,C0_matched,raw stencil (10),native,8.627270554473494,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_012,C0_matched,raw stencil (10),native,8.927664551611498,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_013,C0_matched,raw stencil (10),native,8.780105177708407,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_014,C0_matched,raw stencil (10),native,8.28390230066614,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_015,C0_matched,raw stencil (10),native,9.256735860457564,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_016,C0_matched,raw stencil (10),native,8.34747408191821,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_017,C0_matched,raw stencil (10),native,8.610002809803769,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_018,C0_matched,raw stencil (10),native,9.048739898082331,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_019,C0_matched,raw stencil (10),native,9.137435540442706,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_020,C0_matched,raw stencil (10),native,8.646748626211458,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_021,C0_matched,raw stencil (10),native,8.420360514403187,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_022,C0_matched,raw stencil (10),native,8.514604761477338,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_023,C0_matched,raw stencil (10),native,9.0922912901783,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_000,C0_poly2,quadratic (10->65),native,2.6410129605837898,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_001,C0_poly2,quadratic (10->65),native,2.0481726891884304,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_002,C0_poly2,quadratic (10->65),native,1.644930523593333,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_003,C0_poly2,quadratic (10->65),native,2.2132334190813823,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_004,C0_poly2,quadratic (10->65),native,2.2500700372318985,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_005,C0_poly2,quadratic (10->65),native,2.358293801004328,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_006,C0_poly2,quadratic (10->65),native,2.331266881617696,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_007,C0_poly2,quadratic (10->65),native,2.6719045844342406,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_008,C0_poly2,quadratic (10->65),native,2.094217307920892,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_009,C0_poly2,quadratic (10->65),native,2.236505038917758,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_010,C0_poly2,quadratic (10->65),native,2.4438221963781634,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_011,C0_poly2,quadratic (10->65),native,2.221514499168566,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_012,C0_poly2,quadratic (10->65),native,2.133825873840145,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_013,C0_poly2,quadratic (10->65),native,2.185418984886381,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_014,C0_poly2,quadratic (10->65),native,2.5368906792168104,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_015,C0_poly2,quadratic (10->65),native,2.610368073423949,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_016,C0_poly2,quadratic (10->65),native,2.197289743117337,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_017,C0_poly2,quadratic (10->65),native,2.22965082846419,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_018,C0_poly2,quadratic (10->65),native,2.13654622354155,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_019,C0_poly2,quadratic (10->65),native,2.266708479335589,pysindy.STLSQ,confirmation_24
canonical,0.0,0.0,0,,conf_020,C0_poly2,quadratic (10->65),native,2.3457947264042813,pysindy.STLSQ,confirmation_24
