regime,representation,learner,trajectory,rmse,nrmse,n
clean,C0_matched,STLSQ,conf_000,8.668608440940467,0.9985581921460782,2397
clean,C0_matched,STLSQ,conf_001,8.882524664609054,1.0003356332243978,2397
clean,C0_matched,STLSQ,conf_002,7.415776841117644,1.0085694388433448,2397
clean,C0_matched,STLSQ,conf_003,7.966711745436023,1.0021345114013098,2397
clean,C0_matched,STLSQ,conf_004,8.706593351353083,1.0008330352028818,2397
clean,C0_matched,STLSQ,conf_005,8.591855818365095,0.9993549548035174,2397
clean,C0_matched,STLSQ,conf_006,8.928580211813177,0.9988122859322499,2397
clean,C0_matched,STLSQ,conf_007,8.086574088294917,1.0006069008294896,2397
clean,C0_matched,STLSQ,conf_008,8.382987551509272,0.999928663203945,2397
clean,C0_matched,STLSQ,conf_009,8.641927929987329,0.9995623231308362,2397
clean,C0_matched,STLSQ,conf_010,8.365098152427912,1.002117643105347,2397
clean,C0_matched,STLSQ,conf_011,8.627270554473494,1.0012379002551517,2397
clean,C0_matched,STLSQ,conf_012,8.927664551611498,0.9995414700100259,2397
clean,C0_matched,STLSQ,conf_013,8.780105177708407,1.001460432244919,2397
clean,C0_matched,STLSQ,conf_014,8.28390230066614,1.001482455795545,2397
clean,C0_matched,STLSQ,conf_015,9.256735860457564,1.0021924970140135,2397
clean,C0_matched,STLSQ,conf_016,8.34747408191821,1.0022269277441713,2397
clean,C0_matched,STLSQ,conf_017,8.610002809803769,0.9994330290452521,2397
clean,C0_matched,STLSQ,conf_018,9.048739898082333,1.0009962721806298,2397
clean,C0_matched,STLSQ,conf_019,9.137435540442706,1.0028512880735443,2397
clean,C0_matched,STLSQ,conf_020,8.646748626211458,0.9989438769502005,2397
clean,C0_matched,STLSQ,conf_021,8.420360514403187,0.9992282469525343,2397
clean,C0_matched,STLSQ,conf_022,8.514604761477338,0.9993392131758191,2397
clean,C0_matched,STLSQ,conf_023,9.0922912901783,0.9993432946458035,2397
clean,C0_poly2,STLSQ,conf_000,2.6410129605837898,0.3042247374907151,2397
clean,C0_poly2,STLSQ,conf_001,2.0481726891884304,0.2306619121650818,2397
clean,C0_poly2,STLSQ,conf_002,1.644930523593333,0.22371582784397576,2397
clean,C0_poly2,STLSQ,conf_003,2.2132334190813823,0.2784031432188816,2397
clean,C0_poly2,STLSQ,conf_004,2.2500700372318985,0.25864816856662887,2397
clean,C0_poly2,STLSQ,conf_005,2.358293801004328,0.2743030894301663,2397
clean,C0_poly2,STLSQ,conf_006,2.3312668816176956,0.26079151980579646,2397
clean,C0_poly2,STLSQ,conf_007,2.6719045844342406,0.33061295628425674,2397
clean,C0_poly2,STLSQ,conf_008,2.094217307920892,0.249799716425785,2397
clean,C0_poly2,STLSQ,conf_009,2.236505038917758,0.2586837324385941,2397
clean,C0_poly2,STLSQ,conf_010,2.4438221963781634,0.2927637303206314,2397
clean,C0_poly2,STLSQ,conf_011,2.221514499168566,0.25781786933534423,2397
clean,C0_poly2,STLSQ,conf_012,2.133825873840145,0.2389031799249911,2397
clean,C0_poly2,STLSQ,conf_013,2.185418984886381,0.24926929654523694,2397
clean,C0_poly2,STLSQ,conf_014,2.5368906792168104,0.30669742535502575,2397
clean,C0_poly2,STLSQ,conf_015,2.610368073423949,0.2826148803495288,2397
clean,C0_poly2,STLSQ,conf_016,2.1972897431173375,0.26381429004715373,2397
clean,C0_poly2,STLSQ,conf_017,2.22965082846419,0.2588136996503499,2397
clean,C0_poly2,STLSQ,conf_018,2.13654622354155,0.23635056695130957,2397
clean,C0_poly2,STLSQ,conf_019,2.266708479335589,0.2487756557217569,2397
clean,C0_poly2,STLSQ,conf_020,2.3457947264042813,0.2710055975745815,2397
clean,C0_poly2,STLSQ,conf_021,2.0525032484890264,0.24356667619443792,2397
clean,C0_poly2,STLSQ,conf_022,1.985861678680239,0.2330759328286178,2397
clean,C0_poly2,STLSQ,conf_023,2.3183526086875608,0.25481257256014367,2397
clean,C0_poly3,STLSQ,conf_000,2.6222604759552963,0.3020645929558163,2397
clean,C0_poly3,STLSQ,conf_001,2.095646007624628,0.23600828088931963,2397
clean,C0_poly3,STLSQ,conf_002,1.6475096574480208,0.22406659832160147,2397
clean,C0_poly3,STLSQ,conf_003,2.266754299165407,0.2851355470922235,2397
clean,C0_poly3,STLSQ,conf_004,2.3197695190842693,0.2666602050956503,2397
clean,C0_poly3,STLSQ,conf_005,2.402188918253843,0.27940871548376217,2397
clean,C0_poly3,STLSQ,conf_006,2.3576192366133126,0.2637394751703062,2397
clean,C0_poly3,STLSQ,conf_007,2.712618037419244,0.3356507091779523,2397
clean,C0_poly3,STLSQ,conf_008,2.14326266046592,0.25564988064294253,2397
clean,C0_poly3,STLSQ,conf_009,2.2585605464806022,0.26123476671658746,2397
clean,C0_poly3,STLSQ,conf_010,2.543109538480957,0.304658103278989,2397
clean,C0_poly3,STLSQ,conf_011,2.3222732924975213,0.2695114312826527,2397
clean,C0_poly3,STLSQ,conf_012,2.1588016519377584,0.24169946845151583,2397
clean,C0_poly3,STLSQ,conf_013,2.2511633113017973,0.2567681066639123,2397
clean,C0_poly3,STLSQ,conf_014,2.646667393921677,0.3199688824342523,2397
clean,C0_poly3,STLSQ,conf_015,2.720806969979796,0.2945716905227107,2397
clean,C0_poly3,STLSQ,conf_016,2.308238719941107,0.2771352121712861,2397
clean,C0_poly3,STLSQ,conf_017,2.265145786687631,0.26293388804014867,2397
clean,C0_poly3,STLSQ,conf_018,2.185374893990934,0.2417521275714494,2397
clean,C0_poly3,STLSQ,conf_019,2.3057772142892166,0.2530635252228041,2397
clean,C0_poly3,STLSQ,conf_020,2.3582234834458493,0.2724414703264665,2397
clean,C0_poly3,STLSQ,conf_021,2.0699069929802807,0.24563194561712587,2397
clean,C0_poly3,STLSQ,conf_022,2.0155636690968852,0.23656198585917287,2397
clean,C0_poly3,STLSQ,conf_023,2.343328259075981,0.2575576725518308,2397
clean,C_all,STLSQ,conf_000,1.5285204928035807e-05,1.7331590096370169e-06,2067
clean,C_all,STLSQ,conf_001,1.1423147677802103e-05,1.2353452426658992e-06,2123
clean,C_all,STLSQ,conf_002,9.467291277263218e-06,1.2451320539038715e-06,2139
clean,C_all,STLSQ,conf_003,1.293621779974234e-05,1.6151123455003061e-06,2072
clean,C_all,STLSQ,conf_004,1.2349759953694517e-05,1.3730388452068086e-06,2092
clean,C_all,STLSQ,conf_005,1.2139536824990871e-05,1.397144581727135e-06,2027
clean,C_all,STLSQ,conf_006,1.3171964014666498e-05,1.4241822724679242e-06,2090
clean,C_all,STLSQ,conf_007,1.706087999847389e-05,2.131674967169532e-06,2047
clean,C_all,STLSQ,conf_008,1.1965148531875635e-05,1.3843433794885192e-06,2111
clean,C_all,STLSQ,conf_009,1.2797992907728567e-05,1.4338318391414436e-06,2099
clean,C_all,STLSQ,conf_010,1.8071590298565718e-05,2.139108106796798e-06,2085
clean,C_all,STLSQ,conf_011,1.2299143249985864e-05,1.3787664575703147e-06,2096
clean,C_all,STLSQ,conf_012,1.1624028811768222e-05,1.2475274247483209e-06,2115
clean,C_all,STLSQ,conf_013,1.1927440333824615e-05,1.3140853091501849e-06,2123
clean,C_all,STLSQ,conf_014,2.084607534649262e-05,2.5003832980232735e-06,2074
clean,C_all,STLSQ,conf_015,1.7642163245603848e-05,1.8517520401028646e-06,2077
clean,C_all,STLSQ,conf_016,1.3327324195419921e-05,1.5633833761819823e-06,2117
clean,C_all,STLSQ,conf_017,1.2664291723013348e-05,1.426954369653762e-06,2100
clean,C_all,STLSQ,conf_018,1.1561389701255246e-05,1.2290379274641491e-06,2133
clean,C_all,STLSQ,conf_019,1.1806603234636002e-05,1.2434745141181949e-06,2110
clean,C_all,STLSQ,conf_020,1.3526020819901625e-05,1.525447361966469e-06,2118
clean,C_all,STLSQ,conf_021,1.1674875498638991e-05,1.3384763765860139e-06,2120
clean,C_all,STLSQ,conf_022,1.0814026132333392e-05,1.2228391676019394e-06,2129
clean,C_all,STLSQ,conf_023,1.2945276068135587e-05,1.373568303052613e-06,2107
clean,C*_accuracy,STLSQ,conf_000,1.5285204928035807e-05,1.7331590096370169e-06,2067
clean,C*_accuracy,STLSQ,conf_001,1.1423147677802103e-05,1.2353452426658992e-06,2123
clean,C*_accuracy,STLSQ,conf_002,9.467291277263218e-06,1.2451320539038715e-06,2139
clean,C*_accuracy,STLSQ,conf_003,1.293621779974234e-05,1.6151123455003061e-06,2072
clean,C*_accuracy,STLSQ,conf_004,1.2349759953694517e-05,1.3730388452068086e-06,2092
clean,C*_accuracy,STLSQ,conf_005,1.2139536824990871e-05,1.397144581727135e-06,2027
clean,C*_accuracy,STLSQ,conf_006,1.3171964014666498e-05,1.4241822724679242e-06,2090
clean,C*_accuracy,STLSQ,conf_007,1.706087999847389e-05,2.131674967169532e-06,2047
clean,C*_accuracy,STLSQ,conf_008,1.1965148531875635e-05,1.3843433794885192e-06,2111
clean,C*_accuracy,STLSQ,conf_009,1.2797992907728567e-05,1.4338318391414436e-06,2099
clean,C*_accuracy,STLSQ,conf_010,1.8071590298565718e-05,2.139108106796798e-06,2085
clean,C*_accuracy,STLSQ,conf_011,1.2299143249985864e-05,1.3787664575703147e-06,2096
clean,C*_accuracy,STLSQ,conf_012,1.1624028811768222e-05,1.2475274247483209e-06,2115
clean,C*_accuracy,STLSQ,conf_013,1.1927440333824615e-05,1.3140853091501849e-06,2123
clean,C*_accuracy,STLSQ,conf_014,2.084607534649262e-05,2.5003832980232735e-06,2074
clean,C*_accuracy,STLSQ,conf_015,1.7642163245603848e-05,1.8517520401028646e-06,2077
clean,C*_accuracy,STLSQ,conf_016,1.3327324195419921e-05,1.5633833761819823e-06,2117
clean,C*_accuracy,STLSQ,conf_017,1.2664291723013348e-05,1.426954369653762e-06,2100
clean,C*_accuracy,STLSQ,conf_018,1.1561389701255246e-05,1.2290379274641491e-06,2133
clean,C*_accuracy,STLSQ,conf_019,1.1806603234636002e-05,1.2434745141181949e-06,2110
clean,C*_accuracy,STLSQ,conf_020,1.3526020819901625e-05,1.525447361966469e-06,2118
clean,C*_accuracy,STLSQ,conf_021,1.1674875498638991e-05,1.3384763765860139e-06,2120
clean,C*_accuracy,STLSQ,conf_022,1.0814026132333392e-05,1.2228391676019394e-06,2129
clean,C*_accuracy,STLSQ,conf_023,1.2945276068135587e-05,1.373568303052613e-06,2107
clean,C*_compact,STLSQ,conf_000,3.4755107708546565e-05,4.042440576275461e-06,2249
clean,C*_compact,STLSQ,conf_001,3.2614580502284835e-05,3.5862587281289973e-06,2261
clean,C*_compact,STLSQ,conf_002,2.313060943437524e-05,3.1203200580006612e-06,2324
