regime,method,representation,n_coordinates,n_features,n_terms,threshold,pooled_rmse,pooled_r2,median_rmse,iqr_rmse,ci_lo,ci_hi,condition_number,coverage
clean,STLSQ,C0_matched,10,10,10,0.0001,8.606515992295344,0.0001455217890524,8.634599242230411,0.5152944346207331,8.43755329810273,8.754410854386176,2665893703940.852,0.9983340274885464
clean,STLSQ,C0_poly2,10,65,65,0.0001,2.2673658815126188,0.9306054681248686,2.233077933690974,0.2130533589380943,2.1686841693196954,2.3410094373686228,4.304608281269199e+16,0.9983340274885464
clean,STLSQ,C0_poly3,10,285,285,0.0001,2.31688119080728,0.9275414625692058,2.3070079671151618,0.1904832586702074,2.212480674433324,2.395751624447041,8.960432991610656e+16,0.9983340274885464
clean,STLSQ,C_all,38,38,32,0.0001,1.3532777165703743e-05,0.999999999997666,1.2507025838353932e-05,1.603327050903598e-06,1.2375838489582043e-05,1.4410987690276752e-05,8.010141234652365e+16,0.8741323059836179
clean,STLSQ,C*_accuracy,38,38,32,0.0001,1.3532777165703743e-05,0.999999999997666,1.2507025838353932e-05,1.603327050903598e-06,1.2375838489582043e-05,1.4410987690276752e-05,8.010141234652365e+16,0.8741323059836179
clean,STLSQ,C*_compact,12,12,12,0.0001,3.258254158972663e-05,0.9999999999858658,3.287984239490686e-05,2.1620296248853465e-06,3.135663492775568e-05,3.349380535937845e-05,2682959910247.907,0.9412224073302792
clean,STLSQ,C*_robust,38,38,32,0.0001,1.3532777165703743e-05,0.999999999997666,1.2507025838353932e-05,1.603327050903598e-06,1.2375838489582043e-05,1.4410987690276752e-05,8.010141234652365e+16,0.8741323059836179
noise_0.01,STLSQ,C0_matched,10,10,0,0.5,8.607174189307532,-7.414984768638888e-06,8.631430015390801,0.5175260028902251,8.437249360651641,8.755548530557807,315.10596725592706,0.9983340274885464
noise_0.01,STLSQ,C0_poly2,10,65,55,0.5,3.0039765338792184,0.8781921977249014,2.988800599093283,0.2230060678520415,2.9014555732649443,3.078877358096777,99793.1855379978,0.9983340274885464
noise_0.01,STLSQ,C0_poly3,10,285,280,0.5,3.0041846112708925,0.8781753225414219,3.01188894841906,0.2045388871628537,2.901788430861114,3.081705287070331,46769779.2365266,0.9983340274885464
noise_0.01,STLSQ,C_all,38,38,38,0.0001,2.245087395825469,0.9351771394043256,2.247844593049795,0.362640381789812,2.135383971627681,2.32400606472792,3.731881350462247e+16,0.8587741218936554
noise_0.01,STLSQ,C*_accuracy,38,38,38,0.0001,2.245087395825469,0.9351771394043256,2.247844593049795,0.362640381789812,2.135383971627681,2.32400606472792,3.731881350462247e+16,0.8587741218936554
noise_0.01,STLSQ,C*_compact,12,12,9,0.5,5.119567229041059,0.6511210028035347,5.082227251435793,0.5353370371269426,4.907934639880703,5.2963841673216825,323.667585411331,0.9422115785089548
noise_0.01,STLSQ,C*_robust,38,38,38,0.0001,2.245087395825469,0.9351771394043256,2.247844593049795,0.362640381789812,2.135383971627681,2.32400606472792,3.731881350462247e+16,0.8587741218936554
