regime,method,representation,n_coordinates,n_features,n_terms,condition_number,coverage
clean,STLSQ,C0_matched,10,10,10,2665893703940.852,0.9983340274885464
clean,STLSQ,C0_poly2,10,65,65,4.304608281269199e+16,0.9983340274885464
clean,STLSQ,C0_poly3,10,285,285,8.960432991610656e+16,0.9983340274885464
clean,STLSQ,C_all,38,38,32,8.010141234652365e+16,0.8741323059836179
clean,STLSQ,C*_accuracy,38,38,32,8.010141234652365e+16,0.8741323059836179
clean,STLSQ,C*_compact,12,12,12,2682959910247.907,0.9412224073302792
clean,STLSQ,C*_robust,38,38,32,8.010141234652365e+16,0.8741323059836179
clean,MLP,C0_matched,10,10,4929,,
clean,MLP,C_all,38,38,6721,,
clean,MLP,C*_compact,12,12,5057,,
clean,MLP,C*_robust,38,38,6721,,
noise_0.01,STLSQ,C0_matched,10,10,0,315.10596725592706,0.9983340274885464
noise_0.01,STLSQ,C0_poly2,10,65,55,99793.1855379978,0.9983340274885464
noise_0.01,STLSQ,C0_poly3,10,285,280,46769779.2365266,0.9983340274885464
noise_0.01,STLSQ,C_all,38,38,38,3.731881350462247e+16,0.8587741218936554
noise_0.01,STLSQ,C*_accuracy,38,38,38,3.731881350462247e+16,0.8587741218936554
noise_0.01,STLSQ,C*_compact,12,12,9,323.667585411331,0.9422115785089548
noise_0.01,STLSQ,C*_robust,38,38,38,3.731881350462247e+16,0.8587741218936554
noise_0.01,MLP,C0_matched,10,10,4929,,
noise_0.01,MLP,C_all,38,38,6721,,
noise_0.01,MLP,C*_compact,12,12,5057,,
noise_0.01,MLP,C*_robust,38,38,6721,,
