parent_id,child_id,dependency_type,evidence_source,confidence,notes
upstream_resample,aminor,produced_by,shot metadata json records per-signal resample method/category,DOCUMENTED,generator script itself is UNRESOLVED
aminor,provider_clean,consumed_by,provider _load_signal,CODE_VERIFIED,
upstream_resample,area,produced_by,shot metadata json records per-signal resample method/category,DOCUMENTED,generator script itself is UNRESOLVED
area,provider_clean,consumed_by,provider _load_signal,CODE_VERIFIED,
upstream_resample,betan,produced_by,shot metadata json records per-signal resample method/category,DOCUMENTED,generator script itself is UNRESOLVED
betan,provider_clean,consumed_by,provider _load_signal,CODE_VERIFIED,
upstream_resample,bt,produced_by,shot metadata json records per-signal resample method/category,DOCUMENTED,generator script itself is UNRESOLVED
bt,provider_clean,consumed_by,provider _load_signal,CODE_VERIFIED,
upstream_resample,cerqrott10,produced_by,shot metadata json records per-signal resample method/category,DOCUMENTED,generator script itself is UNRESOLVED
cerqrott10,provider_clean,consumed_by,provider _load_signal,CODE_VERIFIED,
upstream_resample,cerqrott11,produced_by,shot metadata json records per-signal resample method/category,DOCUMENTED,generator script itself is UNRESOLVED
cerqrott11,provider_clean,consumed_by,provider _load_signal,CODE_VERIFIED,
upstream_resample,cerqrott12,produced_by,shot metadata json records per-signal resample method/category,DOCUMENTED,generator script itself is UNRESOLVED
cerqrott12,provider_clean,consumed_by,provider _load_signal,CODE_VERIFIED,
upstream_resample,cerqrott13,produced_by,shot metadata json records per-signal resample method/category,DOCUMENTED,generator script itself is UNRESOLVED
cerqrott13,provider_clean,consumed_by,provider _load_signal,CODE_VERIFIED,
upstream_resample,cerqrott3,produced_by,shot metadata json records per-signal resample method/category,DOCUMENTED,generator script itself is UNRESOLVED
cerqrott3,provider_clean,consumed_by,provider _load_signal,CODE_VERIFIED,
upstream_resample,cerqrott6,produced_by,shot metadata json records per-signal resample method/category,DOCUMENTED,generator script itself is UNRESOLVED
cerqrott6,provider_clean,consumed_by,provider _load_signal,CODE_VERIFIED,
upstream_resample,cerqrott8,produced_by,shot metadata json records per-signal resample method/category,DOCUMENTED,generator script itself is UNRESOLVED
cerqrott8,provider_clean,consumed_by,provider _load_signal,CODE_VERIFIED,
upstream_resample,cerqtit10,produced_by,shot metadata json records per-signal resample method/category,DOCUMENTED,generator script itself is UNRESOLVED
cerqtit10,provider_clean,consumed_by,provider _load_signal,CODE_VERIFIED,
upstream_resample,cerqtit11,produced_by,shot metadata json records per-signal resample method/category,DOCUMENTED,generator script itself is UNRESOLVED
cerqtit11,provider_clean,consumed_by,provider _load_signal,CODE_VERIFIED,
upstream_resample,cerqtit12,produced_by,shot metadata json records per-signal resample method/category,DOCUMENTED,generator script itself is UNRESOLVED
cerqtit12,provider_clean,consumed_by,provider _load_signal,CODE_VERIFIED,
upstream_resample,cerqtit13,produced_by,shot metadata json records per-signal resample method/category,DOCUMENTED,generator script itself is UNRESOLVED
