node_id,node_type,category,direct_or_derived,evidence_class
aminor,stored_series,equilibrium_shape,EQUILIBRIUM_DERIVED,LOCAL_LINEAGE_EVIDENCE
area,stored_series,equilibrium_shape,EQUILIBRIUM_DERIVED,LOCAL_LINEAGE_EVIDENCE
betan,stored_series,equilibrium_shape,EQUILIBRIUM_DERIVED,LOCAL_LINEAGE_EVIDENCE
bt,stored_series,magnetics,UNKNOWN,UNRESOLVED
cerqrott10,stored_series,cer_rotation_ti,DIAGNOSTIC_RECONSTRUCTION,LOCAL_LINEAGE_EVIDENCE
cerqrott11,stored_series,cer_rotation_ti,DIAGNOSTIC_RECONSTRUCTION,LOCAL_LINEAGE_EVIDENCE
cerqrott12,stored_series,cer_rotation_ti,DIAGNOSTIC_RECONSTRUCTION,LOCAL_LINEAGE_EVIDENCE
cerqrott13,stored_series,cer_rotation_ti,DIAGNOSTIC_RECONSTRUCTION,LOCAL_LINEAGE_EVIDENCE
cerqrott3,stored_series,cer_rotation_ti,DIAGNOSTIC_RECONSTRUCTION,LOCAL_LINEAGE_EVIDENCE
cerqrott6,stored_series,cer_rotation_ti,DIAGNOSTIC_RECONSTRUCTION,LOCAL_LINEAGE_EVIDENCE
cerqrott8,stored_series,cer_rotation_ti,DIAGNOSTIC_RECONSTRUCTION,LOCAL_LINEAGE_EVIDENCE
cerqtit10,stored_series,cer_rotation_ti,DIAGNOSTIC_RECONSTRUCTION,LOCAL_LINEAGE_EVIDENCE
cerqtit11,stored_series,cer_rotation_ti,DIAGNOSTIC_RECONSTRUCTION,LOCAL_LINEAGE_EVIDENCE
cerqtit12,stored_series,cer_rotation_ti,DIAGNOSTIC_RECONSTRUCTION,LOCAL_LINEAGE_EVIDENCE
cerqtit13,stored_series,cer_rotation_ti,DIAGNOSTIC_RECONSTRUCTION,LOCAL_LINEAGE_EVIDENCE
cerqtit3,stored_series,cer_rotation_ti,DIAGNOSTIC_RECONSTRUCTION,LOCAL_LINEAGE_EVIDENCE
cerqtit6,stored_series,cer_rotation_ti,DIAGNOSTIC_RECONSTRUCTION,LOCAL_LINEAGE_EVIDENCE
cerqtit8,stored_series,cer_rotation_ti,DIAGNOSTIC_RECONSTRUCTION,LOCAL_LINEAGE_EVIDENCE
density,stored_series,density,UNKNOWN,UNRESOLVED
drsep,stored_series,equilibrium_shape,EQUILIBRIUM_DERIVED,LOCAL_LINEAGE_EVIDENCE
ece1,stored_series,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,LOCAL_LINEAGE_EVIDENCE
ece10,stored_series,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,LOCAL_LINEAGE_EVIDENCE
ece11,stored_series,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,LOCAL_LINEAGE_EVIDENCE
ece12,stored_series,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,LOCAL_LINEAGE_EVIDENCE
ece13,stored_series,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,LOCAL_LINEAGE_EVIDENCE
ece14,stored_series,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,LOCAL_LINEAGE_EVIDENCE
ece15,stored_series,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,LOCAL_LINEAGE_EVIDENCE
ece16,stored_series,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,LOCAL_LINEAGE_EVIDENCE
ece17,stored_series,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,LOCAL_LINEAGE_EVIDENCE
ece18,stored_series,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,LOCAL_LINEAGE_EVIDENCE
ece19,stored_series,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,LOCAL_LINEAGE_EVIDENCE
ece2,stored_series,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,LOCAL_LINEAGE_EVIDENCE
ece20,stored_series,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,LOCAL_LINEAGE_EVIDENCE
ece21,stored_series,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,LOCAL_LINEAGE_EVIDENCE
