signal_id,category,unit_hypothesis,dimensional_signature,semantic_physical_type,evidence_source,evidence_class,confidence,local_tag_identity,local_units_artifact,observed_median_abs,observed_min,observed_max,magnitude_test,expected_band,unresolved_reason
aminor,equilibrium_shape,m,L,length,minor radius convention,STRONGLY_INFERRED,medium,aminor,_units_for() returns a BLANK data unit for every signal; no local artifact records units,0.5903521180152893,0.5146509135078431,0.6615483430951002,CONSISTENT,0.3-1,"external device convention for this tag, scale corroborated by observed magnitude; corroboration is not proof and no local artifact records the unit"
area,equilibrium_shape,m^2,L^2,area,cross-sectional area convention,STRONGLY_INFERRED,medium,area,_units_for() returns a BLANK data unit for every signal; no local artifact records units,1.8200200200080872,1.3819434045864485,2.286851355478563,CONSISTENT,0.5-5,"external device convention for this tag, scale corroborated by observed magnitude; corroboration is not proof and no local artifact records the unit"
betan,equilibrium_shape,%*m*T/MA,dimensionless_composite,normalised_beta,standard beta_N convention,STRONGLY_INFERRED,medium,betan,_units_for() returns a BLANK data unit for every signal; no local artifact records units,2.78433096408844,-0.13054443895816803,4.198109149932861,CONSISTENT,0.3-6,"external device convention for this tag, scale corroborated by observed magnitude; corroboration is not proof and no local artifact records the unit"
bt,magnetics,T,M T^-2 I^-1,magnetic_flux_density,DIII-D pointname convention,STRONGLY_INFERRED,medium,bt,_units_for() returns a BLANK data unit for every signal; no local artifact records units,1.9754455373705315,-2.1507774295808786,2.3302128365325134,CONSISTENT,0.5-3,"external device convention for this tag, scale corroborated by observed magnitude; corroboration is not proof and no local artifact records the unit"
cerqrott10,cer_rotation_ti,km/s,L T^-1,velocity,CER toroidal rotation; scale fixed by magnitude,STRONGLY_INFERRED,medium,cerqrott10,_units_for() returns a BLANK data unit for every signal; no local artifact records units,51.20974349975585,-40.019187927246094,154.25532531738278,CONSISTENT,1-500,"external device convention for this tag, scale corroborated by observed magnitude; corroboration is not proof and no local artifact records the unit"
cerqrott11,cer_rotation_ti,km/s,L T^-1,velocity,CER toroidal rotation; scale fixed by magnitude,STRONGLY_INFERRED,medium,cerqrott11,_units_for() returns a BLANK data unit for every signal; no local artifact records units,34.95535755157471,-49.14557019734045,139.4907684326172,CONSISTENT,1-500,"external device convention for this tag, scale corroborated by observed magnitude; corroboration is not proof and no local artifact records the unit"
cerqrott12,cer_rotation_ti,km/s,L T^-1,velocity,CER toroidal rotation; scale fixed by magnitude,STRONGLY_INFERRED,medium,cerqrott12,_units_for() returns a BLANK data unit for every signal; no local artifact records units,16.79303550720215,-39.5589599609375,462.83719337961406,CONSISTENT,1-500,"external device convention for this tag, scale corroborated by observed magnitude; corroboration is not proof and no local artifact records the unit"
cerqrott13,cer_rotation_ti,km/s,L T^-1,velocity,CER toroidal rotation; scale fixed by magnitude,STRONGLY_INFERRED,medium,cerqrott13,_units_for() returns a BLANK data unit for every signal; no local artifact records units,11.590880762326728,-475.3936157226562,1176.16162109375,CONSISTENT,1-500,"external device convention for this tag, scale corroborated by observed magnitude; corroboration is not proof and no local artifact records the unit"
cerqrott3,cer_rotation_ti,km/s,L T^-1,velocity,CER toroidal rotation; scale fixed by magnitude,STRONGLY_INFERRED,medium,cerqrott3,_units_for() returns a BLANK data unit for every signal; no local artifact records units,128.87580108642578,-357.2499707556493,32.720848083496094,CONSISTENT,1-500,"external device convention for this tag, scale corroborated by observed magnitude; corroboration is not proof and no local artifact records the unit"
cerqrott6,cer_rotation_ti,km/s,L T^-1,velocity,CER toroidal rotation; scale fixed by magnitude,STRONGLY_INFERRED,medium,cerqrott6,_units_for() returns a BLANK data unit for every signal; no local artifact records units,92.8958511352539,-223.63925170898438,740.691717723698,CONSISTENT,1-500,"external device convention for this tag, scale corroborated by observed magnitude; corroboration is not proof and no local artifact records the unit"
cerqrott8,cer_rotation_ti,km/s,L T^-1,velocity,CER toroidal rotation; scale fixed by magnitude,STRONGLY_INFERRED,medium,cerqrott8,_units_for() returns a BLANK data unit for every signal; no local artifact records units,76.81610541681073,-19.214353017389318,180.5259857177734,CONSISTENT,1-500,"external device convention for this tag, scale corroborated by observed magnitude; corroboration is not proof and no local artifact records the unit"
cerqtit10,cer_rotation_ti,eV,L^2 M T^-2,temperature,CER ion temperature; scale fixed by magnitude,STRONGLY_INFERRED,medium,cerqtit10,_units_for() returns a BLANK data unit for every signal; no local artifact records units,1589.9994949000506,142.8000030517578,3151.2257058442624,CONSISTENT,100-2e+04,"external device convention for this tag, scale corroborated by observed magnitude; corroboration is not proof and no local artifact records the unit"
cerqtit11,cer_rotation_ti,eV,L^2 M T^-2,temperature,CER ion temperature; scale fixed by magnitude,STRONGLY_INFERRED,medium,cerqtit11,_units_for() returns a BLANK data unit for every signal; no local artifact records units,1319.2249755859375,-946.6395464891838,2978.199951171875,CONSISTENT,100-2e+04,"external device convention for this tag, scale corroborated by observed magnitude; corroboration is not proof and no local artifact records the unit"
cerqtit12,cer_rotation_ti,eV,L^2 M T^-2,temperature,CER ion temperature; scale fixed by magnitude,STRONGLY_INFERRED,medium,cerqtit12,_units_for() returns a BLANK data unit for every signal; no local artifact records units,959.6500244140625,-410.8031882069249,5077.5148607095325,CONSISTENT,100-2e+04,"external device convention for this tag, scale corroborated by observed magnitude; corroboration is not proof and no local artifact records the unit"
cerqtit13,cer_rotation_ti,eV,L^2 M T^-2,temperature,CER ion temperature; scale fixed by magnitude,STRONGLY_INFERRED,medium,cerqtit13,_units_for() returns a BLANK data unit for every signal; no local artifact records units,678.4250030517578,-3224.3346938263894,9360.167549096155,CONSISTENT,100-2e+04,"external device convention for this tag, scale corroborated by observed magnitude; corroboration is not proof and no local artifact records the unit"
cerqtit3,cer_rotation_ti,eV,L^2 M T^-2,temperature,CER ion temperature; scale fixed by magnitude,STRONGLY_INFERRED,medium,cerqtit3,_units_for() returns a BLANK data unit for every signal; no local artifact records units,4485.375,342.36511439163814,9316.081252690077,CONSISTENT,100-2e+04,"external device convention for this tag, scale corroborated by observed magnitude; corroboration is not proof and no local artifact records the unit"
cerqtit6,cer_rotation_ti,eV,L^2 M T^-2,temperature,CER ion temperature; scale fixed by magnitude,STRONGLY_INFERRED,medium,cerqtit6,_units_for() returns a BLANK data unit for every signal; no local artifact records units,2319.7750854492188,-720.5161731657909,4141.6375218626845,CONSISTENT,100-2e+04,"external device convention for this tag, scale corroborated by observed magnitude; corroboration is not proof and no local artifact records the unit"
