signal_id,archive_key_data,archive_key_times,provider_identity,dalia_identity,alias_mapping,in_dalia_catalog,catalog_position_matches_manifest,n_shots_loadable,min_finite_fraction,n_samples_median,transformation_vs_archive,numerically_spot_checked_shots,spot_check_result,verdict,verdict_basis
bt,bt_data,bt_times,bt,bt,one-to-one (identity),True,True,62,1.0,5170.5,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
ip,ip_data,ip_times,ip,ip,one-to-one (identity),True,True,62,1.0,5170.5,"none (native arrays, no common grid)",195659,EXACT on length/min/max,EXACT_IDENTITY,catalog parity + identical loader code path + direct numerical spot check
pcbcoil,pcbcoil_data,pcbcoil_times,pcbcoil,pcbcoil,one-to-one (identity),True,True,62,1.0,5088.5,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
pcdiamag3,pcdiamag3_data,pcdiamag3_times,pcdiamag3,pcdiamag3,one-to-one (identity),True,True,62,1.0,5088.5,"none (native arrays, no common grid)",195659,EXACT on length/min/max,EXACT_IDENTITY,catalog parity + identical loader code path + direct numerical spot check
vsurf,vsurf_data,vsurf_times,vsurf,vsurf,one-to-one (identity),True,True,62,1.0,249.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
aminor,aminor_data,aminor_times,aminor,aminor,one-to-one (identity),True,True,62,1.0,249.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
area,area_data,area_times,area,area,one-to-one (identity),True,True,62,1.0,249.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
betan,betan_data,betan_times,betan,betan,one-to-one (identity),True,True,62,1.0,249.0,"none (native arrays, no common grid)",195659,EXACT on length/min/max,EXACT_IDENTITY,catalog parity + identical loader code path + direct numerical spot check
drsep,drsep_data,drsep_times,drsep,drsep,one-to-one (identity),True,True,62,1.0,249.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
kappa,kappa_data,kappa_times,kappa,kappa,one-to-one (identity),True,True,62,1.0,249.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
li,li_data,li_times,li,li,one-to-one (identity),True,True,62,1.0,249.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
q95,q95_data,q95_times,q95,q95,one-to-one (identity),True,True,62,1.0,249.0,"none (native arrays, no common grid)",195659|155537,EXACT on length/min/max,EXACT_IDENTITY,catalog parity + identical loader code path + direct numerical spot check
rmaxis,rmaxis_data,rmaxis_times,rmaxis,rmaxis,one-to-one (identity),True,True,62,1.0,249.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
rsurf,rsurf_data,rsurf_times,rsurf,rsurf,one-to-one (identity),True,True,62,1.0,249.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
tribot,tribot_data,tribot_times,tribot,tribot,one-to-one (identity),True,True,62,1.0,249.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
tritop,tritop_data,tritop_times,tritop,tritop,one-to-one (identity),True,True,62,1.0,249.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
volume,volume_data,volume_times,volume,volume,one-to-one (identity),True,True,62,1.0,249.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
zcur,zcur_data,zcur_times,zcur,zcur,one-to-one (identity),True,True,62,1.0,249.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
zmaxis,zmaxis_data,zmaxis_times,zmaxis,zmaxis,one-to-one (identity),True,True,62,1.0,249.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
zsurf,zsurf_data,zsurf_times,zsurf,zsurf,one-to-one (identity),True,True,62,1.0,249.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
density,density_data,density_times,density,density,one-to-one (identity),True,True,62,1.0,4984.0,"none (native arrays, no common grid)",,not individually fetched,EXACT_IDENTITY,catalog parity + identical loader code path + group-level spot check via same code path
