signal,group,previous_unit,final_unit,status,evidence_class,changed_in_S7_1R,has_physical_unit,notes
aminor,,m,m,documented,LOCAL_DOCUMENTED,False,True,
area,,m^2,m^2,documented,LOCAL_DOCUMENTED,False,True,
betan,,1,1,dimensionless,LOCAL_DOCUMENTED,False,True,"Dimensionless by definition. Upstream reports ' ' (MDSplus explicit dimensionless), not '' (attribute unset)."
bt,,T,T,resolved_partial,LOCAL_DOCUMENTED,False,True,Unit string present on 35/62 shots and empty on the rest. Canonical unit taken from the shots that report it; the signal is the same pointname on every shot.
cerqrott10,,km/s,km/s,documented,LOCAL_DOCUMENTED,False,True,
cerqrott11,,km/s,km/s,documented,LOCAL_DOCUMENTED,False,True,
cerqrott12,,km/s,km/s,documented,LOCAL_DOCUMENTED,False,True,
cerqrott13,,km/s,km/s,documented,LOCAL_DOCUMENTED,False,True,
cerqrott3,,km/s,km/s,documented,LOCAL_DOCUMENTED,False,True,
cerqrott6,,km/s,km/s,documented,LOCAL_DOCUMENTED,False,True,
cerqrott8,,km/s,km/s,documented,LOCAL_DOCUMENTED,False,True,
cerqtit10,,eV,eV,documented,LOCAL_DOCUMENTED,False,True,
cerqtit11,,eV,eV,documented,LOCAL_DOCUMENTED,False,True,
cerqtit12,,eV,eV,documented,LOCAL_DOCUMENTED,False,True,
cerqtit13,,eV,eV,documented,LOCAL_DOCUMENTED,False,True,
cerqtit3,,eV,eV,documented,LOCAL_DOCUMENTED,False,True,
cerqtit6,,eV,eV,documented,LOCAL_DOCUMENTED,False,True,
cerqtit8,,eV,eV,documented,LOCAL_DOCUMENTED,False,True,
density,,cm^-3,cm^-3,documented,LOCAL_DOCUMENTED,False,True,
drsep,,m,m,documented,LOCAL_DOCUMENTED,False,True,
ece1,,,keV,domain_authorized,DOMAIN_AUTHORIZED,True,True,"Upstream units attribute is empty on all shots. Unit supplied as an explicit domain-authorized correction during S7.1R-FINAL (2026-09-02): the ECE radiometer reports electron temperature in keV. This is expert assignment, not recovered metadata."
ece10,,,keV,domain_authorized,DOMAIN_AUTHORIZED,True,True,"Upstream units attribute is empty on all shots. Unit supplied as an explicit domain-authorized correction during S7.1R-FINAL (2026-09-02): the ECE radiometer reports electron temperature in keV. This is expert assignment, not recovered metadata."
ece11,,,keV,domain_authorized,DOMAIN_AUTHORIZED,True,True,"Upstream units attribute is empty on all shots. Unit supplied as an explicit domain-authorized correction during S7.1R-FINAL (2026-09-02): the ECE radiometer reports electron temperature in keV. This is expert assignment, not recovered metadata."
ece12,,,keV,domain_authorized,DOMAIN_AUTHORIZED,True,True,"Upstream units attribute is empty on all shots. Unit supplied as an explicit domain-authorized correction during S7.1R-FINAL (2026-09-02): the ECE radiometer reports electron temperature in keV. This is expert assignment, not recovered metadata."
ece13,,,keV,domain_authorized,DOMAIN_AUTHORIZED,True,True,"Upstream units attribute is empty on all shots. Unit supplied as an explicit domain-authorized correction during S7.1R-FINAL (2026-09-02): the ECE radiometer reports electron temperature in keV. This is expert assignment, not recovered metadata."
ece14,,,keV,domain_authorized,DOMAIN_AUTHORIZED,True,True,"Upstream units attribute is empty on all shots. Unit supplied as an explicit domain-authorized correction during S7.1R-FINAL (2026-09-02): the ECE radiometer reports electron temperature in keV. This is expert assignment, not recovered metadata."
ece15,,,keV,domain_authorized,DOMAIN_AUTHORIZED,True,True,"Upstream units attribute is empty on all shots. Unit supplied as an explicit domain-authorized correction during S7.1R-FINAL (2026-09-02): the ECE radiometer reports electron temperature in keV. This is expert assignment, not recovered metadata."
ece16,,,keV,domain_authorized,DOMAIN_AUTHORIZED,True,True,"Upstream units attribute is empty on all shots. Unit supplied as an explicit domain-authorized correction during S7.1R-FINAL (2026-09-02): the ECE radiometer reports electron temperature in keV. This is expert assignment, not recovered metadata."
ece17,,,keV,domain_authorized,DOMAIN_AUTHORIZED,True,True,"Upstream units attribute is empty on all shots. Unit supplied as an explicit domain-authorized correction during S7.1R-FINAL (2026-09-02): the ECE radiometer reports electron temperature in keV. This is expert assignment, not recovered metadata."
ece18,,,keV,domain_authorized,DOMAIN_AUTHORIZED,True,True,"Upstream units attribute is empty on all shots. Unit supplied as an explicit domain-authorized correction during S7.1R-FINAL (2026-09-02): the ECE radiometer reports electron temperature in keV. This is expert assignment, not recovered metadata."
ece19,,,keV,domain_authorized,DOMAIN_AUTHORIZED,True,True,"Upstream units attribute is empty on all shots. Unit supplied as an explicit domain-authorized correction during S7.1R-FINAL (2026-09-02): the ECE radiometer reports electron temperature in keV. This is expert assignment, not recovered metadata."
ece2,,,keV,domain_authorized,DOMAIN_AUTHORIZED,True,True,"Upstream units attribute is empty on all shots. Unit supplied as an explicit domain-authorized correction during S7.1R-FINAL (2026-09-02): the ECE radiometer reports electron temperature in keV. This is expert assignment, not recovered metadata."
