shot_id,n_signals,min_finite_fraction,n_near_constant,n_identically_zero
155537,95,1.0,2,2
159310,95,1.0,2,2
160715,95,1.0,2,2
160717,95,1.0,1,1
160719,95,1.0,1,1
160720,95,1.0,1,1
160721,95,1.0,1,1
161136,95,1.0,3,3
161138,95,1.0,3,3
161145,95,1.0,3,3
161414,95,1.0,2,2
165017,95,1.0,2,2
165022,95,1.0,2,2
165026,95,1.0,2,2
165027,95,1.0,2,2
165028,95,1.0,2,2
165029,95,1.0,2,2
165031,95,1.0,2,2
165042,95,1.0,0,0
165043,95,1.0,0,0
165860,95,1.0,2,2
165861,95,1.0,2,2
165955,95,1.0,2,2
165965,95,1.0,2,2
170394,95,1.0,2,2
170396,95,1.0,2,2
170411,95,1.0,2,2
186997,95,1.0,0,0
187017,95,1.0,4,3
187018,95,1.0,4,3
187019,95,1.0,1,0
187020,95,1.0,3,2
187021,95,1.0,3,3
187022,95,1.0,1,0
187024,95,1.0,2,2
189646,95,1.0,1,1
189647,95,1.0,1,1
189649,95,1.0,1,1
189650,95,1.0,1,1
189651,95,1.0,1,1
189652,95,1.0,1,1
195261,95,1.0,2,2
195264,95,1.0,2,2
195265,95,1.0,2,2
195266,95,1.0,2,2
195267,95,1.0,0,0
195268,95,1.0,0,0
195269,95,1.0,2,2
195273,95,1.0,0,0
195274,95,1.0,0,0
195626,95,1.0,2,2
195638,95,1.0,0,0
195642,95,1.0,0,0
195645,95,1.0,0,0
195647,95,1.0,0,0
195648,95,1.0,0,0
195649,95,1.0,0,0
195650,95,1.0,2,2
195651,95,1.0,2,2
195652,95,1.0,0,0
195655,95,1.0,0,0
195659,95,1.0,0,0
