signal_id,signal_group,units,units_status,units_evidence_class,dimensional_signature,semantic_type,is_dimensionless,sign_convention,source_classification,scientific_description
bt,magnetics,T,resolved_partial,LOCAL_DOCUMENTED (units registry),M T^-2 I^-1,resolved_partial,False,signed_or_unknown,DIRECT_MEASUREMENT,Toroidal magnetic field
ip,magnetics,A,resolved_spelling,LOCAL_DOCUMENTED (units registry),I,resolved_spelling,False,signed_or_unknown,DIRECT_MEASUREMENT,Plasma current
pcbcoil,magnetics,,uncalibrated,LOCAL_DOCUMENTED (units registry),UNIT_LESS_UNCALIBRATED,uncalibrated,False,signed_or_unknown,DIRECT_MEASUREMENT,Plasma control B-coil signal (uncalibrated)
pcdiamag3,magnetics,,uncalibrated,LOCAL_DOCUMENTED (units registry),UNIT_LESS_UNCALIBRATED,uncalibrated,False,signed_or_unknown,DIRECT_MEASUREMENT,Diamagnetic loop signal (uncalibrated)
vsurf,magnetics,V,documented,LOCAL_DOCUMENTED (units registry),L^2 M T^-3 I^-1,documented,False,signed_or_unknown,DIRECT_MEASUREMENT,Surface loop voltage
aminor,equilibrium_shape,m,documented,LOCAL_DOCUMENTED (units registry),L,documented,False,nonnegative,EQUILIBRIUM_DERIVED,Plasma minor radius (EFIT)
area,equilibrium_shape,m^2,documented,LOCAL_DOCUMENTED (units registry),L^2,documented,False,nonnegative,EQUILIBRIUM_DERIVED,Plasma poloidal cross-sectional area (EFIT)
betan,equilibrium_shape,1,dimensionless,LOCAL_DOCUMENTED (units registry),dimensionless,dimensionless,True,signed_or_unknown,EQUILIBRIUM_DERIVED,Normalised beta
drsep,equilibrium_shape,m,documented,LOCAL_DOCUMENTED (units registry),L,documented,False,signed_or_unknown,EQUILIBRIUM_DERIVED,Separatrix-to-separatrix distance (upper/lower balance)
kappa,equilibrium_shape,1,dimensionless,LOCAL_DOCUMENTED (units registry),dimensionless,dimensionless,True,nonnegative,EQUILIBRIUM_DERIVED,Plasma elongation
li,equilibrium_shape,1,dimensionless,LOCAL_DOCUMENTED (units registry),dimensionless,dimensionless,True,nonnegative,EQUILIBRIUM_DERIVED,Normalised internal inductance
q95,equilibrium_shape,1,dimensionless,LOCAL_DOCUMENTED (units registry),dimensionless,dimensionless,True,nonnegative,EQUILIBRIUM_DERIVED,Safety factor at the 95% flux surface
rmaxis,equilibrium_shape,m,documented,LOCAL_DOCUMENTED (units registry),L,documented,False,signed_or_unknown,EQUILIBRIUM_DERIVED,Magnetic axis major radius
rsurf,equilibrium_shape,m,documented,LOCAL_DOCUMENTED (units registry),L,documented,False,signed_or_unknown,EQUILIBRIUM_DERIVED,"Plasma boundary geometric centre, major radius"
tribot,equilibrium_shape,1,dimensionless,LOCAL_DOCUMENTED (units registry),dimensionless,dimensionless,True,signed_or_unknown,EQUILIBRIUM_DERIVED,Bottom triangularity
tritop,equilibrium_shape,1,dimensionless,LOCAL_DOCUMENTED (units registry),dimensionless,dimensionless,True,signed_or_unknown,EQUILIBRIUM_DERIVED,Top triangularity
volume,equilibrium_shape,m^3,documented,LOCAL_DOCUMENTED (units registry),L^3,documented,False,nonnegative,EQUILIBRIUM_DERIVED,Plasma volume
zcur,equilibrium_shape,m,documented,LOCAL_DOCUMENTED (units registry),L,documented,False,signed_or_unknown,EQUILIBRIUM_DERIVED,Vertical position of the plasma current centroid
zmaxis,equilibrium_shape,m,documented,LOCAL_DOCUMENTED (units registry),L,documented,False,signed_or_unknown,EQUILIBRIUM_DERIVED,Magnetic axis vertical position
zsurf,equilibrium_shape,m,documented,LOCAL_DOCUMENTED (units registry),L,documented,False,signed_or_unknown,EQUILIBRIUM_DERIVED,"Plasma boundary geometric centre, vertical position"
density,density,cm^-3,documented,LOCAL_DOCUMENTED (units registry),L^-3,documented,False,nonnegative,DIAGNOSTIC_RECONSTRUCTION,Line-averaged electron density
prmtan_neped,density,m^-3,documented,LOCAL_DOCUMENTED (units registry),L^-3,documented,False,nonnegative,DIAGNOSTIC_RECONSTRUCTION,Pedestal electron density from tanh fit
prmtan_teped,density,eV,documented,LOCAL_DOCUMENTED (units registry),L^2 M T^-2,documented,False,nonnegative,DIAGNOSTIC_RECONSTRUCTION,Pedestal electron temperature from tanh fit
fs04,filterscope_dalpha,ph/(sr cm^2 s),resolved_spelling,LOCAL_DOCUMENTED (units registry),L^-2 T^-1 (photon flux),resolved_spelling,False,signed_or_unknown,DIRECT_MEASUREMENT,Filterscope D-alpha channel (fs04)
fs03da,filterscope_dalpha,ph/(sr cm^2 s),resolved_spelling,LOCAL_DOCUMENTED (units registry),L^-2 T^-1 (photon flux),resolved_spelling,False,signed_or_unknown,DIRECT_MEASUREMENT,Filterscope D-alpha channel (fs03da)
fs04da,filterscope_dalpha,ph/(sr cm^2 s),resolved_spelling,LOCAL_DOCUMENTED (units registry),L^-2 T^-1 (photon flux),resolved_spelling,False,signed_or_unknown,DIRECT_MEASUREMENT,Filterscope D-alpha channel (fs04da)
fs05da,filterscope_dalpha,ph/(sr cm^2 s),resolved_spelling,LOCAL_DOCUMENTED (units registry),L^-2 T^-1 (photon flux),resolved_spelling,False,signed_or_unknown,DIRECT_MEASUREMENT,Filterscope D-alpha channel (fs05da)
gasa,gas_injection,V,resolved_partial,LOCAL_DOCUMENTED (units registry),L^2 M T^-3 I^-1,resolved_partial,False,signed_or_unknown,CONTROL_COMMAND_OR_ACTUATION,"Gas injection valve command, manifold A"
gasb,gas_injection,V,resolved_partial,LOCAL_DOCUMENTED (units registry),L^2 M T^-3 I^-1,resolved_partial,False,signed_or_unknown,CONTROL_COMMAND_OR_ACTUATION,"Gas injection valve command, manifold B"
gasc,gas_injection,V,resolved_partial,LOCAL_DOCUMENTED (units registry),L^2 M T^-3 I^-1,resolved_partial,False,signed_or_unknown,CONTROL_COMMAND_OR_ACTUATION,"Gas injection valve command, manifold C"
gasd,gas_injection,V,documented,LOCAL_DOCUMENTED (units registry),L^2 M T^-3 I^-1,documented,False,signed_or_unknown,CONTROL_COMMAND_OR_ACTUATION,"Gas injection valve command, manifold D"
pinj,neutral_beams,kW,documented,LOCAL_DOCUMENTED (units registry),L^2 M T^-3,documented,False,signed_or_unknown,CONTROL_COMMAND_OR_ACTUATION,Total injected neutral beam power
pinj_15l,neutral_beams,W,documented,LOCAL_DOCUMENTED (units registry),L^2 M T^-3,documented,False,signed_or_unknown,CONTROL_COMMAND_OR_ACTUATION,"Injected neutral beam power, beamline 15L"
pinj_15r,neutral_beams,W,documented,LOCAL_DOCUMENTED (units registry),L^2 M T^-3,documented,False,signed_or_unknown,CONTROL_COMMAND_OR_ACTUATION,"Injected neutral beam power, beamline 15R"
pinj_21l,neutral_beams,W,documented,LOCAL_DOCUMENTED (units registry),L^2 M T^-3,documented,False,signed_or_unknown,CONTROL_COMMAND_OR_ACTUATION,"Injected neutral beam power, beamline 21L"
pinj_21r,neutral_beams,W,documented,LOCAL_DOCUMENTED (units registry),L^2 M T^-3,documented,False,signed_or_unknown,CONTROL_COMMAND_OR_ACTUATION,"Injected neutral beam power, beamline 21R"
pinj_30l,neutral_beams,W,documented,LOCAL_DOCUMENTED (units registry),L^2 M T^-3,documented,False,signed_or_unknown,CONTROL_COMMAND_OR_ACTUATION,"Injected neutral beam power, beamline 30L"
pinj_30r,neutral_beams,W,documented,LOCAL_DOCUMENTED (units registry),L^2 M T^-3,documented,False,signed_or_unknown,CONTROL_COMMAND_OR_ACTUATION,"Injected neutral beam power, beamline 30R"
