signal_id,physical_quantity,units,dimensional_type,structure,signed_or_nonnegative,extensive_or_intensive,bounded_or_unbounded,coordinate_role_candidates,semantic_tags,evidence_class,notes
aminor,UNKNOWN,UNKNOWN,UNKNOWN,scalar_time_series,UNKNOWN,UNKNOWN,UNKNOWN,NOT_ASSIGNED_AT_S7_1,equilibrium_shape,UNRESOLVED,no units table exists in any local artifact; units must not be invented
area,UNKNOWN,UNKNOWN,UNKNOWN,scalar_time_series,UNKNOWN,UNKNOWN,UNKNOWN,NOT_ASSIGNED_AT_S7_1,equilibrium_shape,UNRESOLVED,no units table exists in any local artifact; units must not be invented
betan,UNKNOWN,UNKNOWN,UNKNOWN,scalar_time_series,UNKNOWN,UNKNOWN,UNKNOWN,NOT_ASSIGNED_AT_S7_1,equilibrium_shape,UNRESOLVED,no units table exists in any local artifact; units must not be invented
bt,UNKNOWN,UNKNOWN,UNKNOWN,scalar_time_series,UNKNOWN,UNKNOWN,UNKNOWN,NOT_ASSIGNED_AT_S7_1,magnetics,UNRESOLVED,no units table exists in any local artifact; units must not be invented
cerqrott10,UNKNOWN,UNKNOWN,UNKNOWN,scalar_time_series,UNKNOWN,UNKNOWN,UNKNOWN,NOT_ASSIGNED_AT_S7_1,cer_rotation_ti,UNRESOLVED,no units table exists in any local artifact; units must not be invented
cerqrott11,UNKNOWN,UNKNOWN,UNKNOWN,scalar_time_series,UNKNOWN,UNKNOWN,UNKNOWN,NOT_ASSIGNED_AT_S7_1,cer_rotation_ti,UNRESOLVED,no units table exists in any local artifact; units must not be invented
cerqrott12,UNKNOWN,UNKNOWN,UNKNOWN,scalar_time_series,UNKNOWN,UNKNOWN,UNKNOWN,NOT_ASSIGNED_AT_S7_1,cer_rotation_ti,UNRESOLVED,no units table exists in any local artifact; units must not be invented
cerqrott13,UNKNOWN,UNKNOWN,UNKNOWN,scalar_time_series,UNKNOWN,UNKNOWN,UNKNOWN,NOT_ASSIGNED_AT_S7_1,cer_rotation_ti,UNRESOLVED,no units table exists in any local artifact; units must not be invented
cerqrott3,UNKNOWN,UNKNOWN,UNKNOWN,scalar_time_series,UNKNOWN,UNKNOWN,UNKNOWN,NOT_ASSIGNED_AT_S7_1,cer_rotation_ti,UNRESOLVED,no units table exists in any local artifact; units must not be invented
cerqrott6,UNKNOWN,UNKNOWN,UNKNOWN,scalar_time_series,UNKNOWN,UNKNOWN,UNKNOWN,NOT_ASSIGNED_AT_S7_1,cer_rotation_ti,UNRESOLVED,no units table exists in any local artifact; units must not be invented
