signal_id,canonical_name,source_name,aliases,scientific_description,category,direct_or_derived,diagnostic_or_computed,units,dimensional_signature,sampling_rate_native_if_known,sampling_rate_analysis_if_known,time_basis,shot_count_available,missing_fraction,finite_fraction,source_path,source_system,generating_formula_if_known,upstream_dependencies_if_known,preprocessing,smoothing,interpolation,standardization,uncertainty_metadata,provenance_status,documentation_status,availability_class,historical_eight,classification_evidence,evidence_class,notes
aminor,aminor,aminor,,provider group: equilibrium_shape,equilibrium_shape,EQUILIBRIUM_DERIVED,computed,UNKNOWN,UNKNOWN,20.0,"variable; common grid TARGET_N=1000, dt 4.1-6.0 ms","per-signal <name>_times, MILLISECONDS",62,0.0,1.0,D:\SIR_paper\DIIID_example\data\resampled_data_v6,resampled_data_v6 npz archive,UNKNOWN,UNKNOWN,upstream resample (method in metadata json); then provider finite-clean + sort + dedupe,none at archive level; realization variants none/spline/RTS applied downstream,"block-average if denser than grid, else linear",none at archive level; within-discharge z-score applied downstream,NONE_RECORDED,LOCAL_LINEAGE_EVIDENCE,GROUP_DOCUMENTED,AVAILABLE_IN_FROZEN_STUDY_OBJECT,False,"provider docstring groups these as 'Equilibrium / shape'; equilibrium reconstruction outputs, not stored primitives",LOCAL_LINEAGE_EVIDENCE,present in all shots
area,area,area,,provider group: equilibrium_shape,equilibrium_shape,EQUILIBRIUM_DERIVED,computed,UNKNOWN,UNKNOWN,20.0,"variable; common grid TARGET_N=1000, dt 4.1-6.0 ms","per-signal <name>_times, MILLISECONDS",62,0.0,1.0,D:\SIR_paper\DIIID_example\data\resampled_data_v6,resampled_data_v6 npz archive,UNKNOWN,UNKNOWN,upstream resample (method in metadata json); then provider finite-clean + sort + dedupe,none at archive level; realization variants none/spline/RTS applied downstream,"block-average if denser than grid, else linear",none at archive level; within-discharge z-score applied downstream,NONE_RECORDED,LOCAL_LINEAGE_EVIDENCE,GROUP_DOCUMENTED,AVAILABLE_IN_FROZEN_STUDY_OBJECT,False,"provider docstring groups these as 'Equilibrium / shape'; equilibrium reconstruction outputs, not stored primitives",LOCAL_LINEAGE_EVIDENCE,present in all shots
betan,betan,betan,,provider group: equilibrium_shape,equilibrium_shape,EQUILIBRIUM_DERIVED,computed,UNKNOWN,UNKNOWN,20.0,"variable; common grid TARGET_N=1000, dt 4.1-6.0 ms","per-signal <name>_times, MILLISECONDS",62,0.0,1.0,D:\SIR_paper\DIIID_example\data\resampled_data_v6,resampled_data_v6 npz archive,UNKNOWN,UNKNOWN,upstream resample (method in metadata json); then provider finite-clean + sort + dedupe,none at archive level; realization variants none/spline/RTS applied downstream,"block-average if denser than grid, else linear",none at archive level; within-discharge z-score applied downstream,NONE_RECORDED,LOCAL_LINEAGE_EVIDENCE,GROUP_DOCUMENTED,AVAILABLE_IN_FROZEN_STUDY_OBJECT,True,"provider docstring groups these as 'Equilibrium / shape'; equilibrium reconstruction outputs, not stored primitives",LOCAL_LINEAGE_EVIDENCE,present in all shots
bt,bt,bt,,provider group: magnetics,magnetics,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1.0,"variable; common grid TARGET_N=1000, dt 4.1-6.0 ms","per-signal <name>_times, MILLISECONDS",62,0.0,1.0,D:\SIR_paper\DIIID_example\data\resampled_data_v6,resampled_data_v6 npz archive,UNKNOWN,UNKNOWN,upstream resample (method in metadata json); then provider finite-clean + sort + dedupe,none at archive level; realization variants none/spline/RTS applied downstream,"block-average if denser than grid, else linear",none at archive level; within-discharge z-score applied downstream,NONE_RECORDED,UNRESOLVED,GROUP_DOCUMENTED,AVAILABLE_IN_FROZEN_STUDY_OBJECT,False,provider groups these as 'Magnetics'; whether each is a raw coil/loop measurement or a compensated derived quantity is not established by any local artifact,UNRESOLVED,present in all shots
cerqrott10,cerqrott10,cerqrott10,,provider group: cer_rotation_ti,cer_rotation_ti,DIAGNOSTIC_RECONSTRUCTION,diagnostic,UNKNOWN,UNKNOWN,10.0,"variable; common grid TARGET_N=1000, dt 4.1-6.0 ms","per-signal <name>_times, MILLISECONDS",62,0.0,1.0,D:\SIR_paper\DIIID_example\data\resampled_data_v6,resampled_data_v6 npz archive,UNKNOWN,UNKNOWN,upstream resample (method in metadata json); then provider finite-clean + sort + dedupe,none at archive level; realization variants none/spline/RTS applied downstream,"block-average if denser than grid, else linear",none at archive level; within-discharge z-score applied downstream,NONE_RECORDED,LOCAL_LINEAGE_EVIDENCE,GROUP_DOCUMENTED,AVAILABLE_IN_FROZEN_STUDY_OBJECT,False,provider docstring labels the group 'CER (rotation / Ti)'; spectroscopic inference,LOCAL_LINEAGE_EVIDENCE,present in all shots
cerqrott11,cerqrott11,cerqrott11,,provider group: cer_rotation_ti,cer_rotation_ti,DIAGNOSTIC_RECONSTRUCTION,diagnostic,UNKNOWN,UNKNOWN,10.0,"variable; common grid TARGET_N=1000, dt 4.1-6.0 ms","per-signal <name>_times, MILLISECONDS",62,0.0,1.0,D:\SIR_paper\DIIID_example\data\resampled_data_v6,resampled_data_v6 npz archive,UNKNOWN,UNKNOWN,upstream resample (method in metadata json); then provider finite-clean + sort + dedupe,none at archive level; realization variants none/spline/RTS applied downstream,"block-average if denser than grid, else linear",none at archive level; within-discharge z-score applied downstream,NONE_RECORDED,LOCAL_LINEAGE_EVIDENCE,GROUP_DOCUMENTED,AVAILABLE_IN_FROZEN_STUDY_OBJECT,False,provider docstring labels the group 'CER (rotation / Ti)'; spectroscopic inference,LOCAL_LINEAGE_EVIDENCE,present in all shots
cerqrott12,cerqrott12,cerqrott12,,provider group: cer_rotation_ti,cer_rotation_ti,DIAGNOSTIC_RECONSTRUCTION,diagnostic,UNKNOWN,UNKNOWN,10.0,"variable; common grid TARGET_N=1000, dt 4.1-6.0 ms","per-signal <name>_times, MILLISECONDS",62,0.0,1.0,D:\SIR_paper\DIIID_example\data\resampled_data_v6,resampled_data_v6 npz archive,UNKNOWN,UNKNOWN,upstream resample (method in metadata json); then provider finite-clean + sort + dedupe,none at archive level; realization variants none/spline/RTS applied downstream,"block-average if denser than grid, else linear",none at archive level; within-discharge z-score applied downstream,NONE_RECORDED,LOCAL_LINEAGE_EVIDENCE,GROUP_DOCUMENTED,AVAILABLE_IN_FROZEN_STUDY_OBJECT,False,provider docstring labels the group 'CER (rotation / Ti)'; spectroscopic inference,LOCAL_LINEAGE_EVIDENCE,present in all shots
cerqrott13,cerqrott13,cerqrott13,,provider group: cer_rotation_ti,cer_rotation_ti,DIAGNOSTIC_RECONSTRUCTION,diagnostic,UNKNOWN,UNKNOWN,10.0,"variable; common grid TARGET_N=1000, dt 4.1-6.0 ms","per-signal <name>_times, MILLISECONDS",62,0.0,1.0,D:\SIR_paper\DIIID_example\data\resampled_data_v6,resampled_data_v6 npz archive,UNKNOWN,UNKNOWN,upstream resample (method in metadata json); then provider finite-clean + sort + dedupe,none at archive level; realization variants none/spline/RTS applied downstream,"block-average if denser than grid, else linear",none at archive level; within-discharge z-score applied downstream,NONE_RECORDED,LOCAL_LINEAGE_EVIDENCE,GROUP_DOCUMENTED,AVAILABLE_IN_FROZEN_STUDY_OBJECT,False,provider docstring labels the group 'CER (rotation / Ti)'; spectroscopic inference,LOCAL_LINEAGE_EVIDENCE,present in all shots
cerqrott3,cerqrott3,cerqrott3,,provider group: cer_rotation_ti,cer_rotation_ti,DIAGNOSTIC_RECONSTRUCTION,diagnostic,UNKNOWN,UNKNOWN,10.0,"variable; common grid TARGET_N=1000, dt 4.1-6.0 ms","per-signal <name>_times, MILLISECONDS",62,0.0,1.0,D:\SIR_paper\DIIID_example\data\resampled_data_v6,resampled_data_v6 npz archive,UNKNOWN,UNKNOWN,upstream resample (method in metadata json); then provider finite-clean + sort + dedupe,none at archive level; realization variants none/spline/RTS applied downstream,"block-average if denser than grid, else linear",none at archive level; within-discharge z-score applied downstream,NONE_RECORDED,LOCAL_LINEAGE_EVIDENCE,GROUP_DOCUMENTED,AVAILABLE_IN_FROZEN_STUDY_OBJECT,False,provider docstring labels the group 'CER (rotation / Ti)'; spectroscopic inference,LOCAL_LINEAGE_EVIDENCE,present in all shots
cerqrott6,cerqrott6,cerqrott6,,provider group: cer_rotation_ti,cer_rotation_ti,DIAGNOSTIC_RECONSTRUCTION,diagnostic,UNKNOWN,UNKNOWN,10.0,"variable; common grid TARGET_N=1000, dt 4.1-6.0 ms","per-signal <name>_times, MILLISECONDS",62,0.0,1.0,D:\SIR_paper\DIIID_example\data\resampled_data_v6,resampled_data_v6 npz archive,UNKNOWN,UNKNOWN,upstream resample (method in metadata json); then provider finite-clean + sort + dedupe,none at archive level; realization variants none/spline/RTS applied downstream,"block-average if denser than grid, else linear",none at archive level; within-discharge z-score applied downstream,NONE_RECORDED,LOCAL_LINEAGE_EVIDENCE,GROUP_DOCUMENTED,AVAILABLE_IN_FROZEN_STUDY_OBJECT,False,provider docstring labels the group 'CER (rotation / Ti)'; spectroscopic inference,LOCAL_LINEAGE_EVIDENCE,present in all shots
