shot,filename,size_bytes,sha256,original_path,redistributable,bundled_in_package
155537,shot_155537_resampled.npz,14871064,6a12402d700b52883fa6cdfa7ce099354919b152a7c1183ec3b109fe3a9a4ce3,D:\SIR_paper\DIIID_example\data\resampled_data_v6\shot_155537_resampled.npz,NO_RESTRICTED_SOURCE_ARCHIVE,no
159310,shot_159310_resampled.npz,18431031,9ce8ca3c43f5a2f8954d01a1688804c65c254303e7a3ce107a91041ee9725058,D:\SIR_paper\DIIID_example\data\resampled_data_v6\shot_159310_resampled.npz,NO_RESTRICTED_SOURCE_ARCHIVE,no
160715,shot_160715_resampled.npz,18341759,211df9914b13b00f461a88eb22549669faded3c394f1c71a3fc5c24c9bda6967,D:\SIR_paper\DIIID_example\data\resampled_data_v6\shot_160715_resampled.npz,NO_RESTRICTED_SOURCE_ARCHIVE,no
160717,shot_160717_resampled.npz,18673581,e22dc165b12f54e6a37637dc421f84c2084c2aa305ab0a6e6058eff394b0a891,D:\SIR_paper\DIIID_example\data\resampled_data_v6\shot_160717_resampled.npz,NO_RESTRICTED_SOURCE_ARCHIVE,no
160719,shot_160719_resampled.npz,18696958,de26c97dbf445a5b982e0b4ede4feaf808f483cca6bc393e031ba33b8e0d8cd3,D:\SIR_paper\DIIID_example\data\resampled_data_v6\shot_160719_resampled.npz,NO_RESTRICTED_SOURCE_ARCHIVE,no
160720,shot_160720_resampled.npz,18601045,05486d9eaec8d92b4483dace1a8da01058661a6c4150dd552f14a884c23f617e,D:\SIR_paper\DIIID_example\data\resampled_data_v6\shot_160720_resampled.npz,NO_RESTRICTED_SOURCE_ARCHIVE,no
160721,shot_160721_resampled.npz,18643267,1c7b6e1f967966a549f72c6b278d459235aa6a596e65a2d64b34f7fce9e6da32,D:\SIR_paper\DIIID_example\data\resampled_data_v6\shot_160721_resampled.npz,NO_RESTRICTED_SOURCE_ARCHIVE,no
161136,shot_161136_resampled.npz,17698332,27099ce56c89aadd7cfd2c04c20d8cc4f956af84800a6a10d52345148efc5cda,D:\SIR_paper\DIIID_example\data\resampled_data_v6\shot_161136_resampled.npz,NO_RESTRICTED_SOURCE_ARCHIVE,no
161138,shot_161138_resampled.npz,17673440,5e7580936da2502bb326c569e184b874044a72a4342e9bdbd34415c43a6e86f9,D:\SIR_paper\DIIID_example\data\resampled_data_v6\shot_161138_resampled.npz,NO_RESTRICTED_SOURCE_ARCHIVE,no
161145,shot_161145_resampled.npz,17473079,965e82b6282a1d43e5f195add51fa06aae224ec1c73f9a13f77f0116c22893f7,D:\SIR_paper\DIIID_example\data\resampled_data_v6\shot_161145_resampled.npz,NO_RESTRICTED_SOURCE_ARCHIVE,no
161414,shot_161414_resampled.npz,21367609,f98fd49cc364446cf521407e671ec9518cdb7ebdf6c316a63c6fbb889dd889a1,D:\SIR_paper\DIIID_example\data\resampled_data_v6\shot_161414_resampled.npz,NO_RESTRICTED_SOURCE_ARCHIVE,no
