analysis,realization_index,shot,parameter,feature,display_name,canonical,truncated
fixed_threshold,0,155537,0.05,d[betan]/d[t],dot beta_N,-0.4024227133882137,0.0717387585497602
fixed_threshold,0,155537,0.1,d[kappa]/d[betan],D_betaN kappa,-1.6150993824471749,0.11470082216405965
fixed_threshold,0,155537,0.1,d[betan]/d[t],dot beta_N,-0.4024227133882137,0.3556589757314301
fixed_rank,0,155537,6.0,d[betan]/d[t],dot beta_N,-0.4024227133882137,0.0717387585497602
fixed_rank,0,155537,5.0,d[kappa]/d[betan],D_betaN kappa,-1.6150993824471749,0.11470082216405965
fixed_rank,0,155537,5.0,d[betan]/d[t],dot beta_N,-0.4024227133882137,0.3556589757314301
fixed_rank,0,155537,4.0,r[q95]/r[kappa],q95 / kappa,-0.0162003192608668,0.11138913540761114
fixed_rank,0,155537,4.0,d[kappa]/d[betan],D_betaN kappa,-1.6150993824471749,0.23792697035682733
fixed_rank,0,155537,4.0,d[li]/d[betan],D_betaN l_i,0.0087053584259089,-0.3437180570441253
fixed_rank,1,159310,4.0,r[q95]/r[kappa],q95 / kappa,-0.0155426865580661,0.05340319258945938
fixed_rank,1,159310,4.0,d[li]/d[betan],D_betaN l_i,0.0096582233888301,-0.330199585509329
fixed_threshold,2,160715,0.05,d[betan]/d[t],dot beta_N,-0.1744515122300516,0.1179405823442087
fixed_threshold,2,160715,0.1,d[kappa]/d[betan],D_betaN kappa,-1.1208812821514549,0.09028262300852127
fixed_threshold,2,160715,0.1,d[betan]/d[t],dot beta_N,-0.1744515122300516,0.3573592211477699
fixed_rank,2,160715,6.0,d[betan]/d[t],dot beta_N,-0.1744515122300516,0.1179405823442087
fixed_rank,2,160715,5.0,d[kappa]/d[betan],D_betaN kappa,-1.1208812821514549,0.09028262300852127
fixed_rank,2,160715,5.0,d[betan]/d[t],dot beta_N,-0.1744515122300516,0.3573592211477699
fixed_rank,2,160715,4.0,r[q95]/r[kappa],q95 / kappa,-0.0036094075302998,0.1299754277075132
fixed_rank,2,160715,4.0,d[kappa]/d[betan],D_betaN kappa,-1.1208812821514549,0.21656001970713146
fixed_threshold,3,160717,0.05,d[kappa]/d[betan],D_betaN kappa,-1.5329324791786494,0.13726806341903192
fixed_threshold,3,160717,0.05,d[betan]/d[t],dot beta_N,-0.4141848533263781,0.38025967940179206
fixed_threshold,3,160717,0.1,d[kappa]/d[betan],D_betaN kappa,-1.5329324791786494,0.1397954941852071
fixed_threshold,3,160717,0.1,d[betan]/d[t],dot beta_N,-0.4141848533263781,0.2783621972580633
fixed_rank,3,160717,6.0,d[kappa]/d[betan],D_betaN kappa,-1.5329324791786494,0.13726806341903192
fixed_rank,3,160717,6.0,d[betan]/d[t],dot beta_N,-0.4141848533263781,0.38025967940179206
fixed_rank,3,160717,5.0,d[kappa]/d[betan],D_betaN kappa,-1.5329324791786494,0.1397954941852071
fixed_rank,3,160717,5.0,d[betan]/d[t],dot beta_N,-0.4141848533263781,0.2783621972580633
fixed_rank,3,160717,4.0,d[kappa]/d[betan],D_betaN kappa,-1.5329324791786494,0.2285584107955384
fixed_threshold,4,160719,0.05,d[kappa]/d[betan],D_betaN kappa,-1.383799922462083,0.1376958353209538
fixed_threshold,4,160719,0.05,d[betan]/d[t],dot beta_N,-0.3415062077679154,0.32487595571000416
fixed_threshold,4,160719,0.1,d[kappa]/d[betan],D_betaN kappa,-1.383799922462083,0.1376958353209538
fixed_threshold,4,160719,0.1,d[betan]/d[t],dot beta_N,-0.3415062077679154,0.32487595571000416
fixed_rank,4,160719,6.0,d[kappa]/d[betan],D_betaN kappa,-1.383799922462083,0.11263796713740327
fixed_rank,4,160719,6.0,d[betan]/d[t],dot beta_N,-0.3415062077679154,0.22533661869126342
fixed_rank,4,160719,5.0,d[kappa]/d[betan],D_betaN kappa,-1.383799922462083,0.1376958353209538
fixed_rank,4,160719,5.0,d[betan]/d[t],dot beta_N,-0.3415062077679154,0.32487595571000416
fixed_rank,4,160719,4.0,r[q95]/r[kappa],q95 / kappa,-0.0015882282269832,0.13808855368971637
fixed_rank,4,160719,4.0,d[kappa]/d[betan],D_betaN kappa,-1.383799922462083,0.22831514010509116
fixed_threshold,5,160720,0.05,d[kappa]/d[betan],D_betaN kappa,-1.4800673207177035,0.154197822902428
fixed_threshold,5,160720,0.05,d[betan]/d[t],dot beta_N,-0.510763188629293,0.29359872884933647
fixed_threshold,5,160720,0.1,d[kappa]/d[betan],D_betaN kappa,-1.4800673207177035,0.15193941558020996
fixed_threshold,5,160720,0.1,d[betan]/d[t],dot beta_N,-0.510763188629293,0.23454865668540442
fixed_rank,5,160720,6.0,d[kappa]/d[betan],D_betaN kappa,-1.4800673207177035,0.154197822902428
fixed_rank,5,160720,6.0,d[betan]/d[t],dot beta_N,-0.510763188629293,0.29359872884933647
fixed_rank,5,160720,5.0,d[kappa]/d[betan],D_betaN kappa,-1.4800673207177035,0.15193941558020996
fixed_rank,5,160720,5.0,d[betan]/d[t],dot beta_N,-0.510763188629293,0.23454865668540442
fixed_rank,5,160720,4.0,d[kappa]/d[betan],D_betaN kappa,-1.4800673207177035,0.23224552974265034
fixed_threshold,6,160721,0.05,d[kappa]/d[betan],D_betaN kappa,-1.212259033630669,0.03072750485333174
fixed_threshold,6,160721,0.05,d[betan]/d[t],dot beta_N,-0.2047100536067785,0.09834167495740118
fixed_threshold,6,160721,0.1,d[kappa]/d[betan],D_betaN kappa,-1.212259033630669,0.146074591210316
fixed_threshold,6,160721,0.1,d[betan]/d[t],dot beta_N,-0.2047100536067785,0.3058258485309234
fixed_rank,6,160721,6.0,d[kappa]/d[betan],D_betaN kappa,-1.212259033630669,0.03072750485333174
fixed_rank,6,160721,6.0,d[betan]/d[t],dot beta_N,-0.2047100536067785,0.09834167495740118
fixed_rank,6,160721,5.0,d[kappa]/d[betan],D_betaN kappa,-1.212259033630669,0.146074591210316
fixed_rank,6,160721,5.0,d[betan]/d[t],dot beta_N,-0.2047100536067785,0.3058258485309234
fixed_rank,6,160721,4.0,r[q95]/r[kappa],q95 / kappa,-0.0042794617824265,0.11440719629173063
fixed_rank,6,160721,4.0,d[kappa]/d[betan],D_betaN kappa,-1.212259033630669,0.24024560380750842
fixed_threshold,7,161136,0.02,r[q95]/r[kappa],q95 / kappa,0.00015328926438,-0.007933459690508706
fixed_threshold,7,161136,0.02,d[kappa]/d[betan],D_betaN kappa,-1.8530227593250168,0.0806986578554529
fixed_threshold,7,161136,0.02,d[betan]/d[t],dot beta_N,-0.5670818802912524,0.3175884435518428
fixed_threshold,7,161136,0.05,r[q95]/r[kappa],q95 / kappa,0.00015328926438,-0.004955699944149988
fixed_threshold,7,161136,0.05,d[kappa]/d[betan],D_betaN kappa,-1.8530227593250168,0.08718216400653345
fixed_threshold,7,161136,0.05,d[betan]/d[t],dot beta_N,-0.5670818802912524,0.3551382409399544
fixed_threshold,7,161136,0.1,r[q95]/r[kappa],q95 / kappa,0.00015328926438,-0.004955699944149988
fixed_threshold,7,161136,0.1,d[kappa]/d[betan],D_betaN kappa,-1.8530227593250168,0.08718216400653345
fixed_threshold,7,161136,0.1,d[betan]/d[t],dot beta_N,-0.5670818802912524,0.3551382409399544
fixed_rank,7,161136,6.0,r[q95]/r[kappa],q95 / kappa,0.00015328926438,-0.007933459690508706
fixed_rank,7,161136,6.0,d[kappa]/d[betan],D_betaN kappa,-1.8530227593250168,0.0806986578554529
fixed_rank,7,161136,6.0,d[betan]/d[t],dot beta_N,-0.5670818802912524,0.3175884435518428
fixed_rank,7,161136,5.0,r[q95]/r[kappa],q95 / kappa,0.00015328926438,-0.004955699944149988
fixed_rank,7,161136,5.0,d[kappa]/d[betan],D_betaN kappa,-1.8530227593250168,0.08718216400653345
fixed_rank,7,161136,5.0,d[betan]/d[t],dot beta_N,-0.5670818802912524,0.3551382409399544
fixed_rank,7,161136,4.0,d[kappa]/d[betan],D_betaN kappa,-1.8530227593250168,0.18100179226053056
fixed_threshold,8,161138,0.02,d[kappa]/d[betan],D_betaN kappa,-1.7453422273332848,0.08479287934106093
fixed_threshold,8,161138,0.02,d[betan]/d[t],dot beta_N,-0.4439889549018366,0.43335013035000414
fixed_threshold,8,161138,0.05,d[kappa]/d[betan],D_betaN kappa,-1.7453422273332848,0.08033085851073277
fixed_threshold,8,161138,0.05,d[betan]/d[t],dot beta_N,-0.4439889549018366,0.335972315528398
fixed_threshold,8,161138,0.1,d[kappa]/d[betan],D_betaN kappa,-1.7453422273332848,0.08033085851073277
fixed_threshold,8,161138,0.1,d[betan]/d[t],dot beta_N,-0.4439889549018366,0.335972315528398
fixed_rank,8,161138,6.0,d[kappa]/d[betan],D_betaN kappa,-1.7453422273332848,0.08479287934106093
fixed_rank,8,161138,6.0,d[betan]/d[t],dot beta_N,-0.4439889549018366,0.43335013035000414
fixed_rank,8,161138,5.0,d[kappa]/d[betan],D_betaN kappa,-1.7453422273332848,0.08033085851073277
fixed_rank,8,161138,5.0,d[betan]/d[t],dot beta_N,-0.4439889549018366,0.335972315528398
fixed_rank,8,161138,4.0,d[kappa]/d[betan],D_betaN kappa,-1.7453422273332848,0.18035559798036224
fixed_threshold,9,161145,0.02,d[kappa]/d[betan],D_betaN kappa,-2.0654662459354074,0.09416782785996945
fixed_threshold,9,161145,0.02,d[betan]/d[t],dot beta_N,-0.6461773307879173,0.2525895942864694
fixed_threshold,9,161145,0.05,d[kappa]/d[betan],D_betaN kappa,-2.0654662459354074,0.09416782785996945
fixed_threshold,9,161145,0.05,d[betan]/d[t],dot beta_N,-0.6461773307879173,0.2525895942864694
fixed_threshold,9,161145,0.1,d[kappa]/d[betan],D_betaN kappa,-2.0654662459354074,0.10115022157785045
fixed_threshold,9,161145,0.1,d[betan]/d[t],dot beta_N,-0.6461773307879173,0.296073534463016
fixed_rank,9,161145,6.0,d[kappa]/d[betan],D_betaN kappa,-2.0654662459354074,0.09416782785996945
fixed_rank,9,161145,6.0,d[betan]/d[t],dot beta_N,-0.6461773307879173,0.2525895942864694
fixed_rank,9,161145,5.0,d[kappa]/d[betan],D_betaN kappa,-2.0654662459354074,0.10115022157785045
fixed_rank,9,161145,5.0,d[betan]/d[t],dot beta_N,-0.6461773307879173,0.296073534463016
fixed_rank,9,161145,4.0,d[kappa]/d[betan],D_betaN kappa,-2.0654662459354074,0.16914451953215706
fixed_threshold,10,161414,0.05,d[li]/d[betan],D_betaN l_i,-0.0009556580383259,0.00043858471267571586
fixed_threshold,10,161414,0.1,d[li]/d[betan],D_betaN l_i,-0.0009556580383259,0.00043858471267571586
fixed_rank,10,161414,6.0,d[li]/d[betan],D_betaN l_i,-0.0009556580383259,0.0017910274822010095
fixed_rank,10,161414,5.0,d[li]/d[betan],D_betaN l_i,-0.0009556580383259,0.00043858471267571586
fixed_rank,10,161414,4.0,r[q95]/r[kappa],q95 / kappa,-0.0076589008054548,0.01580406799403633
fixed_rank,11,165017,4.0,r[q95]/r[kappa],q95 / kappa,-0.0213625304399808,0.00032363972455745627
fixed_rank,12,165022,4.0,d[li]/d[betan],D_betaN l_i,0.034072135965997,-0.26843463439067183
fixed_threshold,14,165027,0.05,d[kappa]/d[betan],D_betaN kappa,-0.5273113732191814,0.004282082318860739
fixed_threshold,14,165027,0.1,d[kappa]/d[betan],D_betaN kappa,-0.5273113732191814,0.004282082318860739
fixed_rank,14,165027,5.0,d[kappa]/d[betan],D_betaN kappa,-0.5273113732191814,0.004282082318860739
fixed_rank,15,165028,4.0,r[q95]/r[kappa],q95 / kappa,-0.0105306196536286,0.023430935768766592
fixed_rank,15,165028,4.0,d[li]/d[betan],D_betaN l_i,0.0039401929652802,-0.27525812512840986
fixed_rank,17,165031,4.0,r[q95]/r[kappa],q95 / kappa,-0.021263444812071,0.016054594777408115
fixed_rank,18,165042,4.0,r[q95]/r[kappa],q95 / kappa,-0.0113717601518547,0.016084619359256702
fixed_rank,18,165042,4.0,d[li]/d[betan],D_betaN l_i,0.0045664418199394,-0.30322585296463966
fixed_threshold,19,165043,0.1,d[li]/d[betan],D_betaN l_i,0.0024390723634737,-0.014212873534433512
fixed_rank,19,165043,5.0,d[li]/d[betan],D_betaN l_i,0.0024390723634737,-0.014212873534433512
fixed_rank,19,165043,4.0,r[q95]/r[kappa],q95 / kappa,-0.0085270871169095,0.0023190303195648188
fixed_rank,19,165043,4.0,d[li]/d[betan],D_betaN l_i,0.0024390723634737,-0.30136377375683854
fixed_threshold,21,165861,0.05,d[li]/d[betan],D_betaN l_i,-0.0022223260463685,0.0007949062514351901
fixed_threshold,21,165861,0.1,d[li]/d[betan],D_betaN l_i,-0.0022223260463685,0.0007949062514351901
fixed_rank,21,165861,5.0,d[li]/d[betan],D_betaN l_i,-0.0022223260463685,0.0007949062514351901
fixed_threshold,22,165955,0.1,d[li]/d[betan],D_betaN l_i,-0.0030900844950969,0.0033766546525866026
fixed_rank,22,165955,5.0,d[li]/d[betan],D_betaN l_i,-0.0030900844950969,0.0033766546525866026
fixed_rank,22,165955,4.0,r[q95]/r[kappa],q95 / kappa,-0.0047612997125824,0.007055581486117346
fixed_threshold,23,165965,0.1,d[li]/d[betan],D_betaN l_i,-0.0022910149363742,0.0024921185675156887
fixed_rank,23,165965,5.0,d[li]/d[betan],D_betaN l_i,-0.0022910149363742,0.0024921185675156887
fixed_rank,23,165965,4.0,r[q95]/r[kappa],q95 / kappa,-0.0101566641528137,0.03500324380913522
fixed_threshold,24,170394,0.05,r[q95]/r[kappa],q95 / kappa,0.0120651880414976,-0.005323998414220635
fixed_threshold,24,170394,0.05,d[kappa]/d[betan],D_betaN kappa,-1.434228742790835,0.07410784697966577
fixed_threshold,24,170394,0.05,d[betan]/d[t],dot beta_N,-0.3864485373082789,0.13472003626886514
fixed_threshold,24,170394,0.1,d[kappa]/d[betan],D_betaN kappa,-1.434228742790835,0.15320998406759434
fixed_threshold,24,170394,0.1,d[betan]/d[t],dot beta_N,-0.3864485373082789,0.2608976253657946
fixed_rank,24,170394,6.0,r[q95]/r[kappa],q95 / kappa,0.0120651880414976,-0.005323998414220635
fixed_rank,24,170394,6.0,d[kappa]/d[betan],D_betaN kappa,-1.434228742790835,0.07410784697966577
fixed_rank,24,170394,6.0,d[betan]/d[t],dot beta_N,-0.3864485373082789,0.13472003626886514
fixed_rank,24,170394,5.0,d[kappa]/d[betan],D_betaN kappa,-1.434228742790835,0.15320998406759434
fixed_rank,24,170394,5.0,d[betan]/d[t],dot beta_N,-0.3864485373082789,0.2608976253657946
fixed_rank,24,170394,4.0,d[kappa]/d[betan],D_betaN kappa,-1.434228742790835,0.26731427870208635
