realization_index,shot,tolerance,retained_rank,n_directions_removed,smallest_retained_normalized_sigma,largest_removed_normalized_sigma,normalized_sigma_7
0,155537,1e-12,7,0,0.020566151670785723,,0.020566151670785723
0,155537,1e-10,7,0,0.020566151670785723,,0.020566151670785723
0,155537,1e-08,7,0,0.020566151670785723,,0.020566151670785723
0,155537,1e-06,7,0,0.020566151670785723,,0.020566151670785723
1,159310,1e-12,7,0,0.026341147975928642,,0.026341147975928642
1,159310,1e-10,7,0,0.026341147975928642,,0.026341147975928642
1,159310,1e-08,7,0,0.026341147975928642,,0.026341147975928642
1,159310,1e-06,7,0,0.026341147975928642,,0.026341147975928642
2,160715,1e-12,7,0,0.02624120659139824,,0.02624120659139824
2,160715,1e-10,7,0,0.02624120659139824,,0.02624120659139824
2,160715,1e-08,7,0,0.02624120659139824,,0.02624120659139824
2,160715,1e-06,7,0,0.02624120659139824,,0.02624120659139824
3,160717,1e-12,7,0,0.029104688863503547,,0.029104688863503547
3,160717,1e-10,7,0,0.029104688863503547,,0.029104688863503547
3,160717,1e-08,7,0,0.029104688863503547,,0.029104688863503547
3,160717,1e-06,7,0,0.029104688863503547,,0.029104688863503547
4,160719,1e-12,7,0,0.028160223196454837,,0.028160223196454837
4,160719,1e-10,7,0,0.028160223196454837,,0.028160223196454837
4,160719,1e-08,7,0,0.028160223196454837,,0.028160223196454837
4,160719,1e-06,7,0,0.028160223196454837,,0.028160223196454837
5,160720,1e-12,7,0,0.027514804064433993,,0.027514804064433993
5,160720,1e-10,7,0,0.027514804064433993,,0.027514804064433993
5,160720,1e-08,7,0,0.027514804064433993,,0.027514804064433993
5,160720,1e-06,7,0,0.027514804064433993,,0.027514804064433993
6,160721,1e-12,7,0,0.025023975297866208,,0.025023975297866208
6,160721,1e-10,7,0,0.025023975297866208,,0.025023975297866208
6,160721,1e-08,7,0,0.025023975297866208,,0.025023975297866208
6,160721,1e-06,7,0,0.025023975297866208,,0.025023975297866208
7,161136,1e-12,7,0,0.01767367028698575,,0.01767367028698575
7,161136,1e-10,7,0,0.01767367028698575,,0.01767367028698575
7,161136,1e-08,7,0,0.01767367028698575,,0.01767367028698575
7,161136,1e-06,7,0,0.01767367028698575,,0.01767367028698575
8,161138,1e-12,7,0,0.017975176708759772,,0.017975176708759772
8,161138,1e-10,7,0,0.017975176708759772,,0.017975176708759772
8,161138,1e-08,7,0,0.017975176708759772,,0.017975176708759772
8,161138,1e-06,7,0,0.017975176708759772,,0.017975176708759772
9,161145,1e-12,7,0,0.01638461879239828,,0.01638461879239828
9,161145,1e-10,7,0,0.01638461879239828,,0.01638461879239828
9,161145,1e-08,7,0,0.01638461879239828,,0.01638461879239828
9,161145,1e-06,7,0,0.01638461879239828,,0.01638461879239828
10,161414,1e-12,7,0,0.02168023305525542,,0.02168023305525542
10,161414,1e-10,7,0,0.02168023305525542,,0.02168023305525542
10,161414,1e-08,7,0,0.02168023305525542,,0.02168023305525542
10,161414,1e-06,7,0,0.02168023305525542,,0.02168023305525542
11,165017,1e-12,7,0,0.031733189724911605,,0.031733189724911605
11,165017,1e-10,7,0,0.031733189724911605,,0.031733189724911605
11,165017,1e-08,7,0,0.031733189724911605,,0.031733189724911605
11,165017,1e-06,7,0,0.031733189724911605,,0.031733189724911605
12,165022,1e-12,7,0,0.04633483646148314,,0.04633483646148314
12,165022,1e-10,7,0,0.04633483646148314,,0.04633483646148314
12,165022,1e-08,7,0,0.04633483646148314,,0.04633483646148314
12,165022,1e-06,7,0,0.04633483646148314,,0.04633483646148314
13,165026,1e-12,7,0,0.04065556255758102,,0.04065556255758102
13,165026,1e-10,7,0,0.04065556255758102,,0.04065556255758102
13,165026,1e-08,7,0,0.04065556255758102,,0.04065556255758102
13,165026,1e-06,7,0,0.04065556255758102,,0.04065556255758102
14,165027,1e-12,7,0,0.03524303260145212,,0.03524303260145212
14,165027,1e-10,7,0,0.03524303260145212,,0.03524303260145212
14,165027,1e-08,7,0,0.03524303260145212,,0.03524303260145212
14,165027,1e-06,7,0,0.03524303260145212,,0.03524303260145212
15,165028,1e-12,7,0,0.026293601019187658,,0.026293601019187658
15,165028,1e-10,7,0,0.026293601019187658,,0.026293601019187658
15,165028,1e-08,7,0,0.026293601019187658,,0.026293601019187658
15,165028,1e-06,7,0,0.026293601019187658,,0.026293601019187658
16,165029,1e-12,7,0,0.028602539071520734,,0.028602539071520734
16,165029,1e-10,7,0,0.028602539071520734,,0.028602539071520734
16,165029,1e-08,7,0,0.028602539071520734,,0.028602539071520734
16,165029,1e-06,7,0,0.028602539071520734,,0.028602539071520734
17,165031,1e-12,7,0,0.0359427983687933,,0.0359427983687933
17,165031,1e-10,7,0,0.0359427983687933,,0.0359427983687933
17,165031,1e-08,7,0,0.0359427983687933,,0.0359427983687933
17,165031,1e-06,7,0,0.0359427983687933,,0.0359427983687933
18,165042,1e-12,7,0,0.029111521973805652,,0.029111521973805652
18,165042,1e-10,7,0,0.029111521973805652,,0.029111521973805652
18,165042,1e-08,7,0,0.029111521973805652,,0.029111521973805652
18,165042,1e-06,7,0,0.029111521973805652,,0.029111521973805652
19,165043,1e-12,7,0,0.03463164728471485,,0.03463164728471485
19,165043,1e-10,7,0,0.03463164728471485,,0.03463164728471485
19,165043,1e-08,7,0,0.03463164728471485,,0.03463164728471485
19,165043,1e-06,7,0,0.03463164728471485,,0.03463164728471485
20,165860,1e-12,7,0,0.02805856629229465,,0.02805856629229465
20,165860,1e-10,7,0,0.02805856629229465,,0.02805856629229465
20,165860,1e-08,7,0,0.02805856629229465,,0.02805856629229465
20,165860,1e-06,7,0,0.02805856629229465,,0.02805856629229465
21,165861,1e-12,7,0,0.018404186776205218,,0.018404186776205218
21,165861,1e-10,7,0,0.018404186776205218,,0.018404186776205218
21,165861,1e-08,7,0,0.018404186776205218,,0.018404186776205218
21,165861,1e-06,7,0,0.018404186776205218,,0.018404186776205218
22,165955,1e-12,7,0,0.030491353418842824,,0.030491353418842824
22,165955,1e-10,7,0,0.030491353418842824,,0.030491353418842824
22,165955,1e-08,7,0,0.030491353418842824,,0.030491353418842824
22,165955,1e-06,7,0,0.030491353418842824,,0.030491353418842824
23,165965,1e-12,7,0,0.02512760969589027,,0.02512760969589027
23,165965,1e-10,7,0,0.02512760969589027,,0.02512760969589027
23,165965,1e-08,7,0,0.02512760969589027,,0.02512760969589027
23,165965,1e-06,7,0,0.02512760969589027,,0.02512760969589027
24,170394,1e-12,7,0,0.027366082326904115,,0.027366082326904115
24,170394,1e-10,7,0,0.027366082326904115,,0.027366082326904115
24,170394,1e-08,7,0,0.027366082326904115,,0.027366082326904115
24,170394,1e-06,7,0,0.027366082326904115,,0.027366082326904115
25,170396,1e-12,7,0,0.024995162307270717,,0.024995162307270717
25,170396,1e-10,7,0,0.024995162307270717,,0.024995162307270717
25,170396,1e-08,7,0,0.024995162307270717,,0.024995162307270717
25,170396,1e-06,7,0,0.024995162307270717,,0.024995162307270717
26,170411,1e-12,7,0,0.026839112474987818,,0.026839112474987818
26,170411,1e-10,7,0,0.026839112474987818,,0.026839112474987818
26,170411,1e-08,7,0,0.026839112474987818,,0.026839112474987818
26,170411,1e-06,7,0,0.026839112474987818,,0.026839112474987818
27,186997,1e-12,7,0,0.02242282798219361,,0.02242282798219361
27,186997,1e-10,7,0,0.02242282798219361,,0.02242282798219361
27,186997,1e-08,7,0,0.02242282798219361,,0.02242282798219361
27,186997,1e-06,7,0,0.02242282798219361,,0.02242282798219361
28,187017,1e-12,7,0,0.016975715895077487,,0.016975715895077487
28,187017,1e-10,7,0,0.016975715895077487,,0.016975715895077487
28,187017,1e-08,7,0,0.016975715895077487,,0.016975715895077487
28,187017,1e-06,7,0,0.016975715895077487,,0.016975715895077487
29,187018,1e-12,7,0,0.017342190594779337,,0.017342190594779337
29,187018,1e-10,7,0,0.017342190594779337,,0.017342190594779337
29,187018,1e-08,7,0,0.017342190594779337,,0.017342190594779337
29,187018,1e-06,7,0,0.017342190594779337,,0.017342190594779337
30,187019,1e-12,7,0,0.01775871049039747,,0.01775871049039747
30,187019,1e-10,7,0,0.01775871049039747,,0.01775871049039747
30,187019,1e-08,7,0,0.01775871049039747,,0.01775871049039747
30,187019,1e-06,7,0,0.01775871049039747,,0.01775871049039747
31,187020,1e-12,7,0,0.018259490590155997,,0.018259490590155997
31,187020,1e-10,7,0,0.018259490590155997,,0.018259490590155997
31,187020,1e-08,7,0,0.018259490590155997,,0.018259490590155997
31,187020,1e-06,7,0,0.018259490590155997,,0.018259490590155997
32,187021,1e-12,7,0,0.01814213356119499,,0.01814213356119499
32,187021,1e-10,7,0,0.01814213356119499,,0.01814213356119499
32,187021,1e-08,7,0,0.01814213356119499,,0.01814213356119499
32,187021,1e-06,7,0,0.01814213356119499,,0.01814213356119499
33,187022,1e-12,7,0,0.020998506237799246,,0.020998506237799246
33,187022,1e-10,7,0,0.020998506237799246,,0.020998506237799246
33,187022,1e-08,7,0,0.020998506237799246,,0.020998506237799246
33,187022,1e-06,7,0,0.020998506237799246,,0.020998506237799246
34,187024,1e-12,7,0,0.02038585305227398,,0.02038585305227398
34,187024,1e-10,7,0,0.02038585305227398,,0.02038585305227398
34,187024,1e-08,7,0,0.02038585305227398,,0.02038585305227398
34,187024,1e-06,7,0,0.02038585305227398,,0.02038585305227398
35,189646,1e-12,7,0,0.028293624921360852,,0.028293624921360852
35,189646,1e-10,7,0,0.028293624921360852,,0.028293624921360852
35,189646,1e-08,7,0,0.028293624921360852,,0.028293624921360852
35,189646,1e-06,7,0,0.028293624921360852,,0.028293624921360852
36,189647,1e-12,7,0,0.02416907439351536,,0.02416907439351536
36,189647,1e-10,7,0,0.02416907439351536,,0.02416907439351536
36,189647,1e-08,7,0,0.02416907439351536,,0.02416907439351536
36,189647,1e-06,7,0,0.02416907439351536,,0.02416907439351536
37,189649,1e-12,7,0,0.026758444784773294,,0.026758444784773294
37,189649,1e-10,7,0,0.026758444784773294,,0.026758444784773294
37,189649,1e-08,7,0,0.026758444784773294,,0.026758444784773294
37,189649,1e-06,7,0,0.026758444784773294,,0.026758444784773294
38,189650,1e-12,7,0,0.025401585054616333,,0.025401585054616333
38,189650,1e-10,7,0,0.025401585054616333,,0.025401585054616333
38,189650,1e-08,7,0,0.025401585054616333,,0.025401585054616333
38,189650,1e-06,7,0,0.025401585054616333,,0.025401585054616333
39,189651,1e-12,7,0,0.03932692410010339,,0.03932692410010339
39,189651,1e-10,7,0,0.03932692410010339,,0.03932692410010339
39,189651,1e-08,7,0,0.03932692410010339,,0.03932692410010339
39,189651,1e-06,7,0,0.03932692410010339,,0.03932692410010339
40,189652,1e-12,7,0,0.02567594317318663,,0.02567594317318663
40,189652,1e-10,7,0,0.02567594317318663,,0.02567594317318663
40,189652,1e-08,7,0,0.02567594317318663,,0.02567594317318663
40,189652,1e-06,7,0,0.02567594317318663,,0.02567594317318663
41,195261,1e-12,7,0,0.014021965371626702,,0.014021965371626702
41,195261,1e-10,7,0,0.014021965371626702,,0.014021965371626702
41,195261,1e-08,7,0,0.014021965371626702,,0.014021965371626702
41,195261,1e-06,7,0,0.014021965371626702,,0.014021965371626702
42,195264,1e-12,7,0,0.02166571830173224,,0.02166571830173224
42,195264,1e-10,7,0,0.02166571830173224,,0.02166571830173224
42,195264,1e-08,7,0,0.02166571830173224,,0.02166571830173224
42,195264,1e-06,7,0,0.02166571830173224,,0.02166571830173224
43,195265,1e-12,7,0,0.017336333401311337,,0.017336333401311337
43,195265,1e-10,7,0,0.017336333401311337,,0.017336333401311337
43,195265,1e-08,7,0,0.017336333401311337,,0.017336333401311337
43,195265,1e-06,7,0,0.017336333401311337,,0.017336333401311337
44,195266,1e-12,7,0,0.02140515864658535,,0.02140515864658535
44,195266,1e-10,7,0,0.02140515864658535,,0.02140515864658535
44,195266,1e-08,7,0,0.02140515864658535,,0.02140515864658535
44,195266,1e-06,7,0,0.02140515864658535,,0.02140515864658535
45,195267,1e-12,7,0,0.02137232721128877,,0.02137232721128877
45,195267,1e-10,7,0,0.02137232721128877,,0.02137232721128877
45,195267,1e-08,7,0,0.02137232721128877,,0.02137232721128877
45,195267,1e-06,7,0,0.02137232721128877,,0.02137232721128877
46,195268,1e-12,7,0,0.022451944494773904,,0.022451944494773904
46,195268,1e-10,7,0,0.022451944494773904,,0.022451944494773904
46,195268,1e-08,7,0,0.022451944494773904,,0.022451944494773904
46,195268,1e-06,7,0,0.022451944494773904,,0.022451944494773904
47,195269,1e-12,7,0,0.032855077792050255,,0.032855077792050255
47,195269,1e-10,7,0,0.032855077792050255,,0.032855077792050255
47,195269,1e-08,7,0,0.032855077792050255,,0.032855077792050255
47,195269,1e-06,7,0,0.032855077792050255,,0.032855077792050255
48,195273,1e-12,7,0,0.03561314616481943,,0.03561314616481943
48,195273,1e-10,7,0,0.03561314616481943,,0.03561314616481943
48,195273,1e-08,7,0,0.03561314616481943,,0.03561314616481943
48,195273,1e-06,7,0,0.03561314616481943,,0.03561314616481943
49,195274,1e-12,7,0,0.019222561659338635,,0.019222561659338635
49,195274,1e-10,7,0,0.019222561659338635,,0.019222561659338635
49,195274,1e-08,7,0,0.019222561659338635,,0.019222561659338635
49,195274,1e-06,7,0,0.019222561659338635,,0.019222561659338635
50,195626,1e-12,7,0,0.021261904810614032,,0.021261904810614032
50,195626,1e-10,7,0,0.021261904810614032,,0.021261904810614032
50,195626,1e-08,7,0,0.021261904810614032,,0.021261904810614032
50,195626,1e-06,7,0,0.021261904810614032,,0.021261904810614032
51,195638,1e-12,7,0,0.02493322683503297,,0.02493322683503297
51,195638,1e-10,7,0,0.02493322683503297,,0.02493322683503297
51,195638,1e-08,7,0,0.02493322683503297,,0.02493322683503297
51,195638,1e-06,7,0,0.02493322683503297,,0.02493322683503297
52,195642,1e-12,7,0,0.02354526859292667,,0.02354526859292667
52,195642,1e-10,7,0,0.02354526859292667,,0.02354526859292667
52,195642,1e-08,7,0,0.02354526859292667,,0.02354526859292667
52,195642,1e-06,7,0,0.02354526859292667,,0.02354526859292667
53,195645,1e-12,7,0,0.020390792042418053,,0.020390792042418053
53,195645,1e-10,7,0,0.020390792042418053,,0.020390792042418053
53,195645,1e-08,7,0,0.020390792042418053,,0.020390792042418053
53,195645,1e-06,7,0,0.020390792042418053,,0.020390792042418053
54,195647,1e-12,7,0,0.022145146500768476,,0.022145146500768476
54,195647,1e-10,7,0,0.022145146500768476,,0.022145146500768476
54,195647,1e-08,7,0,0.022145146500768476,,0.022145146500768476
54,195647,1e-06,7,0,0.022145146500768476,,0.022145146500768476
55,195648,1e-12,7,0,0.020976400029754483,,0.020976400029754483
55,195648,1e-10,7,0,0.020976400029754483,,0.020976400029754483
55,195648,1e-08,7,0,0.020976400029754483,,0.020976400029754483
55,195648,1e-06,7,0,0.020976400029754483,,0.020976400029754483
56,195649,1e-12,7,0,0.015396594234161363,,0.015396594234161363
56,195649,1e-10,7,0,0.015396594234161363,,0.015396594234161363
56,195649,1e-08,7,0,0.015396594234161363,,0.015396594234161363
56,195649,1e-06,7,0,0.015396594234161363,,0.015396594234161363
57,195650,1e-12,7,0,0.019155157046607574,,0.019155157046607574
57,195650,1e-10,7,0,0.019155157046607574,,0.019155157046607574
57,195650,1e-08,7,0,0.019155157046607574,,0.019155157046607574
57,195650,1e-06,7,0,0.019155157046607574,,0.019155157046607574
58,195651,1e-12,7,0,0.024233433087963108,,0.024233433087963108
58,195651,1e-10,7,0,0.024233433087963108,,0.024233433087963108
58,195651,1e-08,7,0,0.024233433087963108,,0.024233433087963108
58,195651,1e-06,7,0,0.024233433087963108,,0.024233433087963108
59,195652,1e-12,7,0,0.02758588057191374,,0.02758588057191374
59,195652,1e-10,7,0,0.02758588057191374,,0.02758588057191374
59,195652,1e-08,7,0,0.02758588057191374,,0.02758588057191374
59,195652,1e-06,7,0,0.02758588057191374,,0.02758588057191374
60,195655,1e-12,7,0,0.024039928750800257,,0.024039928750800257
60,195655,1e-10,7,0,0.024039928750800257,,0.024039928750800257
60,195655,1e-08,7,0,0.024039928750800257,,0.024039928750800257
60,195655,1e-06,7,0,0.024039928750800257,,0.024039928750800257
61,195659,1e-12,7,0,0.020297050894374422,,0.020297050894374422
61,195659,1e-10,7,0,0.020297050894374422,,0.020297050894374422
61,195659,1e-08,7,0,0.020297050894374422,,0.020297050894374422
61,195659,1e-06,7,0,0.020297050894374422,,0.020297050894374422
