shot,realization_index,dt_seconds,feature_or_residual,integrated_autocorrelation_samples,correlation_time_seconds,primary_block_samples,primary_block_seconds,short_block_samples,long_block_samples,selection_status
155537,0,0.004764446942059294,MAX_OVER_FEATURES_AND_RESIDUAL,57.575741903083916,0.2743165674469433,58,0.276337922639439,29,116,DATA_DRIVEN_IAC_MAX
159310,1,0.004964647142259309,MAX_OVER_FEATURES_AND_RESIDUAL,34.8807270030898,0.1731705016358169,35,0.17376264997907584,18,70,DATA_DRIVEN_IAC_MAX
160715,2,0.00478446696207925,MAX_OVER_FEATURES_AND_RESIDUAL,63.436413547131515,0.3035094248090473,63,0.30142141861099275,32,126,DATA_DRIVEN_IAC_MAX
160717,3,0.004744426922039224,MAX_OVER_FEATURES_AND_RESIDUAL,59.664296313958495,0.2830728937164703,60,0.28466561532235346,30,120,DATA_DRIVEN_IAC_MAX
160719,4,0.004804486982099206,MAX_OVER_FEATURES_AND_RESIDUAL,60.85755574066532,0.2923893343184033,61,0.29307370590805154,30,122,DATA_DRIVEN_IAC_MAX
160720,5,0.00478446696207925,MAX_OVER_FEATURES_AND_RESIDUAL,58.21955932826628,0.27854955815290283,58,0.2774990838005965,29,116,DATA_DRIVEN_IAC_MAX
160721,6,0.004764446942059294,MAX_OVER_FEATURES_AND_RESIDUAL,61.62863302180618,0.29362635214403887,62,0.2953957104076762,31,124,DATA_DRIVEN_IAC_MAX
161136,7,0.0048645470421593015,MAX_OVER_FEATURES_AND_RESIDUAL,110.65513198612874,0.5382870950028696,111,0.5399647216796825,56,222,DATA_DRIVEN_IAC_MAX
161138,8,0.0048645470421593015,MAX_OVER_FEATURES_AND_RESIDUAL,115.57120567120849,0.5622015667066615,116,0.564287456890479,58,232,DATA_DRIVEN_IAC_MAX
161145,9,0.0048645470421593015,MAX_OVER_FEATURES_AND_RESIDUAL,102.39286697189515,0.4980949181663434,102,0.4961837983002488,51,204,DATA_DRIVEN_IAC_MAX
161414,10,0.005725407903020198,MAX_OVER_FEATURES_AND_RESIDUAL,34.75973865974191,0.19901368242940304,35,0.20038927660570693,18,70,DATA_DRIVEN_IAC_MAX
165017,11,0.00478446696207925,MAX_OVER_FEATURES_AND_RESIDUAL,66.36809421476087,0.3175359541066864,66,0.31577481949723046,33,132,DATA_DRIVEN_IAC_MAX
165022,12,0.004764446942059294,MAX_OVER_FEATURES_AND_RESIDUAL,34.75145861740301,0.16557148074178588,35,0.1667556429720753,18,70,DATA_DRIVEN_IAC_MAX
165026,13,0.00478446696207925,MAX_OVER_FEATURES_AND_RESIDUAL,35.175865786430755,0.16829776771771177,35,0.16745634367277373,18,70,DATA_DRIVEN_IAC_MAX
165027,14,0.004564246741859052,MAX_OVER_FEATURES_AND_RESIDUAL,25.7562754468991,0.11755799629093351,26,0.11867041528833534,13,52,DATA_DRIVEN_IAC_MAX
165028,15,0.00478446696207925,MAX_OVER_FEATURES_AND_RESIDUAL,74.59756123321992,0.35690956717202454,75,0.35883502215594376,38,150,DATA_DRIVEN_IAC_MAX
165029,16,0.00478446696207925,MAX_OVER_FEATURES_AND_RESIDUAL,33.046033826275,0.1581076570695661,33,0.15788740974861523,16,66,DATA_DRIVEN_IAC_MAX
