realization_index,shot,tolerance,retained_rank,relative_coefficient_change,max_abs_termwise_change,rmse_truncated,abs_rmse_change,relative_prediction_change,prediction_correlation,classification
0,155537,1e-12,7,2.8099846074653023e-15,5.329070518200751e-15,0.05815626535159005,0.0,4.122078130177946e-15,0.9999999999999999,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
0,155537,1e-10,7,2.8099846074653023e-15,5.329070518200751e-15,0.05815626535159005,0.0,4.122078130177946e-15,0.9999999999999999,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
0,155537,1e-08,7,2.8099846074653023e-15,5.329070518200751e-15,0.05815626535159005,0.0,4.122078130177946e-15,0.9999999999999999,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
0,155537,1e-06,7,2.8099846074653023e-15,5.329070518200751e-15,0.05815626535159005,0.0,4.122078130177946e-15,0.9999999999999999,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
1,159310,1e-12,7,3.350434053778823e-15,1.887379141862766e-15,0.043804993830068535,0.0,1.129260138160498e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
1,159310,1e-10,7,3.350434053778823e-15,1.887379141862766e-15,0.043804993830068535,0.0,1.129260138160498e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
1,159310,1e-08,7,3.350434053778823e-15,1.887379141862766e-15,0.043804993830068535,0.0,1.129260138160498e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
1,159310,1e-06,7,3.350434053778823e-15,1.887379141862766e-15,0.043804993830068535,0.0,1.129260138160498e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
2,160715,1e-12,7,3.8932900226838884e-15,5.10702591327572e-15,0.07605122311542492,2.7755575615628914e-17,1.7088770833063718e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
2,160715,1e-10,7,3.8932900226838884e-15,5.10702591327572e-15,0.07605122311542492,2.7755575615628914e-17,1.7088770833063718e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
2,160715,1e-08,7,3.8932900226838884e-15,5.10702591327572e-15,0.07605122311542492,2.7755575615628914e-17,1.7088770833063718e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
2,160715,1e-06,7,3.8932900226838884e-15,5.10702591327572e-15,0.07605122311542492,2.7755575615628914e-17,1.7088770833063718e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
3,160717,1e-12,7,1.0361213227825163e-15,1.5543122344752192e-15,0.0723378036056314,2.7755575615628914e-17,1.5173968150619139e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
3,160717,1e-10,7,1.0361213227825163e-15,1.5543122344752192e-15,0.0723378036056314,2.7755575615628914e-17,1.5173968150619139e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
3,160717,1e-08,7,1.0361213227825163e-15,1.5543122344752192e-15,0.0723378036056314,2.7755575615628914e-17,1.5173968150619139e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
3,160717,1e-06,7,1.0361213227825163e-15,1.5543122344752192e-15,0.0723378036056314,2.7755575615628914e-17,1.5173968150619139e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
4,160719,1e-12,7,3.125285371872355e-15,5.551115123125783e-15,0.06361405675449139,2.7755575615628914e-17,1.537068053884759e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
4,160719,1e-10,7,3.125285371872355e-15,5.551115123125783e-15,0.06361405675449139,2.7755575615628914e-17,1.537068053884759e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
4,160719,1e-08,7,3.125285371872355e-15,5.551115123125783e-15,0.06361405675449139,2.7755575615628914e-17,1.537068053884759e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
4,160719,1e-06,7,3.125285371872355e-15,5.551115123125783e-15,0.06361405675449139,2.7755575615628914e-17,1.537068053884759e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
5,160720,1e-12,7,1.3057180234261476e-15,1.3785696523640752e-15,0.111305709890249,0.0,2.0964922504718314e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
5,160720,1e-10,7,1.3057180234261476e-15,1.3785696523640752e-15,0.111305709890249,0.0,2.0964922504718314e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
5,160720,1e-08,7,1.3057180234261476e-15,1.3785696523640752e-15,0.111305709890249,0.0,2.0964922504718314e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
5,160720,1e-06,7,1.3057180234261476e-15,1.3785696523640752e-15,0.111305709890249,0.0,2.0964922504718314e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
6,160721,1e-12,7,1.034390527763564e-15,1.3322676295501878e-15,0.05693322154292767,1.3877787807814457e-17,2.342862945155123e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
6,160721,1e-10,7,1.034390527763564e-15,1.3322676295501878e-15,0.05693322154292767,1.3877787807814457e-17,2.342862945155123e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
6,160721,1e-08,7,1.034390527763564e-15,1.3322676295501878e-15,0.05693322154292767,1.3877787807814457e-17,2.342862945155123e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
6,160721,1e-06,7,1.034390527763564e-15,1.3322676295501878e-15,0.05693322154292767,1.3877787807814457e-17,2.342862945155123e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
7,161136,1e-12,7,2.0186528462533636e-15,3.3306690738754696e-15,0.0635302046033072,1.3877787807814457e-17,2.81882054256262e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
7,161136,1e-10,7,2.0186528462533636e-15,3.3306690738754696e-15,0.0635302046033072,1.3877787807814457e-17,2.81882054256262e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
7,161136,1e-08,7,2.0186528462533636e-15,3.3306690738754696e-15,0.0635302046033072,1.3877787807814457e-17,2.81882054256262e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
7,161136,1e-06,7,2.0186528462533636e-15,3.3306690738754696e-15,0.0635302046033072,1.3877787807814457e-17,2.81882054256262e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
8,161138,1e-12,7,1.8259877215552167e-15,2.886579864025407e-15,0.04474086013253889,2.0816681711721685e-17,1.977733900031608e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
8,161138,1e-10,7,1.8259877215552167e-15,2.886579864025407e-15,0.04474086013253889,2.0816681711721685e-17,1.977733900031608e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
8,161138,1e-08,7,1.8259877215552167e-15,2.886579864025407e-15,0.04474086013253889,2.0816681711721685e-17,1.977733900031608e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
8,161138,1e-06,7,1.8259877215552167e-15,2.886579864025407e-15,0.04474086013253889,2.0816681711721685e-17,1.977733900031608e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
9,161145,1e-12,7,2.0485416589652587e-15,3.3861802251067274e-15,0.04866207363689367,2.0816681711721685e-17,1.4403842596559294e-15,0.9999999999999999,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
9,161145,1e-10,7,2.0485416589652587e-15,3.3861802251067274e-15,0.04866207363689367,2.0816681711721685e-17,1.4403842596559294e-15,0.9999999999999999,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
9,161145,1e-08,7,2.0485416589652587e-15,3.3861802251067274e-15,0.04866207363689367,2.0816681711721685e-17,1.4403842596559294e-15,0.9999999999999999,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
9,161145,1e-06,7,2.0485416589652587e-15,3.3861802251067274e-15,0.04866207363689367,2.0816681711721685e-17,1.4403842596559294e-15,0.9999999999999999,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
10,161414,1e-12,7,2.5431753202105317e-15,1.5543122344752192e-15,0.02654490415499677,1.0408340855860843e-17,2.449520073541776e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
10,161414,1e-10,7,2.5431753202105317e-15,1.5543122344752192e-15,0.02654490415499677,1.0408340855860843e-17,2.449520073541776e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
10,161414,1e-08,7,2.5431753202105317e-15,1.5543122344752192e-15,0.02654490415499677,1.0408340855860843e-17,2.449520073541776e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
10,161414,1e-06,7,2.5431753202105317e-15,1.5543122344752192e-15,0.02654490415499677,1.0408340855860843e-17,2.449520073541776e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
