x,y,spearman_r,spearman_p,pearson_r,pearson_p,level,feature,bh_reject,bh_adjusted_p
log10_condition_number,normalized_sigma_7,-1.0,0.0,-0.9864875181164243,7.610256921563788e-49,discharge_aggregate,,True,0.0
log10_condition_number,rmse,-0.2514416660371182,0.04868285486709518,-0.2763675792644542,0.029676865460179825,discharge_aggregate,,False,0.13184939859838277
log10_condition_number,coef_vector_norm,0.3927123467049432,0.0015930671019194363,0.3643966520291666,0.0035946589265510296,discharge_aggregate,,True,0.014038934835530432
log10_condition_number,mean_bootstrap_sd,0.3150512452469089,0.012627629969091864,0.24625972866511395,0.05367912905382524,discharge_aggregate,,False,0.05471972986606474
log10_condition_number,mean_sign_stability,0.1371660245272091,0.287736130063553,0.10747424775259096,0.4057233852968773,discharge_aggregate,,False,0.4453059155745463
log10_condition_number,truncation_rel_change_1e-6,-0.2229860743874493,0.08149624580323046,-0.1865027468020866,0.14666656129657446,discharge_aggregate,,False,0.18266399921413726
normalized_sigma_7,mean_bootstrap_sd,-0.3150512452469089,0.012627629969091864,-0.23916010975053306,0.06119381799542739,discharge_aggregate,,False,0.05471972986606474
effective_rank,rmse,-0.08257157966306565,0.5234550544096718,-0.12214507733568941,0.3442782586624962,discharge_aggregate,,False,0.6604968723933374
max_vif,mean_bootstrap_sd,0.514038931278487,1.9252009393829544e-05,0.47122950958782617,0.00011076485049307371,discharge_aggregate,,True,0.0006256903052994601
log10_condition_number,abs_coefficient,0.046913953312684144,0.7172902804116924,-0.006331506649579287,0.9610466327919285,per_coefficient,d[pcdiamag3]/d[kappa],False,0.7902350546908476
normalized_sigma_7,abs_coefficient,-0.046913953312684144,0.7172902804116924,0.028954820989795245,0.823226186041832,per_coefficient,d[pcdiamag3]/d[kappa],False,0.7902350546908476
log10_condition_number,bootstrap_sd,0.09304726650046587,0.47195155954360446,0.06963763367048771,0.590700016213205,per_coefficient,d[pcdiamag3]/d[kappa],False,0.6343762798742111
normalized_sigma_7,bootstrap_sd,-0.09304726650046587,0.47195155954360446,-0.036406637858113905,0.7787676661295713,per_coefficient,d[pcdiamag3]/d[kappa],False,0.6343762798742111
log10_condition_number,interval_width,-0.00722721664022563,0.9555411687134531,-0.06190097432053053,0.6326870133346578,per_coefficient,d[pcdiamag3]/d[kappa],False,0.9555411687134531
normalized_sigma_7,interval_width,0.00722721664022563,0.9555411687134531,0.08029249594922842,0.5350206577462612,per_coefficient,d[pcdiamag3]/d[kappa],False,0.9555411687134531
log10_condition_number,sign_instability,0.1432683965162621,0.266619547390183,-0.026545862141323914,0.8377248238540926,per_coefficient,d[pcdiamag3]/d[kappa],False,0.4226895263502901
normalized_sigma_7,sign_instability,-0.1432683965162621,0.266619547390183,0.004087170502375193,0.9748487925612631,per_coefficient,d[pcdiamag3]/d[kappa],False,0.4226895263502901
log10_condition_number,abs_coefficient,0.4121024401299388,0.0008744541843943307,0.3632734596050261,0.003707193972936118,per_coefficient,d[kappa]/d[t],True,0.014038934835530432
normalized_sigma_7,abs_coefficient,-0.4121024401299388,0.0008744541843943307,-0.38303935958969215,0.0021206739987135424,per_coefficient,d[kappa]/d[t],True,0.014038934835530432
log10_condition_number,bootstrap_sd,-0.11470373448162978,0.3746846692782136,-0.1123582887867795,0.38459390289202733,per_coefficient,d[kappa]/d[t],False,0.5535114432519065
normalized_sigma_7,bootstrap_sd,0.11470373448162978,0.3746846692782136,0.1408231056963833,0.274952886002706,per_coefficient,d[kappa]/d[t],False,0.5535114432519065
log10_condition_number,interval_width,-0.22731736798368207,0.07559892191305041,-0.2600993248105427,0.041188229093402,per_coefficient,d[kappa]/d[t],False,0.17549749729815273
normalized_sigma_7,interval_width,0.22731736798368207,0.07559892191305041,0.2767272295097579,0.029456547013529226,per_coefficient,d[kappa]/d[t],False,0.17549749729815273
log10_condition_number,sign_instability,-0.1459372441464509,0.25771959606989636,-0.0964631574886827,0.45576655946963784,per_coefficient,d[kappa]/d[t],False,0.4226895263502901
normalized_sigma_7,sign_instability,0.1459372441464509,0.25771959606989636,0.09423789285438809,0.466275418255438,per_coefficient,d[kappa]/d[t],False,0.4226895263502901
log10_condition_number,abs_coefficient,-0.02188310543678074,0.8659372230393647,-0.11157640713289677,0.38793166328116674,per_coefficient,r[q95]/r[kappa],False,0.9164895296421443
normalized_sigma_7,abs_coefficient,0.02188310543678074,0.8659372230393647,0.1577806311389479,0.2206613556578525,per_coefficient,r[q95]/r[kappa],False,0.9164895296421443
log10_condition_number,bootstrap_sd,-0.18758026743219763,0.14430539185154273,-0.22832618648443492,0.07427532686597962,per_coefficient,r[q95]/r[kappa],False,0.26799572772429364
