x,y,spearman_r,spearman_p,pearson_r,pearson_p,level,feature,bh_reject,bh_adjusted_p
log10_condition_number,normalized_sigma_7,-1.0,0.0,-0.9864875181164243,7.610256921563788e-49,discharge_aggregate,,True,0.0
log10_condition_number,coef_vector_norm,0.3927123467049432,0.0015930671019194363,0.3643966520291666,0.0035946589265510296,discharge_aggregate,,True,0.014038934835530432
max_vif,mean_bootstrap_sd,0.514038931278487,1.9252009393829544e-05,0.47122950958782617,0.00011076485049307371,discharge_aggregate,,True,0.0006256903052994601
log10_condition_number,abs_coefficient,0.4121024401299388,0.0008744541843943307,0.3632734596050261,0.003707193972936118,per_coefficient,d[kappa]/d[t],True,0.014038934835530432
normalized_sigma_7,abs_coefficient,-0.4121024401299388,0.0008744541843943307,-0.38303935958969215,0.0021206739987135424,per_coefficient,d[kappa]/d[t],True,0.014038934835530432
log10_condition_number,bootstrap_sd,0.3318224169625545,0.008421052123375006,0.2840346136641232,0.02526849659156399,per_coefficient,d[pcdiamag3]/d[betan],True,0.04210526061687503
normalized_sigma_7,bootstrap_sd,-0.3318224169625545,0.008421052123375006,-0.2881376897721173,0.02314548299597381,per_coefficient,d[pcdiamag3]/d[betan],True,0.04210526061687503
log10_condition_number,abs_coefficient,0.39684218478507216,0.0014062055555783,0.36646192500805463,0.0033956140564310178,per_coefficient,d[kappa]/d[betan],True,0.014038934835530432
normalized_sigma_7,abs_coefficient,-0.39684218478507216,0.0014062055555783,-0.3946150188015415,0.0015043745376437934,per_coefficient,d[kappa]/d[betan],True,0.014038934835530432
log10_condition_number,bootstrap_sd,0.3860139507944902,0.001943852515688829,0.37009674314339785,0.0030689438586679945,per_coefficient,d[kappa]/d[betan],True,0.014038934835530432
normalized_sigma_7,bootstrap_sd,-0.3860139507944902,0.001943852515688829,-0.37691315345875676,0.0025307881887504853,per_coefficient,d[kappa]/d[betan],True,0.014038934835530432
log10_condition_number,interval_width,0.36168819722495027,0.003871334522787564,0.3473234895706747,0.005677547435588319,per_coefficient,d[kappa]/d[betan],True,0.022876067634653784
normalized_sigma_7,interval_width,-0.36168819722495027,0.003871334522787564,-0.3647321489093095,0.0035616373716187187,per_coefficient,d[kappa]/d[betan],True,0.022876067634653784
