realization_index,shot,feature_1,feature_2,correlation,abs_correlation
0,155537,d[pcdiamag3]/d[kappa],d[kappa]/d[t],-0.6033526800966929,0.6033526800966929
0,155537,d[pcdiamag3]/d[kappa],r[q95]/r[kappa],-0.14275053444739152,0.14275053444739152
0,155537,d[pcdiamag3]/d[kappa],d[pcdiamag3]/d[betan],0.6259405497187774,0.6259405497187774
0,155537,d[pcdiamag3]/d[kappa],d[kappa]/d[betan],-0.09050307379238799,0.09050307379238799
0,155537,d[pcdiamag3]/d[kappa],d[betan]/d[t],-0.4634149159342337,0.4634149159342337
0,155537,d[pcdiamag3]/d[kappa],d[li]/d[betan],0.13972421543457889,0.13972421543457889
0,155537,d[kappa]/d[t],r[q95]/r[kappa],0.4154448013835262,0.4154448013835262
0,155537,d[kappa]/d[t],d[pcdiamag3]/d[betan],0.13420832584992629,0.13420832584992629
0,155537,d[kappa]/d[t],d[kappa]/d[betan],0.7530334845418578,0.7530334845418578
0,155537,d[kappa]/d[t],d[betan]/d[t],-0.16452743500088332,0.16452743500088332
0,155537,d[kappa]/d[t],d[li]/d[betan],0.41560947641398277,0.41560947641398277
0,155537,r[q95]/r[kappa],d[pcdiamag3]/d[betan],0.049348665073171115,0.049348665073171115
0,155537,r[q95]/r[kappa],d[kappa]/d[betan],0.26005190077704915,0.26005190077704915
0,155537,r[q95]/r[kappa],d[betan]/d[t],-0.0006741153175204172,0.0006741153175204172
0,155537,r[q95]/r[kappa],d[li]/d[betan],0.20529869155869498,0.20529869155869498
0,155537,d[pcdiamag3]/d[betan],d[kappa]/d[betan],0.7100045311400138,0.7100045311400138
0,155537,d[pcdiamag3]/d[betan],d[betan]/d[t],-0.9229389919803116,0.9229389919803116
0,155537,d[pcdiamag3]/d[betan],d[li]/d[betan],0.7398731974945485,0.7398731974945485
0,155537,d[kappa]/d[betan],d[betan]/d[t],-0.7603333866517947,0.7603333866517947
0,155537,d[kappa]/d[betan],d[li]/d[betan],0.8100732423763525,0.8100732423763525
0,155537,d[betan]/d[t],d[li]/d[betan],-0.8100165183799217,0.8100165183799217
1,159310,d[pcdiamag3]/d[kappa],d[kappa]/d[t],-0.6779646183940209,0.6779646183940209
1,159310,d[pcdiamag3]/d[kappa],r[q95]/r[kappa],-0.43790976957999855,0.43790976957999855
1,159310,d[pcdiamag3]/d[kappa],d[pcdiamag3]/d[betan],0.17955642665515648,0.17955642665515648
1,159310,d[pcdiamag3]/d[kappa],d[kappa]/d[betan],-0.905139388077705,0.905139388077705
1,159310,d[pcdiamag3]/d[kappa],d[betan]/d[t],0.6548647756426589,0.6548647756426589
1,159310,d[pcdiamag3]/d[kappa],d[li]/d[betan],-0.5747137364084305,0.5747137364084305
1,159310,d[kappa]/d[t],r[q95]/r[kappa],0.5763870825797951,0.5763870825797951
1,159310,d[kappa]/d[t],d[pcdiamag3]/d[betan],0.03735530585990341,0.03735530585990341
1,159310,d[kappa]/d[t],d[kappa]/d[betan],0.7067892083731021,0.7067892083731021
1,159310,d[kappa]/d[t],d[betan]/d[t],-0.07417973622522593,0.07417973622522593
1,159310,d[kappa]/d[t],d[li]/d[betan],0.10867157192423833,0.10867157192423833
1,159310,r[q95]/r[kappa],d[pcdiamag3]/d[betan],-0.16933363739863747,0.16933363739863747
1,159310,r[q95]/r[kappa],d[kappa]/d[betan],0.39675080490647635,0.39675080490647635
1,159310,r[q95]/r[kappa],d[betan]/d[t],-0.033011570758566415,0.033011570758566415
1,159310,r[q95]/r[kappa],d[li]/d[betan],0.12154847762037524,0.12154847762037524
1,159310,d[pcdiamag3]/d[betan],d[kappa]/d[betan],0.22926942330503475,0.22926942330503475
1,159310,d[pcdiamag3]/d[betan],d[betan]/d[t],-0.3027779762299522,0.3027779762299522
1,159310,d[pcdiamag3]/d[betan],d[li]/d[betan],0.2997903277839667,0.2997903277839667
1,159310,d[kappa]/d[betan],d[betan]/d[t],-0.748247258254711,0.748247258254711
1,159310,d[kappa]/d[betan],d[li]/d[betan],0.6954676559211627,0.6954676559211627
1,159310,d[betan]/d[t],d[li]/d[betan],-0.8652167818476525,0.8652167818476525
2,160715,d[pcdiamag3]/d[kappa],d[kappa]/d[t],-0.6321587844866863,0.6321587844866863
2,160715,d[pcdiamag3]/d[kappa],r[q95]/r[kappa],-0.1761398769313985,0.1761398769313985
2,160715,d[pcdiamag3]/d[kappa],d[pcdiamag3]/d[betan],0.5871863730242852,0.5871863730242852
2,160715,d[pcdiamag3]/d[kappa],d[kappa]/d[betan],-0.15788663501521208,0.15788663501521208
2,160715,d[pcdiamag3]/d[kappa],d[betan]/d[t],-0.383731397264596,0.383731397264596
2,160715,d[pcdiamag3]/d[kappa],d[li]/d[betan],0.08865538612353255,0.08865538612353255
2,160715,d[kappa]/d[t],r[q95]/r[kappa],0.40492728940299927,0.40492728940299927
2,160715,d[kappa]/d[t],d[pcdiamag3]/d[betan],0.15352214428968758,0.15352214428968758
2,160715,d[kappa]/d[t],d[kappa]/d[betan],0.7545112477717011,0.7545112477717011
2,160715,d[kappa]/d[t],d[betan]/d[t],-0.18843233296522127,0.18843233296522127
2,160715,d[kappa]/d[t],d[li]/d[betan],0.41479616828489446,0.41479616828489446
2,160715,r[q95]/r[kappa],d[pcdiamag3]/d[betan],0.06350255740678835,0.06350255740678835
2,160715,r[q95]/r[kappa],d[kappa]/d[betan],0.2743965272208679,0.2743965272208679
2,160715,r[q95]/r[kappa],d[betan]/d[t],-0.03864887713747071,0.03864887713747071
2,160715,r[q95]/r[kappa],d[li]/d[betan],0.2664774890100625,0.2664774890100625
2,160715,d[pcdiamag3]/d[betan],d[kappa]/d[betan],0.7008115639589809,0.7008115639589809
2,160715,d[pcdiamag3]/d[betan],d[betan]/d[t],-0.9109088934357077,0.9109088934357077
2,160715,d[pcdiamag3]/d[betan],d[li]/d[betan],0.7123103545873631,0.7123103545873631
2,160715,d[kappa]/d[betan],d[betan]/d[t],-0.7772279592054802,0.7772279592054802
2,160715,d[kappa]/d[betan],d[li]/d[betan],0.8000415284679987,0.8000415284679987
2,160715,d[betan]/d[t],d[li]/d[betan],-0.790455997184997,0.790455997184997
3,160717,d[pcdiamag3]/d[kappa],d[kappa]/d[t],-0.6040520458210527,0.6040520458210527
3,160717,d[pcdiamag3]/d[kappa],r[q95]/r[kappa],-0.1230399585616003,0.1230399585616003
3,160717,d[pcdiamag3]/d[kappa],d[pcdiamag3]/d[betan],0.6648937475715239,0.6648937475715239
3,160717,d[pcdiamag3]/d[kappa],d[kappa]/d[betan],-0.061579901210382454,0.061579901210382454
3,160717,d[pcdiamag3]/d[kappa],d[betan]/d[t],-0.4770436128524608,0.4770436128524608
3,160717,d[pcdiamag3]/d[kappa],d[li]/d[betan],0.2841211193932539,0.2841211193932539
3,160717,d[kappa]/d[t],r[q95]/r[kappa],0.286331141980216,0.286331141980216
3,160717,d[kappa]/d[t],d[pcdiamag3]/d[betan],0.08143390958429417,0.08143390958429417
3,160717,d[kappa]/d[t],d[kappa]/d[betan],0.7229939206694728,0.7229939206694728
3,160717,d[kappa]/d[t],d[betan]/d[t],-0.0993679345183687,0.0993679345183687
3,160717,d[kappa]/d[t],d[li]/d[betan],0.2194467730735593,0.2194467730735593
