realization_index,shot,tolerance,feature,coefficient,canonical_coefficient,delta
0,155537,1e-12,d[pcdiamag3]/d[kappa],0.39704129453163706,0.39704129453163856,-1.4988010832439613e-15
0,155537,1e-12,d[kappa]/d[t],1.3182993586331717,1.3182993586331713,4.440892098500626e-16
0,155537,1e-12,r[q95]/r[kappa],-0.016200319260867922,-0.016200319260866847,-1.0755285551056204e-15
0,155537,1e-12,d[pcdiamag3]/d[betan],1.2638060173861936,1.2638060173861883,5.329070518200751e-15
0,155537,1e-12,d[kappa]/d[betan],-1.615099382447178,-1.6150993824471747,-3.3306690738754696e-15
0,155537,1e-12,d[betan]/d[t],-0.4024227133882161,-0.4024227133882137,-2.3869795029440866e-15
0,155537,1e-12,d[li]/d[betan],0.008705358425908118,0.00870535842590893,-8.118505867571457e-16
0,155537,1e-10,d[pcdiamag3]/d[kappa],0.39704129453163706,0.39704129453163856,-1.4988010832439613e-15
0,155537,1e-10,d[kappa]/d[t],1.3182993586331717,1.3182993586331713,4.440892098500626e-16
0,155537,1e-10,r[q95]/r[kappa],-0.016200319260867922,-0.016200319260866847,-1.0755285551056204e-15
0,155537,1e-10,d[pcdiamag3]/d[betan],1.2638060173861936,1.2638060173861883,5.329070518200751e-15
0,155537,1e-10,d[kappa]/d[betan],-1.615099382447178,-1.6150993824471747,-3.3306690738754696e-15
0,155537,1e-10,d[betan]/d[t],-0.4024227133882161,-0.4024227133882137,-2.3869795029440866e-15
0,155537,1e-10,d[li]/d[betan],0.008705358425908118,0.00870535842590893,-8.118505867571457e-16
0,155537,1e-08,d[pcdiamag3]/d[kappa],0.39704129453163706,0.39704129453163856,-1.4988010832439613e-15
0,155537,1e-08,d[kappa]/d[t],1.3182993586331717,1.3182993586331713,4.440892098500626e-16
0,155537,1e-08,r[q95]/r[kappa],-0.016200319260867922,-0.016200319260866847,-1.0755285551056204e-15
0,155537,1e-08,d[pcdiamag3]/d[betan],1.2638060173861936,1.2638060173861883,5.329070518200751e-15
0,155537,1e-08,d[kappa]/d[betan],-1.615099382447178,-1.6150993824471747,-3.3306690738754696e-15
0,155537,1e-08,d[betan]/d[t],-0.4024227133882161,-0.4024227133882137,-2.3869795029440866e-15
0,155537,1e-08,d[li]/d[betan],0.008705358425908118,0.00870535842590893,-8.118505867571457e-16
