realization_index,shot,feature,vif
0,155537,d[pcdiamag3]/d[kappa],73.37544680434922
0,155537,d[kappa]/d[t],57.42147198460125
0,155537,r[q95]/r[kappa],1.6388346179738018
0,155537,d[pcdiamag3]/d[betan],171.37694708393346
0,155537,d[kappa]/d[betan],353.0188304394928
0,155537,d[betan]/d[t],47.17789638590752
0,155537,d[li]/d[betan],4.491436248611925
1,159310,d[pcdiamag3]/d[kappa],153.58532848182193
1,159310,d[kappa]/d[t],108.38552609098882
1,159310,r[q95]/r[kappa],1.9603489220761954
1,159310,d[pcdiamag3]/d[betan],30.31287135202654
1,159310,d[kappa]/d[betan],84.35885940751511
1,159310,d[betan]/d[t],124.71506532513425
1,159310,d[li]/d[betan],4.7682944194162875
2,160715,d[pcdiamag3]/d[kappa],67.83387089274429
2,160715,d[kappa]/d[t],37.646247671474526
2,160715,r[q95]/r[kappa],1.4946136525096134
2,160715,d[pcdiamag3]/d[betan],128.79754485390689
2,160715,d[kappa]/d[betan],222.17708681577724
2,160715,d[betan]/d[t],41.424600208431485
2,160715,d[li]/d[betan],3.9635956870607543
3,160717,d[pcdiamag3]/d[kappa],34.219826858618816
3,160717,d[kappa]/d[t],67.1242815650465
3,160717,r[q95]/r[kappa],1.3226108422712686
3,160717,d[pcdiamag3]/d[betan],77.55618264045168
3,160717,d[kappa]/d[betan],198.06997885356358
3,160717,d[betan]/d[t],63.629446766896876
3,160717,d[li]/d[betan],4.161431159891666
4,160719,d[pcdiamag3]/d[kappa],45.27056638908241
4,160719,d[kappa]/d[t],61.672768226857556
4,160719,r[q95]/r[kappa],1.5364499125073956
4,160719,d[pcdiamag3]/d[betan],98.08526351856634
4,160719,d[kappa]/d[betan],217.11405475754282
4,160719,d[betan]/d[t],55.175772485778076
4,160719,d[li]/d[betan],3.9813816847359913
5,160720,d[pcdiamag3]/d[kappa],37.78867940992783
5,160720,d[kappa]/d[t],71.45353961051528
5,160720,r[q95]/r[kappa],1.3637127421574615
5,160720,d[pcdiamag3]/d[betan],77.93291426727718
5,160720,d[kappa]/d[betan],215.78071785658207
5,160720,d[betan]/d[t],69.32598569746581
5,160720,d[li]/d[betan],4.266982847325168
6,160721,d[pcdiamag3]/d[kappa],56.85169881673735
6,160721,d[kappa]/d[t],49.369667355817356
6,160721,r[q95]/r[kappa],1.553197729924635
6,160721,d[pcdiamag3]/d[betan],136.72889033788542
6,160721,d[kappa]/d[betan],246.86476873927003
6,160721,d[betan]/d[t],40.93075225926053
6,160721,d[li]/d[betan],4.253076328007012
7,161136,d[pcdiamag3]/d[kappa],92.81854397523233
7,161136,d[kappa]/d[t],170.2271516266615
7,161136,r[q95]/r[kappa],1.8875961278591185
7,161136,d[pcdiamag3]/d[betan],168.48143709817637
7,161136,d[kappa]/d[betan],530.4444932685321
7,161136,d[betan]/d[t],139.15247992709948
7,161136,d[li]/d[betan],3.629440639556106
8,161138,d[pcdiamag3]/d[kappa],76.3293736477803
8,161138,d[kappa]/d[t],183.58700092354172
8,161138,r[q95]/r[kappa],1.4955613177202265
8,161138,d[pcdiamag3]/d[betan],135.70620552606036
8,161138,d[kappa]/d[betan],521.7485620710913
8,161138,d[betan]/d[t],143.54658813591945
8,161138,d[li]/d[betan],3.8329762818152426
9,161145,d[pcdiamag3]/d[kappa],82.57544902763125
9,161145,d[kappa]/d[t],190.4410003583181
9,161145,r[q95]/r[kappa],1.9038931231410274
9,161145,d[pcdiamag3]/d[betan],152.3076368243767
9,161145,d[kappa]/d[betan],635.0897906762511
9,161145,d[betan]/d[t],129.6191061696746
9,161145,d[li]/d[betan],3.6469218985110867
10,161414,d[pcdiamag3]/d[kappa],195.95916225585395
10,161414,d[kappa]/d[t],167.95494160917448
10,161414,r[q95]/r[kappa],2.6017320706124374
10,161414,d[pcdiamag3]/d[betan],40.85200644542029
10,161414,d[kappa]/d[betan],235.230583254064
10,161414,d[betan]/d[t],184.3638793142728
10,161414,d[li]/d[betan],4.695830736352207
11,165017,d[pcdiamag3]/d[kappa],63.52401337573283
11,165017,d[kappa]/d[t],80.85716914031137
11,165017,r[q95]/r[kappa],1.4813488979754645
11,165017,d[pcdiamag3]/d[betan],30.705832613308303
11,165017,d[kappa]/d[betan],164.45661112649395
11,165017,d[betan]/d[t],83.43237423208355
11,165017,d[li]/d[betan],4.343793098451157
12,165022,d[pcdiamag3]/d[kappa],61.268259487109184
12,165022,d[kappa]/d[t],30.174831287231584
12,165022,r[q95]/r[kappa],1.6599623462257247
12,165022,d[pcdiamag3]/d[betan],20.52718018613171
12,165022,d[kappa]/d[betan],44.82141753141281
12,165022,d[betan]/d[t],41.92459873490682
12,165022,d[li]/d[betan],4.157909062374253
13,165026,d[pcdiamag3]/d[kappa],66.34822193295379
13,165026,d[kappa]/d[t],46.20326164145812
13,165026,r[q95]/r[kappa],1.391511853444207
13,165026,d[pcdiamag3]/d[betan],17.858888618613467
13,165026,d[kappa]/d[betan],74.68123935646845
13,165026,d[betan]/d[t],65.317279454196
13,165026,d[li]/d[betan],4.805422300539279
14,165027,d[pcdiamag3]/d[kappa],49.644852215981174
14,165027,d[kappa]/d[t],52.15119647210777
14,165027,r[q95]/r[kappa],2.5075250137098575
14,165027,d[pcdiamag3]/d[betan],45.96928085756372
14,165027,d[kappa]/d[betan],144.18779780955796
14,165027,d[betan]/d[t],53.864517999667136
14,165027,d[li]/d[betan],8.314041369646267
15,165028,d[pcdiamag3]/d[kappa],56.49077793054494
15,165028,d[kappa]/d[t],113.81768646523821
15,165028,r[q95]/r[kappa],1.7724711972108884
15,165028,d[pcdiamag3]/d[betan],23.801122447904746
15,165028,d[kappa]/d[betan],227.66679372495935
15,165028,d[betan]/d[t],110.78874070201793
15,165028,d[li]/d[betan],3.348321406473926
16,165029,d[pcdiamag3]/d[kappa],77.84421743608608
16,165029,d[kappa]/d[t],94.73552650944622
16,165029,r[q95]/r[kappa],1.5218403523945365
16,165029,d[pcdiamag3]/d[betan],28.4483113426312
16,165029,d[kappa]/d[betan],185.48437073244293
16,165029,d[betan]/d[t],107.98248176680792
16,165029,d[li]/d[betan],3.937443658443594
17,165031,d[pcdiamag3]/d[kappa],93.78696517079088
17,165031,d[kappa]/d[t],61.18209033368772
17,165031,r[q95]/r[kappa],1.3532495747485191
17,165031,d[pcdiamag3]/d[betan],27.009520028620177
17,165031,d[kappa]/d[betan],92.19521931028021
17,165031,d[betan]/d[t],79.51582110991315
17,165031,d[li]/d[betan],4.504932213167799
18,165042,d[pcdiamag3]/d[kappa],92.3117665673444
18,165042,d[kappa]/d[t],95.4348985753958
18,165042,r[q95]/r[kappa],1.9234738009112666
18,165042,d[pcdiamag3]/d[betan],23.493738111959193
18,165042,d[kappa]/d[betan],170.56895526613067
18,165042,d[betan]/d[t],112.94216633503636
18,165042,d[li]/d[betan],3.8607807439457558
19,165043,d[pcdiamag3]/d[kappa],63.99687921966328
19,165043,d[kappa]/d[t],68.40903925362319
19,165043,r[q95]/r[kappa],1.4651469566576414
19,165043,d[pcdiamag3]/d[betan],14.853296890380655
19,165043,d[kappa]/d[betan],112.8182800853987
19,165043,d[betan]/d[t],76.89454095875912
19,165043,d[li]/d[betan],5.001830267507249
20,165860,d[pcdiamag3]/d[kappa],96.97203179903113
20,165860,d[kappa]/d[t],52.27881161331789
20,165860,r[q95]/r[kappa],2.327897889023894
20,165860,d[pcdiamag3]/d[betan],74.10929728334487
20,165860,d[kappa]/d[betan],212.51539058879237
20,165860,d[betan]/d[t],49.48726343742964
20,165860,d[li]/d[betan],7.986920220890968
21,165861,d[pcdiamag3]/d[kappa],108.88498378741369
21,165861,d[kappa]/d[t],222.75026712568402
21,165861,r[q95]/r[kappa],2.48548407791103
21,165861,d[pcdiamag3]/d[betan],56.68378298107462
21,165861,d[kappa]/d[betan],329.15955606911933
21,165861,d[betan]/d[t],226.39882843494723
21,165861,d[li]/d[betan],4.595326064808993
22,165955,d[pcdiamag3]/d[kappa],66.40790060811926
22,165955,d[kappa]/d[t],91.58351470172468
22,165955,r[q95]/r[kappa],1.739435525235301
22,165955,d[pcdiamag3]/d[betan],21.245629970431875
22,165955,d[kappa]/d[betan],111.81254261662562
22,165955,d[betan]/d[t],94.76138614793713
22,165955,d[li]/d[betan],4.124893248014845
23,165965,d[pcdiamag3]/d[kappa],74.5629468829742
23,165965,d[kappa]/d[t],127.43521024417426
23,165965,r[q95]/r[kappa],1.9613809399756383
23,165965,d[pcdiamag3]/d[betan],28.77459747577232
23,165965,d[kappa]/d[betan],171.12542542507109
23,165965,d[betan]/d[t],137.5414092292626
23,165965,d[li]/d[betan],3.7909617618743674
24,170394,d[pcdiamag3]/d[kappa],44.49509002544275
24,170394,d[kappa]/d[t],37.19193425710351
24,170394,r[q95]/r[kappa],1.3214862025198604
24,170394,d[pcdiamag3]/d[betan],111.9725987172754
24,170394,d[kappa]/d[betan],192.4032464107122
24,170394,d[betan]/d[t],36.57221049346507
24,170394,d[li]/d[betan],4.3677811736073
25,170396,d[pcdiamag3]/d[kappa],56.77173422573582
25,170396,d[kappa]/d[t],59.72139623547515
25,170396,r[q95]/r[kappa],1.3728401875604386
25,170396,d[pcdiamag3]/d[betan],116.31547152035935
25,170396,d[kappa]/d[betan],255.05933061909778
25,170396,d[betan]/d[t],56.14380216868967
25,170396,d[li]/d[betan],3.7997290084500355
26,170411,d[pcdiamag3]/d[kappa],33.10067832531298
26,170411,d[kappa]/d[t],57.49299266071222
26,170411,r[q95]/r[kappa],1.2639493474558783
26,170411,d[pcdiamag3]/d[betan],85.16380092350342
26,170411,d[kappa]/d[betan],227.01578034142895
26,170411,d[betan]/d[t],53.14938383383266
26,170411,d[li]/d[betan],4.278006369124043
27,186997,d[pcdiamag3]/d[kappa],42.84021403918236
27,186997,d[kappa]/d[t],74.90343574380401
27,186997,r[q95]/r[kappa],1.4219548673942812
27,186997,d[pcdiamag3]/d[betan],123.36221132847177
27,186997,d[kappa]/d[betan],313.0580420694845
27,186997,d[betan]/d[t],58.36417632612264
27,186997,d[li]/d[betan],4.9132322824981545
28,187017,d[pcdiamag3]/d[kappa],136.57749267085794
28,187017,d[kappa]/d[t],136.8453938666911
28,187017,r[q95]/r[kappa],2.9746055604656334
28,187017,d[pcdiamag3]/d[betan],248.72601590474608
28,187017,d[kappa]/d[betan],597.7829129373243
28,187017,d[betan]/d[t],119.5230817564013
28,187017,d[li]/d[betan],3.183802859767691
29,187018,d[pcdiamag3]/d[kappa],118.16967680132981
29,187018,d[kappa]/d[t],160.83485533352706
29,187018,r[q95]/r[kappa],2.847211254587231
29,187018,d[pcdiamag3]/d[betan],203.3993622570025
29,187018,d[kappa]/d[betan],574.4084387873052
29,187018,d[betan]/d[t],125.1222932040116
29,187018,d[li]/d[betan],4.612351651255608
30,187019,d[pcdiamag3]/d[kappa],135.64978807143922
30,187019,d[kappa]/d[t],99.63805139509178
30,187019,r[q95]/r[kappa],2.4412892961725037
30,187019,d[pcdiamag3]/d[betan],248.06157695080975
30,187019,d[kappa]/d[betan],513.3418849072708
30,187019,d[betan]/d[t],80.17792588660981
30,187019,d[li]/d[betan],3.126691732544967
31,187020,d[pcdiamag3]/d[kappa],110.8281989446936
31,187020,d[kappa]/d[t],84.28956067043812
31,187020,r[q95]/r[kappa],2.42976771464987
31,187020,d[pcdiamag3]/d[betan],215.2655793132217
31,187020,d[kappa]/d[betan],455.7078425241382
31,187020,d[betan]/d[t],69.94500080035347
31,187020,d[li]/d[betan],3.646188482687617
32,187021,d[pcdiamag3]/d[kappa],122.34800763070356
32,187021,d[kappa]/d[t],115.62133791247196
32,187021,r[q95]/r[kappa],2.591382325706502
32,187021,d[pcdiamag3]/d[betan],206.56028285701618
32,187021,d[kappa]/d[betan],502.6731870338236
32,187021,d[betan]/d[t],87.28903790122
32,187021,d[li]/d[betan],3.4424685197000318
33,187022,d[pcdiamag3]/d[kappa],72.65923260279216
33,187022,d[kappa]/d[t],89.29939474217241
33,187022,r[q95]/r[kappa],2.763390733380831
33,187022,d[pcdiamag3]/d[betan],155.04391658778746
33,187022,d[kappa]/d[betan],359.35258098066083
33,187022,d[betan]/d[t],70.74913666330701
33,187022,d[li]/d[betan],4.14644505838785
34,187024,d[pcdiamag3]/d[kappa],114.36177835757036
34,187024,d[kappa]/d[t],30.22912356593143
34,187024,r[q95]/r[kappa],2.0148152369186243
34,187024,d[pcdiamag3]/d[betan],227.52310917258572
34,187024,d[kappa]/d[betan],315.9504747981061
34,187024,d[betan]/d[t],22.78030653127826
34,187024,d[li]/d[betan],4.032110726962253
35,189646,d[pcdiamag3]/d[kappa],111.15703165635867
35,189646,d[kappa]/d[t],98.65935663350028
35,189646,r[q95]/r[kappa],2.279126874280802
35,189646,d[pcdiamag3]/d[betan],139.1904817696026
