realization_index,shot,min_A,max_A,median_A,min_abs_A,q0001_abs_A,q001_abs_A,q005_abs_A,q01_abs_A,q025_abs_A,q05_abs_A,q10_abs_A,q25_abs_A,median_abs_A,max_inv_abs_A,q50_inv_abs_A,q95_inv_abs_A,n_exact_zero_A,n_sign_changes_A,frac_abs_lt_1e-06,frac_rel_lt_1e-06,frac_abs_lt_1e-05,frac_rel_lt_1e-05,frac_abs_lt_0.0001,frac_rel_lt_0.0001,frac_abs_lt_0.001,frac_rel_lt_0.001,frac_abs_lt_0.01,frac_rel_lt_0.01,frac_abs_lt_0.05,frac_rel_lt_0.05,frac_abs_lt_0.1,frac_rel_lt_0.1,rel_frac_abs_lt_0.0001,rel_frac_rel_lt_0.0001,rel_frac_abs_lt_0.001,rel_frac_rel_lt_0.001,rel_frac_abs_lt_0.01,rel_frac_rel_lt_0.01,rel_frac_abs_lt_0.05,rel_frac_rel_lt_0.05,rel_frac_abs_lt_0.1,rel_frac_rel_lt_0.1,rel_frac_abs_lt_0.25,rel_frac_rel_lt_0.25
0,155537,-0.2639580605337306,0.14229458135861883,0.02543125913877614,0.00013139662244732175,0.00013139662244732175,0.00013139662244732175,0.000826022868833255,0.0009613932065144982,0.0016774354346396876,0.0033486909153373104,0.006257576120686103,0.014906616208578166,0.027613608658409172,7610.545700296902,36.214046295987764,298.6526739996157,0,46,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.013,0.166,0.166,0.788,0.788,0.937,0.937,0.0,0.0,0.013,0.0,0.166,0.003,0.788,0.023,0.937,0.04,0.998,0.108
1,159310,-0.3700329741477817,0.13748093607533263,0.02935687526002234,0.00014528015316739307,0.00014528015316751507,0.0001452801531686131,0.0005238383609598135,0.0008968872863773492,0.002137897903553876,0.004642468534594502,0.009496799174083337,0.021822173108416526,0.03339627145869806,6883.25265494311,29.943509813970877,215.40264463792332,0,62,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.011,0.111,0.111,0.69,0.69,0.949,0.949,0.0,0.0,0.011,0.0,0.111,0.004,0.69,0.02,0.949,0.037,0.997,0.087
2,160715,-0.16145753796994033,0.15477107582965532,0.05424168454018807,0.0002891261666215783,0.00034544912208515314,0.0008523557212573266,0.0025466080474180787,0.0044220254724824755,0.009557531607149217,0.015164518349333037,0.02761229278935059,0.04120283813198533,0.0547876295511458,3458.6976740463833,18.252296001413523,65.95162067364248,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.003,0.029,0.029,0.413,0.413,0.918,0.918,0.0,0.0,0.003,0.0,0.029,0.001,0.413,0.008,0.918,0.015,1.0,0.044
3,160717,-0.16473927044428538,0.16521082948518429,0.05888889568033573,0.00019531775444225907,0.000280199178300242,0.0010441319930220884,0.003378573922894484,0.004380585475941423,0.00780636933443534,0.017574374964606787,0.026560258532659923,0.043583753602166986,0.05989849391091184,5119.8622616543835,16.694911774856482,56.933798694341846,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.029,0.029,0.332,0.332,0.884,0.884,0.0,0.0,0.001,0.0,0.029,0.001,0.332,0.004,0.884,0.018,1.0,0.045
4,160719,-0.18852528827090909,0.15036547835557212,0.02368697963194999,3.3723517724904006e-05,3.3723517724904006e-05,3.3723517724904006e-05,0.0003008509887587585,0.0005612299177502056,0.0014325459783719491,0.0024235665728415735,0.004876222179303636,0.013705340289414697,0.027108297492162592,29652.89707193043,36.88907428764624,412.61509762657374,0,58,0.0,0.0,0.0,0.0,0.004,0.004,0.016,0.016,0.186,0.186,0.765,0.765,0.97,0.97,0.004,0.0,0.016,0.0,0.186,0.004,0.765,0.023,0.97,0.06,1.0,0.137
5,160720,-0.1736515614941092,0.20974151966127053,0.10654803996177264,0.0005239112371469012,0.0005239112371469566,0.0005239112371474558,0.00186165226581832,0.002409535196346088,0.028442628310297757,0.036414986779096235,0.05595457252550738,0.09283214207573068,0.10680358369910531,1908.7202737734115,9.362986189409831,27.461221404680828,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.004,0.012,0.012,0.085,0.085,0.368,0.368,0.0,0.0,0.004,0.0,0.012,0.004,0.085,0.012,0.368,0.012,1.0,0.023
6,160721,-0.12724776665133553,0.13082659248403528,0.022529548216455586,3.694715541757709e-05,3.694715541775455e-05,3.6947155419351675e-05,0.0001506037068749161,0.0004019793707326058,0.0015697015623992812,0.002850401525763363,0.005326695477939037,0.01377923622388727,0.02683918830045029,27065.68310057948,37.258950934191354,350.82977312237455,0,65,0.0,0.0,0.0,0.0,0.002,0.002,0.02,0.02,0.185,0.185,0.805,0.805,0.97,0.97,0.002,0.0,0.02,0.0,0.185,0.009,0.805,0.022,0.97,0.046,1.0,0.127
7,161136,-0.1398024034636749,0.14893343167401285,0.018938517186984305,0.00010107871443099103,0.00010107871443099103,0.00010107871443099103,0.00029933349434287717,0.0007861738384942807,0.0014698221169752001,0.0027748148377129077,0.005558449765220253,0.012794026978361739,0.024703592855918,9893.279763492887,40.479941757153746,360.38440706343937,0,92,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.014,0.191,0.191,0.765,0.765,0.946,0.946,0.0,0.0,0.014,0.0,0.191,0.002,0.765,0.02,0.946,0.04,1.0,0.112
8,161138,-0.13736481993668404,0.16522263776401314,0.016602928854316468,1.5029588583792552e-05,1.5029588583848008e-05,1.5029588584347108e-05,0.00045227374260772835,0.0005744240292085567,0.001485032261777347,0.0032037357194642127,0.005767844843421544,0.012305155453496669,0.026287299317983792,66535.42074188041,38.0411843721,312.1443919212007,0,101,0.0,0.0,0.0,0.0,0.003,0.003,0.013,0.013,0.201,0.201,0.754,0.754,0.947,0.947,0.003,0.0,0.013,0.002,0.201,0.005,0.754,0.02,0.947,0.041,1.0,0.11
9,161145,-0.14667615985964433,0.1845002807340338,-0.006360851962840086,1.1098935070008586e-05,1.1098935070008586e-05,1.1098935070008586e-05,4.0550930243674066e-05,0.00014756050056141,0.0004664724751236471,0.000947124619078149,0.002576342619747751,0.0070615151745576366,0.017092429927629382,90098.73413010483,58.50543218454452,1055.8342899986906,0,99,0.0,0.0,0.0,0.0,0.007,0.007,0.052,0.052,0.339,0.339,0.873,0.873,0.956,0.956,0.007,0.0,0.052,0.003,0.339,0.012,0.873,0.044,0.956,0.077,1.0,0.164
10,161414,-0.22565090667162213,0.12346319660858518,0.01434161475007445,6.352131049636167e-05,6.948249159409346e-05,0.0001231331214736796,0.0004022902634802228,0.0005451061117191535,0.001366919279808468,0.003435622727061899,0.006501183499376761,0.013829170142315439,0.027768605818891345,15742.7482554422,36.01189089241303,291.0788058225182,0,97,0.0,0.0,0.0,0.0,0.001,0.001,0.018,0.018,0.174,0.174,0.723,0.723,0.959,0.959,0.001,0.0,0.018,0.0,0.174,0.002,0.723,0.027,0.959,0.041,1.0,0.11
11,165017,-0.209148324569716,0.1530041010317048,0.018631947948568928,4.016699082254327e-05,4.016699082264309e-05,4.0166990823541474e-05,0.00027357882648462007,0.00047042256486395375,0.0014869815202877086,0.002402816425842158,0.0044860285809905425,0.013076238177886612,0.02783852751203525,24896.064642182788,35.9217340672298,416.1782802613188,0,88,0.0,0.0,0.0,0.0,0.004,0.004,0.017,0.017,0.19,0.19,0.745,0.745,0.923,0.923,0.004,0.0,0.017,0.0,0.19,0.006,0.745,0.024,0.923,0.063,1.0,0.144
12,165022,-0.2982382245860481,0.18479046338354144,0.06022231717762305,0.0004485570556023166,0.0005643557353174036,0.001606543852753187,0.002327808429477883,0.002757499058864661,0.006328584267092818,0.017301786905454766,0.0310993186608982,0.047201340605637854,0.060612870971212374,2229.37079577806,16.49814896256035,57.802549513451325,0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.031,0.031,0.308,0.308,0.905,0.905,0.0,0.0,0.001,0.0,0.031,0.001,0.308,0.013,0.905,0.022,0.997,0.04
13,165026,-0.29719423320421257,0.15752258333077462,0.05618343663202152,0.00011095368126512462,0.00013130600864501825,0.00031447695506406093,0.0008435523637171066,0.0013301441399467375,0.005244884870431653,0.01001293902226702,0.017038424621792503,0.04033347505395729,0.059025132662959,9012.769910810735,16.94193733024327,99.87140506349989,0,36,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.008,0.05,0.05,0.376,0.376,0.854,0.854,0.0,0.0,0.008,0.0,0.05,0.003,0.376,0.018,0.854,0.027,0.992,0.084
14,165027,-0.25068410980745637,0.15025221226139873,0.009077062674360037,3.565970799102036e-05,3.7709380192195815e-05,5.6156430002774926e-05,6.6798479757324e-05,0.000141322318963355,0.0013386765875565976,0.0035528834063097373,0.0075836383602926,0.01783110951145639,0.03288496910144412,28042.854424153295,30.409050450487037,281.49713065050673,0,35,0.0,0.0,0.0,0.0,0.006,0.006,0.018,0.018,0.131,0.131,0.696,0.696,0.956,0.956,0.006,0.0,0.018,0.0,0.131,0.013,0.696,0.035,0.956,0.049,0.997,0.108
15,165028,-0.1739102460466856,0.1787521525454786,0.018794302412180885,6.173595997616133e-05,6.440377927676157e-05,8.841415298216381e-05,0.00017078865348886142,0.0005840044047915605,0.0014073593402352369,0.003449691215579465,0.006930656368312172,0.015690345484331986,0.033809083090290015,16198.014907132556,29.57793715955377,289.8890336072297,0,77,0.0,0.0,0.0,0.0,0.002,0.002,0.017,0.017,0.155,0.155,0.657,0.657,0.924,0.924,0.002,0.0,0.017,0.0,0.155,0.007,0.657,0.027,0.924,0.05,1.0,0.129
16,165029,-0.1880678049248673,0.15013672040622894,0.03132968114157114,0.00011733540436376089,0.00011733540436376089,0.00011733540436376089,0.001276403737466798,0.001833206812482605,0.0027408570304272907,0.004141824478064243,0.008166871942000475,0.020123418284610783,0.03632427338930788,8522.576842193512,27.529811977172763,241.44024719654035,0,69,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.003,0.118,0.118,0.615,0.615,0.928,0.928,0.0,0.0,0.003,0.0,0.118,0.003,0.615,0.01,0.928,0.038,1.0,0.107
17,165031,-0.2421736944002829,0.11903655072433494,0.033194758548050096,0.00012360707197467402,0.0001580425577037021,0.0004679619292649547,0.0014383132244473423,0.002151806871442291,0.0029394821109142545,0.004973666442524627,0.011461657374893375,0.02227258222756162,0.034167384597075745,8090.151995549988,29.267677931719305,201.05899103201034,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.003,0.083,0.083,0.714,0.714,0.956,0.956,0.0,0.0,0.003,0.0,0.083,0.001,0.714,0.01,0.956,0.032,1.0,0.07
