realization_index,shot,threshold,kind,fraction
0,155537,1e-06,absolute,0.0
0,155537,1e-05,absolute,0.0
0,155537,0.0001,absolute,0.0
0,155537,0.001,absolute,0.013
0,155537,0.01,absolute,0.166
0,155537,0.05,absolute,0.788
0,155537,0.1,absolute,0.937
1,159310,1e-06,absolute,0.0
1,159310,1e-05,absolute,0.0
1,159310,0.0001,absolute,0.0
1,159310,0.001,absolute,0.011
1,159310,0.01,absolute,0.111
1,159310,0.05,absolute,0.69
1,159310,0.1,absolute,0.949
2,160715,1e-06,absolute,0.0
2,160715,1e-05,absolute,0.0
2,160715,0.0001,absolute,0.0
2,160715,0.001,absolute,0.003
2,160715,0.01,absolute,0.029
2,160715,0.05,absolute,0.413
2,160715,0.1,absolute,0.918
3,160717,1e-06,absolute,0.0
3,160717,1e-05,absolute,0.0
3,160717,0.0001,absolute,0.0
3,160717,0.001,absolute,0.001
3,160717,0.01,absolute,0.029
3,160717,0.05,absolute,0.332
3,160717,0.1,absolute,0.884
4,160719,1e-06,absolute,0.0
4,160719,1e-05,absolute,0.0
4,160719,0.0001,absolute,0.004
4,160719,0.001,absolute,0.016
4,160719,0.01,absolute,0.186
4,160719,0.05,absolute,0.765
4,160719,0.1,absolute,0.97
5,160720,1e-06,absolute,0.0
5,160720,1e-05,absolute,0.0
5,160720,0.0001,absolute,0.0
5,160720,0.001,absolute,0.004
5,160720,0.01,absolute,0.012
5,160720,0.05,absolute,0.085
5,160720,0.1,absolute,0.368
6,160721,1e-06,absolute,0.0
6,160721,1e-05,absolute,0.0
6,160721,0.0001,absolute,0.002
6,160721,0.001,absolute,0.02
6,160721,0.01,absolute,0.185
6,160721,0.05,absolute,0.805
6,160721,0.1,absolute,0.97
7,161136,1e-06,absolute,0.0
7,161136,1e-05,absolute,0.0
7,161136,0.0001,absolute,0.0
7,161136,0.001,absolute,0.014
7,161136,0.01,absolute,0.191
7,161136,0.05,absolute,0.765
7,161136,0.1,absolute,0.946
8,161138,1e-06,absolute,0.0
