realization_index,shot,feature,display_name,max_abs_diff,max_rel_diff,rmse_diff,pearson_corr,mean_diff,std_diff,n_mismatch_gt_1e-12,status
0,155537,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0,EXACTLY_REPRODUCED
0,155537,d[kappa]/d[t],dot kappa,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
0,155537,r[q95]/r[kappa],q95 / kappa,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
0,155537,d[pcdiamag3]/d[betan],D_betaN W_dia,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0,EXACTLY_REPRODUCED
0,155537,d[kappa]/d[betan],D_betaN kappa,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
0,155537,d[betan]/d[t],dot beta_N,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0,EXACTLY_REPRODUCED
0,155537,d[li]/d[betan],D_betaN l_i,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
1,159310,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
1,159310,d[kappa]/d[t],dot kappa,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
1,159310,r[q95]/r[kappa],q95 / kappa,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0,EXACTLY_REPRODUCED
1,159310,d[pcdiamag3]/d[betan],D_betaN W_dia,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
1,159310,d[kappa]/d[betan],D_betaN kappa,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
1,159310,d[betan]/d[t],dot beta_N,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0,EXACTLY_REPRODUCED
1,159310,d[li]/d[betan],D_betaN l_i,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0,EXACTLY_REPRODUCED
2,160715,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
