realization_index,shot,a_rel,b_rel,class,fraction,count
0,155537,0.05,0.05,REGULAR,0.977,977
0,155537,0.05,0.05,POLE_LIKE,0.021,21
0,155537,0.05,0.05,JOINTLY_SMALL,0.002,2
0,155537,0.05,0.05,EXACT_OR_NEAR_ZERO_A,0.0,0
0,155537,0.1,0.1,REGULAR,0.96,960
0,155537,0.1,0.1,POLE_LIKE,0.036,36
0,155537,0.1,0.1,JOINTLY_SMALL,0.004,4
0,155537,0.1,0.1,EXACT_OR_NEAR_ZERO_A,0.0,0
0,155537,0.25,0.25,REGULAR,0.892,892
0,155537,0.25,0.25,POLE_LIKE,0.092,92
0,155537,0.25,0.25,JOINTLY_SMALL,0.016,16
0,155537,0.25,0.25,EXACT_OR_NEAR_ZERO_A,0.0,0
1,159310,0.05,0.05,REGULAR,0.98,980
1,159310,0.05,0.05,POLE_LIKE,0.018,18
1,159310,0.05,0.05,JOINTLY_SMALL,0.002,2
1,159310,0.05,0.05,EXACT_OR_NEAR_ZERO_A,0.0,0
1,159310,0.1,0.1,REGULAR,0.963,963
1,159310,0.1,0.1,POLE_LIKE,0.031,31
1,159310,0.1,0.1,JOINTLY_SMALL,0.006,6
1,159310,0.1,0.1,EXACT_OR_NEAR_ZERO_A,0.0,0
1,159310,0.25,0.25,REGULAR,0.913,913
1,159310,0.25,0.25,POLE_LIKE,0.067,67
1,159310,0.25,0.25,JOINTLY_SMALL,0.02,20
1,159310,0.25,0.25,EXACT_OR_NEAR_ZERO_A,0.0,0
2,160715,0.05,0.05,REGULAR,0.992,992
2,160715,0.05,0.05,POLE_LIKE,0.008,8
2,160715,0.05,0.05,JOINTLY_SMALL,0.0,0
2,160715,0.05,0.05,EXACT_OR_NEAR_ZERO_A,0.0,0
2,160715,0.1,0.1,REGULAR,0.985,985
2,160715,0.1,0.1,POLE_LIKE,0.015,15
2,160715,0.1,0.1,JOINTLY_SMALL,0.0,0
2,160715,0.1,0.1,EXACT_OR_NEAR_ZERO_A,0.0,0
2,160715,0.25,0.25,REGULAR,0.956,956
2,160715,0.25,0.25,POLE_LIKE,0.04,40
2,160715,0.25,0.25,JOINTLY_SMALL,0.004,4
2,160715,0.25,0.25,EXACT_OR_NEAR_ZERO_A,0.0,0
3,160717,0.05,0.05,REGULAR,0.996,996
3,160717,0.05,0.05,POLE_LIKE,0.004,4
3,160717,0.05,0.05,JOINTLY_SMALL,0.0,0
3,160717,0.05,0.05,EXACT_OR_NEAR_ZERO_A,0.0,0
3,160717,0.1,0.1,REGULAR,0.982,982
3,160717,0.1,0.1,POLE_LIKE,0.017,17
3,160717,0.1,0.1,JOINTLY_SMALL,0.001,1
3,160717,0.1,0.1,EXACT_OR_NEAR_ZERO_A,0.0,0
3,160717,0.25,0.25,REGULAR,0.955,955
3,160717,0.25,0.25,POLE_LIKE,0.041,41
3,160717,0.25,0.25,JOINTLY_SMALL,0.004,4
3,160717,0.25,0.25,EXACT_OR_NEAR_ZERO_A,0.0,0
4,160719,0.05,0.05,REGULAR,0.977,977
4,160719,0.05,0.05,POLE_LIKE,0.021,21
4,160719,0.05,0.05,JOINTLY_SMALL,0.002,2
4,160719,0.05,0.05,EXACT_OR_NEAR_ZERO_A,0.0,0
4,160719,0.1,0.1,REGULAR,0.94,940
4,160719,0.1,0.1,POLE_LIKE,0.055,55
4,160719,0.1,0.1,JOINTLY_SMALL,0.005,5
4,160719,0.1,0.1,EXACT_OR_NEAR_ZERO_A,0.0,0
4,160719,0.25,0.25,REGULAR,0.863,863
4,160719,0.25,0.25,POLE_LIKE,0.111,111
4,160719,0.25,0.25,JOINTLY_SMALL,0.026,26
4,160719,0.25,0.25,EXACT_OR_NEAR_ZERO_A,0.0,0
5,160720,0.05,0.05,REGULAR,0.988,988
5,160720,0.05,0.05,POLE_LIKE,0.012,12
5,160720,0.05,0.05,JOINTLY_SMALL,0.0,0
5,160720,0.05,0.05,EXACT_OR_NEAR_ZERO_A,0.0,0
5,160720,0.1,0.1,REGULAR,0.988,988
5,160720,0.1,0.1,POLE_LIKE,0.012,12
5,160720,0.1,0.1,JOINTLY_SMALL,0.0,0
5,160720,0.1,0.1,EXACT_OR_NEAR_ZERO_A,0.0,0
5,160720,0.25,0.25,REGULAR,0.977,977
5,160720,0.25,0.25,POLE_LIKE,0.02,20
5,160720,0.25,0.25,JOINTLY_SMALL,0.003,3
5,160720,0.25,0.25,EXACT_OR_NEAR_ZERO_A,0.0,0
6,160721,0.05,0.05,REGULAR,0.978,978
6,160721,0.05,0.05,POLE_LIKE,0.021,21
6,160721,0.05,0.05,JOINTLY_SMALL,0.001,1
6,160721,0.05,0.05,EXACT_OR_NEAR_ZERO_A,0.0,0
6,160721,0.1,0.1,REGULAR,0.954,954
6,160721,0.1,0.1,POLE_LIKE,0.043,43
6,160721,0.1,0.1,JOINTLY_SMALL,0.003,3
6,160721,0.1,0.1,EXACT_OR_NEAR_ZERO_A,0.0,0
6,160721,0.25,0.25,REGULAR,0.873,873
6,160721,0.25,0.25,POLE_LIKE,0.084,84
6,160721,0.25,0.25,JOINTLY_SMALL,0.043,43
6,160721,0.25,0.25,EXACT_OR_NEAR_ZERO_A,0.0,0
7,161136,0.05,0.05,REGULAR,0.98,980
7,161136,0.05,0.05,POLE_LIKE,0.019,19
7,161136,0.05,0.05,JOINTLY_SMALL,0.001,1
7,161136,0.05,0.05,EXACT_OR_NEAR_ZERO_A,0.0,0
7,161136,0.1,0.1,REGULAR,0.96,960
7,161136,0.1,0.1,POLE_LIKE,0.038,38
7,161136,0.1,0.1,JOINTLY_SMALL,0.002,2
7,161136,0.1,0.1,EXACT_OR_NEAR_ZERO_A,0.0,0
7,161136,0.25,0.25,REGULAR,0.888,888
7,161136,0.25,0.25,POLE_LIKE,0.103,103
7,161136,0.25,0.25,JOINTLY_SMALL,0.009,9
7,161136,0.25,0.25,EXACT_OR_NEAR_ZERO_A,0.0,0
8,161138,0.05,0.05,REGULAR,0.98,980
8,161138,0.05,0.05,POLE_LIKE,0.02,20
8,161138,0.05,0.05,JOINTLY_SMALL,0.0,0
8,161138,0.05,0.05,EXACT_OR_NEAR_ZERO_A,0.0,0
8,161138,0.1,0.1,REGULAR,0.959,959
8,161138,0.1,0.1,POLE_LIKE,0.041,41
8,161138,0.1,0.1,JOINTLY_SMALL,0.0,0
8,161138,0.1,0.1,EXACT_OR_NEAR_ZERO_A,0.0,0
8,161138,0.25,0.25,REGULAR,0.89,890
8,161138,0.25,0.25,POLE_LIKE,0.084,84
8,161138,0.25,0.25,JOINTLY_SMALL,0.026,26
8,161138,0.25,0.25,EXACT_OR_NEAR_ZERO_A,0.0,0
9,161145,0.05,0.05,REGULAR,0.956,956
9,161145,0.05,0.05,POLE_LIKE,0.039,39
9,161145,0.05,0.05,JOINTLY_SMALL,0.005,5
9,161145,0.05,0.05,EXACT_OR_NEAR_ZERO_A,0.0,0
9,161145,0.1,0.1,REGULAR,0.923,923
9,161145,0.1,0.1,POLE_LIKE,0.061,61
9,161145,0.1,0.1,JOINTLY_SMALL,0.016,16
9,161145,0.1,0.1,EXACT_OR_NEAR_ZERO_A,0.0,0
9,161145,0.25,0.25,REGULAR,0.836,836
9,161145,0.25,0.25,POLE_LIKE,0.112,112
9,161145,0.25,0.25,JOINTLY_SMALL,0.052,52
9,161145,0.25,0.25,EXACT_OR_NEAR_ZERO_A,0.0,0
10,161414,0.05,0.05,REGULAR,0.973,973
10,161414,0.05,0.05,POLE_LIKE,0.024,24
10,161414,0.05,0.05,JOINTLY_SMALL,0.003,3
10,161414,0.05,0.05,EXACT_OR_NEAR_ZERO_A,0.0,0
10,161414,0.1,0.1,REGULAR,0.959,959
10,161414,0.1,0.1,POLE_LIKE,0.03,30
10,161414,0.1,0.1,JOINTLY_SMALL,0.011,11
