realization_index,shot,shiftval,recovery_status,source,nmin_historical_ui,mu_yphaseder_kappa,sigma_yphaseder_kappa,mu_yphaseder_betan,sigma_yphaseder_betan
0,155537,17.26282168814762,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.0025826590155777,0.07389373336348205,1.0059560746720717,0.11140352278827273
1,159310,19.542318121078242,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.0024243654490712,0.06988229114334744,1.0005022819137739,0.03241897930508019
2,160715,18.910238240503325,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.0022989288693525,0.06876957765085184,1.0048247748879278,0.10016110639054919
3,160717,17.202606295367328,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.0026018793685576,0.07409809587598959,1.0060116508317196,0.11297016921212465
4,160719,17.064518391123286,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.0026511169607324,0.07412327477800928,1.005786475693929,0.1082854947040604
5,160720,15.449169464823099,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.0037927847466133,0.09109742021683355,1.0078380293813767,0.13061133559200186
6,160721,16.57693830123761,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.0026483157181458,0.07434313467143994,1.0063302704631578,0.11292862248755689
7,161136,19.18822780542834,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.0023691076333558,0.07025959689284707,1.004364485021337,0.09335192734476899
8,161138,18.73137694501134,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.0023033455674875,0.06989727713584383,1.0042485727854553,0.09189610379563218
9,161145,19.355100056269656,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.0020987803281862,0.06606601979722672,1.003988685763465,0.08581267597652714
10,161414,20.230707603691197,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.002228341210746,0.0670491667908365,1.0004819490305672,0.031045016457902204
11,165017,17.49821841431348,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.0025925170551955,0.07277996614307371,1.0012710112258993,0.051151665641085774
12,165022,18.53613488702075,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.002238851423064,0.06786284053578107,1.0008484672262963,0.04243198320000101
13,165026,17.41906529040719,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.0024645678097701,0.07130624787846025,1.0007489561916432,0.0392975135287706
14,165027,14.643161791053483,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.003568913324415,0.0858595186087889,1.0034562353001293,0.08358587741687472
15,165028,17.321830745761037,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.0024151603175264,0.07019559340824727,1.0010545333114815,0.04690436530853166
16,165029,17.399752358966023,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.0026910489510095,0.07412012545817948,1.0010395385467634,0.04684692555116866
17,165031,22.892825739085538,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.0015438888007837,0.055907257541380664,1.000479326931264,0.031362465714617135
18,165042,18.40741199997224,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.002266590632193,0.0683897957055984,1.0006246528632317,0.03526792567207856
19,165043,17.478733819390776,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.0026364905119374,0.073643560721253,1.0006279019763118,0.035438444438401204
20,165860,20.69738688998035,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.0018026885491813,0.061119115021221054,1.0014138667397385,0.053947814007122195
21,165861,20.730412817787137,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.0018097421930792,0.061201416728669064,1.0009662149545933,0.04491798153253241
22,165955,18.27565240885916,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.0026939754309356,0.07416557064204546,1.000832028646898,0.04141968906543944
23,165965,19.563586450342694,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.002363586226569,0.06955658169229384,1.0009233332505352,0.04387544490383425
24,170394,17.00527426665426,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.00290430769189,0.07939903406154482,1.007205327845615,0.1317422382895896
25,170396,17.102076614730425,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.002895831655669,0.07889094072282932,1.0061999741945657,0.11502430730977993
26,170411,17.539174319307875,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.0024517706847944,0.07237857571752168,1.0060438727739727,0.11454334895056667
27,186997,19.48564432981199,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.0018941094928382,0.06322006928527452,1.0050271620774602,0.10497221862281048
28,187017,18.81215808062287,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.0020032707539033,0.06536094364478176,1.0038422494975496,0.08707211157852959
29,187018,18.65179227927651,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.0020842962456675,0.06654219409935161,1.003780663905509,0.08575893028717754
30,187019,19.64319940344753,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.0019244766401194,0.06358682468383586,1.0036339184544496,0.08543072919621071
31,187020,19.152301709102794,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.002128744188812,0.06703064398808918,1.0042380529077761,0.09281678361705041
32,187021,19.20802439520426,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.0019668007649085,0.0644093800305438,1.0036055856515216,0.08384717401526412
33,187022,20.758062002205154,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.0016433059452479,0.0597378502814806,1.0037110546248864,0.08673170351538204
34,187024,19.616711397466837,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.00188981946347,0.06306812679185451,1.003864305674895,0.0890695701765648
35,189646,20.280510115457997,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.002031151190109,0.06505258815834043,1.0025304585906456,0.07113639547860674
36,189647,19.814559265546276,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.0021254357623224,0.06654617391796398,1.003024218453412,0.07619882681144867
37,189649,20.32062006892194,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.002083691481078,0.06508620689986816,1.0029398933302993,0.0765069882420207
38,189650,20.261984291864152,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.002036302961776,0.06501986010986419,1.003342369734868,0.08159460267785068
39,189651,19.48571484331776,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.0021941022288967,0.06758274117712322,1.0033694695110236,0.08185533089377102
40,189652,20.371102439875077,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.0020263537155392,0.06456274013348552,1.0030090900418147,0.07724136896659088
41,195261,23.51129056833176,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.0021719942223744,0.06653461956812454,1.0002394098616367,0.021565785679425253
42,195264,19.89890231599961,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.0029452023938674,0.07722103982449668,1.0004977238691206,0.03191448669601775
43,195265,22.412071881953246,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.0022158367231753,0.0668745301373353,1.000508772279908,0.031907683871307435
44,195266,23.928360997570017,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.001596595353941,0.05759181648156295,1.0004350557891997,0.02978072472961786
45,195267,24.2426158353731,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.0014394845204153,0.05429626428247681,1.0006315636909375,0.03555235318255155
46,195268,22.635000438959388,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.0019627887069105,0.06301545803533946,1.000626879120414,0.03519935986800957
47,195269,18.884190457832002,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.002553627692775,0.07228912432744267,1.0012808901372672,0.050611925189137555
48,195273,18.89009306739067,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.0027751143636656,0.07510849739260857,1.0009828491776473,0.04444455702109405
49,195274,22.88554299063471,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.0016897608606121,0.05864440978397829,1.0005973346954538,0.0347095555778677
50,195626,17.47220850407845,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.002477297131918,0.07203533430644121,1.006205401258889,0.11389213686414344
51,195638,17.27365821405129,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.002416584784504,0.07135230661524165,1.0054128675097904,0.10471598650318552
52,195642,17.743025586673514,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.002173711892206,0.06736073983480839,1.0052286079673503,0.10359525069343198
53,195645,18.230728576282953,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.0020220793541033,0.06508310082800797,1.0053966953811662,0.1065929830487606
54,195647,17.794262605237485,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.0022117215468773,0.06831965706586539,1.005246348114991,0.10367839234137914
55,195648,18.114449524871077,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.0019795932559963,0.06459491559854323,1.0053291208548705,0.10446021378247657
56,195649,23.696068715807982,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.0012089472391157,0.049463110039291894,1.0031605501279235,0.08059831718525301
57,195650,20.82988566444424,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.0016864356863036,0.05843667792137084,1.0040562885770692,0.09107188969498392
58,195651,16.837887103766583,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.0024228752548174,0.07098653400234696,1.0061415612928843,0.11176609106714001
59,195652,16.701762628264742,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.0024460388707028,0.07130477445521041,1.0067449787942677,0.12202980249406367
60,195655,17.516905315622935,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.0023396466812748,0.06987382022749387,1.0052662720067047,0.10233362917856687
61,195659,17.49910312793397,EXACT_FROM_SERIALIZED_STATE,psir.meanSTDinfo.consummer_function[i].shiftval,UNKNOWN,1.0023313054561926,0.07017190251161183,1.0051616423594147,0.10206624696451493
