log10_abs_A_left,log10_abs_A_right,n,median_abs_explicit_error,q90_abs_explicit_error,q99_abs_explicit_error
-6.577932189833438,-6.270623559023234,1,42888.76391018591,42888.76391018591,42888.76391018591
-5.96331492821303,-5.6560062974028265,1,14498.59763605688,14498.59763605688,14498.59763605688
-5.6560062974028265,-5.3486976665926225,5,2237.1015110702574,2748.208455473034,3046.035070827049
-5.3486976665926225,-5.0413890357824185,7,3378.865068460249,3702.625029399017,3715.9316151306557
-5.0413890357824185,-4.7340804049722145,18,474.92347522433823,2348.6286823789937,2594.7428240405575
-4.7340804049722145,-4.426771774162011,35,345.9240772256653,592.8327797511427,1072.4842812220163
-4.426771774162011,-4.1194631433518065,57,186.15890411780913,596.1670056723394,725.6948969839273
-4.1194631433518065,-3.812154512541603,98,74.01089610195504,200.01094708399202,364.6930885108889
-3.812154512541603,-3.504845881731399,183,28.02950181473903,127.9276319257255,505.35807308805437
-3.504845881731399,-3.197537250921195,377,14.936484547218456,61.22251051064124,149.71446219818682
-3.197537250921195,-2.8902286201109915,832,8.050438996249197,28.720149011252346,102.74838257335836
-2.8902286201109915,-2.5829199893007875,1566,4.1972240672421,15.04463429203257,40.702420083838234
-2.5829199893007875,-2.2756113584905835,3320,2.092112788421413,7.022013409085961,24.936414476089354
-2.2756113584905835,-1.9683027276803795,6377,1.159912068369462,3.8930328334839333,13.119239663053914
-1.9683027276803795,-1.6609940968701755,11348,0.7034581985048853,2.243688266195043,6.839256441723338
-1.6609940968701755,-1.3536854660599715,16689,0.5390416032208482,1.6266197114034464,4.341876750046083
-1.3536854660599715,-1.0463768352497675,14942,0.4841644631563863,1.4820855701477245,3.3651917519558334
-1.0463768352497675,-0.7390682044395636,5920,0.4868553744575309,1.4688098647978112,3.2467895378541054
-0.7390682044395636,-0.4317595736293596,223,0.6615791450349642,2.27809271856689,5.312422598878342
