realization_index,shot,F_kappa_median,F_betan_median,F_sum_median,cov_Fkappa_Fbetan,frac_A_small_and_cancellation,frac_A_small_large_Fkappa,frac_A_small_large_Fbetan,frac_A_small_small_den
0,155537,0.3132671762509801,0.6607553968307345,0.9745687408612238,-0.00011139815835494223,0.04,0.0,0.04,0.0
1,159310,0.1480046367872756,0.8229613388859497,0.9706431247399776,-2.0152022731950084e-05,0.0,0.0,0.037,0.0
2,160715,0.361803478583768,0.5833762139635952,0.9457583154598119,-0.0001116181278009116,0.015,0.0,0.015,0.0
3,160717,0.26212428153852824,0.6785236509697169,0.9411111043196643,-5.592291037381119e-05,0.018,0.0,0.018,0.0
4,160719,0.37618567467165204,0.5996967542732272,0.97631302036805,-0.00016480717741161057,0.06,0.0,0.06,0.0
5,160720,0.24153344515669858,0.6498435638009283,0.8934519600382274,-1.9869662107970002e-05,0.012,0.0,0.012,0.0
6,160721,0.3610950720953084,0.616305232457105,0.9774704517835444,-0.00018707444963692613,0.046,0.0,0.046,0.0
7,161136,0.1897048385056637,0.7913097531280272,0.9810614828130158,1.521957728888236e-05,0.001,0.0,0.04,0.0
8,161138,0.13857805997121164,0.8442487028975012,0.9833970711456835,8.125627238458317e-06,0.0,0.0,0.041,0.0
9,161145,0.1442129748973356,0.8621229858238295,1.0063608519628402,-1.5631165625543706e-05,0.0,0.0,0.077,0.0
10,161414,0.07116050879567007,0.9152516441185607,0.9856583852499256,-1.7557650773051412e-05,0.0,0.0,0.041,0.0
11,165017,0.14452307325167538,0.8370775149760743,0.9813680520514311,1.3278351768123679e-05,0.0,0.0,0.063,0.0
12,165022,0.41236459681768545,0.5278174032676507,0.939777682822377,-3.301239765776563e-06,0.022,0.0,0.022,0.0
13,165026,0.11968042222475554,0.8248483346743513,0.9438165633679785,3.816824090439668e-06,0.0,0.0,0.027,0.0
14,165027,0.2690051916999224,0.7257748613761477,0.99092293732564,-2.114060643830984e-05,0.049,0.0,0.049,0.0
15,165028,0.061740596823119005,0.9189036464037825,0.9812056975878192,7.425815081436979e-06,0.0,0.0,0.05,0.0
16,165029,0.1468342524336132,0.8222561882343125,0.9686703188584289,-1.5829853436450806e-05,0.0,0.0,0.038,0.0
17,165031,0.20566668800294066,0.7621003119320673,0.9668052414519499,5.068530459235452e-06,0.032,0.0,0.032,0.0
18,165042,0.02478984405078749,0.9662896307663003,0.9911805972676073,2.4588883775291194e-06,0.0,0.0,0.071,0.0
19,165043,0.06298049250865292,0.923791412727593,0.9865160058056213,-9.935028668827114e-07,0.0,0.0,0.062,0.0
20,165860,0.1913573240512806,0.8040701092084237,0.9950065085687901,-1.4582021419694872e-05,0.0,0.0,0.059,0.0
21,165861,0.1644608843502065,0.8176713100085019,0.9821719151270678,-3.418595789061291e-05,0.0,0.0,0.033,0.0
22,165955,0.050923676902543416,0.9427860028216128,0.9933072092540225,-4.5202109211497805e-06,0.0,0.0,0.051,0.0
23,165965,0.08898104980474583,0.895343450898965,0.9837770519012958,-1.749817897776767e-05,0.0,0.0,0.04,0.0
24,170394,0.21917205728032818,0.6581540241983215,0.8764938562027399,-4.065404132941279e-06,0.01,0.0,0.01,0.0
25,170396,0.13299797614005116,0.7758439771917305,0.9083253230791544,-2.1090638438470798e-05,0.0,0.0,0.02,0.0
26,170411,0.15091617877978497,0.810864460251045,0.9619058585760536,-3.846364810574018e-05,0.0,0.0,0.038,0.0
27,186997,0.19874261996415965,0.7807448319763745,0.9788538249280485,-4.546502363483469e-05,0.009,0.0,0.048,0.0
28,187017,0.21911638077986434,0.7766015898495569,0.995089227696629,-2.131893183712797e-05,0.064,0.0,0.064,0.0
29,187018,0.1822197508770293,0.8152926245636317,0.9962190075006054,2.5385636648899142e-05,0.0,0.0,0.064,0.0
30,187019,0.17084166908196388,0.8271531332536284,0.996563349536169,-3.5377620105861916e-06,0.0,0.0,0.054,0.0
31,187020,0.2950876651855042,0.6934332563188774,0.9892462290664268,1.860712447018573e-05,0.058,0.0,0.058,0.0
32,187021,0.27987368584324157,0.71304639914599,0.9924363158791716,1.3452511364220766e-05,0.05,0.0,0.05,0.0
33,187022,0.2173179956557572,0.7742736603937745,0.9903074731780238,-1.5738402581902098e-05,0.057,0.0,0.057,0.0
34,187024,0.4106167493330205,0.5762833816511512,0.9878324868665901,-4.7436243343286315e-05,0.049,0.0,0.049,0.0
35,189646,0.19846697136490676,0.8031807952231782,1.0022226869203803,-7.079954847733417e-05,0.035,0.0,0.078,0.0
36,189647,-0.02274824108252613,1.0514955112543383,1.0286453570498315,6.717749874669467e-07,0.0,0.0,0.041,0.0
37,189649,0.2384070499763129,0.7595163667569391,0.9992276801353525,-3.6240909766275876e-05,0.057,0.0,0.057,0.0
38,189650,0.1585037251018181,0.8373693287832025,0.9968779389269578,-9.028892241606693e-06,0.0,0.0,0.053,0.0
39,189651,0.23242661322591607,0.765387626358248,0.9972993600329567,-6.630962621341742e-05,0.069,0.0,0.072,0.0
40,189652,0.21102917113958725,0.7944310228825036,1.0054530397805448,-3.5713054921840264e-05,0.055,0.0,0.059,0.0
41,195261,0.0874542260790642,0.9029037595755598,0.9893252058228159,-5.80971123614994e-05,0.0,0.0,0.055,0.0
42,195264,0.109834687143254,0.8463650645119565,0.955119654970672,-8.05789516535887e-05,0.0,0.0,0.042,0.0
43,195265,0.14694080506292623,0.8343880920468901,0.9802690401307372,-6.970807354983307e-05,0.0,0.0,0.051,0.0
44,195266,0.03418248529047474,0.9511859638320584,0.9851819151283221,-1.0496561476097357e-05,0.0,0.0,0.051,0.0
45,195267,0.10537252147962184,0.891765629298093,0.9970085996172395,-2.5872450872715257e-05,0.0,0.0,0.074,0.0
46,195268,0.16829363832531902,0.8302230490344222,0.9982664357782021,-7.655726715919153e-05,0.0,0.0,0.061,0.0
47,195269,0.16997322332407125,0.8221416923446534,0.9929634905378046,-9.068643608497887e-05,0.003,0.0,0.048,0.0
48,195273,0.10289751761587443,0.8849011857861684,0.9878177775693138,-6.519395650095117e-05,0.0,0.0,0.067,0.0
49,195274,0.16384355869817374,0.8343656118236539,0.9983048769753551,-4.070261142583907e-05,0.0,0.0,0.073,0.0
50,195626,0.13894520824333062,0.8212299729125395,0.9612583649414693,-5.569525605174889e-05,0.0,0.0,0.056,0.0
51,195638,0.28375550203410405,0.7048861344993325,0.9884030524314229,-9.928325893812534e-05,0.049,0.0,0.049,0.0
52,195642,0.18321389378489134,0.8038973951897126,0.9855278574988657,-8.497240083017175e-05,0.0,0.0,0.057,0.0
53,195645,0.2442673387524638,0.715470549738554,0.9589495310769531,-9.137182175522968e-05,0.029,0.0,0.029,0.0
54,195647,0.21333955299212576,0.770986636544188,0.9820735686727251,-6.475672713004164e-05,0.042,0.0,0.042,0.0
55,195648,0.2638494268778231,0.7219337113901015,0.9846372676729427,-9.042527274394993e-05,0.042,0.0,0.042,0.0
56,195649,0.32879241096657297,0.6547911340564696,0.9834055446857077,-8.287173959452648e-05,0.067,0.0,0.067,0.0
57,195650,0.33982225102108493,0.6500427160748405,0.989494474016416,-0.00010101082061114814,0.048,0.0,0.048,0.0
58,195651,0.21343060018492693,0.7675741715119675,0.9800186573331524,-0.00011019522677274679,0.042,0.0,0.042,0.0
59,195652,0.27532388695796217,0.6890309225481708,0.9638611748628159,-0.00012159419504881816,0.057,0.0,0.057,0.0
60,195655,0.23714460777375715,0.7595106684923317,0.9969791331179105,-8.08794697299072e-05,0.063,0.0,0.063,0.0
61,195659,0.25635059910097957,0.7307117789228978,0.9859534535304366,-6.891654343921843e-05,0.046,0.0,0.046,0.0
