realization_index,shot,sample_index,eps,A_analytical,dG_dy_fd,abs_error
15,165028,37,1e-06,0.019629073061301128,0.019629073921834106,8.605329782085391e-10
15,165028,37,1e-05,0.019629073061301128,0.019629073100269068,3.8967939985923294e-11
15,165028,37,0.0001,0.019629073061301128,0.019629073066962377,5.661249247168598e-12
25,170396,740,1e-06,0.0615708397155067,0.06157084075919528,1.043688580004698e-09
25,170396,740,1e-05,0.0615708397155067,0.06157083950464325,2.108634447606228e-10
25,170396,740,0.0001,0.0615708397155067,0.06157083971003452,5.472178266074934e-12
45,195267,46,1e-06,0.0027819922859240176,0.002781991803590955,4.823330623793254e-10
45,195267,46,1e-05,0.0027819922859240176,0.002781992314293546,2.8369528514565756e-11
45,195267,46,0.0001,0.0027819922859240176,0.0027819922926441976,6.7201799680560725e-12
29,187018,853,1e-06,0.04343626977483295,0.043436268692964575,1.0818683726654399e-09
29,187018,853,1e-05,0.04343626977483295,0.04343626982539205,5.0559105513325875e-11
29,187018,853,0.0001,0.04343626977483295,0.043436269779872916,5.039968442588361e-12
27,186997,614,1e-06,0.05727823240469809,0.057278231574420246,8.302778464752691e-10
27,186997,614,1e-05,0.05727823240469809,0.05727823241680196,1.2103866520174478e-11
27,186997,614,0.0001,0.05727823240469809,0.05727823240611607,1.41797684705125e-12
39,189651,343,1e-06,0.022081621826341546,0.022081622308434135,4.820925880721916e-10
39,189651,343,1e-05,0.022081621826341546,0.02208162186434492,3.8003374752682006e-11
39,189651,343,0.0001,0.022081621826341546,0.022081621824376896,1.964650664376677e-12
20,165860,770,1e-06,-0.0030100158397616816,-0.0030100149872591686,8.525025130268205e-10
20,165860,770,1e-05,-0.0030100158397616816,-0.0030100159587043147,1.1894263308651065e-10
20,165860,770,0.0001,-0.0030100158397616816,-0.0030100158215917716,1.8169910021015312e-11
48,195273,23,1e-06,0.020059922709028788,0.020059921168602557,1.5404262310170225e-09
48,195273,23,1e-05,0.020059922709028788,0.020059922778425943,6.939715468945451e-11
48,195273,23,0.0001,0.020059922709028788,0.020059922714033007,5.0042192611954306e-12
61,195659,205,1e-06,0.007579194202563033,0.0075791925652213266,1.6373417066617435e-09
61,195659,205,1e-05,0.007579194202563033,0.007579194340190386,1.3762735309036378e-10
61,195659,205,0.0001,0.007579194202563033,0.007579194205714623,3.151590100003432e-12
37,189649,665,1e-06,-0.0027490404362239262,-0.0027490392184859047,1.2177380215305789e-09
37,189649,665,1e-05,-0.0027490404362239262,-0.002749040461935692,2.5711765615915594e-11
37,189649,665,0.0001,-0.0027490404362239262,-0.0027490404341801167,2.0438095660324507e-12
46,195268,833,1e-06,0.004095709770057354,0.004095710520735096,7.506777421895094e-10
46,195268,833,1e-05,0.004095709770057354,0.004095709818519033,4.846167911409793e-11
46,195268,833,0.0001,0.004095709770057354,0.004095709767448774,2.608580018659268e-12
21,165861,647,1e-06,-0.03945099240741856,-0.03945099183444434,5.729742236226798e-10
21,165861,647,1e-05,-0.03945099240741856,-0.03945099237567806,3.174049911791599e-11
21,165861,647,0.0001,-0.03945099240741856,-0.03945099240454386,2.874700477661918e-12
57,195650,676,1e-06,0.012674056187724103,0.012674057081607515,8.938834117344641e-10
57,195650,676,1e-05,0.012674056187724103,0.012674055976935604,2.1078849950229017e-10
57,195650,676,0.0001,0.012674056187724103,0.012674056174000192,1.372391089660141e-11
56,195649,362,1e-06,-0.023272010490168804,-0.023272010651886887,1.617180833690668e-10
56,195649,362,1e-05,-0.023272010490168804,-0.023272010363228898,1.2693990650292086e-10
56,195649,362,0.0001,-0.023272010490168804,-0.023272010485353434,4.8153703247066915e-12
10,161414,30,1e-06,0.0007065476500518475,0.0007065469320721718,7.179796757128543e-10
10,161414,30,1e-05,0.0007065476500518475,0.000706547759188325,1.0913647752446715e-10
10,161414,30,0.0001,0.0007065476500518475,0.0007065476531620263,3.1101787811849135e-12
9,161145,748,1e-06,-0.007425034971776379,-0.007425033921037993,1.0507383851887653e-09
9,161145,748,1e-05,-0.007425034971776379,-0.007425035131181089,1.5940471078529361e-10
9,161145,748,0.0001,-0.007425034971776379,-0.007425034980190759,8.414380303634061e-12
19,165043,762,1e-06,-0.000612158990228262,-0.000612159739565854,7.493375919764844e-10
19,165043,762,1e-05,-0.000612158990228262,-0.0006121590664931453,7.626488329748327e-11
19,165043,762,0.0001,-0.000612158990228262,-0.0006121589966184837,6.390221685137476e-12
40,189652,740,1e-06,0.0012596862514541174,0.0012596860776703522,1.7378376515608807e-10
40,189652,740,1e-05,0.0012596862514541174,0.0012596860055058556,2.4594826175672324e-10
40,189652,740,0.0001,0.0012596862514541174,0.0012596862253300145,2.6124102880942246e-11
0,155537,888,1e-06,0.008682892371577378,0.008682892391198571,1.9621193558805317e-11
0,155537,888,1e-05,0.008682892371577378,0.008682892375933005,4.355626970209414e-12
0,155537,888,0.0001,0.008682892371577378,0.008682892376696283,5.118905299639209e-12
0,155537,422,1e-06,0.04140811829992308,0.04140811726838223,1.031540852736157e-09
