signal_index,signal,class,physical_unit,units_status,family,description,candidate_class_pass,candidate_class_failure_reason,target_side_major_flags,target_side_major_flag_count
1,bt,DIRECT_MEASUREMENT,T,resolved_partial,magnetics,Toroidal magnetic field,True,,U009|U010,2
2,ip,DIRECT_MEASUREMENT,A,resolved_spelling,magnetics,Plasma current,True,,U009|U010,2
3,pcbcoil,DIRECT_MEASUREMENT,,uncalibrated,magnetics,Plasma control B-coil signal (uncalibrated),False,uncalibrated raw digitiser output; no resolved physical unit,,0
4,pcdiamag3,DIRECT_MEASUREMENT,,uncalibrated,magnetics,Diamagnetic loop signal (uncalibrated),False,uncalibrated raw digitiser output; no resolved physical unit,,0
5,vsurf,DIRECT_MEASUREMENT,V,documented,magnetics,Surface loop voltage,True,,,0
6,aminor,EQUILIBRIUM_DERIVED,m,documented,equilibrium_shape,Plasma minor radius (EFIT),False,class EQUILIBRIUM_DERIVED is normally excluded as primary target,U003,1
7,area,EQUILIBRIUM_DERIVED,m^2,documented,equilibrium_shape,Plasma poloidal cross-sectional area (EFIT),False,class EQUILIBRIUM_DERIVED is normally excluded as primary target,U003,1
8,betan,EQUILIBRIUM_DERIVED,1,dimensionless,equilibrium_shape,Normalised beta,False,class EQUILIBRIUM_DERIVED is normally excluded as primary target,U003,1
9,drsep,EQUILIBRIUM_DERIVED,m,documented,equilibrium_shape,Separatrix-to-separatrix distance (upper/lower balance),False,class EQUILIBRIUM_DERIVED is normally excluded as primary target,U003,1
10,kappa,EQUILIBRIUM_DERIVED,1,dimensionless,equilibrium_shape,Plasma elongation,False,class EQUILIBRIUM_DERIVED is normally excluded as primary target,U003,1
11,li,EQUILIBRIUM_DERIVED,1,dimensionless,equilibrium_shape,Normalised internal inductance,False,class EQUILIBRIUM_DERIVED is normally excluded as primary target,U003,1
12,q95,EQUILIBRIUM_DERIVED,1,dimensionless,equilibrium_shape,Safety factor at the 95% flux surface,False,class EQUILIBRIUM_DERIVED is normally excluded as primary target,U003,1
13,rmaxis,EQUILIBRIUM_DERIVED,m,documented,equilibrium_shape,Magnetic axis major radius,False,class EQUILIBRIUM_DERIVED is normally excluded as primary target,U003,1
14,rsurf,EQUILIBRIUM_DERIVED,m,documented,equilibrium_shape,"Plasma boundary geometric centre, major radius",False,class EQUILIBRIUM_DERIVED is normally excluded as primary target,U003,1
15,tribot,EQUILIBRIUM_DERIVED,1,dimensionless,equilibrium_shape,Bottom triangularity,False,class EQUILIBRIUM_DERIVED is normally excluded as primary target,U003,1
16,tritop,EQUILIBRIUM_DERIVED,1,dimensionless,equilibrium_shape,Top triangularity,False,class EQUILIBRIUM_DERIVED is normally excluded as primary target,U003,1
17,volume,EQUILIBRIUM_DERIVED,m^3,documented,equilibrium_shape,Plasma volume,False,class EQUILIBRIUM_DERIVED is normally excluded as primary target,U003,1
18,zcur,EQUILIBRIUM_DERIVED,m,documented,equilibrium_shape,Vertical position of the plasma current centroid,False,class EQUILIBRIUM_DERIVED is normally excluded as primary target,U003,1
19,zmaxis,EQUILIBRIUM_DERIVED,m,documented,equilibrium_shape,Magnetic axis vertical position,False,class EQUILIBRIUM_DERIVED is normally excluded as primary target,U003,1
20,zsurf,EQUILIBRIUM_DERIVED,m,documented,equilibrium_shape,"Plasma boundary geometric centre, vertical position",False,class EQUILIBRIUM_DERIVED is normally excluded as primary target,U003,1
21,density,DIAGNOSTIC_RECONSTRUCTION,cm^-3,documented,density,Line-averaged electron density,True,,,0
22,prmtan_neped,DIAGNOSTIC_RECONSTRUCTION,m^-3,documented,density,Pedestal electron density from tanh fit,True,,U009|U010,2
23,prmtan_teped,DIAGNOSTIC_RECONSTRUCTION,eV,documented,density,Pedestal electron temperature from tanh fit,True,,U009|U010,2
24,fs04,DIRECT_MEASUREMENT,ph/(sr cm^2 s),resolved_spelling,filterscope_dalpha,Filterscope D-alpha channel (fs04),True,,,0
25,fs03da,DIRECT_MEASUREMENT,ph/(sr cm^2 s),resolved_spelling,filterscope_dalpha,Filterscope D-alpha channel (fs03da),True,,,0
26,fs04da,DIRECT_MEASUREMENT,ph/(sr cm^2 s),resolved_spelling,filterscope_dalpha,Filterscope D-alpha channel (fs04da),True,,,0
27,fs05da,DIRECT_MEASUREMENT,ph/(sr cm^2 s),resolved_spelling,filterscope_dalpha,Filterscope D-alpha channel (fs05da),True,,,0
28,gasa,CONTROL_COMMAND_OR_ACTUATION,V,resolved_partial,gas_injection,"Gas injection valve command, manifold A",False,class CONTROL_COMMAND_OR_ACTUATION is normally excluded as primary target,,0
29,gasb,CONTROL_COMMAND_OR_ACTUATION,V,resolved_partial,gas_injection,"Gas injection valve command, manifold B",False,class CONTROL_COMMAND_OR_ACTUATION is normally excluded as primary target,,0
30,gasc,CONTROL_COMMAND_OR_ACTUATION,V,resolved_partial,gas_injection,"Gas injection valve command, manifold C",False,class CONTROL_COMMAND_OR_ACTUATION is normally excluded as primary target,,0
31,gasd,CONTROL_COMMAND_OR_ACTUATION,V,documented,gas_injection,"Gas injection valve command, manifold D",False,class CONTROL_COMMAND_OR_ACTUATION is normally excluded as primary target,,0
32,pinj,CONTROL_COMMAND_OR_ACTUATION,kW,documented,neutral_beams,Total injected neutral beam power,False,class CONTROL_COMMAND_OR_ACTUATION is normally excluded as primary target,,0
33,pinj_15l,CONTROL_COMMAND_OR_ACTUATION,W,documented,neutral_beams,"Injected neutral beam power, beamline 15L",False,class CONTROL_COMMAND_OR_ACTUATION is normally excluded as primary target,,0
