target,shot_id,block,scale,zero_scale,finite,n_calibration_samples,n_evaluation_samples,valid_for_normalized_scoring
bt,160715,A,0.0023093218010987104,False,True,86,21,True
bt,160715,B,0.0032634598943850554,False,True,129,21,True
bt,160715,C,0.003879578368636672,False,True,172,21,True
bt,160720,A,0.002240785370475845,False,True,86,21,True
bt,160720,B,0.003017179191251572,False,True,129,21,True
bt,160720,C,0.0035675697932409114,False,True,172,21,True
bt,161138,A,0.0017820589985926842,False,True,75,19,True
bt,161138,B,0.0021739117400144093,False,True,112,19,True
bt,161138,C,0.0024822651296804166,False,True,150,19,True
bt,165022,A,0.00251591515635555,False,True,85,22,True
bt,165022,B,0.0032057734171766694,False,True,128,21,True
bt,165022,C,0.0036508236202440762,False,True,171,21,True
bt,165028,A,0.00240999967170482,False,True,86,21,True
bt,165028,B,0.003070689039488333,False,True,129,21,True
bt,165028,C,0.0035299965548073104,False,True,172,21,True
bt,165042,A,0.002563533563411923,False,True,85,22,True
bt,165042,B,0.003086330601786856,False,True,128,21,True
bt,165042,C,0.0034809068114035582,False,True,171,21,True
bt,165861,A,0.002510072122359531,False,True,86,21,True
bt,165861,B,0.003237238216314219,False,True,129,21,True
bt,165861,C,0.0037126229410974327,False,True,172,21,True
bt,170396,A,0.0035692396024719912,False,True,92,23,True
bt,170396,B,0.004187261823978473,False,True,138,23,True
bt,170396,C,0.004671227908539397,False,True,184,23,True
bt,187017,A,0.005269784125828282,False,True,100,25,True
bt,187017,B,0.0059469377473988835,False,True,150,25,True
bt,187017,C,0.0063885767262468664,False,True,200,25,True
bt,187020,A,0.005246743587273551,False,True,102,26,True
bt,187020,B,0.005947754884379232,False,True,154,25,True
bt,187020,C,0.0068216232280775,False,True,205,26,True
bt,187024,A,0.005463356452450445,False,True,102,26,True
bt,187024,B,0.006178517606430509,False,True,154,25,True
bt,187024,C,0.006727640318575374,False,True,205,26,True
bt,189647,A,0.0040732460370805045,False,True,87,22,True
bt,189647,B,0.005308561849056799,False,True,130,22,True
bt,189647,C,0.006537461901089022,False,True,174,22,True
bt,189651,A,0.0029970537909744634,False,True,87,22,True
bt,189651,B,0.004221136776443155,False,True,130,22,True
bt,189651,C,0.005269468531961408,False,True,174,22,True
bt,195264,A,0.0037076198317323394,False,True,105,27,True
bt,195264,B,0.004782487825937631,False,True,158,26,True
bt,195264,C,0.0061192936899950095,False,True,211,26,True
bt,195267,A,0.0038200447234198317,False,True,107,27,True
bt,195267,B,0.004858284882812143,False,True,160,27,True
bt,195267,C,0.005650083795240428,False,True,214,27,True
bt,195273,A,0.0037363821358203726,False,True,107,27,True
bt,195273,B,0.004800309625116432,False,True,160,27,True
bt,195273,C,0.005529075066750983,False,True,214,27,True
bt,195638,A,0.0042809183059719065,False,True,95,24,True
bt,195638,B,0.005437919938357595,False,True,142,24,True
bt,195638,C,0.006724058985925727,False,True,190,24,True
bt,195647,A,0.004956992270868805,False,True,95,24,True
bt,195647,B,0.006245285572982762,False,True,142,24,True
bt,195647,C,0.0074215093778292095,False,True,190,24,True
bt,195650,A,0.0052849137049914225,False,True,95,24,True
bt,195650,B,0.006438556821242618,False,True,142,24,True
bt,195650,C,0.007781835503828623,False,True,190,24,True
bt,195655,A,0.0042302723868415815,False,True,95,24,True
bt,195655,B,0.005532408510033286,False,True,143,24,True
bt,195655,C,0.0066035591356816735,False,True,191,24,True
ip,160715,A,58379.132675935616,False,True,86,21,True
ip,160715,B,49131.59470996036,False,True,129,21,True
ip,160715,C,43127.11123687954,False,True,172,21,True
ip,160720,A,59156.446599223644,False,True,86,21,True
ip,160720,B,49750.80803394141,False,True,129,21,True
ip,160720,C,43798.4995819001,False,True,172,21,True
ip,161138,A,3814.1203234439863,False,True,75,19,True
ip,161138,B,4316.955198800162,False,True,112,19,True
ip,161138,C,4677.514221075754,False,True,150,19,True
ip,165022,A,56297.23105275037,False,True,85,22,True
ip,165022,B,47240.463194197975,False,True,128,21,True
ip,165022,C,41435.119760476584,False,True,171,21,True
ip,165028,A,55675.19438056894,False,True,86,21,True
ip,165028,B,46810.43206946533,False,True,129,21,True
ip,165028,C,40999.81869582042,False,True,172,21,True
ip,165042,A,55817.5354380926,False,True,85,22,True
ip,165042,B,46829.92052159408,False,True,128,21,True
ip,165042,C,41041.11265204263,False,True,171,21,True
ip,165861,A,68298.59063246536,False,True,86,21,True
ip,165861,B,57530.8679741795,False,True,129,21,True
ip,165861,C,50494.61735460309,False,True,172,21,True
ip,170396,A,100273.47137674804,False,True,92,23,True
ip,170396,B,85502.2333515681,False,True,138,23,True
ip,170396,C,75516.80295321338,False,True,184,23,True
ip,187017,A,4830.610977754134,False,True,100,25,True
ip,187017,B,4230.593605817739,False,True,150,25,True
ip,187017,C,4070.4202993913254,False,True,200,25,True
ip,187020,A,13887.292654111307,False,True,102,26,True
ip,187020,B,12932.364641219152,False,True,154,25,True
ip,187020,C,12232.440540483056,False,True,205,26,True
ip,187024,A,2852.3727075706884,False,True,102,26,True
ip,187024,B,2793.6356577444426,False,True,154,25,True
ip,187024,C,3052.5348960203305,False,True,205,26,True
ip,189647,A,95562.82508589764,False,True,87,22,True
ip,189647,B,81114.57047104309,False,True,130,22,True
ip,189647,C,71236.9679598353,False,True,174,22,True
ip,189651,A,207221.53987442097,False,True,87,22,True
ip,189651,B,181657.78916777245,False,True,130,22,True
ip,189651,C,161916.85685745752,False,True,174,22,True
ip,195264,A,3727.700220388505,False,True,105,27,True
ip,195264,B,4461.21168745281,False,True,158,26,True
ip,195264,C,4383.609220005143,False,True,211,26,True
ip,195267,A,3247.528552225126,False,True,107,27,True
ip,195267,B,2952.681915733108,False,True,160,27,True
ip,195267,C,3016.1300861209475,False,True,214,27,True
ip,195273,A,3534.323332888229,False,True,107,27,True
ip,195273,B,3159.8748447419657,False,True,160,27,True
ip,195273,C,3077.176310803587,False,True,214,27,True
ip,195638,A,97893.41156240052,False,True,95,24,True
ip,195638,B,83405.83691532277,False,True,142,24,True
ip,195638,C,73507.191107006,False,True,190,24,True
ip,195647,A,181087.43849328108,False,True,95,24,True
ip,195647,B,158235.83532328316,False,True,142,24,True
ip,195647,C,140972.86498905972,False,True,190,24,True
ip,195650,A,181971.69526072036,False,True,95,24,True
ip,195650,B,158873.0201688553,False,True,142,24,True
ip,195650,C,141525.9476383336,False,True,190,24,True
ip,195655,A,64963.823922783886,False,True,95,24,True
ip,195655,B,54580.97413886998,False,True,143,24,True
ip,195655,C,47881.25518539478,False,True,191,24,True
vsurf,160715,A,0.5043976761836639,False,True,86,21,True
vsurf,160715,B,0.44170135244656156,False,True,129,21,True
vsurf,160715,C,0.3940152340845672,False,True,172,21,True
vsurf,160720,A,0.49913914812002014,False,True,86,21,True
vsurf,160720,B,0.43554495817594485,False,True,129,21,True
vsurf,160720,C,0.3897992998767995,False,True,172,21,True
vsurf,161138,A,0.11043559281035936,False,True,75,19,True
vsurf,161138,B,0.09301544099549072,False,True,112,19,True
vsurf,161138,C,0.08439376621740893,False,True,150,19,True
vsurf,165022,A,0.5060787941789917,False,True,85,22,True
vsurf,165022,B,0.44228915314113487,False,True,128,21,True
vsurf,165022,C,0.391848579807606,False,True,171,21,True
vsurf,165028,A,0.48984349973561936,False,True,86,21,True
vsurf,165028,B,0.4269168234432704,False,True,129,21,True
vsurf,165028,C,0.3753896048578022,False,True,172,21,True
vsurf,165042,A,0.4879249824955543,False,True,85,22,True
vsurf,165042,B,0.4259661668524134,False,True,128,21,True
vsurf,165042,C,0.3769587486936656,False,True,171,21,True
vsurf,165861,A,0.5068311046441456,False,True,86,21,True
vsurf,165861,B,0.4464291199226625,False,True,129,21,True
vsurf,165861,C,0.3944891719120635,False,True,172,21,True
vsurf,170396,A,0.5643897287012137,False,True,92,23,True
vsurf,170396,B,0.4999964569617289,False,True,138,23,True
vsurf,170396,C,0.4508669029662362,False,True,184,23,True
vsurf,187017,A,0.1845760874259299,False,True,100,25,True
vsurf,187017,B,0.15162172257096287,False,True,150,25,True
vsurf,187017,C,0.1352706281724444,False,True,200,25,True
vsurf,187020,A,0.08684781323011571,False,True,102,26,True
vsurf,187020,B,0.07686760979513227,False,True,154,25,True
vsurf,187020,C,0.0779412562977996,False,True,205,26,True
vsurf,187024,A,0.032181735529108496,False,True,102,26,True
vsurf,187024,B,0.03684239453783854,False,True,154,25,True
vsurf,187024,C,0.04457151750375953,False,True,205,26,True
vsurf,189647,A,0.5928135953793228,False,True,87,22,True
vsurf,189647,B,0.5549677300865542,False,True,130,22,True
vsurf,189647,C,0.4993170707103722,False,True,174,22,True
vsurf,189651,A,0.6572477832360729,False,True,87,22,True
vsurf,189651,B,0.6143052602606985,False,True,130,22,True
vsurf,189651,C,0.5579979649032824,False,True,174,22,True
vsurf,195264,A,0.3019461044482241,False,True,105,27,True
vsurf,195264,B,0.26867687625570047,False,True,158,26,True
vsurf,195264,C,0.23694814363495217,False,True,211,26,True
vsurf,195267,A,0.30825142452503773,False,True,107,27,True
vsurf,195267,B,0.26363356850218855,False,True,160,27,True
vsurf,195267,C,0.23171804671998011,False,True,214,27,True
vsurf,195273,A,0.33928448344696777,False,True,107,27,True
vsurf,195273,B,0.2897556833068011,False,True,160,27,True
vsurf,195273,C,0.2553186058037608,False,True,214,27,True
vsurf,195638,A,0.5581606476220649,False,True,95,24,True
vsurf,195638,B,0.4856133411279895,False,True,142,24,True
vsurf,195638,C,0.43304430733807114,False,True,190,24,True
vsurf,195647,A,0.5774181333739012,False,True,95,24,True
vsurf,195647,B,0.5122623014454012,False,True,142,24,True
vsurf,195647,C,0.45798706960303487,False,True,190,24,True
vsurf,195650,A,0.5434962765679624,False,True,95,24,True
vsurf,195650,B,0.47626802746121494,False,True,142,24,True
vsurf,195650,C,0.42617938371739933,False,True,190,24,True
vsurf,195655,A,0.5234454610688555,False,True,95,24,True
vsurf,195655,B,0.44808097823774,False,True,143,24,True
vsurf,195655,C,0.3961696767353314,False,True,191,24,True
density,160715,A,1.0289056610248538e+19,False,True,86,21,True
density,160715,B,9.61590273451407e+18,False,True,129,21,True
density,160715,C,8.832311224075566e+18,False,True,172,21,True
density,160720,A,9.50430189086621e+18,False,True,86,21,True
density,160720,B,8.958416663614732e+18,False,True,129,21,True
density,160720,C,1.1832734380003572e+19,False,True,172,21,True
density,161138,A,5.926826480163513e+18,False,True,75,19,True
density,161138,B,6.307085741652145e+18,False,True,112,19,True
density,161138,C,6.339907353731013e+18,False,True,150,19,True
density,165022,A,1.0695969063666676e+19,False,True,85,22,True
density,165022,B,9.835900439851219e+18,False,True,128,21,True
density,165022,C,8.842681547831458e+18,False,True,171,21,True
density,165028,A,1.136206914487549e+19,False,True,86,21,True
density,165028,B,1.0867286742993279e+19,False,True,129,21,True
density,165028,C,1.0198240159716581e+19,False,True,172,21,True
density,165042,A,1.1291932808884552e+19,False,True,85,22,True
density,165042,B,1.0779474010426898e+19,False,True,128,21,True
density,165042,C,9.938719251363256e+18,False,True,171,21,True
