stage,shot_id,development_or_external,signals_values_read,signals_times_read,reason,timestamp
S7.3B,160715,development,64,95,"target-only development feasibility (S7.3 sections 15-19); values used ONLY for the 64 candidate targets, all other signals read for time support only",2026-09-03T00:39:02.303178+00:00
S7.3B,160720,development,64,95,"target-only development feasibility (S7.3 sections 15-19); values used ONLY for the 64 candidate targets, all other signals read for time support only",2026-09-03T00:39:02.402755+00:00
S7.3B,161138,development,64,95,"target-only development feasibility (S7.3 sections 15-19); values used ONLY for the 64 candidate targets, all other signals read for time support only",2026-09-03T00:39:02.499481+00:00
S7.3B,165022,development,64,95,"target-only development feasibility (S7.3 sections 15-19); values used ONLY for the 64 candidate targets, all other signals read for time support only",2026-09-03T00:39:02.597151+00:00
S7.3B,165028,development,64,95,"target-only development feasibility (S7.3 sections 15-19); values used ONLY for the 64 candidate targets, all other signals read for time support only",2026-09-03T00:39:02.699125+00:00
S7.3B,165042,development,64,95,"target-only development feasibility (S7.3 sections 15-19); values used ONLY for the 64 candidate targets, all other signals read for time support only",2026-09-03T00:39:02.798831+00:00
S7.3B,165861,development,64,95,"target-only development feasibility (S7.3 sections 15-19); values used ONLY for the 64 candidate targets, all other signals read for time support only",2026-09-03T00:39:02.897964+00:00
S7.3B,170396,development,64,95,"target-only development feasibility (S7.3 sections 15-19); values used ONLY for the 64 candidate targets, all other signals read for time support only",2026-09-03T00:39:03.000713+00:00
S7.3B,187017,development,64,95,"target-only development feasibility (S7.3 sections 15-19); values used ONLY for the 64 candidate targets, all other signals read for time support only",2026-09-03T00:39:03.122094+00:00
S7.3B,187020,development,64,95,"target-only development feasibility (S7.3 sections 15-19); values used ONLY for the 64 candidate targets, all other signals read for time support only",2026-09-03T00:39:03.243123+00:00
S7.3B,187024,development,64,95,"target-only development feasibility (S7.3 sections 15-19); values used ONLY for the 64 candidate targets, all other signals read for time support only",2026-09-03T00:39:03.362429+00:00
S7.3B,189647,development,64,95,"target-only development feasibility (S7.3 sections 15-19); values used ONLY for the 64 candidate targets, all other signals read for time support only",2026-09-03T00:39:03.461679+00:00
S7.3B,189651,development,64,95,"target-only development feasibility (S7.3 sections 15-19); values used ONLY for the 64 candidate targets, all other signals read for time support only",2026-09-03T00:39:03.560196+00:00
S7.3B,195264,development,64,95,"target-only development feasibility (S7.3 sections 15-19); values used ONLY for the 64 candidate targets, all other signals read for time support only",2026-09-03T00:39:03.673625+00:00
S7.3B,195267,development,64,95,"target-only development feasibility (S7.3 sections 15-19); values used ONLY for the 64 candidate targets, all other signals read for time support only",2026-09-03T00:39:03.793330+00:00
S7.3B,195273,development,64,95,"target-only development feasibility (S7.3 sections 15-19); values used ONLY for the 64 candidate targets, all other signals read for time support only",2026-09-03T00:39:03.912240+00:00
S7.3B,195638,development,64,95,"target-only development feasibility (S7.3 sections 15-19); values used ONLY for the 64 candidate targets, all other signals read for time support only",2026-09-03T00:39:04.017669+00:00
S7.3B,195647,development,64,95,"target-only development feasibility (S7.3 sections 15-19); values used ONLY for the 64 candidate targets, all other signals read for time support only",2026-09-03T00:39:04.121492+00:00
S7.3B,195650,development,64,95,"target-only development feasibility (S7.3 sections 15-19); values used ONLY for the 64 candidate targets, all other signals read for time support only",2026-09-03T00:39:04.224829+00:00
S7.3B,195655,development,64,95,"target-only development feasibility (S7.3 sections 15-19); values used ONLY for the 64 candidate targets, all other signals read for time support only",2026-09-03T00:39:04.326454+00:00
