target,shot_id,block,grid_dt_ms,scale,zero_scale,n_calibration_samples,n_evaluation_samples,valid
bt,160715,A,5.884665792922673,0.0023588315546291365,False,291,73,True
bt,160715,B,5.884665792922673,0.003285871332615916,False,437,73,True
bt,160715,C,5.884665792922673,0.0038923296226142717,False,583,73,True
bt,160720,A,5.884665792922673,0.0023268310383086025,False,292,73,True
bt,160720,B,5.884665792922673,0.0030637413654687425,False,438,72,True
bt,160720,C,5.884665792922673,0.003598695179776044,False,584,73,True
bt,161138,A,9.973614775725594,0.0017946540016017488,False,152,38,True
bt,161138,B,9.973614775725594,0.0022051764563516822,False,228,38,True
bt,161138,C,9.973614775725594,0.0025026836548081043,False,304,38,True
bt,165022,A,5.876840696117805,0.0025742687638527083,False,292,73,True
bt,165022,B,5.876840696117805,0.003238981911249738,False,438,72,True
bt,165022,C,5.876840696117805,0.003672677185365267,False,584,73,True
bt,165028,A,5.898123324396783,0.002433780195553089,False,292,73,True
bt,165028,B,5.898123324396783,0.0030919882646114265,False,438,72,True
bt,165028,C,5.898123324396783,0.0035446354610265216,False,584,73,True
bt,165042,A,5.8533333333333335,0.0026136931482251425,False,293,73,True
bt,165042,B,5.8533333333333335,0.003115866660568687,False,439,74,True
bt,165042,C,5.8533333333333335,0.003501480685825155,False,586,73,True
bt,165861,A,5.890227576974565,0.0025316213707321914,False,292,73,True
bt,165861,B,5.890227576974565,0.0032429192612198135,False,438,73,True
bt,165861,C,5.890227576974565,0.0037171277561902426,False,584,73,True
bt,170396,A,14.144144144144144,0.0035639839380401765,False,130,33,True
bt,170396,B,14.144144144144144,0.004179720303164174,False,195,33,True
bt,170396,C,14.144144144144144,0.004663818863071283,False,260,33,True
bt,187017,A,8.328445747800586,0.007795060102192339,False,240,60,True
bt,187017,B,8.328445747800586,0.008273847670663503,False,360,60,True
bt,187017,C,8.328445747800586,0.008676533464822143,False,480,60,True
bt,187020,A,8.290598290598291,0.0072952658900251625,False,247,62,True
bt,187020,B,8.290598290598291,0.007946884430387578,False,371,62,True
bt,187020,C,8.290598290598291,0.00854954459409624,False,495,62,True
bt,187024,A,7.96169630642955,0.0073912534948725,False,258,64,True
bt,187024,B,7.96169630642955,0.007929971343640773,False,387,64,True
bt,187024,C,7.96169630642955,0.008336480241419484,False,516,64,True
bt,189647,A,7.452991452991453,0.004123941744072256,False,234,58,True
bt,189647,B,7.452991452991453,0.005352649092233391,False,351,58,True
bt,189647,C,7.452991452991453,0.006565750453868478,False,468,58,True
bt,189651,A,7.194719471947194,0.0030625877523194726,False,242,61,True
bt,189651,B,7.194719471947194,0.004283394976659113,False,364,60,True
bt,189651,C,7.194719471947194,0.005311222733075742,False,485,61,True
bt,195264,A,6.818181818181818,0.0037561411699663628,False,310,77,True
bt,195264,B,6.818181818181818,0.004829810197032934,False,465,77,True
bt,195264,C,6.818181818181818,0.006160562809595489,False,620,77,True
bt,195267,A,6.869047619047619,0.0038634524749159536,False,312,78,True
bt,195267,B,6.869047619047619,0.0048928711432573505,False,468,78,True
bt,195267,C,6.869047619047619,0.0056728201707232,False,624,78,True
bt,195273,A,6.856465005931198,0.0037878990188149955,False,312,79,True
bt,195273,B,6.856465005931198,0.004838775204518841,False,469,78,True
bt,195273,C,6.856465005931198,0.005555358570738745,False,625,78,True
bt,195638,A,6.768377253814147,0.004353055840255536,False,281,71,True
bt,195638,B,6.768377253814147,0.005508729021497986,False,422,70,True
bt,195638,C,6.768377253814147,0.006776145913740662,False,563,70,True
bt,195647,A,7.149253731343284,0.005043112743178652,False,267,67,True
bt,195647,B,7.149253731343284,0.006341425172229843,False,401,67,True
bt,195647,C,7.149253731343284,0.007484023994161629,False,535,67,True
bt,195650,A,6.648426812585499,0.005344686954865183,False,286,72,True
bt,195650,B,6.648426812585499,0.006520817711681486,False,430,71,True
bt,195650,C,6.648426812585499,0.007844140010443021,False,573,72,True
bt,195655,A,7.100591715976331,0.004327641280130814,False,269,68,True
bt,195655,B,7.100591715976331,0.0056081266228206516,False,404,67,True
bt,195655,C,7.100591715976331,0.0066759530961712004,False,539,67,True
ip,160715,A,5.884665792922673,56737.74380311302,False,291,73,True
ip,160715,B,5.884665792922673,47756.16797885798,False,437,73,True
ip,160715,C,5.884665792922673,41923.35701253682,False,583,73,True
ip,160720,A,5.884665792922673,57452.375186834535,False,292,73,True
ip,160720,B,5.884665792922673,48321.769122203244,False,438,72,True
ip,160720,C,5.884665792922673,42598.560706247474,False,584,73,True
ip,161138,A,9.973614775725594,4698.453703147882,False,152,38,True
ip,161138,B,9.973614775725594,5414.888666313725,False,228,38,True
ip,161138,C,9.973614775725594,6084.2674225601495,False,304,38,True
ip,165022,A,5.876840696117805,54391.340306532555,False,292,73,True
ip,165022,B,5.876840696117805,45691.02316103656,False,438,72,True
ip,165022,C,5.876840696117805,40117.94978486001,False,584,73,True
ip,165028,A,5.898123324396783,53954.252672896844,False,292,73,True
ip,165028,B,5.898123324396783,45348.660372417566,False,438,72,True
ip,165028,C,5.898123324396783,39730.52923275415,False,584,73,True
ip,165042,A,5.8533333333333335,53855.92685151202,False,293,73,True
