signal,signal_index,include_primary,target_status,provenance_status,source_supported_dt_min_ms,source_supported_dt_max_ms,archived_dt_median_ms,n_shots_upsampled,source_temporal_status,numerical_support_status,exclusion_rule,exclusion_reason,family,origin_class,units,units_status,aliasing_flag,derivative_qualification,description
vsurf,5,False,predictor_candidate,certified_independent_of_target,19.925093632958802,82.9090909090909,20.0,36,UPSTREAM_UPSAMPLED,FAIL,PRIMARY_NUMERICAL_SUPPORT_FAIL,source-supported cadence forces an analysis grid that violates the frozen validation minima on at least one required discharge,magnetics,DIRECT_MEASUREMENT,V,documented,,NUMERICAL_SENSITIVITY_ONLY (upstream-upsampled),Surface loop voltage
aminor,6,False,predictor_candidate,LINEAGE_PARTIAL,19.925093632958802,82.9090909090909,20.0,36,UPSTREAM_UPSAMPLED,PASS,R5_unresolved_ancestry,LINEAGE_PARTIAL: EFIT settings/inputs unresolved; independence from the target cannot be certified (fail-closed),equilibrium_shape,EQUILIBRIUM_DERIVED,m,documented,,NUMERICAL_SENSITIVITY_ONLY (upstream-upsampled),Plasma minor radius (EFIT)
area,7,False,predictor_candidate,LINEAGE_PARTIAL,19.925093632958802,82.9090909090909,20.0,36,UPSTREAM_UPSAMPLED,PASS,R5_unresolved_ancestry,LINEAGE_PARTIAL: EFIT settings/inputs unresolved; independence from the target cannot be certified (fail-closed),equilibrium_shape,EQUILIBRIUM_DERIVED,m^2,documented,,NUMERICAL_SENSITIVITY_ONLY (upstream-upsampled),Plasma poloidal cross-sectional area (EFIT)
betan,8,False,predictor_candidate,LINEAGE_PARTIAL,19.925093632958802,82.9090909090909,20.0,36,UPSTREAM_UPSAMPLED,PASS,R5_unresolved_ancestry,LINEAGE_PARTIAL: EFIT settings/inputs unresolved; independence from the target cannot be certified (fail-closed),equilibrium_shape,EQUILIBRIUM_DERIVED,1,dimensionless,,NUMERICAL_SENSITIVITY_ONLY (upstream-upsampled),Normalised beta
drsep,9,False,predictor_candidate,LINEAGE_PARTIAL,19.925093632958802,82.9090909090909,20.0,36,UPSTREAM_UPSAMPLED,PASS,R5_unresolved_ancestry,LINEAGE_PARTIAL: EFIT settings/inputs unresolved; independence from the target cannot be certified (fail-closed),equilibrium_shape,EQUILIBRIUM_DERIVED,m,documented,,NUMERICAL_SENSITIVITY_ONLY (upstream-upsampled),Separatrix-to-separatrix distance (upper/lower balance)
kappa,10,False,predictor_candidate,LINEAGE_PARTIAL,19.925093632958802,82.9090909090909,20.0,36,UPSTREAM_UPSAMPLED,PASS,R5_unresolved_ancestry,LINEAGE_PARTIAL: EFIT settings/inputs unresolved; independence from the target cannot be certified (fail-closed),equilibrium_shape,EQUILIBRIUM_DERIVED,1,dimensionless,,NUMERICAL_SENSITIVITY_ONLY (upstream-upsampled),Plasma elongation
li,11,False,predictor_candidate,LINEAGE_PARTIAL,19.925093632958802,82.9090909090909,20.0,36,UPSTREAM_UPSAMPLED,PASS,R5_unresolved_ancestry,LINEAGE_PARTIAL: EFIT settings/inputs unresolved; independence from the target cannot be certified (fail-closed),equilibrium_shape,EQUILIBRIUM_DERIVED,1,dimensionless,,NUMERICAL_SENSITIVITY_ONLY (upstream-upsampled),Normalised internal inductance
q95,12,False,predictor_candidate,LINEAGE_PARTIAL,19.925093632958802,82.9090909090909,20.0,36,UPSTREAM_UPSAMPLED,PASS,R5_unresolved_ancestry,LINEAGE_PARTIAL: EFIT settings/inputs unresolved; independence from the target cannot be certified (fail-closed),equilibrium_shape,EQUILIBRIUM_DERIVED,1,dimensionless,,NUMERICAL_SENSITIVITY_ONLY (upstream-upsampled),Safety factor at the 95% flux surface
rmaxis,13,False,predictor_candidate,LINEAGE_PARTIAL,19.925093632958802,82.9090909090909,20.0,36,UPSTREAM_UPSAMPLED,PASS,R5_unresolved_ancestry,LINEAGE_PARTIAL: EFIT settings/inputs unresolved; independence from the target cannot be certified (fail-closed),equilibrium_shape,EQUILIBRIUM_DERIVED,m,documented,,NUMERICAL_SENSITIVITY_ONLY (upstream-upsampled),Magnetic axis major radius
rsurf,14,False,predictor_candidate,LINEAGE_PARTIAL,19.925093632958802,82.9090909090909,20.0,36,UPSTREAM_UPSAMPLED,PASS,R5_unresolved_ancestry,LINEAGE_PARTIAL: EFIT settings/inputs unresolved; independence from the target cannot be certified (fail-closed),equilibrium_shape,EQUILIBRIUM_DERIVED,m,documented,,NUMERICAL_SENSITIVITY_ONLY (upstream-upsampled),"Plasma boundary geometric centre, major radius"
