target,signal_index,n_predictors_v1,n_numerical_support_removals,numerical_support_removed,n_predictors_corrected,n_families_corrected,families_corrected,corrected_grid_dt_min_ms,corrected_grid_dt_max_ms,corrected_grid_dt_max_development,target_numerical_feasible,target_fail_reason
bt,1,79,1,vsurf,78,7,cer_rotation_ti|density|ece_te_profile|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
ip,2,79,1,vsurf,78,7,cer_rotation_ti|density|ece_te_profile|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
vsurf,5,79,0,,79,7,cer_rotation_ti|density|ece_te_profile|filterscope_dalpha|gas_injection|magnetics|neutral_beams,19.925093632958802,82.9090909090909,24.263959390862944,False,TARGET_SOURCE_RESOLUTION_FAIL
density,21,79,1,vsurf,78,7,cer_rotation_ti|density|ece_te_profile|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
prmtan_neped,22,79,1,vsurf,78,7,cer_rotation_ti|density|ece_te_profile|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
prmtan_teped,23,79,1,vsurf,78,7,cer_rotation_ti|density|ece_te_profile|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
fs04,24,76,1,vsurf,75,6,cer_rotation_ti|density|ece_te_profile|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
fs03da,25,76,1,vsurf,75,6,cer_rotation_ti|density|ece_te_profile|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
fs04da,26,76,1,vsurf,75,6,cer_rotation_ti|density|ece_te_profile|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
fs05da,27,76,1,vsurf,75,6,cer_rotation_ti|density|ece_te_profile|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
ece1,42,40,1,vsurf,39,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
ece2,43,40,1,vsurf,39,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
ece3,44,40,1,vsurf,39,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
ece4,45,40,1,vsurf,39,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
ece5,46,40,1,vsurf,39,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
ece6,47,40,1,vsurf,39,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
ece7,48,40,1,vsurf,39,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
ece8,49,40,1,vsurf,39,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
ece9,50,40,1,vsurf,39,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
ece10,51,40,1,vsurf,39,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
ece11,52,40,1,vsurf,39,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
ece12,53,40,1,vsurf,39,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
ece13,54,40,1,vsurf,39,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
ece14,55,40,1,vsurf,39,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
ece15,56,40,1,vsurf,39,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
