candidate,signal_index,C1_scalar,C2_available,C3_interpretable,C4_resolved_unit,C5_target_class,C6_min_predictors_after_closure,C7_no_event_taxonomy,C8_no_regime_classification,C9_no_algebraic_duplicate,C10_meaningful_variation,C11_both_processing_eras,C12_no_label_pipeline,C13_target_source_resolution,n_invalid_nrmse_blocks,all_criteria_pass,target_major_flag_count,n_certified_primary_predictors,n_distinct_surviving_families,RRV_dev,RRV_margin,frozen_signal_index,target_fail_reason,rank,rank_resolution_level
density,21,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,78,7,0.10056100660301942,0.05056100660301942,21,,1,6
fs05da,27,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,75,6,0.45936369696990553,0.40936369696990554,27,,2,2
fs04,24,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,75,6,0.3588111155013324,0.3088111155013324,24,,3,2
fs04da,26,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,75,6,0.3588111155013324,0.3088111155013324,26,,4,2
fs03da,25,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,75,6,0.26450689817197576,0.21450689817197577,25,,5,2
ece7,48,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,39,6,0.26592856627186057,0.21592856627186058,48,,6,2
ece6,47,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,39,6,0.2517327449453883,0.2017327449453883,47,,7,2
ece1,42,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,39,6,0.24806444119906695,0.19806444119906697,42,,8,2
ece2,43,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,39,6,0.24724402940244555,0.19724402940244556,43,,9,2
ece4,45,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,39,6,0.24278800098137565,0.19278800098137566,45,,10,2
ece8,49,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,39,6,0.2412066993045502,0.1912066993045502,49,,11,2
ece3,44,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,39,6,0.23846390702705034,0.18846390702705035,44,,12,2
ece5,46,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,39,6,0.2353246565270573,0.18532465652705732,46,,13,2
ece10,51,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,39,6,0.22805291967962193,0.17805291967962195,51,,14,2
ece9,50,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,39,6,0.2186789128709059,0.16867891287090592,50,,15,2
ece18,59,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,39,6,0.21484491615762086,0.16484491615762087,59,,16,2
ece11,52,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,39,6,0.21319535384963167,0.16319535384963169,52,,17,2
ece12,53,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,39,6,0.2072128553717803,0.1572128553717803,53,,18,2
ece28,69,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,39,6,0.19451179579000158,0.14451179579000156,69,,19,2
ece17,58,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,39,6,0.18852634325242912,0.13852634325242913,58,,20,2
ece19,60,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,39,6,0.1870186425718955,0.1370186425718955,60,,21,2
ece16,57,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,39,6,0.18583329004520807,0.13583329004520805,57,,22,2
ece13,54,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,39,6,0.17830761606982948,0.1283076160698295,54,,23,2
ece14,55,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,39,6,0.17481149360911155,0.12481149360911155,55,,24,2
ece39,80,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,39,6,0.16610789101931234,0.11610789101931233,80,,25,2
ece15,56,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,39,6,0.16026621495947924,0.11026621495947923,56,,26,2
ece40,81,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,39,6,0.1590713208960223,0.1090713208960223,81,,27,2
ece20,61,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,39,6,0.15512009064823917,0.10512009064823917,61,,28,2
ece38,79,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,39,6,0.14676230916301125,0.09676230916301125,79,,29,2
ece27,68,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,39,6,0.1456461218365786,0.0956461218365786,68,,30,2
ece21,62,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,39,6,0.13919146041901584,0.08919146041901584,62,,31,2
ece24,65,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,39,6,0.1362043298938212,0.0862043298938212,65,,32,2
ece25,66,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,39,6,0.1350711398972808,0.08507113989728081,66,,33,2
ece26,67,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,39,6,0.1328820301689826,0.08288203016898259,67,,34,2
ece22,63,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,39,6,0.13175041961044973,0.08175041961044972,63,,35,2
ece29,70,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,39,6,0.128796416475515,0.07879641647551501,70,,36,2
ece23,64,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,39,6,0.12569363481967055,0.07569363481967055,64,,37,2
ece36,77,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,39,6,0.12145679234050054,0.07145679234050054,77,,38,2
ece37,78,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,39,6,0.11779092771174718,0.06779092771174718,78,,39,2
ece35,76,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,39,6,0.10958410802820807,0.05958410802820807,76,,40,2
