candidate_target,signal,status,source_dt_on_binding_shot_ms,binding_shot,binding_shot_cohort,n_samples_if_retained,failed_validation_condition,p_rec_rule,evidence,removed_for_correlation_or_performance
bt,vsurf,PRIMARY_NUMERICAL_SUPPORT_FAIL,82.9090909090909,165027,external,50,"A(cal=20,eval=4)|B(cal=30,eval=4)|C(cal=40,eval=4)","P_rec class D numerical-support admissibility + no-super-resolution + frozen validation minima (cal>=30, eval>=10 on all three blocks)",average source-supported cadence from original_length; see source_supported_signal_cadence.csv,False
ip,vsurf,PRIMARY_NUMERICAL_SUPPORT_FAIL,82.9090909090909,165027,external,50,"A(cal=20,eval=4)|B(cal=30,eval=4)|C(cal=40,eval=4)","P_rec class D numerical-support admissibility + no-super-resolution + frozen validation minima (cal>=30, eval>=10 on all three blocks)",average source-supported cadence from original_length; see source_supported_signal_cadence.csv,False
density,vsurf,PRIMARY_NUMERICAL_SUPPORT_FAIL,82.9090909090909,165027,external,50,"A(cal=20,eval=4)|B(cal=30,eval=4)|C(cal=40,eval=4)","P_rec class D numerical-support admissibility + no-super-resolution + frozen validation minima (cal>=30, eval>=10 on all three blocks)",average source-supported cadence from original_length; see source_supported_signal_cadence.csv,False
prmtan_neped,vsurf,PRIMARY_NUMERICAL_SUPPORT_FAIL,82.9090909090909,165027,external,50,"A(cal=20,eval=4)|B(cal=30,eval=4)|C(cal=40,eval=4)","P_rec class D numerical-support admissibility + no-super-resolution + frozen validation minima (cal>=30, eval>=10 on all three blocks)",average source-supported cadence from original_length; see source_supported_signal_cadence.csv,False
prmtan_teped,vsurf,PRIMARY_NUMERICAL_SUPPORT_FAIL,82.9090909090909,165027,external,50,"A(cal=20,eval=4)|B(cal=30,eval=4)|C(cal=40,eval=4)","P_rec class D numerical-support admissibility + no-super-resolution + frozen validation minima (cal>=30, eval>=10 on all three blocks)",average source-supported cadence from original_length; see source_supported_signal_cadence.csv,False
fs04,vsurf,PRIMARY_NUMERICAL_SUPPORT_FAIL,82.9090909090909,165027,external,50,"A(cal=20,eval=4)|B(cal=30,eval=4)|C(cal=40,eval=4)","P_rec class D numerical-support admissibility + no-super-resolution + frozen validation minima (cal>=30, eval>=10 on all three blocks)",average source-supported cadence from original_length; see source_supported_signal_cadence.csv,False
fs03da,vsurf,PRIMARY_NUMERICAL_SUPPORT_FAIL,82.9090909090909,165027,external,50,"A(cal=20,eval=4)|B(cal=30,eval=4)|C(cal=40,eval=4)","P_rec class D numerical-support admissibility + no-super-resolution + frozen validation minima (cal>=30, eval>=10 on all three blocks)",average source-supported cadence from original_length; see source_supported_signal_cadence.csv,False
fs04da,vsurf,PRIMARY_NUMERICAL_SUPPORT_FAIL,82.9090909090909,165027,external,50,"A(cal=20,eval=4)|B(cal=30,eval=4)|C(cal=40,eval=4)","P_rec class D numerical-support admissibility + no-super-resolution + frozen validation minima (cal>=30, eval>=10 on all three blocks)",average source-supported cadence from original_length; see source_supported_signal_cadence.csv,False
fs05da,vsurf,PRIMARY_NUMERICAL_SUPPORT_FAIL,82.9090909090909,165027,external,50,"A(cal=20,eval=4)|B(cal=30,eval=4)|C(cal=40,eval=4)","P_rec class D numerical-support admissibility + no-super-resolution + frozen validation minima (cal>=30, eval>=10 on all three blocks)",average source-supported cadence from original_length; see source_supported_signal_cadence.csv,False
ece1,vsurf,PRIMARY_NUMERICAL_SUPPORT_FAIL,82.9090909090909,165027,external,50,"A(cal=20,eval=4)|B(cal=30,eval=4)|C(cal=40,eval=4)","P_rec class D numerical-support admissibility + no-super-resolution + frozen validation minima (cal>=30, eval>=10 on all three blocks)",average source-supported cadence from original_length; see source_supported_signal_cadence.csv,False
