signal_id,shot_id,cohort,original_length,archived_length,support_ms,average_source_supported_dt_ms,archived_dt_ms,resampling_method,resampling_category,upsample_ratio,upstream_upsampled,source_coarser_than_archived,evidence_class,qualification
aminor,155537,external,227,239,4760.0,21.061946902654867,20.0,cubic_spline,smooth_high_snr,1.052863436123348,True,True,STRONGLY_INFERRED,support-based average cadence from sample count; NOT an exact native sampling interval - original timestamps are unavailable and the upstream generator is absent (U001). It is a LOWER BOUND on coarseness.
area,155537,external,227,239,4760.0,21.061946902654867,20.0,cubic_spline,smooth_high_snr,1.052863436123348,True,True,STRONGLY_INFERRED,support-based average cadence from sample count; NOT an exact native sampling interval - original timestamps are unavailable and the upstream generator is absent (U001). It is a LOWER BOUND on coarseness.
betan,155537,external,227,239,4760.0,21.061946902654867,20.0,cubic_spline,smooth_high_snr,1.052863436123348,True,True,STRONGLY_INFERRED,support-based average cadence from sample count; NOT an exact native sampling interval - original timestamps are unavailable and the upstream generator is absent (U001). It is a LOWER BOUND on coarseness.
bt,155537,external,9780,4890,4889.0,0.4999488700276102,1.0,cubic_spline,smooth_high_snr,0.5,False,False,STRONGLY_INFERRED,support-based average cadence from sample count; NOT an exact native sampling interval - original timestamps are unavailable and the upstream generator is absent (U001). It is a LOWER BOUND on coarseness.
cerqrott10,155537,external,800,429,4280.0,5.356695869837297,10.0,cubic_spline_simple,slow_varying,0.53625,False,False,STRONGLY_INFERRED,support-based average cadence from sample count; NOT an exact native sampling interval - original timestamps are unavailable and the upstream generator is absent (U001). It is a LOWER BOUND on coarseness.
cerqrott11,155537,external,790,429,4280.0,5.424588086185044,10.0,cubic_spline_simple,slow_varying,0.5430379746835443,False,False,STRONGLY_INFERRED,support-based average cadence from sample count; NOT an exact native sampling interval - original timestamps are unavailable and the upstream generator is absent (U001). It is a LOWER BOUND on coarseness.
cerqrott12,155537,external,798,429,4280.0,5.370138017565872,10.0,cubic_spline_simple,slow_varying,0.5375939849624061,False,False,STRONGLY_INFERRED,support-based average cadence from sample count; NOT an exact native sampling interval - original timestamps are unavailable and the upstream generator is absent (U001). It is a LOWER BOUND on coarseness.
cerqrott13,155537,external,797,429,4280.0,5.376884422110553,10.0,cubic_spline_simple,slow_varying,0.5382685069008782,False,False,STRONGLY_INFERRED,support-based average cadence from sample count; NOT an exact native sampling interval - original timestamps are unavailable and the upstream generator is absent (U001). It is a LOWER BOUND on coarseness.
cerqrott3,155537,external,761,448,4470.0,5.881578947368421,10.0,cubic_spline,smooth_high_snr,0.5886990801576872,False,False,STRONGLY_INFERRED,support-based average cadence from sample count; NOT an exact native sampling interval - original timestamps are unavailable and the upstream generator is absent (U001). It is a LOWER BOUND on coarseness.
cerqrott6,155537,external,761,448,4470.0,5.881578947368421,10.0,cubic_spline,smooth_high_snr,0.5886990801576872,False,False,STRONGLY_INFERRED,support-based average cadence from sample count; NOT an exact native sampling interval - original timestamps are unavailable and the upstream generator is absent (U001). It is a LOWER BOUND on coarseness.
cerqrott8,155537,external,801,429,4280.0,5.35,10.0,cubic_spline,smooth_high_snr,0.5355805243445693,False,False,STRONGLY_INFERRED,support-based average cadence from sample count; NOT an exact native sampling interval - original timestamps are unavailable and the upstream generator is absent (U001). It is a LOWER BOUND on coarseness.
cerqtit10,155537,external,800,429,4280.0,5.356695869837297,10.0,cubic_spline,smooth_high_snr,0.53625,False,False,STRONGLY_INFERRED,support-based average cadence from sample count; NOT an exact native sampling interval - original timestamps are unavailable and the upstream generator is absent (U001). It is a LOWER BOUND on coarseness.
cerqtit11,155537,external,790,429,4280.0,5.424588086185044,10.0,cubic_spline_simple,slow_varying,0.5430379746835443,False,False,STRONGLY_INFERRED,support-based average cadence from sample count; NOT an exact native sampling interval - original timestamps are unavailable and the upstream generator is absent (U001). It is a LOWER BOUND on coarseness.
cerqtit12,155537,external,798,429,4280.0,5.370138017565872,10.0,cubic_spline_simple,slow_varying,0.5375939849624061,False,False,STRONGLY_INFERRED,support-based average cadence from sample count; NOT an exact native sampling interval - original timestamps are unavailable and the upstream generator is absent (U001). It is a LOWER BOUND on coarseness.
cerqtit13,155537,external,797,429,4280.0,5.376884422110553,10.0,cubic_spline_simple,slow_varying,0.5382685069008782,False,False,STRONGLY_INFERRED,support-based average cadence from sample count; NOT an exact native sampling interval - original timestamps are unavailable and the upstream generator is absent (U001). It is a LOWER BOUND on coarseness.
cerqtit3,155537,external,761,448,4470.0,5.881578947368421,10.0,cubic_spline,smooth_high_snr,0.5886990801576872,False,False,STRONGLY_INFERRED,support-based average cadence from sample count; NOT an exact native sampling interval - original timestamps are unavailable and the upstream generator is absent (U001). It is a LOWER BOUND on coarseness.
cerqtit6,155537,external,761,448,4470.0,5.881578947368421,10.0,cubic_spline,smooth_high_snr,0.5886990801576872,False,False,STRONGLY_INFERRED,support-based average cadence from sample count; NOT an exact native sampling interval - original timestamps are unavailable and the upstream generator is absent (U001). It is a LOWER BOUND on coarseness.
cerqtit8,155537,external,801,429,4280.0,5.35,10.0,cubic_spline,smooth_high_snr,0.5355805243445693,False,False,STRONGLY_INFERRED,support-based average cadence from sample count; NOT an exact native sampling interval - original timestamps are unavailable and the upstream generator is absent (U001). It is a LOWER BOUND on coarseness.
density,155537,external,4785,4784,4783.0,0.9997909698996655,1.0,cubic_spline,smooth_high_snr,0.999791013584117,False,False,STRONGLY_INFERRED,support-based average cadence from sample count; NOT an exact native sampling interval - original timestamps are unavailable and the upstream generator is absent (U001). It is a LOWER BOUND on coarseness.
drsep,155537,external,227,239,4760.0,21.061946902654867,20.0,pchip_careful,fast_transient,1.052863436123348,True,True,STRONGLY_INFERRED,support-based average cadence from sample count; NOT an exact native sampling interval - original timestamps are unavailable and the upstream generator is absent (U001). It is a LOWER BOUND on coarseness.
ece1,155537,external,24450,24449,4889.6,0.19999181970632748,0.2,cubic_spline,smooth_high_snr,0.999959100204499,False,False,STRONGLY_INFERRED,support-based average cadence from sample count; NOT an exact native sampling interval - original timestamps are unavailable and the upstream generator is absent (U001). It is a LOWER BOUND on coarseness.
ece10,155537,external,24450,24449,4889.6,0.19999181970632748,0.2,cubic_spline,smooth_high_snr,0.999959100204499,False,False,STRONGLY_INFERRED,support-based average cadence from sample count; NOT an exact native sampling interval - original timestamps are unavailable and the upstream generator is absent (U001). It is a LOWER BOUND on coarseness.
ece11,155537,external,24450,24449,4889.6,0.19999181970632748,0.2,cubic_spline,smooth_high_snr,0.999959100204499,False,False,STRONGLY_INFERRED,support-based average cadence from sample count; NOT an exact native sampling interval - original timestamps are unavailable and the upstream generator is absent (U001). It is a LOWER BOUND on coarseness.
ece12,155537,external,24450,24449,4889.6,0.19999181970632748,0.2,cubic_spline,smooth_high_snr,0.999959100204499,False,False,STRONGLY_INFERRED,support-based average cadence from sample count; NOT an exact native sampling interval - original timestamps are unavailable and the upstream generator is absent (U001). It is a LOWER BOUND on coarseness.
ece13,155537,external,24450,24449,4889.6,0.19999181970632748,0.2,cubic_spline,smooth_high_snr,0.999959100204499,False,False,STRONGLY_INFERRED,support-based average cadence from sample count; NOT an exact native sampling interval - original timestamps are unavailable and the upstream generator is absent (U001). It is a LOWER BOUND on coarseness.
ece14,155537,external,24450,24449,4889.6,0.19999181970632748,0.2,cubic_spline,smooth_high_snr,0.999959100204499,False,False,STRONGLY_INFERRED,support-based average cadence from sample count; NOT an exact native sampling interval - original timestamps are unavailable and the upstream generator is absent (U001). It is a LOWER BOUND on coarseness.
ece15,155537,external,24450,24449,4889.6,0.19999181970632748,0.2,cubic_spline,smooth_high_snr,0.999959100204499,False,False,STRONGLY_INFERRED,support-based average cadence from sample count; NOT an exact native sampling interval - original timestamps are unavailable and the upstream generator is absent (U001). It is a LOWER BOUND on coarseness.
ece16,155537,external,24450,24449,4889.6,0.19999181970632748,0.2,cubic_spline,smooth_high_snr,0.999959100204499,False,False,STRONGLY_INFERRED,support-based average cadence from sample count; NOT an exact native sampling interval - original timestamps are unavailable and the upstream generator is absent (U001). It is a LOWER BOUND on coarseness.
ece17,155537,external,24450,24449,4889.6,0.19999181970632748,0.2,cubic_spline,smooth_high_snr,0.999959100204499,False,False,STRONGLY_INFERRED,support-based average cadence from sample count; NOT an exact native sampling interval - original timestamps are unavailable and the upstream generator is absent (U001). It is a LOWER BOUND on coarseness.
ece18,155537,external,24450,24449,4889.6,0.19999181970632748,0.2,cubic_spline,smooth_high_snr,0.999959100204499,False,False,STRONGLY_INFERRED,support-based average cadence from sample count; NOT an exact native sampling interval - original timestamps are unavailable and the upstream generator is absent (U001). It is a LOWER BOUND on coarseness.
ece19,155537,external,24450,24449,4889.6,0.19999181970632748,0.2,cubic_spline,smooth_high_snr,0.999959100204499,False,False,STRONGLY_INFERRED,support-based average cadence from sample count; NOT an exact native sampling interval - original timestamps are unavailable and the upstream generator is absent (U001). It is a LOWER BOUND on coarseness.
ece2,155537,external,24450,24449,4889.6,0.19999181970632748,0.2,cubic_spline,smooth_high_snr,0.999959100204499,False,False,STRONGLY_INFERRED,support-based average cadence from sample count; NOT an exact native sampling interval - original timestamps are unavailable and the upstream generator is absent (U001). It is a LOWER BOUND on coarseness.
ece20,155537,external,24450,24449,4889.6,0.19999181970632748,0.2,cubic_spline,smooth_high_snr,0.999959100204499,False,False,STRONGLY_INFERRED,support-based average cadence from sample count; NOT an exact native sampling interval - original timestamps are unavailable and the upstream generator is absent (U001). It is a LOWER BOUND on coarseness.
ece21,155537,external,24450,24449,4889.6,0.19999181970632748,0.2,cubic_spline,smooth_high_snr,0.999959100204499,False,False,STRONGLY_INFERRED,support-based average cadence from sample count; NOT an exact native sampling interval - original timestamps are unavailable and the upstream generator is absent (U001). It is a LOWER BOUND on coarseness.
ece22,155537,external,24450,24449,4889.6,0.19999181970632748,0.2,cubic_spline,smooth_high_snr,0.999959100204499,False,False,STRONGLY_INFERRED,support-based average cadence from sample count; NOT an exact native sampling interval - original timestamps are unavailable and the upstream generator is absent (U001). It is a LOWER BOUND on coarseness.
ece23,155537,external,24450,24449,4889.6,0.19999181970632748,0.2,cubic_spline,smooth_high_snr,0.999959100204499,False,False,STRONGLY_INFERRED,support-based average cadence from sample count; NOT an exact native sampling interval - original timestamps are unavailable and the upstream generator is absent (U001). It is a LOWER BOUND on coarseness.
ece24,155537,external,24450,24449,4889.6,0.19999181970632748,0.2,cubic_spline,smooth_high_snr,0.999959100204499,False,False,STRONGLY_INFERRED,support-based average cadence from sample count; NOT an exact native sampling interval - original timestamps are unavailable and the upstream generator is absent (U001). It is a LOWER BOUND on coarseness.
ece25,155537,external,24450,24449,4889.6,0.19999181970632748,0.2,cubic_spline,smooth_high_snr,0.999959100204499,False,False,STRONGLY_INFERRED,support-based average cadence from sample count; NOT an exact native sampling interval - original timestamps are unavailable and the upstream generator is absent (U001). It is a LOWER BOUND on coarseness.
ece26,155537,external,24450,24449,4889.6,0.19999181970632748,0.2,cubic_spline,smooth_high_snr,0.999959100204499,False,False,STRONGLY_INFERRED,support-based average cadence from sample count; NOT an exact native sampling interval - original timestamps are unavailable and the upstream generator is absent (U001). It is a LOWER BOUND on coarseness.
ece27,155537,external,24450,24449,4889.6,0.19999181970632748,0.2,cubic_spline,smooth_high_snr,0.999959100204499,False,False,STRONGLY_INFERRED,support-based average cadence from sample count; NOT an exact native sampling interval - original timestamps are unavailable and the upstream generator is absent (U001). It is a LOWER BOUND on coarseness.
ece28,155537,external,24450,24449,4889.6,0.19999181970632748,0.2,cubic_spline,smooth_high_snr,0.999959100204499,False,False,STRONGLY_INFERRED,support-based average cadence from sample count; NOT an exact native sampling interval - original timestamps are unavailable and the upstream generator is absent (U001). It is a LOWER BOUND on coarseness.
ece29,155537,external,24450,24449,4889.6,0.19999181970632748,0.2,cubic_spline,smooth_high_snr,0.999959100204499,False,False,STRONGLY_INFERRED,support-based average cadence from sample count; NOT an exact native sampling interval - original timestamps are unavailable and the upstream generator is absent (U001). It is a LOWER BOUND on coarseness.
ece3,155537,external,24450,24449,4889.6,0.19999181970632748,0.2,cubic_spline,smooth_high_snr,0.999959100204499,False,False,STRONGLY_INFERRED,support-based average cadence from sample count; NOT an exact native sampling interval - original timestamps are unavailable and the upstream generator is absent (U001). It is a LOWER BOUND on coarseness.
ece30,155537,external,24450,24449,4889.6,0.19999181970632748,0.2,cubic_spline,smooth_high_snr,0.999959100204499,False,False,STRONGLY_INFERRED,support-based average cadence from sample count; NOT an exact native sampling interval - original timestamps are unavailable and the upstream generator is absent (U001). It is a LOWER BOUND on coarseness.
ece31,155537,external,24450,24449,4889.6,0.19999181970632748,0.2,cubic_spline,smooth_high_snr,0.999959100204499,False,False,STRONGLY_INFERRED,support-based average cadence from sample count; NOT an exact native sampling interval - original timestamps are unavailable and the upstream generator is absent (U001). It is a LOWER BOUND on coarseness.
ece32,155537,external,24450,24449,4889.6,0.19999181970632748,0.2,cubic_spline,smooth_high_snr,0.999959100204499,False,False,STRONGLY_INFERRED,support-based average cadence from sample count; NOT an exact native sampling interval - original timestamps are unavailable and the upstream generator is absent (U001). It is a LOWER BOUND on coarseness.
ece33,155537,external,24450,24449,4889.6,0.19999181970632748,0.2,cubic_spline,smooth_high_snr,0.999959100204499,False,False,STRONGLY_INFERRED,support-based average cadence from sample count; NOT an exact native sampling interval - original timestamps are unavailable and the upstream generator is absent (U001). It is a LOWER BOUND on coarseness.
