signal_id,source_dt_min,source_dt_median,source_dt_max,archived_dt_median,n_upsampled,n_source_coarser_than_archive,n_upsampled_development,n_upsampled_external,source_dt_max_development,source_dt_max_external
aminor,19.925093632958802,20.239521912350597,82.9090909090909,20.0,36,36,11,25,24.263959390862944,82.9090909090909
area,19.925093632958802,20.239521912350597,82.9090909090909,20.0,36,36,11,25,24.263959390862944,82.9090909090909
betan,19.925093632958802,20.239521912350597,82.9090909090909,20.0,36,36,11,25,24.263959390862944,82.9090909090909
bt,0.049988703789581326,0.49989795918367347,0.49999999999999994,0.9999999999999999,0,0,0,0,0.49999999999999994,0.4999999999999999
cerqrott10,4.990366088631984,5.443545234185628,9.973614775725594,10.0,0,0,0,0,9.973614775725594,9.973614775725594
cerqrott11,4.990366088631984,5.451757644625089,9.973614775725594,10.0,0,0,0,0,9.973614775725594,9.973614775725594
cerqrott12,4.990366088631984,5.443545234185628,9.973614775725594,10.0,0,0,0,0,9.973614775725594,9.973614775725594
cerqrott13,4.990366088631984,5.541981391739087,9.973614775725594,10.0,0,0,0,0,9.973614775725594,9.973614775725594
cerqrott3,4.994179278230501,5.987012987012987,10.0,10.0,0,0,0,0,7.149253731343284,10.0
cerqrott6,4.994179278230501,5.987012987012987,9.980039920159681,10.0,0,0,0,0,7.149253731343284,9.980039920159681
cerqrott8,4.990366088631984,5.443545234185628,9.973614775725594,10.0,0,0,0,0,9.973614775725594,9.973614775725594
cerqtit10,4.990366088631984,5.443545234185628,9.973614775725594,10.0,0,0,0,0,9.973614775725594,9.973614775725594
cerqtit11,4.990366088631984,5.451757644625089,9.973614775725594,10.0,0,0,0,0,9.973614775725594,9.973614775725594
cerqtit12,4.990366088631984,5.443545234185628,9.973614775725594,10.0,0,0,0,0,9.973614775725594,9.973614775725594
cerqtit13,4.990366088631984,5.541981391739087,9.973614775725594,10.0,0,0,0,0,9.973614775725594,9.973614775725594
cerqtit3,4.994179278230501,5.987012987012987,10.0,10.0,0,0,0,0,7.149253731343284,10.0
cerqtit6,4.994179278230501,5.987012987012987,9.980039920159681,10.0,0,0,0,0,7.149253731343284,9.980039920159681
cerqtit8,4.990366088631984,5.443545234185628,9.973614775725594,10.0,0,0,0,0,9.973614775725594,9.973614775725594
density,0.9997563352826511,0.9997993579454254,0.9998347926647944,1.0,0,0,0,0,0.9998347926647944,0.9998321866084914
drsep,19.925093632958802,20.239521912350597,82.9090909090909,20.0,36,36,11,25,24.263959390862944,82.9090909090909
ece1,0.19999048751486326,0.19999213341724356,0.2,0.2,0,0,0,0,0.2,0.1999934210526316
ece10,0.19999048751486326,0.19999213341724356,0.2,0.2,0,0,0,0,0.2,0.1999934210526316
ece11,0.19999048751486326,0.19999213341724356,0.2,0.2,0,0,0,0,0.2,0.1999934210526316
ece12,0.19999048751486326,0.19999213341724356,0.2,0.2,0,0,0,0,0.2,0.1999934210526316
ece13,0.19999048751486326,0.19999213341724356,0.2,0.2,0,0,0,0,0.2,0.1999934210526316
ece14,0.19999048751486326,0.19999213341724356,0.2,0.2,0,0,0,0,0.2,0.1999934210526316
ece15,0.19999048751486326,0.19999213341724356,0.2,0.2,0,0,0,0,0.2,0.1999934210526316
ece16,0.19999048751486326,0.19999213341724356,0.2,0.2,0,0,0,0,0.2,0.1999934210526316
ece17,0.19999048751486326,0.19999213341724356,0.2,0.2,0,0,0,0,0.2,0.1999934210526316
ece18,0.19999048751486326,0.19999213341724356,0.2,0.2,0,0,0,0,0.2,0.1999934210526316
ece19,0.19999048751486326,0.19999213341724356,0.2,0.2,0,0,0,0,0.2,0.1999934210526316
ece2,0.19999048751486326,0.19999213341724356,0.2,0.2,0,0,0,0,0.2,0.1999934210526316
ece20,0.19999048751486326,0.19999213341724356,0.2,0.2,0,0,0,0,0.2,0.1999934210526316
ece21,0.19999048751486326,0.19999213341724356,0.2,0.2,0,0,0,0,0.2,0.1999934210526316
ece22,0.19999048751486326,0.19999213341724356,0.2,0.2,0,0,0,0,0.2,0.1999934210526316
ece23,0.19999048751486326,0.19999213341724356,0.2,0.2,0,0,0,0,0.2,0.1999934210526316
ece24,0.19999048751486326,0.19999213341724356,0.2,0.2,0,0,0,0,0.2,0.1999934210526316
ece25,0.19999048751486326,0.19999213341724356,0.2,0.2,0,0,0,0,0.2,0.1999934210526316
ece26,0.19999048751486326,0.19999213341724356,0.2,0.2,0,0,0,0,0.2,0.1999934210526316
ece27,0.19999048751486326,0.19999213341724356,0.2,0.2,0,0,0,0,0.2,0.1999934210526316
ece28,0.19999048751486326,0.19999213341724356,0.2,0.2,0,0,0,0,0.2,0.1999934210526316
ece29,0.19999048751486326,0.19999213341724356,0.2,0.2,0,0,0,0,0.2,0.1999934210526316
ece3,0.19999048751486326,0.19999213341724356,0.2,0.2,0,0,0,0,0.2,0.1999934210526316
ece30,0.19999048751486326,0.19999213341724356,0.2,0.2,0,0,0,0,0.2,0.1999934210526316
ece31,0.19999048751486326,0.19999213341724356,0.2,0.2,0,0,0,0,0.2,0.1999934210526316
ece32,0.19999048751486326,0.19999213341724356,0.2,0.2,0,0,0,0,0.2,0.1999934210526316
ece33,0.19999048751486326,0.19999213341724356,0.2,0.2,0,0,0,0,0.2,0.1999934210526316
ece34,0.19999048751486326,0.19999213341724356,0.2,0.2,0,0,0,0,0.2,0.1999934210526316
ece35,0.19999048751486326,0.19999213341724356,0.2,0.2,0,0,0,0,0.2,0.1999934210526316
ece36,0.19999048751486326,0.19999213341724356,0.2,0.2,0,0,0,0,0.2,0.1999934210526316
ece37,0.19999048751486326,0.19999213341724356,0.2,0.2,0,0,0,0,0.2,0.1999934210526316
ece38,0.19999048751486326,0.19999213341724356,0.2,0.2,0,0,0,0,0.2,0.1999934210526316
ece39,0.19999048751486326,0.19999213341724356,0.2,0.2,0,0,0,0,0.2,0.1999934210526316
ece4,0.19999048751486326,0.19999213341724356,0.2,0.2,0,0,0,0,0.2,0.1999934210526316
ece40,0.19999048751486326,0.19999213341724356,0.2,0.2,0,0,0,0,0.2,0.1999934210526316
ece5,0.19999048751486326,0.19999213341724356,0.2,0.2,0,0,0,0,0.2,0.1999934210526316
ece6,0.19999048751486326,0.19999213341724356,0.2,0.2,0,0,0,0,0.2,0.1999934210526316
ece7,0.19999048751486326,0.19999213341724356,0.2,0.2,0,0,0,0,0.2,0.1999934210526316
ece8,0.19999048751486326,0.19999213341724356,0.2,0.2,0,0,0,0,0.2,0.1999934210526316
ece9,0.19999048751486326,0.19999213341724356,0.2,0.2,0,0,0,0,0.2,0.1999934210526316
fs03da,0.019999904875148636,0.019999933333287038,0.04999990176720794,0.02,9,9,3,6,0.0499998998988979,0.04999990176720794
fs04,0.019999904875148636,0.019999933333287038,0.04999990176720794,0.02,9,9,3,6,0.0499998998988979,0.04999990176720794
fs04da,0.019999904875148636,0.019999933333287038,0.04999990176720794,0.02,9,9,3,6,0.0499998998988979,0.04999990176720794
fs05da,0.019999904875148636,0.019999933333287038,0.04999990176720794,0.02,9,9,3,6,0.0499998998988979,0.04999990176720794
gasa,0.04998057749579178,0.04999044048578958,0.5,2.0,0,0,0,0,0.5,0.5
gasb,0.04998057749579178,0.04999044048578958,0.5,2.0,0,0,0,0,0.5,0.5
gasc,0.04998057749579178,0.04999044048578958,0.5,2.0,0,0,0,0,0.5,0.5
gasd,0.04998057749579178,0.04999044048578958,0.5,2.0,0,0,0,0,0.5,0.5
ip,0.049988703789581326,0.49989795918367347,0.4999593727147152,1.0,0,0,0,0,0.4999593727147152,0.4999583645599134
kappa,19.925093632958802,20.239521912350597,82.9090909090909,20.0,36,36,11,25,24.263959390862944,82.9090909090909
li,19.925093632958802,20.239521912350597,82.9090909090909,20.0,36,36,11,25,24.263959390862944,82.9090909090909
pcbcoil,0.049991799752228096,0.049999999873762135,0.25001278186187587,0.9999999974752427,0,0,0,0,0.049999999873762135,0.25001278186187587
pcdiamag3,0.049991799752228096,0.049999999873762135,0.25001278186187587,0.9999999974752427,0,0,0,0,0.049999999873762135,0.25001278186187587
pinj,0.09999762187871583,0.09999803343166176,0.10000000000000002,0.1,0,0,0,0,0.10000000000000002,0.10000000000000002
pinj_15l,0.09999762187871583,0.09999803343166176,0.10000000000000002,0.1,0,0,0,0,0.10000000000000002,0.10000000000000002
pinj_15r,0.09999762187871583,0.09999803343166176,0.10000000000000002,0.1,0,0,0,0,0.10000000000000002,0.10000000000000002
pinj_21l,0.09999762187871583,0.09999803343166176,0.10000000000000002,0.1,0,0,0,0,0.10000000000000002,0.10000000000000002
pinj_21r,0.09999762187871583,0.09999803343166176,0.10000000000000002,0.1,0,0,0,0,0.10000000000000002,0.10000000000000002
pinj_30l,0.09999762187871583,0.09999803343166176,0.10000000000000002,0.1,0,0,0,0,0.10000000000000002,0.10000000000000002
pinj_30r,0.09999762187871583,0.09999803343166176,0.10000000000000002,0.1,0,0,0,0,0.10000000000000002,0.10000000000000002
pinj_33l,0.09999762187871583,0.09999803343166176,0.10000000000000002,0.1,0,0,0,0,0.10000000000000002,0.10000000000000002
pinj_33r,0.09999762187871583,0.09999803343166176,0.10000000000000002,0.1,0,0,0,0,0.10000000000000002,0.10000000000000002
prmtan_neped,4.378430226038927,6.308801046658631,13.267605633802816,10.0,3,3,1,2,13.083333333333334,13.267605633802816
prmtan_teped,4.535163253044634,6.648501058938612,14.186746987951807,10.0,3,3,1,2,14.144144144144144,14.186746987951807
q95,19.925093632958802,20.239521912350597,82.9090909090909,20.0,36,36,11,25,24.263959390862944,82.9090909090909
rmaxis,19.925093632958802,20.239521912350597,82.9090909090909,20.0,36,36,11,25,24.263959390862944,82.9090909090909
rsurf,19.925093632958802,20.239521912350597,82.9090909090909,20.0,36,36,11,25,24.263959390862944,82.9090909090909
tinj,0.09999762187871583,0.09999803343166176,0.10000000000000002,0.1,0,0,0,0,0.10000000000000002,0.10000000000000002
tribot,19.925093632958802,20.239521912350597,82.9090909090909,20.0,36,36,11,25,24.263959390862944,82.9090909090909
tritop,19.925093632958802,20.239521912350597,82.9090909090909,20.0,36,36,11,25,24.263959390862944,82.9090909090909
volume,19.925093632958802,20.239521912350597,82.9090909090909,20.0,36,36,11,25,24.263959390862944,82.9090909090909
vsurf,19.925093632958802,20.239521912350597,82.9090909090909,20.0,36,36,11,25,24.263959390862944,82.9090909090909
