target,canonical_unit,grid_dt_ms,rrv_dev_median,rrv_min,rrv_max,rrv_margin,min_distinct_values_fraction,median_distinct_values_fraction,n_identically_zero_development_discharges,n_valid_nrmse_blocks,n_invalid_nrmse_blocks,n_eras_present,eras_present
bt,T,20.0,0.00367106609596111,0.001640061366353078,0.005187276663825762,-0.046328933904038895,0.9439252336448598,1.0,0,60,0,2,earlier|later
ip,A,20.0,0.004201654049615984,0.002421782933907965,0.0062056898604647345,-0.04579834595038402,0.976,1.0,0,60,0,2,earlier|later
vsurf,V,20.0,0.1796513707346068,0.10565403444417105,0.3610323426119194,0.1296513707346068,1.0,1.0,0,60,0,2,earlier|later
density,m^-3,20.0,0.09833791356965846,0.02869555910598538,0.25703267929159046,0.048337913569658456,1.0,1.0,0,60,0,2,earlier|later
prmtan_neped,m^-3,20.0,0.1921966141456673,0.11780856555586443,0.32523474922752643,0.1421966141456673,1.0,1.0,0,60,0,2,earlier|later
prmtan_teped,eV,20.0,0.3059051998707335,0.18758996389017968,0.5038463413923688,0.2559051998707335,1.0,1.0,0,60,0,2,earlier|later
fs04,ph/(sr m^2 s),20.0,0.33137215514112905,0.18335267820805048,0.6434528419523771,0.28137215514112907,1.0,1.0,0,60,0,2,earlier|later
fs03da,ph/(sr m^2 s),20.0,0.23751523890202314,0.0,0.6158810019190989,0.18751523890202315,0.42424242424242425,1.0,0,60,0,2,earlier|later
fs04da,ph/(sr m^2 s),20.0,0.33137215514112905,0.18335267820805048,0.6434528419523771,0.28137215514112907,1.0,1.0,0,60,0,2,earlier|later
fs05da,ph/(sr m^2 s),20.0,0.46396055874851316,0.24893293235783012,0.7721974295023035,0.4139605587485132,1.0,1.0,0,60,0,2,earlier|later
ece1,eV,20.0,0.24099731394659285,0.08674496209436243,0.5997789133181135,0.19099731394659286,1.0,1.0,0,60,0,2,earlier|later
ece2,eV,20.0,0.23668097240566088,0.08703082824749303,0.8548222112862051,0.1866809724056609,1.0,1.0,0,60,0,2,earlier|later
ece3,eV,20.0,0.23169515133634588,0.0888144731879018,0.8903433744019278,0.1816951513363459,1.0,1.0,0,60,0,2,earlier|later
ece4,eV,20.0,0.2449828397009173,0.10302482046755335,0.8695401988045429,0.1949828397009173,1.0,1.0,0,60,0,2,earlier|later
ece5,eV,20.0,0.22097676997311533,0.11014070000498252,0.9426661005373052,0.17097676997311534,1.0,1.0,0,60,0,2,earlier|later
ece6,eV,20.0,0.25189143318226265,0.11375053700338987,0.9283553154610076,0.20189143318226266,1.0,1.0,0,60,0,2,earlier|later
ece7,eV,20.0,0.25371824229359596,0.09199803605281706,0.8678440127078471,0.20371824229359597,0.99581589958159,1.0,0,60,0,2,earlier|later
ece8,eV,20.0,0.23052856677339312,0.0888444567552541,0.8592091011693226,0.18052856677339313,1.0,1.0,0,60,0,2,earlier|later
ece9,eV,20.0,0.20946869860376977,0.06856007744868613,0.8212450803183203,0.15946869860376978,0.5522388059701493,1.0,0,60,0,2,earlier|later
ece10,eV,20.0,0.21733336001722137,0.06626702490485635,0.7816379294674338,0.16733336001722138,0.5671641791044776,1.0,0,60,0,2,earlier|later
ece11,eV,20.0,0.208489749730061,0.07620223015270217,0.7314980475806663,0.15848974973006102,1.0,1.0,0,60,0,2,earlier|later
ece12,eV,20.0,0.2026879786037769,0.07138962211975339,0.6603826673754856,0.15268797860377692,1.0,1.0,0,60,0,2,earlier|later
ece13,eV,20.0,0.17484518602575266,0.06512696747599982,0.6377654187213049,0.12484518602575266,1.0,1.0,0,60,0,2,earlier|later
ece14,eV,20.0,0.17718928959880687,0.054588058398795485,0.5914346510857706,0.12718928959880688,0.9953488372093023,1.0,0,60,0,2,earlier|later
ece15,eV,20.0,0.15666632278768156,0.05968374256913542,0.7606228439318484,0.10666632278768155,1.0,1.0,0,60,0,2,earlier|later
ece16,eV,20.0,0.18469596032675684,0.05440298990568256,0.6903580209569204,0.13469596032675685,1.0,1.0,0,60,0,2,earlier|later
ece17,eV,20.0,0.18806242509674875,0.05133051850631203,0.7112592839253744,0.13806242509674876,0.9946808510638298,1.0,0,60,0,2,earlier|later
ece18,eV,20.0,0.21541850290136394,0.04991866985235977,0.6088571491952364,0.16541850290136395,1.0,1.0,0,60,0,2,earlier|later
ece19,eV,20.0,0.18722409433186601,0.06559062304768301,0.6122764945922468,0.137224094331866,1.0,1.0,0,60,0,2,earlier|later
ece20,eV,20.0,0.15676118473513506,0.05410534005460979,0.556472512489046,0.10676118473513506,0.9953488372093023,1.0,0,60,0,2,earlier|later
ece21,eV,20.0,0.13891386501810157,0.046701919327920394,0.5434355235993846,0.08891386501810157,1.0,1.0,0,60,0,2,earlier|later
ece22,eV,20.0,0.12387688932585682,0.04376283531167427,0.5156660643654284,0.07387688932585681,1.0,1.0,0,60,0,2,earlier|later
ece23,eV,20.0,0.1215030509758879,0.04321303598349569,0.5214803489726916,0.0715030509758879,1.0,1.0,0,60,0,2,earlier|later
ece24,eV,20.0,0.13769630370023855,0.043105390140617095,0.5471474754358071,0.08769630370023855,1.0,1.0,0,60,0,2,earlier|later
ece25,eV,20.0,0.13170472177438347,0.04401197196467894,0.5767180351299767,0.08170472177438347,0.9954128440366973,1.0,0,60,0,2,earlier|later
ece26,eV,20.0,0.1321815672607323,0.04434991369917483,0.5650392808589934,0.0821815672607323,0.9962121212121212,1.0,0,60,0,2,earlier|later
ece27,eV,20.0,0.14544572134354422,0.043444087051871014,0.6273001355077862,0.09544572134354422,0.99581589958159,1.0,0,60,0,2,earlier|later
ece28,eV,20.0,0.18958434104448701,0.04464259053680522,0.8412928196134806,0.13958434104448703,1.0,1.0,0,60,0,2,earlier|later
ece29,eV,20.0,0.12353396843912406,0.04825643168504606,0.4653183551642899,0.07353396843912406,0.9953271028037384,1.0,0,60,0,2,earlier|later
ece30,eV,20.0,0.10414253102923415,0.038413967241230036,0.4274610596932798,0.05414253102923415,0.9953271028037384,1.0,0,60,0,2,earlier|later
ece31,eV,20.0,0.10340395298689928,0.042359543110998744,0.40422178928185126,0.053403952986899275,0.9953271028037384,1.0,0,60,0,2,earlier|later
ece32,eV,20.0,0.09493024876068001,0.04163043849791877,0.38085202723162925,0.04493024876068001,0.9946808510638298,1.0,0,60,0,2,earlier|later
ece33,eV,20.0,0.09514581748037874,0.055070599706510535,0.5450660914320762,0.04514581748037874,1.0,1.0,0,60,0,2,earlier|later
ece34,eV,20.0,0.0972335841886971,0.06340617059426508,0.4434979281335026,0.047233584188697095,1.0,1.0,0,60,0,2,earlier|later
ece35,eV,20.0,0.10975713951799948,0.030560150984448326,0.3961368216926484,0.05975713951799948,1.0,1.0,0,60,0,2,earlier|later
ece36,eV,20.0,0.12278716283653777,0.04398466085784086,0.3186222318909673,0.07278716283653777,0.9957983193277311,1.0,0,60,0,2,earlier|later
ece37,eV,20.0,0.11060189380286575,0.028860710135868887,0.32009421131089527,0.06060189380286575,0.9953271028037384,1.0,0,60,0,2,earlier|later
ece38,eV,20.0,0.14160152800272574,0.03207935914958253,0.4179628351149632,0.09160152800272574,1.0,1.0,0,60,0,2,earlier|later
ece39,eV,20.0,0.16551247929528595,0.04654926564721781,0.5080767437315319,0.11551247929528595,1.0,1.0,0,60,0,2,earlier|later
ece40,eV,20.0,0.1570113009728588,0.05840283597434738,0.5266072950024082,0.10701130097285881,0.9957983193277311,1.0,0,60,0,2,earlier|later
cerqrott3,m/s,20.0,0.17032447936849074,0.06679163141884897,0.48229080903385707,0.12032447936849074,0.9221789883268483,0.9727506065187581,0,60,0,2,earlier|later
cerqrott6,m/s,20.0,0.15493629175526702,0.09700077932163641,0.44912868041506115,0.10493629175526702,0.8638132295719845,0.9771780631725095,0,60,0,2,earlier|later
cerqrott8,m/s,20.0,0.1696934326863998,0.10032725182819881,0.35059286040462456,0.1196934326863998,0.8754863813229572,0.9703872840555083,0,60,0,2,earlier|later
cerqrott10,m/s,20.0,0.22189031463808734,0.09580851062005101,0.4577223936501909,0.17189031463808735,0.9182879377431906,0.9861099202606534,0,60,0,2,earlier|later
cerqrott11,m/s,20.0,0.32861880694252144,0.07847950564201936,0.7377782279783727,0.27861880694252145,0.9182879377431906,0.9860139100195611,0,60,0,2,earlier|later
cerqrott12,m/s,20.0,0.4297848943407542,0.18889331537238938,0.7406686426482785,0.3797848943407542,0.9221789883268483,0.9878812459441921,0,60,0,2,earlier|later
cerqrott13,m/s,20.0,0.3842472025551583,0.17763273903808147,0.7969663608733629,0.33424720255515833,0.9205020920502092,0.9833916395959019,0,60,0,2,earlier|later
cerqtit3,eV,20.0,0.1747911957719377,0.0777909957555696,0.45130870756395136,0.12479119577193769,0.9957983193277311,1.0,0,60,0,2,earlier|later
cerqtit6,eV,20.0,0.162003059378446,0.06411054098701013,0.34644504070729865,0.112003059378446,0.9893617021276596,1.0,0,60,0,2,earlier|later
cerqtit8,eV,20.0,0.1772060301206122,0.07391343236482951,0.40039895057384245,0.1272060301206122,0.9883268482490273,1.0,0,60,0,2,earlier|later
cerqtit10,eV,20.0,0.20639832780617548,0.06599000687601042,0.4641772653829601,0.15639832780617546,0.9873949579831933,1.0,0,60,0,2,earlier|later
cerqtit11,eV,20.0,0.21522922362998026,0.06825419064464844,0.5064415576824438,0.16522922362998027,0.9906976744186047,1.0,0,60,0,2,earlier|later
cerqtit12,eV,20.0,0.208051255419493,0.09033066470592176,0.5147295336054539,0.158051255419493,0.9883268482490273,1.0,0,60,0,2,earlier|later
cerqtit13,eV,20.0,0.22154927064069452,0.05804982066255242,0.5244187959233412,0.17154927064069453,0.9844357976653697,1.0,0,60,0,2,earlier|later
