signal_index,signal_id,U001_upstream_generator_absent,U003_efit_settings_unresolved,U004_no_uncertainty_metadata,U009_processing_era_discontinuity,U010_downsample_without_antialias,n_major_flags_total,n_major_flags_signal_specific,signal_specific_flags,ranking_key_target_side_major_flags
1,bt,True,False,True,True,True,4,2,U009|U010,2
2,ip,True,False,True,True,True,4,2,U009|U010,2
3,pcbcoil,True,False,True,False,False,2,0,,0
4,pcdiamag3,True,False,True,False,False,2,0,,0
5,vsurf,True,False,True,False,False,2,0,,0
6,aminor,True,True,True,False,False,3,1,U003,1
7,area,True,True,True,False,False,3,1,U003,1
8,betan,True,True,True,False,False,3,1,U003,1
9,drsep,True,True,True,False,False,3,1,U003,1
10,kappa,True,True,True,False,False,3,1,U003,1
11,li,True,True,True,False,False,3,1,U003,1
12,q95,True,True,True,False,False,3,1,U003,1
13,rmaxis,True,True,True,False,False,3,1,U003,1
14,rsurf,True,True,True,False,False,3,1,U003,1
15,tribot,True,True,True,False,False,3,1,U003,1
16,tritop,True,True,True,False,False,3,1,U003,1
17,volume,True,True,True,False,False,3,1,U003,1
18,zcur,True,True,True,False,False,3,1,U003,1
19,zmaxis,True,True,True,False,False,3,1,U003,1
20,zsurf,True,True,True,False,False,3,1,U003,1
21,density,True,False,True,False,False,2,0,,0
22,prmtan_neped,True,False,True,True,True,4,2,U009|U010,2
23,prmtan_teped,True,False,True,True,True,4,2,U009|U010,2
24,fs04,True,False,True,False,False,2,0,,0
25,fs03da,True,False,True,False,False,2,0,,0
26,fs04da,True,False,True,False,False,2,0,,0
27,fs05da,True,False,True,False,False,2,0,,0
28,gasa,True,False,True,False,False,2,0,,0
29,gasb,True,False,True,False,False,2,0,,0
30,gasc,True,False,True,False,False,2,0,,0
31,gasd,True,False,True,False,False,2,0,,0
32,pinj,True,False,True,False,False,2,0,,0
33,pinj_15l,True,False,True,False,False,2,0,,0
34,pinj_15r,True,False,True,False,False,2,0,,0
35,pinj_21l,True,False,True,False,False,2,0,,0
36,pinj_21r,True,False,True,False,False,2,0,,0
37,pinj_30l,True,False,True,False,False,2,0,,0
38,pinj_30r,True,False,True,False,False,2,0,,0
39,pinj_33l,True,False,True,False,False,2,0,,0
40,pinj_33r,True,False,True,False,False,2,0,,0
41,tinj,True,False,True,False,False,2,0,,0
42,ece1,True,False,True,False,False,2,0,,0
43,ece2,True,False,True,False,False,2,0,,0
44,ece3,True,False,True,False,False,2,0,,0
45,ece4,True,False,True,False,False,2,0,,0
46,ece5,True,False,True,False,False,2,0,,0
47,ece6,True,False,True,False,False,2,0,,0
48,ece7,True,False,True,False,False,2,0,,0
49,ece8,True,False,True,False,False,2,0,,0
50,ece9,True,False,True,False,False,2,0,,0
51,ece10,True,False,True,False,False,2,0,,0
52,ece11,True,False,True,False,False,2,0,,0
53,ece12,True,False,True,False,False,2,0,,0
54,ece13,True,False,True,False,False,2,0,,0
55,ece14,True,False,True,False,False,2,0,,0
56,ece15,True,False,True,False,False,2,0,,0
57,ece16,True,False,True,False,False,2,0,,0
58,ece17,True,False,True,False,False,2,0,,0
59,ece18,True,False,True,False,False,2,0,,0
60,ece19,True,False,True,False,False,2,0,,0
61,ece20,True,False,True,False,False,2,0,,0
62,ece21,True,False,True,False,False,2,0,,0
63,ece22,True,False,True,False,False,2,0,,0
64,ece23,True,False,True,False,False,2,0,,0
65,ece24,True,False,True,False,False,2,0,,0
66,ece25,True,False,True,False,False,2,0,,0
67,ece26,True,False,True,False,False,2,0,,0
68,ece27,True,False,True,False,False,2,0,,0
69,ece28,True,False,True,False,False,2,0,,0
70,ece29,True,False,True,False,False,2,0,,0
71,ece30,True,False,True,False,False,2,0,,0
72,ece31,True,False,True,False,False,2,0,,0
73,ece32,True,False,True,False,False,2,0,,0
74,ece33,True,False,True,False,False,2,0,,0
75,ece34,True,False,True,False,False,2,0,,0
76,ece35,True,False,True,False,False,2,0,,0
77,ece36,True,False,True,False,False,2,0,,0
78,ece37,True,False,True,False,False,2,0,,0
79,ece38,True,False,True,False,False,2,0,,0
80,ece39,True,False,True,False,False,2,0,,0
81,ece40,True,False,True,False,False,2,0,,0
82,cerqrott3,True,False,True,False,True,3,1,U010,1
83,cerqrott6,True,False,True,False,True,3,1,U010,1
84,cerqrott8,True,False,True,False,True,3,1,U010,1
85,cerqrott10,True,False,True,False,True,3,1,U010,1
86,cerqrott11,True,False,True,False,True,3,1,U010,1
87,cerqrott12,True,False,True,False,True,3,1,U010,1
88,cerqrott13,True,False,True,False,True,3,1,U010,1
89,cerqtit3,True,False,True,False,True,3,1,U010,1
90,cerqtit6,True,False,True,False,True,3,1,U010,1
91,cerqtit8,True,False,True,False,True,3,1,U010,1
92,cerqtit10,True,False,True,False,True,3,1,U010,1
93,cerqtit11,True,False,True,False,True,3,1,U010,1
94,cerqtit12,True,False,True,False,True,3,1,U010,1
95,cerqtit13,True,False,True,False,True,3,1,U010,1
