candidate,signal_index,C1_scalar,C2_available,C3_interpretable,C4_resolved_unit,C5_target_class,C6_min_predictors_after_closure,C7_no_event_taxonomy,C8_no_regime_classification,C9_no_algebraic_duplicate,C10_meaningful_variation,C11_both_processing_eras,C12_no_label_pipeline,n_invalid_nrmse_blocks,all_criteria_pass,target_major_flag_count,n_certified_primary_predictors,n_distinct_surviving_families,RRV_dev,RRV_margin,frozen_signal_index,rank,rank_resolution_level
vsurf,5,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,79,7,0.1796513707346068,0.1296513707346068,5,1,6
density,21,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,79,7,0.0983379135696584,0.0483379135696584,21,2,4
fs05da,27,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,76,6,0.4639605587485131,0.4139605587485132,27,3,2
fs04,24,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,76,6,0.331372155141129,0.281372155141129,24,4,2
fs04da,26,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,76,6,0.331372155141129,0.281372155141129,26,5,2
fs03da,25,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,76,6,0.2375152389020231,0.1875152389020231,25,6,2
ece7,48,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,40,6,0.2537182422935959,0.2037182422935959,48,7,2
ece6,47,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,40,6,0.2518914331822626,0.2018914331822626,47,8,2
ece4,45,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,40,6,0.2449828397009173,0.1949828397009173,45,9,2
ece1,42,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,40,6,0.2409973139465928,0.1909973139465928,42,10,2
ece2,43,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,40,6,0.2366809724056608,0.1866809724056609,43,11,2
ece3,44,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,40,6,0.2316951513363458,0.1816951513363459,44,12,2
ece8,49,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,40,6,0.2305285667733931,0.1805285667733931,49,13,2
ece5,46,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,40,6,0.2209767699731153,0.1709767699731153,46,14,2
ece10,51,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,40,6,0.2173333600172213,0.1673333600172213,51,15,2
ece18,59,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,40,6,0.2154185029013639,0.1654185029013639,59,16,2
ece9,50,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,40,6,0.2094686986037697,0.1594686986037697,50,17,2
ece11,52,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,40,6,0.208489749730061,0.158489749730061,52,18,2
ece12,53,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,40,6,0.2026879786037769,0.1526879786037769,53,19,2
ece28,69,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,40,6,0.189584341044487,0.139584341044487,69,20,2
ece17,58,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,40,6,0.1880624250967487,0.1380624250967487,58,21,2
ece19,60,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,40,6,0.187224094331866,0.137224094331866,60,22,2
ece16,57,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,40,6,0.1846959603267568,0.1346959603267568,57,23,2
ece14,55,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,40,6,0.1771892895988068,0.1271892895988068,55,24,2
ece13,54,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,40,6,0.1748451860257526,0.1248451860257526,54,25,2
ece39,80,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,40,6,0.1655124792952859,0.1155124792952859,80,26,2
ece40,81,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,40,6,0.1570113009728588,0.1070113009728588,81,27,2
ece20,61,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,40,6,0.156761184735135,0.106761184735135,61,28,2
ece15,56,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,40,6,0.1566663227876815,0.1066663227876815,56,29,2
ece27,68,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,40,6,0.1454457213435442,0.0954457213435442,68,30,2
ece38,79,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,40,6,0.1416015280027257,0.0916015280027257,79,31,2
ece21,62,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,40,6,0.1389138650181015,0.0889138650181015,62,32,2
ece24,65,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,40,6,0.1376963037002385,0.0876963037002385,65,33,2
ece26,67,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,40,6,0.1321815672607323,0.0821815672607323,67,34,2
ece25,66,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,40,6,0.1317047217743834,0.0817047217743834,66,35,2
ece22,63,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,40,6,0.1238768893258568,0.0738768893258568,63,36,2
ece29,70,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,40,6,0.123533968439124,0.073533968439124,70,37,2
ece36,77,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,40,6,0.1227871628365377,0.0727871628365377,77,38,2
ece23,64,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,40,6,0.1215030509758879,0.0715030509758879,64,39,2
ece37,78,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,40,6,0.1106018938028657,0.0606018938028657,78,40,2
ece35,76,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,40,6,0.1097571395179994,0.0597571395179994,76,41,2
ece30,71,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,40,6,0.1041425310292341,0.0541425310292341,71,42,2
ece31,72,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,40,6,0.1034039529868992,0.0534039529868992,72,43,2
ece34,75,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,40,6,0.0972335841886971,0.047233584188697,75,44,2
ece33,74,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,40,6,0.0951458174803787,0.0451458174803787,74,45,2
ece32,73,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,40,6,0.09493024876068,0.04493024876068,73,46,2
cerqrott12,87,True,True,True,True,True,True,True,True,True,True,True,True,0,True,1,73,7,0.4297848943407542,0.3797848943407542,87,47,1
cerqrott13,88,True,True,True,True,True,True,True,True,True,True,True,True,0,True,1,73,7,0.3842472025551583,0.3342472025551583,88,48,1
cerqrott11,86,True,True,True,True,True,True,True,True,True,True,True,True,0,True,1,73,7,0.3286188069425214,0.2786188069425214,86,49,1
cerqrott10,85,True,True,True,True,True,True,True,True,True,True,True,True,0,True,1,73,7,0.2218903146380873,0.1718903146380873,85,50,1
cerqtit13,95,True,True,True,True,True,True,True,True,True,True,True,True,0,True,1,73,7,0.2215492706406945,0.1715492706406945,95,51,1
cerqtit11,93,True,True,True,True,True,True,True,True,True,True,True,True,0,True,1,73,7,0.2152292236299802,0.1652292236299802,93,52,1
cerqtit12,94,True,True,True,True,True,True,True,True,True,True,True,True,0,True,1,73,7,0.208051255419493,0.158051255419493,94,53,1
cerqtit10,92,True,True,True,True,True,True,True,True,True,True,True,True,0,True,1,73,7,0.2063983278061754,0.1563983278061754,92,54,1
cerqtit8,91,True,True,True,True,True,True,True,True,True,True,True,True,0,True,1,73,7,0.1772060301206122,0.1272060301206122,91,55,1
cerqtit3,89,True,True,True,True,True,True,True,True,True,True,True,True,0,True,1,73,7,0.1747911957719377,0.1247911957719376,89,56,1
cerqrott3,82,True,True,True,True,True,True,True,True,True,True,True,True,0,True,1,73,7,0.1703244793684907,0.1203244793684907,82,57,1
cerqrott8,84,True,True,True,True,True,True,True,True,True,True,True,True,0,True,1,73,7,0.1696934326863998,0.1196934326863998,84,58,1
cerqtit6,90,True,True,True,True,True,True,True,True,True,True,True,True,0,True,1,73,7,0.162003059378446,0.112003059378446,90,59,1
cerqrott6,83,True,True,True,True,True,True,True,True,True,True,True,True,0,True,1,73,7,0.154936291755267,0.104936291755267,83,60,1
prmtan_teped,23,True,True,True,True,True,True,True,True,True,True,True,True,0,True,2,79,7,0.3059051998707335,0.2559051998707335,23,61,1
prmtan_neped,22,True,True,True,True,True,True,True,True,True,True,True,True,0,True,2,79,7,0.1921966141456673,0.1421966141456673,22,62,1
