target,archived_unit,canonical_unit,factor
bt,T,T,1.0
ip,A,A,1.0
vsurf,V,V,1.0
density,cm^-3,m^-3,1000000.0
prmtan_neped,m^-3,m^-3,1.0
prmtan_teped,eV,eV,1.0
fs04,ph/(sr cm^2 s),ph/(sr m^2 s),10000.0
fs03da,ph/(sr cm^2 s),ph/(sr m^2 s),10000.0
fs04da,ph/(sr cm^2 s),ph/(sr m^2 s),10000.0
fs05da,ph/(sr cm^2 s),ph/(sr m^2 s),10000.0
ece1,keV,eV,1000.0
ece2,keV,eV,1000.0
ece3,keV,eV,1000.0
ece4,keV,eV,1000.0
ece5,keV,eV,1000.0
ece6,keV,eV,1000.0
ece7,keV,eV,1000.0
ece8,keV,eV,1000.0
ece9,keV,eV,1000.0
ece10,keV,eV,1000.0
ece11,keV,eV,1000.0
ece12,keV,eV,1000.0
ece13,keV,eV,1000.0
ece14,keV,eV,1000.0
ece15,keV,eV,1000.0
ece16,keV,eV,1000.0
ece17,keV,eV,1000.0
ece18,keV,eV,1000.0
ece19,keV,eV,1000.0
ece20,keV,eV,1000.0
ece21,keV,eV,1000.0
ece22,keV,eV,1000.0
ece23,keV,eV,1000.0
ece24,keV,eV,1000.0
ece25,keV,eV,1000.0
ece26,keV,eV,1000.0
ece27,keV,eV,1000.0
ece28,keV,eV,1000.0
ece29,keV,eV,1000.0
ece30,keV,eV,1000.0
ece31,keV,eV,1000.0
ece32,keV,eV,1000.0
ece33,keV,eV,1000.0
ece34,keV,eV,1000.0
ece35,keV,eV,1000.0
ece36,keV,eV,1000.0
ece37,keV,eV,1000.0
ece38,keV,eV,1000.0
ece39,keV,eV,1000.0
ece40,keV,eV,1000.0
cerqrott3,km/s,m/s,1000.0
cerqrott6,km/s,m/s,1000.0
cerqrott8,km/s,m/s,1000.0
cerqrott10,km/s,m/s,1000.0
cerqrott11,km/s,m/s,1000.0
cerqrott12,km/s,m/s,1000.0
cerqrott13,km/s,m/s,1000.0
cerqtit3,eV,eV,1.0
cerqtit6,eV,eV,1.0
cerqtit8,eV,eV,1.0
cerqtit10,eV,eV,1.0
cerqtit11,eV,eV,1.0
cerqtit12,eV,eV,1.0
cerqtit13,eV,eV,1.0
