discharge,realization_index,cohort,processing_era,operational_period,t_start_s,t_end_s,duration_s,delta_t_s,delta_t_ms,N_s,binding_signal,validation_feasible,values_opened_in_S7_4
155537,0,external,earlier,1,0.6,4.88,4.28,0.005881578947368421,5.881578947368421,728,cerqrott3,True,False
159310,1,external,earlier,2,0.72,5.08,4.36,0.006488095238095238,6.488095238095238,673,cerqrott3,True,False
160715,2,development,earlier,2,0.6,4.886070007324219,4.286070007324219,0.0058846657929226736,5.884665792922673,729,cerqrott3,True,False
160717,3,external,earlier,2,0.6,4.880984985351563,4.280984985351562,0.0058846657929226736,5.884665792922673,728,cerqrott3,True,False
160719,4,external,earlier,2,0.6,4.906071014404297,4.306071014404297,0.005908496732026144,5.908496732026144,729,cerqrott3,True,False
160720,5,development,earlier,2,0.6,4.89,4.29,0.0058846657929226736,5.884665792922673,730,cerqrott3,True,False
160721,6,external,earlier,2,0.6,4.886070007324219,4.286070007324219,0.0058846657929226736,5.884665792922673,729,cerqrott3,True,False
161136,7,external,earlier,2,1.21,4.99,3.78,0.009973614775725594,9.973614775725594,380,cerqrott8,True,False
161138,8,development,earlier,2,1.21,4.99,3.78,0.009973614775725594,9.973614775725594,380,cerqrott8,True,False
161145,9,external,earlier,2,1.21,4.99,3.78,0.009973614775725594,9.973614775725594,380,cerqrott8,True,False
161414,10,external,earlier,2,0.72,5.84,5.12,0.006153846153846154,6.153846153846154,833,cerqrott3,True,False
165017,11,external,earlier,3,0.6,4.9,4.3,0.005952380952380953,5.9523809523809526,723,cerqrott3,True,False
165022,12,development,earlier,3,0.6,4.88806005859375,4.28806005859375,0.005876840696117804,5.876840696117805,730,cerqrott3,True,False
165026,13,external,earlier,3,0.6,4.9,4.3,0.006002728512960436,6.002728512960436,717,cerqrott3,True,False
165027,14,external,earlier,3,0.6,4.9,4.3,0.005876840696117804,5.876840696117805,732,cerqrott3,True,False
165028,15,development,earlier,3,0.6,4.9,4.3,0.005898123324396784,5.898123324396783,730,cerqrott3,True,False
165029,16,external,earlier,3,0.8,4.9,4.1,0.006145251396648045,6.145251396648045,668,cerqrott3,True,False
165031,17,external,earlier,3,0.8,4.9,4.1,0.006153846153846154,6.153846153846154,667,cerqrott3,True,False
165042,18,development,earlier,3,0.6,4.88805712890625,4.28805712890625,0.005853333333333334,5.8533333333333335,733,cerqrott3,True,False
165043,19,external,earlier,3,0.6,4.9,4.3,0.005882352941176471,5.882352941176471,732,cerqrott3,True,False
165860,20,external,earlier,3,0.6,4.9,4.3,0.005882352941176471,5.882352941176471,732,cerqrott3,True,False
165861,21,development,earlier,3,0.6,4.9,4.3,0.005890227576974565,5.890227576974565,731,cerqrott3,True,False
165955,22,external,earlier,3,0.6,4.9,4.3,0.005858854860186418,5.858854860186418,734,cerqrott3,True,False
165965,23,external,earlier,3,0.6,4.88810498046875,4.28810498046875,0.007032786885245901,7.032786885245901,610,cerqrott13,True,False
170394,24,external,earlier,4,0.41,5.005273986816406,4.595273986816406,0.013887240356083089,13.887240356083089,331,prmtan_teped,True,False
170396,25,development,earlier,4,0.41,5.01,4.6,0.014144144144144144,14.144144144144144,326,prmtan_teped,True,False
170411,26,external,earlier,4,0.41,5.01,4.6,0.014186746987951809,14.186746987951809,325,prmtan_teped,True,False
186997,27,external,earlier,5,0.6,5.96,5.36,0.008683001531393569,8.683001531393568,618,prmtan_teped,True,False
187017,28,development,earlier,5,1.0,5.990790008544922,4.990790008544922,0.008328445747800586,8.328445747800586,600,prmtan_teped,True,False
187018,29,external,earlier,5,1.0,5.99,4.99,0.009980039920159679,9.98003992015968,500,cerqrott3,True,False
187019,30,external,earlier,5,1.0,5.68,4.68,0.008248847926267282,8.248847926267281,568,prmtan_teped,True,False
187020,31,development,earlier,5,1.0,6.130790008544922,5.130790008544922,0.008290598290598292,8.290598290598291,619,prmtan_teped,True,False
187021,32,external,earlier,5,1.0,5.987996002197265,4.987996002197265,0.01,10.0,499,cerqrott3,True,False
187022,33,external,earlier,5,1.0,5.68,4.68,0.008211009174311928,8.211009174311927,570,prmtan_teped,True,False
187024,34,development,earlier,5,1.0,6.13,5.13,0.007961696306429551,7.96169630642955,645,prmtan_teped,True,False
189646,35,external,later,6,0.72,5.072848999023438,4.352848999023437,0.007402376910016978,7.402376910016978,589,cerqrott8,True,False
189647,36,development,later,6,0.72,5.072856994628906,4.352856994628906,0.007452991452991453,7.452991452991453,585,cerqrott8,True,False
189649,37,external,later,6,0.72,5.08,4.36,0.007230514096185738,7.230514096185738,604,cerqrott8,True,False
189650,38,external,later,6,0.72,5.08,4.36,0.007389830508474576,7.389830508474576,591,cerqrott8,True,False
189651,39,development,later,6,0.72,5.08,4.36,0.0071947194719471945,7.194719471947194,607,cerqrott8,True,False
189652,40,external,later,6,0.76,4.88799398803711,4.127993988037109,0.0064130434782608695,6.413043478260869,644,cerqrott8,True,False
195261,41,external,later,7,0.72,5.9953049926757815,5.275304992675781,0.006682408500590319,6.682408500590319,790,prmtan_teped,True,False
195264,42,development,later,7,0.72,6.000003997802734,5.280003997802734,0.006818181818181819,6.818181818181818,775,prmtan_teped,True,False
195265,43,external,later,7,0.72,6.000003997802734,5.280003997802734,0.0069007263922518155,6.900726392251816,766,prmtan_teped,True,False
195266,44,external,later,7,0.72,6.00000601196289,5.28000601196289,0.0068351383874849575,6.835138387484958,773,prmtan_teped,True,False
195267,45,development,later,7,0.72,6.074997985839844,5.3549979858398435,0.006869047619047618,6.869047619047619,780,prmtan_teped,True,False
195268,46,external,later,7,0.72,6.07,5.35,0.006869047619047618,6.869047619047619,779,prmtan_teped,True,False
195269,47,external,later,7,0.72,5.9953039855957035,5.275303985595703,0.0067619047619047615,6.761904761904762,781,prmtan_teped,True,False
195273,48,development,later,7,0.72,6.080005004882812,5.3600050048828125,0.006856465005931198,6.856465005931198,782,prmtan_teped,True,False
195274,49,external,later,7,0.72,6.000005004882812,5.280005004882812,0.007033112582781457,7.033112582781457,751,cerqrott8,True,False
195626,50,external,later,7,0.41,5.475303009033203,5.065303009033203,0.006666666666666667,6.666666666666667,760,prmtan_teped,True,False
195638,51,development,later,7,0.41,5.17,4.76,0.006768377253814147,6.768377253814147,704,prmtan_teped,True,False
195642,52,external,later,7,0.41,5.19,4.78,0.006829608938547486,6.829608938547486,700,prmtan_teped,True,False
195645,53,external,later,7,0.41,5.172511993408203,4.762511993408203,0.006815642458100559,6.815642458100559,699,prmtan_teped,True,False
195647,54,development,later,7,0.41,5.19,4.78,0.007149253731343283,7.149253731343284,669,cerqrott3,True,False
195648,55,external,later,7,0.41,5.19,4.78,0.007117384843982169,7.117384843982169,672,cerqrott3,True,False
195649,56,external,later,7,0.41,5.19,4.78,0.006726272352132049,6.7262723521320495,711,prmtan_teped,True,False
195650,57,development,later,7,0.41,5.1753099975585934,4.765309997558594,0.006648426812585499,6.648426812585499,717,prmtan_teped,True,False
195651,58,external,later,7,0.41,5.2,4.79,0.006648575305291724,6.648575305291724,721,prmtan_teped,True,False
195652,59,external,later,7,0.41,5.19,4.78,0.00675,6.75,709,prmtan_teped,True,False
195655,60,development,later,7,0.41,5.195002014160156,4.785002014160156,0.007100591715976331,7.100591715976331,674,cerqrott3,True,False
195659,61,external,later,7,0.41,4.2,3.79,0.009974424552429667,9.974424552429667,380,prmtan_teped,True,False
