signal,signal_index,mathematical_type_block,broad_scientific_family,scientific_type,description,archived_unit,canonical_unit,canonicalization_factor,origin_class,archived_dt_ms,source_supported_dt_min_ms,source_supported_dt_max_ms,n_shots_upstream_upsampled,upstream_upsampled_flag,aliasing_flag,uncalibrated_signal_flag,analysis_grid_relationship,provenance_status,derivative_qualification,channel_index_is_spatial_coordinate,channel_index_note
bt,1,X_mag,magnetics,magnetic and uncalibrated control channels,Toroidal magnetic field,T,T,1.0,DIRECT_MEASUREMENT,1.0,0.0499887037895813,0.4999999999999999,0,False,True,False,grid is never finer than this quantity's provenance-supported temporal-resolution estimate,certified_independent_of_target,ALIASING_RISK on derivatives,False,channel labels only; no documented geometry in the frozen object
ip,2,X_mag,magnetics,magnetic and uncalibrated control channels,Plasma current,A,A,1.0,DIRECT_MEASUREMENT,1.0,0.0499887037895813,0.4999593727147152,0,False,True,False,grid is never finer than this quantity's provenance-supported temporal-resolution estimate,certified_independent_of_target,ALIASING_RISK on derivatives,False,channel labels only; no documented geometry in the frozen object
pcbcoil,3,X_mag,magnetics,magnetic and uncalibrated control channels,Plasma control B-coil signal (uncalibrated),nan,,1.0,DIRECT_MEASUREMENT,0.9999999974752428,0.049991799752228,0.2500127818618758,0,False,False,True,grid is never finer than this quantity's provenance-supported temporal-resolution estimate,certified_independent_of_target,standard,False,channel labels only; no documented geometry in the frozen object
pcdiamag3,4,X_mag,magnetics,magnetic and uncalibrated control channels,Diamagnetic loop signal (uncalibrated),nan,,1.0,DIRECT_MEASUREMENT,0.9999999974752428,0.049991799752228,0.2500127818618758,0,False,False,True,grid is never finer than this quantity's provenance-supported temporal-resolution estimate,certified_independent_of_target,standard,False,channel labels only; no documented geometry in the frozen object
prmtan_neped,22,X_density_aux,density,pedestal density and temperature fits,Pedestal electron density from tanh fit,m^-3,m^-3,1.0,DIAGNOSTIC_RECONSTRUCTION,10.0,4.378430226038927,13.267605633802816,3,True,True,False,grid is never finer than this quantity's provenance-supported temporal-resolution estimate,certified_independent_of_target,NUMERICAL_SENSITIVITY_ONLY (upstream-upsampled),False,channel labels only; no documented geometry in the frozen object
prmtan_teped,23,X_density_aux,density,pedestal density and temperature fits,Pedestal electron temperature from tanh fit,eV,eV,1.0,DIAGNOSTIC_RECONSTRUCTION,10.0,4.535163253044634,14.186746987951809,3,True,True,False,grid is never finer than this quantity's provenance-supported temporal-resolution estimate,certified_independent_of_target,NUMERICAL_SENSITIVITY_ONLY (upstream-upsampled),False,channel labels only; no documented geometry in the frozen object
fs04,24,X_fs,filterscope_dalpha,D-alpha photon flux,Filterscope D-alpha channel (fs04),ph/(sr cm^2 s),ph/(sr m^2 s),10000.0,DIRECT_MEASUREMENT,0.02,0.0199999048751486,0.0499999017672079,9,True,False,False,grid is never finer than this quantity's provenance-supported temporal-resolution estimate,certified_independent_of_target,NUMERICAL_SENSITIVITY_ONLY (upstream-upsampled),False,channel labels only; no documented geometry in the frozen object
fs03da,25,X_fs,filterscope_dalpha,D-alpha photon flux,Filterscope D-alpha channel (fs03da),ph/(sr cm^2 s),ph/(sr m^2 s),10000.0,DIRECT_MEASUREMENT,0.02,0.0199999048751486,0.0499999017672079,9,True,False,False,grid is never finer than this quantity's provenance-supported temporal-resolution estimate,certified_independent_of_target,NUMERICAL_SENSITIVITY_ONLY (upstream-upsampled),False,channel labels only; no documented geometry in the frozen object
fs04da,26,X_fs,filterscope_dalpha,D-alpha photon flux,Filterscope D-alpha channel (fs04da),ph/(sr cm^2 s),ph/(sr m^2 s),10000.0,DIRECT_MEASUREMENT,0.02,0.0199999048751486,0.0499999017672079,9,True,False,False,grid is never finer than this quantity's provenance-supported temporal-resolution estimate,certified_independent_of_target,NUMERICAL_SENSITIVITY_ONLY (upstream-upsampled),False,channel labels only; no documented geometry in the frozen object
fs05da,27,X_fs,filterscope_dalpha,D-alpha photon flux,Filterscope D-alpha channel (fs05da),ph/(sr cm^2 s),ph/(sr m^2 s),10000.0,DIRECT_MEASUREMENT,0.02,0.0199999048751486,0.0499999017672079,9,True,False,False,grid is never finer than this quantity's provenance-supported temporal-resolution estimate,certified_independent_of_target,NUMERICAL_SENSITIVITY_ONLY (upstream-upsampled),False,channel labels only; no documented geometry in the frozen object
gasa,28,X_gas,gas_injection,gas valve command voltage,"Gas injection valve command, manifold A",V,V,1.0,CONTROL_COMMAND_OR_ACTUATION,2.0,0.0499805774957917,0.5,0,False,False,False,grid is never finer than this quantity's provenance-supported temporal-resolution estimate,certified_independent_of_target,standard,False,channel labels only; no documented geometry in the frozen object
gasb,29,X_gas,gas_injection,gas valve command voltage,"Gas injection valve command, manifold B",V,V,1.0,CONTROL_COMMAND_OR_ACTUATION,2.0,0.0499805774957917,0.5,0,False,False,False,grid is never finer than this quantity's provenance-supported temporal-resolution estimate,certified_independent_of_target,standard,False,channel labels only; no documented geometry in the frozen object
gasc,30,X_gas,gas_injection,gas valve command voltage,"Gas injection valve command, manifold C",V,V,1.0,CONTROL_COMMAND_OR_ACTUATION,2.0,0.0499805774957917,0.5,0,False,False,False,grid is never finer than this quantity's provenance-supported temporal-resolution estimate,certified_independent_of_target,standard,False,channel labels only; no documented geometry in the frozen object
gasd,31,X_gas,gas_injection,gas valve command voltage,"Gas injection valve command, manifold D",V,V,1.0,CONTROL_COMMAND_OR_ACTUATION,2.0,0.0499805774957917,0.5,0,False,False,False,grid is never finer than this quantity's provenance-supported temporal-resolution estimate,certified_independent_of_target,standard,False,channel labels only; no documented geometry in the frozen object
pinj,32,X_NBI,neutral_beams,beam injection power and torque,Total injected neutral beam power,kW,W,1000.0,CONTROL_COMMAND_OR_ACTUATION,0.1,0.0999976218787158,0.1,0,False,False,False,grid is never finer than this quantity's provenance-supported temporal-resolution estimate,certified_independent_of_target,standard,False,channel labels only; no documented geometry in the frozen object
pinj_15l,33,X_NBI,neutral_beams,beam injection power and torque,"Injected neutral beam power, beamline 15L",W,W,1.0,CONTROL_COMMAND_OR_ACTUATION,0.1,0.0999976218787158,0.1,0,False,False,False,grid is never finer than this quantity's provenance-supported temporal-resolution estimate,certified_independent_of_target,standard,False,channel labels only; no documented geometry in the frozen object
pinj_15r,34,X_NBI,neutral_beams,beam injection power and torque,"Injected neutral beam power, beamline 15R",W,W,1.0,CONTROL_COMMAND_OR_ACTUATION,0.1,0.0999976218787158,0.1,0,False,False,False,grid is never finer than this quantity's provenance-supported temporal-resolution estimate,certified_independent_of_target,standard,False,channel labels only; no documented geometry in the frozen object
