shot,cohort,source_sample_count,archived_sample_count,resampled_length_recorded,archived_support_ms,archived_dt_ms,source_supported_dt_ms,analysis_dt_ms,upsample_ratio,resampling_method,resampling_category,source_coarser_than_analysis_grid,shares_equilibrium_time_base,evidence_source,confidence
155537,external,227,239,239,4760.0,20.0,21.061946902654867,20.0,1.052863436123348,cubic_spline,smooth_high_snr,True,True,shot_*_metadata.json original_length + S7.1 signal_quality_summary.csv support,"STRONGLY_INFERRED (source count is the length the upstream pipeline received; the pipeline generator itself is absent, U001)"
159310,external,245,249,249,4960.0,20.0,20.327868852459016,20.0,1.0163265306122449,cubic_spline,smooth_high_snr,False,True,shot_*_metadata.json original_length + S7.1 signal_quality_summary.csv support,"STRONGLY_INFERRED (source count is the length the upstream pipeline received; the pipeline generator itself is absent, U001)"
160715,development,224,240,240,4780.0,20.0,21.434977578475337,20.0,1.0714285714285714,cubic_spline,smooth_high_snr,True,True,shot_*_metadata.json original_length + S7.1 signal_quality_summary.csv support,"STRONGLY_INFERRED (source count is the length the upstream pipeline received; the pipeline generator itself is absent, U001)"
160717,external,201,238,238,4740.0,20.0,23.7,20.0,1.1840796019900497,cubic_spline,smooth_high_snr,True,True,shot_*_metadata.json original_length + S7.1 signal_quality_summary.csv support,"STRONGLY_INFERRED (source count is the length the upstream pipeline received; the pipeline generator itself is absent, U001)"
160719,external,221,241,241,4800.0,20.0,21.818181818181817,20.0,1.090497737556561,cubic_spline,smooth_high_snr,True,True,shot_*_metadata.json original_length + S7.1 signal_quality_summary.csv support,"STRONGLY_INFERRED (source count is the length the upstream pipeline received; the pipeline generator itself is absent, U001)"
160720,development,210,240,240,4780.0,20.0,22.870813397129186,20.0,1.1428571428571428,cubic_spline,smooth_high_snr,True,True,shot_*_metadata.json original_length + S7.1 signal_quality_summary.csv support,"STRONGLY_INFERRED (source count is the length the upstream pipeline received; the pipeline generator itself is absent, U001)"
160721,external,226,239,239,4760.0,20.0,21.155555555555555,20.0,1.0575221238938053,cubic_spline,smooth_high_snr,True,True,shot_*_metadata.json original_length + S7.1 signal_quality_summary.csv support,"STRONGLY_INFERRED (source count is the length the upstream pipeline received; the pipeline generator itself is absent, U001)"
161136,external,242,244,244,4860.0,20.0,20.16597510373444,20.0,1.0082644628099173,cubic_spline,smooth_high_snr,False,True,shot_*_metadata.json original_length + S7.1 signal_quality_summary.csv support,"STRONGLY_INFERRED (source count is the length the upstream pipeline received; the pipeline generator itself is absent, U001)"
161138,development,243,244,244,4860.0,20.0,20.082644628099175,20.0,1.0041152263374487,cubic_spline,smooth_high_snr,False,True,shot_*_metadata.json original_length + S7.1 signal_quality_summary.csv support,"STRONGLY_INFERRED (source count is the length the upstream pipeline received; the pipeline generator itself is absent, U001)"
161145,external,240,244,244,4860.0,20.0,20.334728033472803,20.0,1.0166666666666666,cubic_spline,smooth_high_snr,False,True,shot_*_metadata.json original_length + S7.1 signal_quality_summary.csv support,"STRONGLY_INFERRED (source count is the length the upstream pipeline received; the pipeline generator itself is absent, U001)"
161414,external,282,287,287,5720.0,20.0,20.355871886120998,20.0,1.0177304964539007,cubic_spline,smooth_high_snr,False,True,shot_*_metadata.json original_length + S7.1 signal_quality_summary.csv support,"STRONGLY_INFERRED (source count is the length the upstream pipeline received; the pipeline generator itself is absent, U001)"
