primitive_id,signal_index,full_status,hard_status,semantic_group,redundancy_eligible_group,representative,witness_R_med,witness_R_10,witness_sign_consistency,witness_n_valid_cells,mathematical_type_block,broad_scientific_family,scientific_dimension_class,canonical_unit,origin_class,provenance_status,uncalibrated_flag,upstream_upsampled_flag,aliasing_flag,derivative_primary_eligible,product_ratio_operand_eligible
bt,1,IN_P_FULL,IN_P_HARD,X_mag,False,,,,,-1,X_mag,magnetics,magnetic_flux_density,T,DIRECT_MEASUREMENT,certified_independent_of_target,False,False,True,True,True
ip,2,IN_P_FULL,IN_P_HARD,X_mag,False,,,,,-1,X_mag,magnetics,electric_current,A,DIRECT_MEASUREMENT,certified_independent_of_target,False,False,True,True,True
pcbcoil,3,IN_P_FULL,IN_P_HARD,X_mag,False,,,,,-1,X_mag,magnetics,uncalibrated_raw_signal,,DIRECT_MEASUREMENT,certified_independent_of_target,True,False,False,False,False
pcdiamag3,4,IN_P_FULL,IN_P_HARD,X_mag,False,,,,,-1,X_mag,magnetics,uncalibrated_raw_signal,,DIRECT_MEASUREMENT,certified_independent_of_target,True,False,False,False,False
prmtan_neped,22,IN_P_FULL,IN_P_HARD,X_density_aux,False,,,,,-1,X_density_aux,density,number_density,m^-3,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,True,True,False,True
prmtan_teped,23,IN_P_FULL,IN_P_HARD,X_density_aux,False,,,,,-1,X_density_aux,density,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,True,True,False,True
fs04,24,IN_P_FULL,IN_P_HARD,X_fs,True,,,,,-1,X_fs,filterscope_dalpha,photon_flux,ph/(sr m^2 s),DIRECT_MEASUREMENT,certified_independent_of_target,False,True,False,False,True
fs03da,25,IN_P_FULL,IN_P_HARD,X_fs,True,,,,,-1,X_fs,filterscope_dalpha,photon_flux,ph/(sr m^2 s),DIRECT_MEASUREMENT,certified_independent_of_target,False,True,False,False,True
fs04da,26,IN_P_FULL,REDUNDANCY_DEFERRED,X_fs,True,fs04,1.0,0.9999999999999998,1.0,60,X_fs,filterscope_dalpha,photon_flux,ph/(sr m^2 s),DIRECT_MEASUREMENT,certified_independent_of_target,False,True,False,False,True
fs05da,27,IN_P_FULL,IN_P_HARD,X_fs,True,,,,,-1,X_fs,filterscope_dalpha,photon_flux,ph/(sr m^2 s),DIRECT_MEASUREMENT,certified_independent_of_target,False,True,False,False,True
gasa,28,IN_P_FULL,IN_P_HARD,X_gas,False,,,,,-1,X_gas,gas_injection,electric_potential,V,CONTROL_COMMAND_OR_ACTUATION,certified_independent_of_target,False,False,False,True,True
gasb,29,IN_P_FULL,IN_P_HARD,X_gas,False,,,,,-1,X_gas,gas_injection,electric_potential,V,CONTROL_COMMAND_OR_ACTUATION,certified_independent_of_target,False,False,False,True,True
gasc,30,IN_P_FULL,IN_P_HARD,X_gas,False,,,,,-1,X_gas,gas_injection,electric_potential,V,CONTROL_COMMAND_OR_ACTUATION,certified_independent_of_target,False,False,False,True,True
gasd,31,IN_P_FULL,IN_P_HARD,X_gas,False,,,,,-1,X_gas,gas_injection,electric_potential,V,CONTROL_COMMAND_OR_ACTUATION,certified_independent_of_target,False,False,False,True,True
pinj,32,IN_P_FULL,IN_P_HARD,X_NBI,False,,,,,-1,X_NBI,neutral_beams,power,W,CONTROL_COMMAND_OR_ACTUATION,certified_independent_of_target,False,False,False,True,True
pinj_15l,33,IN_P_FULL,IN_P_HARD,X_NBI,False,,,,,-1,X_NBI,neutral_beams,power,W,CONTROL_COMMAND_OR_ACTUATION,certified_independent_of_target,False,False,False,True,True
pinj_15r,34,IN_P_FULL,IN_P_HARD,X_NBI,False,,,,,-1,X_NBI,neutral_beams,power,W,CONTROL_COMMAND_OR_ACTUATION,certified_independent_of_target,False,False,False,True,True
pinj_21l,35,IN_P_FULL,IN_P_HARD,X_NBI,False,,,,,-1,X_NBI,neutral_beams,power,W,CONTROL_COMMAND_OR_ACTUATION,certified_independent_of_target,False,False,False,True,True
pinj_21r,36,IN_P_FULL,IN_P_HARD,X_NBI,False,,,,,-1,X_NBI,neutral_beams,power,W,CONTROL_COMMAND_OR_ACTUATION,certified_independent_of_target,False,False,False,True,True
pinj_30l,37,IN_P_FULL,IN_P_HARD,X_NBI,False,,,,,-1,X_NBI,neutral_beams,power,W,CONTROL_COMMAND_OR_ACTUATION,certified_independent_of_target,False,False,False,True,True
pinj_30r,38,IN_P_FULL,IN_P_HARD,X_NBI,False,,,,,-1,X_NBI,neutral_beams,power,W,CONTROL_COMMAND_OR_ACTUATION,certified_independent_of_target,False,False,False,True,True
pinj_33l,39,IN_P_FULL,IN_P_HARD,X_NBI,False,,,,,-1,X_NBI,neutral_beams,power,W,CONTROL_COMMAND_OR_ACTUATION,certified_independent_of_target,False,False,False,True,True
pinj_33r,40,IN_P_FULL,IN_P_HARD,X_NBI,False,,,,,-1,X_NBI,neutral_beams,power,W,CONTROL_COMMAND_OR_ACTUATION,certified_independent_of_target,False,False,False,True,True
tinj,41,IN_P_FULL,IN_P_HARD,X_NBI,False,,,,,-1,X_NBI,neutral_beams,torque,N m,CONTROL_COMMAND_OR_ACTUATION,certified_independent_of_target,False,False,False,True,True
ece1,42,IN_P_FULL,IN_P_HARD,X_ECE,True,,,,,-1,X_ECE,ece_te_profile,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,False,True,True
ece2,43,IN_P_FULL,IN_P_HARD,X_ECE,True,,,,,-1,X_ECE,ece_te_profile,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,False,True,True
ece3,44,IN_P_FULL,IN_P_HARD,X_ECE,True,,,,,-1,X_ECE,ece_te_profile,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,False,True,True
ece4,45,IN_P_FULL,IN_P_HARD,X_ECE,True,,,,,-1,X_ECE,ece_te_profile,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,False,True,True
ece5,46,IN_P_FULL,IN_P_HARD,X_ECE,True,,,,,-1,X_ECE,ece_te_profile,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,False,True,True
ece6,47,IN_P_FULL,IN_P_HARD,X_ECE,True,,,,,-1,X_ECE,ece_te_profile,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,False,True,True
ece7,48,IN_P_FULL,IN_P_HARD,X_ECE,True,,,,,-1,X_ECE,ece_te_profile,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,False,True,True
ece8,49,IN_P_FULL,IN_P_HARD,X_ECE,True,,,,,-1,X_ECE,ece_te_profile,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,False,True,True
ece9,50,IN_P_FULL,IN_P_HARD,X_ECE,True,,,,,-1,X_ECE,ece_te_profile,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,False,True,True
ece10,51,IN_P_FULL,IN_P_HARD,X_ECE,True,,,,,-1,X_ECE,ece_te_profile,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,False,True,True
ece11,52,IN_P_FULL,IN_P_HARD,X_ECE,True,,,,,-1,X_ECE,ece_te_profile,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,False,True,True
ece12,53,IN_P_FULL,IN_P_HARD,X_ECE,True,,,,,-1,X_ECE,ece_te_profile,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,False,True,True
ece13,54,IN_P_FULL,IN_P_HARD,X_ECE,True,,,,,-1,X_ECE,ece_te_profile,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,False,True,True
ece14,55,IN_P_FULL,IN_P_HARD,X_ECE,True,,,,,-1,X_ECE,ece_te_profile,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,False,True,True
ece15,56,IN_P_FULL,IN_P_HARD,X_ECE,True,,,,,-1,X_ECE,ece_te_profile,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,False,True,True
ece16,57,IN_P_FULL,IN_P_HARD,X_ECE,True,,,,,-1,X_ECE,ece_te_profile,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,False,True,True
ece17,58,IN_P_FULL,REDUNDANCY_DEFERRED,X_ECE,True,ece16,0.9994485578920087,0.9981561115785131,1.0,60,X_ECE,ece_te_profile,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,False,True,True
ece18,59,IN_P_FULL,IN_P_HARD,X_ECE,True,,,,,-1,X_ECE,ece_te_profile,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,False,True,True
ece19,60,IN_P_FULL,IN_P_HARD,X_ECE,True,,,,,-1,X_ECE,ece_te_profile,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,False,True,True
ece20,61,IN_P_FULL,IN_P_HARD,X_ECE,True,,,,,-1,X_ECE,ece_te_profile,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,False,True,True
ece21,62,IN_P_FULL,IN_P_HARD,X_ECE,True,,,,,-1,X_ECE,ece_te_profile,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,False,True,True
ece22,63,IN_P_FULL,IN_P_HARD,X_ECE,True,,,,,-1,X_ECE,ece_te_profile,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,False,True,True
ece23,64,IN_P_FULL,REDUNDANCY_DEFERRED,X_ECE,True,ece22,0.998590481500599,0.9777777194615684,1.0,60,X_ECE,ece_te_profile,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,False,True,True
ece24,65,IN_P_FULL,REDUNDANCY_DEFERRED,X_ECE,True,ece25,0.99855543287358,0.9716241954304339,1.0,60,X_ECE,ece_te_profile,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,False,True,True
ece25,66,IN_P_FULL,IN_P_HARD,X_ECE,True,,,,,-1,X_ECE,ece_te_profile,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,False,True,True
ece26,67,IN_P_FULL,REDUNDANCY_DEFERRED,X_ECE,True,ece25,0.998390982223125,0.9756194295324068,1.0,60,X_ECE,ece_te_profile,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,False,True,True
ece27,68,IN_P_FULL,IN_P_HARD,X_ECE,True,,,,,-1,X_ECE,ece_te_profile,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,False,True,True
ece28,69,IN_P_FULL,IN_P_HARD,X_ECE,True,,,,,-1,X_ECE,ece_te_profile,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,False,True,True
ece29,70,IN_P_FULL,IN_P_HARD,X_ECE,True,,,,,-1,X_ECE,ece_te_profile,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,False,True,True
ece30,71,IN_P_FULL,IN_P_HARD,X_ECE,True,,,,,-1,X_ECE,ece_te_profile,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,False,True,True
ece31,72,IN_P_FULL,IN_P_HARD,X_ECE,True,,,,,-1,X_ECE,ece_te_profile,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,False,True,True
ece32,73,IN_P_FULL,REDUNDANCY_DEFERRED,X_ECE,True,ece31,0.9979467982386161,0.9808652347170544,1.0,60,X_ECE,ece_te_profile,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,False,True,True
ece33,74,IN_P_FULL,IN_P_HARD,X_ECE,True,,,,,-1,X_ECE,ece_te_profile,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,False,True,True
ece34,75,IN_P_FULL,REDUNDANCY_DEFERRED,X_ECE,True,ece33,0.9976678273903208,0.9771734449225963,1.0,60,X_ECE,ece_te_profile,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,False,True,True
ece35,76,IN_P_FULL,IN_P_HARD,X_ECE,True,,,,,-1,X_ECE,ece_te_profile,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,False,True,True
ece36,77,IN_P_FULL,IN_P_HARD,X_ECE,True,,,,,-1,X_ECE,ece_te_profile,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,False,True,True
ece37,78,IN_P_FULL,IN_P_HARD,X_ECE,True,,,,,-1,X_ECE,ece_te_profile,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,False,True,True
ece38,79,IN_P_FULL,IN_P_HARD,X_ECE,True,,,,,-1,X_ECE,ece_te_profile,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,False,True,True
ece39,80,IN_P_FULL,IN_P_HARD,X_ECE,True,,,,,-1,X_ECE,ece_te_profile,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,False,True,True
ece40,81,IN_P_FULL,REDUNDANCY_DEFERRED,X_ECE,True,ece39,0.994571228666767,0.9838725535745592,1.0,60,X_ECE,ece_te_profile,temperature_energy,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,False,True,True
cerqrott3,82,IN_P_FULL,IN_P_HARD,X_CER_v,True,,,,,-1,X_CER_v,cer_rotation_ti,velocity,m/s,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,False,False,True,True,True
