semantic_group_id,representative,n_directly_covered,covered_members
X_CER_Ti,cerqtit3,0,
X_CER_Ti,cerqtit6,0,
X_CER_Ti,cerqtit8,0,
X_CER_Ti,cerqtit10,0,
X_CER_Ti,cerqtit11,0,
X_CER_Ti,cerqtit12,0,
X_CER_Ti,cerqtit13,0,
X_CER_v,cerqrott3,0,
X_CER_v,cerqrott6,0,
X_CER_v,cerqrott8,0,
X_CER_v,cerqrott10,0,
X_CER_v,cerqrott11,0,
X_CER_v,cerqrott12,0,
X_CER_v,cerqrott13,0,
X_ECE,ece25,2,ece24|ece26
X_ECE,ece16,1,ece17
X_ECE,ece22,1,ece23
X_ECE,ece31,1,ece32
X_ECE,ece33,1,ece34
X_ECE,ece39,1,ece40
X_ECE,ece1,0,
X_ECE,ece2,0,
X_ECE,ece3,0,
X_ECE,ece4,0,
X_ECE,ece5,0,
X_ECE,ece6,0,
X_ECE,ece7,0,
X_ECE,ece8,0,
X_ECE,ece9,0,
X_ECE,ece10,0,
X_ECE,ece11,0,
X_ECE,ece12,0,
X_ECE,ece13,0,
X_ECE,ece14,0,
X_ECE,ece15,0,
X_ECE,ece18,0,
X_ECE,ece19,0,
X_ECE,ece20,0,
X_ECE,ece21,0,
X_ECE,ece27,0,
X_ECE,ece28,0,
X_ECE,ece29,0,
X_ECE,ece30,0,
X_ECE,ece35,0,
X_ECE,ece36,0,
X_ECE,ece37,0,
X_ECE,ece38,0,
X_fs,fs04,1,fs04da
X_fs,fs03da,0,
X_fs,fs05da,0,
