primitive_id,signal_index,mathematical_type_block,broad_scientific_family,scientific_dimension_class,canonical_unit,dimension_expression,origin_class,provenance_status,archived_dt_ms,source_supported_dt_min_ms,source_supported_dt_max_ms,upstream_upsampled_flag,aliasing_flag,uncalibrated_flag,level_primary_admissible,derivative_primary_eligible,derivative_sensitivity_only,product_ratio_operand_eligible,phase_operand_eligible,exclusion_reason_for_derived
bt,1,X_mag,magnetics,magnetic_flux_density,T,T,DIRECT_MEASUREMENT,certified_independent_of_target,1.0,0.0499887037895813,0.4999999999999999,False,True,False,True,True,False,True,True,
ip,2,X_mag,magnetics,electric_current,A,A,DIRECT_MEASUREMENT,certified_independent_of_target,1.0,0.0499887037895813,0.4999593727147152,False,True,False,True,True,False,True,True,
pcbcoil,3,X_mag,magnetics,uncalibrated_raw_signal,,UNCALIBRATED,DIRECT_MEASUREMENT,certified_independent_of_target,0.9999999974752428,0.049991799752228,0.2500127818618758,False,False,True,True,False,False,False,False,UNCALIBRATED_DIMENSIONALLY_UNCERTIFIED
pcdiamag3,4,X_mag,magnetics,uncalibrated_raw_signal,,UNCALIBRATED,DIRECT_MEASUREMENT,certified_independent_of_target,0.9999999974752428,0.049991799752228,0.2500127818618758,False,False,True,True,False,False,False,False,UNCALIBRATED_DIMENSIONALLY_UNCERTIFIED
prmtan_neped,22,X_density_aux,density,number_density,m^-3,m^-3,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,10.0,4.378430226038927,13.267605633802816,True,True,False,True,False,True,True,False,NUMERICAL_SENSITIVITY_ONLY
prmtan_teped,23,X_density_aux,density,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,10.0,4.535163253044634,14.186746987951809,True,True,False,True,False,True,True,False,NUMERICAL_SENSITIVITY_ONLY
fs04,24,X_fs,filterscope_dalpha,photon_flux,ph/(sr m^2 s),ph sr^-1 m^-2 s^-1,DIRECT_MEASUREMENT,certified_independent_of_target,0.02,0.0199999048751486,0.0499999017672079,True,False,False,True,False,True,True,False,NUMERICAL_SENSITIVITY_ONLY
fs03da,25,X_fs,filterscope_dalpha,photon_flux,ph/(sr m^2 s),ph sr^-1 m^-2 s^-1,DIRECT_MEASUREMENT,certified_independent_of_target,0.02,0.0199999048751486,0.0499999017672079,True,False,False,True,False,True,True,False,NUMERICAL_SENSITIVITY_ONLY
fs04da,26,X_fs,filterscope_dalpha,photon_flux,ph/(sr m^2 s),ph sr^-1 m^-2 s^-1,DIRECT_MEASUREMENT,certified_independent_of_target,0.02,0.0199999048751486,0.0499999017672079,True,False,False,True,False,True,True,False,NUMERICAL_SENSITIVITY_ONLY
fs05da,27,X_fs,filterscope_dalpha,photon_flux,ph/(sr m^2 s),ph sr^-1 m^-2 s^-1,DIRECT_MEASUREMENT,certified_independent_of_target,0.02,0.0199999048751486,0.0499999017672079,True,False,False,True,False,True,True,False,NUMERICAL_SENSITIVITY_ONLY
gasa,28,X_gas,gas_injection,electric_potential,V,V,CONTROL_COMMAND_OR_ACTUATION,certified_independent_of_target,2.0,0.0499805774957917,0.5,False,False,False,True,True,False,True,True,
gasb,29,X_gas,gas_injection,electric_potential,V,V,CONTROL_COMMAND_OR_ACTUATION,certified_independent_of_target,2.0,0.0499805774957917,0.5,False,False,False,True,True,False,True,True,
gasc,30,X_gas,gas_injection,electric_potential,V,V,CONTROL_COMMAND_OR_ACTUATION,certified_independent_of_target,2.0,0.0499805774957917,0.5,False,False,False,True,True,False,True,True,
gasd,31,X_gas,gas_injection,electric_potential,V,V,CONTROL_COMMAND_OR_ACTUATION,certified_independent_of_target,2.0,0.0499805774957917,0.5,False,False,False,True,True,False,True,True,
pinj,32,X_NBI,neutral_beams,power,W,W,CONTROL_COMMAND_OR_ACTUATION,certified_independent_of_target,0.1,0.0999976218787158,0.1,False,False,False,True,True,False,True,True,
pinj_15l,33,X_NBI,neutral_beams,power,W,W,CONTROL_COMMAND_OR_ACTUATION,certified_independent_of_target,0.1,0.0999976218787158,0.1,False,False,False,True,True,False,True,True,
pinj_15r,34,X_NBI,neutral_beams,power,W,W,CONTROL_COMMAND_OR_ACTUATION,certified_independent_of_target,0.1,0.0999976218787158,0.1,False,False,False,True,True,False,True,True,
pinj_21l,35,X_NBI,neutral_beams,power,W,W,CONTROL_COMMAND_OR_ACTUATION,certified_independent_of_target,0.1,0.0999976218787158,0.1,False,False,False,True,True,False,True,True,
pinj_21r,36,X_NBI,neutral_beams,power,W,W,CONTROL_COMMAND_OR_ACTUATION,certified_independent_of_target,0.1,0.0999976218787158,0.1,False,False,False,True,True,False,True,True,
pinj_30l,37,X_NBI,neutral_beams,power,W,W,CONTROL_COMMAND_OR_ACTUATION,certified_independent_of_target,0.1,0.0999976218787158,0.1,False,False,False,True,True,False,True,True,
pinj_30r,38,X_NBI,neutral_beams,power,W,W,CONTROL_COMMAND_OR_ACTUATION,certified_independent_of_target,0.1,0.0999976218787158,0.1,False,False,False,True,True,False,True,True,
pinj_33l,39,X_NBI,neutral_beams,power,W,W,CONTROL_COMMAND_OR_ACTUATION,certified_independent_of_target,0.1,0.0999976218787158,0.1,False,False,False,True,True,False,True,True,
pinj_33r,40,X_NBI,neutral_beams,power,W,W,CONTROL_COMMAND_OR_ACTUATION,certified_independent_of_target,0.1,0.0999976218787158,0.1,False,False,False,True,True,False,True,True,
tinj,41,X_NBI,neutral_beams,torque,N m,N m,CONTROL_COMMAND_OR_ACTUATION,certified_independent_of_target,0.1,0.0999976218787158,0.1,False,False,False,True,True,False,True,True,
ece1,42,X_ECE,ece_te_profile,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,0.2,0.1999904875148632,0.2,False,False,False,True,True,False,True,True,
ece2,43,X_ECE,ece_te_profile,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,0.2,0.1999904875148632,0.2,False,False,False,True,True,False,True,True,
ece3,44,X_ECE,ece_te_profile,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,0.2,0.1999904875148632,0.2,False,False,False,True,True,False,True,True,
ece4,45,X_ECE,ece_te_profile,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,0.2,0.1999904875148632,0.2,False,False,False,True,True,False,True,True,
ece5,46,X_ECE,ece_te_profile,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,0.2,0.1999904875148632,0.2,False,False,False,True,True,False,True,True,
ece6,47,X_ECE,ece_te_profile,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,0.2,0.1999904875148632,0.2,False,False,False,True,True,False,True,True,
ece7,48,X_ECE,ece_te_profile,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,0.2,0.1999904875148632,0.2,False,False,False,True,True,False,True,True,
ece8,49,X_ECE,ece_te_profile,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,0.2,0.1999904875148632,0.2,False,False,False,True,True,False,True,True,
ece9,50,X_ECE,ece_te_profile,temperature_energy,eV,eV,DIAGNOSTIC_RECONSTRUCTION,certified_independent_of_target,0.2,0.1999904875148632,0.2,False,False,False,True,True,False,True,True,
