coordinate_id,constructor,operands,first_rejecting_class,rejection_reason,value_min,value_max
ID(pinj_15r),C0,pinj_15r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,1801943.2176779269
ID(pinj_21l),C0,pinj_21l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-20.17053442670444,2260035.930402065
ID(pinj_21r),C0,pinj_21r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,2024254.7544295208
ID(pinj_33l),C0,pinj_33l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,2669107.173614864
DOT(pinj_15r),C1,pinj_15r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-151836854.5196733,151836854.51967573
DOT(pinj_21l),C1,pinj_21l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-177030676.7073135,178182397.2115792
DOT(pinj_21r),C1,pinj_21r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-147509509.53372508,144476990.71075428
DOT(pinj_33l),C1,pinj_33l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-235469856.75302297,448980906.5531032
"PROD(bt,pinj_15r)",C2,bt|pinj_15r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-3551722.25414737,3497750.333371228
"PROD(bt,pinj_21l)",C2,bt|pinj_21l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-3918678.6304011606,4734829.2361569125
"PROD(bt,pinj_21r)",C2,bt|pinj_21r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-3489172.3603625386,4370959.157817271
"PROD(bt,pinj_33l)",C2,bt|pinj_33l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-4850325.892677821,5237742.059526923
"PROD(ip,pinj_15r)",C2,ip|pinj_15r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,2099243217286.2473
"PROD(ip,pinj_21l)",C2,ip|pinj_21l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-18193165.9029894,2825021774578.2695
"PROD(ip,pinj_21r)",C2,ip|pinj_21r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,2608142345868.5303
"PROD(ip,pinj_33l)",C2,ip|pinj_33l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,2698523622294.9277
"PROD(prmtan_neped,pinj_15r)",C2,prmtan_neped|pinj_15r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,1.4181322223392773e+26
"PROD(prmtan_neped,pinj_21l)",C2,prmtan_neped|pinj_21l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-5.374581851482518e+20,1.6687608654520367e+26
"PROD(prmtan_neped,pinj_21r)",C2,prmtan_neped|pinj_21r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,1.4025413363904005e+26
"PROD(prmtan_neped,pinj_33l)",C2,prmtan_neped|pinj_33l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,1.7616903081089565e+26
"PROD(prmtan_teped,pinj_15r)",C2,prmtan_teped|pinj_15r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-6452541587.550403,6674906205.522512
"PROD(prmtan_teped,pinj_21l)",C2,prmtan_teped|pinj_21l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-8007272460.671085,8148928634.955397
"PROD(prmtan_teped,pinj_21r)",C2,prmtan_teped|pinj_21r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-6095575954.44681,6453486885.480979
"PROD(prmtan_teped,pinj_33l)",C2,prmtan_teped|pinj_33l,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-10265985070.317877,11481259802.462769
"PROD(fs04,pinj_15r)",C2,fs04|pinj_15r,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,0.0,9.881535903753852e+22
