dependency_group_id,linear_context,aggregate_coordinate,component_coordinates,n_members,exact_relation,evidence_class,all_members_admissible,n_inadmissible_members,inadmissible_members,status,vacuous_reason
DEP_LEVEL,ID(pinj_i),ID(pinj),ID(pinj_15l)|ID(pinj_15r)|ID(pinj_21l)|ID(pinj_21r)|ID(pinj_30l)|ID(pinj_30r)|ID(pinj_33l)|ID(pinj_33r),9,ID(pinj) = sum_i ID(pinj_i),LOCAL_DOCUMENTED,False,4,ID(pinj_15r)|ID(pinj_21l)|ID(pinj_21r)|ID(pinj_33l),VACUOUS,"at least one member is inadmissible, so no admissible support can contain the complete exact set; the constraint is well-defined but has no binding instance"
DEP_DERIV,DOT(pinj_i),DOT(pinj),DOT(pinj_15l)|DOT(pinj_15r)|DOT(pinj_21l)|DOT(pinj_21r)|DOT(pinj_30l)|DOT(pinj_30r)|DOT(pinj_33l)|DOT(pinj_33r),9,DOT(pinj) = sum_i DOT(pinj_i),LOCAL_DOCUMENTED,False,4,DOT(pinj_15r)|DOT(pinj_21l)|DOT(pinj_21r)|DOT(pinj_33l),VACUOUS,"at least one member is inadmissible, so no admissible support can contain the complete exact set; the constraint is well-defined but has no binding instance"
DEP_PROD_bt,"PROD(pinj_i,bt)","PROD(bt,pinj)","PROD(bt,pinj_15l)|PROD(bt,pinj_15r)|PROD(bt,pinj_21l)|PROD(bt,pinj_21r)|PROD(bt,pinj_30l)|PROD(bt,pinj_30r)|PROD(bt,pinj_33l)|PROD(bt,pinj_33r)",9,"PROD(bt,pinj) = sum_i PROD(pinj_i,bt)",LOCAL_DOCUMENTED,False,4,"PROD(bt,pinj_15r)|PROD(bt,pinj_21l)|PROD(bt,pinj_21r)|PROD(bt,pinj_33l)",VACUOUS,"at least one member is inadmissible, so no admissible support can contain the complete exact set; the constraint is well-defined but has no binding instance"
DEP_PROD_ip,"PROD(pinj_i,ip)","PROD(ip,pinj)","PROD(ip,pinj_15l)|PROD(ip,pinj_15r)|PROD(ip,pinj_21l)|PROD(ip,pinj_21r)|PROD(ip,pinj_30l)|PROD(ip,pinj_30r)|PROD(ip,pinj_33l)|PROD(ip,pinj_33r)",9,"PROD(ip,pinj) = sum_i PROD(pinj_i,ip)",LOCAL_DOCUMENTED,False,4,"PROD(ip,pinj_15r)|PROD(ip,pinj_21l)|PROD(ip,pinj_21r)|PROD(ip,pinj_33l)",VACUOUS,"at least one member is inadmissible, so no admissible support can contain the complete exact set; the constraint is well-defined but has no binding instance"
DEP_PROD_prmtan_neped,"PROD(pinj_i,prmtan_neped)","PROD(prmtan_neped,pinj)","PROD(prmtan_neped,pinj_15l)|PROD(prmtan_neped,pinj_15r)|PROD(prmtan_neped,pinj_21l)|PROD(prmtan_neped,pinj_21r)|PROD(prmtan_neped,pinj_30l)|PROD(prmtan_neped,pinj_30r)|PROD(prmtan_neped,pinj_33l)|PROD(prmtan_neped,pinj_33r)",9,"PROD(prmtan_neped,pinj) = sum_i PROD(pinj_i,prmtan_neped)",LOCAL_DOCUMENTED,False,4,"PROD(prmtan_neped,pinj_15r)|PROD(prmtan_neped,pinj_21l)|PROD(prmtan_neped,pinj_21r)|PROD(prmtan_neped,pinj_33l)",VACUOUS,"at least one member is inadmissible, so no admissible support can contain the complete exact set; the constraint is well-defined but has no binding instance"
DEP_PROD_prmtan_teped,"PROD(pinj_i,prmtan_teped)","PROD(prmtan_teped,pinj)","PROD(prmtan_teped,pinj_15l)|PROD(prmtan_teped,pinj_15r)|PROD(prmtan_teped,pinj_21l)|PROD(prmtan_teped,pinj_21r)|PROD(prmtan_teped,pinj_30l)|PROD(prmtan_teped,pinj_30r)|PROD(prmtan_teped,pinj_33l)|PROD(prmtan_teped,pinj_33r)",9,"PROD(prmtan_teped,pinj) = sum_i PROD(pinj_i,prmtan_teped)",LOCAL_DOCUMENTED,False,4,"PROD(prmtan_teped,pinj_15r)|PROD(prmtan_teped,pinj_21l)|PROD(prmtan_teped,pinj_21r)|PROD(prmtan_teped,pinj_33l)",VACUOUS,"at least one member is inadmissible, so no admissible support can contain the complete exact set; the constraint is well-defined but has no binding instance"
DEP_PROD_fs04,"PROD(pinj_i,fs04)","PROD(fs04,pinj)","PROD(fs04,pinj_15l)|PROD(fs04,pinj_15r)|PROD(fs04,pinj_21l)|PROD(fs04,pinj_21r)|PROD(fs04,pinj_30l)|PROD(fs04,pinj_30r)|PROD(fs04,pinj_33l)|PROD(fs04,pinj_33r)",9,"PROD(fs04,pinj) = sum_i PROD(pinj_i,fs04)",LOCAL_DOCUMENTED,False,4,"PROD(fs04,pinj_15r)|PROD(fs04,pinj_21l)|PROD(fs04,pinj_21r)|PROD(fs04,pinj_33l)",VACUOUS,"at least one member is inadmissible, so no admissible support can contain the complete exact set; the constraint is well-defined but has no binding instance"
DEP_PROD_fs03da,"PROD(pinj_i,fs03da)","PROD(fs03da,pinj)","PROD(fs03da,pinj_15l)|PROD(fs03da,pinj_15r)|PROD(fs03da,pinj_21l)|PROD(fs03da,pinj_21r)|PROD(fs03da,pinj_30l)|PROD(fs03da,pinj_30r)|PROD(fs03da,pinj_33l)|PROD(fs03da,pinj_33r)",9,"PROD(fs03da,pinj) = sum_i PROD(pinj_i,fs03da)",LOCAL_DOCUMENTED,False,4,"PROD(fs03da,pinj_15r)|PROD(fs03da,pinj_21l)|PROD(fs03da,pinj_21r)|PROD(fs03da,pinj_33l)",VACUOUS,"at least one member is inadmissible, so no admissible support can contain the complete exact set; the constraint is well-defined but has no binding instance"
DEP_PROD_fs04da,"PROD(pinj_i,fs04da)","PROD(fs04da,pinj)","PROD(fs04da,pinj_15l)|PROD(fs04da,pinj_15r)|PROD(fs04da,pinj_21l)|PROD(fs04da,pinj_21r)|PROD(fs04da,pinj_30l)|PROD(fs04da,pinj_30r)|PROD(fs04da,pinj_33l)|PROD(fs04da,pinj_33r)",9,"PROD(fs04da,pinj) = sum_i PROD(pinj_i,fs04da)",LOCAL_DOCUMENTED,False,4,"PROD(fs04da,pinj_15r)|PROD(fs04da,pinj_21l)|PROD(fs04da,pinj_21r)|PROD(fs04da,pinj_33l)",VACUOUS,"at least one member is inadmissible, so no admissible support can contain the complete exact set; the constraint is well-defined but has no binding instance"
DEP_PROD_fs05da,"PROD(pinj_i,fs05da)","PROD(fs05da,pinj)","PROD(fs05da,pinj_15l)|PROD(fs05da,pinj_15r)|PROD(fs05da,pinj_21l)|PROD(fs05da,pinj_21r)|PROD(fs05da,pinj_30l)|PROD(fs05da,pinj_30r)|PROD(fs05da,pinj_33l)|PROD(fs05da,pinj_33r)",9,"PROD(fs05da,pinj) = sum_i PROD(pinj_i,fs05da)",LOCAL_DOCUMENTED,False,4,"PROD(fs05da,pinj_15r)|PROD(fs05da,pinj_21l)|PROD(fs05da,pinj_21r)|PROD(fs05da,pinj_33l)",VACUOUS,"at least one member is inadmissible, so no admissible support can contain the complete exact set; the constraint is well-defined but has no binding instance"
DEP_PROD_gasa,"PROD(pinj_i,gasa)","PROD(gasa,pinj)","PROD(gasa,pinj_15l)|PROD(gasa,pinj_15r)|PROD(gasa,pinj_21l)|PROD(gasa,pinj_21r)|PROD(gasa,pinj_30l)|PROD(gasa,pinj_30r)|PROD(gasa,pinj_33l)|PROD(gasa,pinj_33r)",9,"PROD(gasa,pinj) = sum_i PROD(pinj_i,gasa)",LOCAL_DOCUMENTED,False,4,"PROD(gasa,pinj_15r)|PROD(gasa,pinj_21l)|PROD(gasa,pinj_21r)|PROD(gasa,pinj_33l)",VACUOUS,"at least one member is inadmissible, so no admissible support can contain the complete exact set; the constraint is well-defined but has no binding instance"
DEP_PROD_gasb,"PROD(pinj_i,gasb)","PROD(gasb,pinj)","PROD(gasb,pinj_15l)|PROD(gasb,pinj_15r)|PROD(gasb,pinj_21l)|PROD(gasb,pinj_21r)|PROD(gasb,pinj_30l)|PROD(gasb,pinj_30r)|PROD(gasb,pinj_33l)|PROD(gasb,pinj_33r)",9,"PROD(gasb,pinj) = sum_i PROD(pinj_i,gasb)",LOCAL_DOCUMENTED,False,4,"PROD(gasb,pinj_15r)|PROD(gasb,pinj_21l)|PROD(gasb,pinj_21r)|PROD(gasb,pinj_33l)",VACUOUS,"at least one member is inadmissible, so no admissible support can contain the complete exact set; the constraint is well-defined but has no binding instance"
DEP_PROD_gasc,"PROD(pinj_i,gasc)","PROD(gasc,pinj)","PROD(gasc,pinj_15l)|PROD(gasc,pinj_15r)|PROD(gasc,pinj_21l)|PROD(gasc,pinj_21r)|PROD(gasc,pinj_30l)|PROD(gasc,pinj_30r)|PROD(gasc,pinj_33l)|PROD(gasc,pinj_33r)",9,"PROD(gasc,pinj) = sum_i PROD(pinj_i,gasc)",LOCAL_DOCUMENTED,False,4,"PROD(gasc,pinj_15r)|PROD(gasc,pinj_21l)|PROD(gasc,pinj_21r)|PROD(gasc,pinj_33l)",VACUOUS,"at least one member is inadmissible, so no admissible support can contain the complete exact set; the constraint is well-defined but has no binding instance"
DEP_PROD_gasd,"PROD(pinj_i,gasd)","PROD(gasd,pinj)","PROD(gasd,pinj_15l)|PROD(gasd,pinj_15r)|PROD(gasd,pinj_21l)|PROD(gasd,pinj_21r)|PROD(gasd,pinj_30l)|PROD(gasd,pinj_30r)|PROD(gasd,pinj_33l)|PROD(gasd,pinj_33r)",9,"PROD(gasd,pinj) = sum_i PROD(pinj_i,gasd)",LOCAL_DOCUMENTED,False,4,"PROD(gasd,pinj_15r)|PROD(gasd,pinj_21l)|PROD(gasd,pinj_21r)|PROD(gasd,pinj_33l)",VACUOUS,"at least one member is inadmissible, so no admissible support can contain the complete exact set; the constraint is well-defined but has no binding instance"
DEP_PROD_tinj,"PROD(pinj_i,tinj)","PROD(pinj,tinj)","PROD(pinj_15l,tinj)|PROD(pinj_15r,tinj)|PROD(pinj_21l,tinj)|PROD(pinj_21r,tinj)|PROD(pinj_30l,tinj)|PROD(pinj_30r,tinj)|PROD(pinj_33l,tinj)|PROD(pinj_33r,tinj)",9,"PROD(pinj,tinj) = sum_i PROD(pinj_i,tinj)",LOCAL_DOCUMENTED,False,4,"PROD(pinj_15r,tinj)|PROD(pinj_21l,tinj)|PROD(pinj_21r,tinj)|PROD(pinj_33l,tinj)",VACUOUS,"at least one member is inadmissible, so no admissible support can contain the complete exact set; the constraint is well-defined but has no binding instance"
DEP_PROD_ece1,"PROD(pinj_i,ece1)","PROD(pinj,ece1)","PROD(pinj_15l,ece1)|PROD(pinj_15r,ece1)|PROD(pinj_21l,ece1)|PROD(pinj_21r,ece1)|PROD(pinj_30l,ece1)|PROD(pinj_30r,ece1)|PROD(pinj_33l,ece1)|PROD(pinj_33r,ece1)",9,"PROD(pinj,ece1) = sum_i PROD(pinj_i,ece1)",LOCAL_DOCUMENTED,False,4,"PROD(pinj_15r,ece1)|PROD(pinj_21l,ece1)|PROD(pinj_21r,ece1)|PROD(pinj_33l,ece1)",VACUOUS,"at least one member is inadmissible, so no admissible support can contain the complete exact set; the constraint is well-defined but has no binding instance"
DEP_PROD_ece2,"PROD(pinj_i,ece2)","PROD(pinj,ece2)","PROD(pinj_15l,ece2)|PROD(pinj_15r,ece2)|PROD(pinj_21l,ece2)|PROD(pinj_21r,ece2)|PROD(pinj_30l,ece2)|PROD(pinj_30r,ece2)|PROD(pinj_33l,ece2)|PROD(pinj_33r,ece2)",9,"PROD(pinj,ece2) = sum_i PROD(pinj_i,ece2)",LOCAL_DOCUMENTED,False,4,"PROD(pinj_15r,ece2)|PROD(pinj_21l,ece2)|PROD(pinj_21r,ece2)|PROD(pinj_33l,ece2)",VACUOUS,"at least one member is inadmissible, so no admissible support can contain the complete exact set; the constraint is well-defined but has no binding instance"
DEP_PROD_ece3,"PROD(pinj_i,ece3)","PROD(pinj,ece3)","PROD(pinj_15l,ece3)|PROD(pinj_15r,ece3)|PROD(pinj_21l,ece3)|PROD(pinj_21r,ece3)|PROD(pinj_30l,ece3)|PROD(pinj_30r,ece3)|PROD(pinj_33l,ece3)|PROD(pinj_33r,ece3)",9,"PROD(pinj,ece3) = sum_i PROD(pinj_i,ece3)",LOCAL_DOCUMENTED,False,4,"PROD(pinj_15r,ece3)|PROD(pinj_21l,ece3)|PROD(pinj_21r,ece3)|PROD(pinj_33l,ece3)",VACUOUS,"at least one member is inadmissible, so no admissible support can contain the complete exact set; the constraint is well-defined but has no binding instance"
DEP_PROD_ece4,"PROD(pinj_i,ece4)","PROD(pinj,ece4)","PROD(pinj_15l,ece4)|PROD(pinj_15r,ece4)|PROD(pinj_21l,ece4)|PROD(pinj_21r,ece4)|PROD(pinj_30l,ece4)|PROD(pinj_30r,ece4)|PROD(pinj_33l,ece4)|PROD(pinj_33r,ece4)",9,"PROD(pinj,ece4) = sum_i PROD(pinj_i,ece4)",LOCAL_DOCUMENTED,False,4,"PROD(pinj_15r,ece4)|PROD(pinj_21l,ece4)|PROD(pinj_21r,ece4)|PROD(pinj_33l,ece4)",VACUOUS,"at least one member is inadmissible, so no admissible support can contain the complete exact set; the constraint is well-defined but has no binding instance"
DEP_PROD_ece5,"PROD(pinj_i,ece5)","PROD(pinj,ece5)","PROD(pinj_15l,ece5)|PROD(pinj_15r,ece5)|PROD(pinj_21l,ece5)|PROD(pinj_21r,ece5)|PROD(pinj_30l,ece5)|PROD(pinj_30r,ece5)|PROD(pinj_33l,ece5)|PROD(pinj_33r,ece5)",9,"PROD(pinj,ece5) = sum_i PROD(pinj_i,ece5)",LOCAL_DOCUMENTED,False,4,"PROD(pinj_15r,ece5)|PROD(pinj_21l,ece5)|PROD(pinj_21r,ece5)|PROD(pinj_33l,ece5)",VACUOUS,"at least one member is inadmissible, so no admissible support can contain the complete exact set; the constraint is well-defined but has no binding instance"
DEP_PROD_ece6,"PROD(pinj_i,ece6)","PROD(pinj,ece6)","PROD(pinj_15l,ece6)|PROD(pinj_15r,ece6)|PROD(pinj_21l,ece6)|PROD(pinj_21r,ece6)|PROD(pinj_30l,ece6)|PROD(pinj_30r,ece6)|PROD(pinj_33l,ece6)|PROD(pinj_33r,ece6)",9,"PROD(pinj,ece6) = sum_i PROD(pinj_i,ece6)",LOCAL_DOCUMENTED,False,4,"PROD(pinj_15r,ece6)|PROD(pinj_21l,ece6)|PROD(pinj_21r,ece6)|PROD(pinj_33l,ece6)",VACUOUS,"at least one member is inadmissible, so no admissible support can contain the complete exact set; the constraint is well-defined but has no binding instance"
DEP_PROD_ece7,"PROD(pinj_i,ece7)","PROD(pinj,ece7)","PROD(pinj_15l,ece7)|PROD(pinj_15r,ece7)|PROD(pinj_21l,ece7)|PROD(pinj_21r,ece7)|PROD(pinj_30l,ece7)|PROD(pinj_30r,ece7)|PROD(pinj_33l,ece7)|PROD(pinj_33r,ece7)",9,"PROD(pinj,ece7) = sum_i PROD(pinj_i,ece7)",LOCAL_DOCUMENTED,False,4,"PROD(pinj_15r,ece7)|PROD(pinj_21l,ece7)|PROD(pinj_21r,ece7)|PROD(pinj_33l,ece7)",VACUOUS,"at least one member is inadmissible, so no admissible support can contain the complete exact set; the constraint is well-defined but has no binding instance"
