coordinate_id,constructor,ordered_operands,class_B,class_A,class_C,class_G,class_F,class_D_finite,class_D_constant,class_E_denominator,class_H_leakage,value_min,value_max,admissible,first_rejecting_class,rejection_reason
ID(bt),C0,bt,True,True,True,True,True,True,False,,True,-1.981271910699433,2.1611335079663485,True,,
ID(ip),C0,ip,True,True,True,True,True,True,False,,True,610967.700275721,1601785.1613323195,True,,
ID(pcbcoil),C0,pcbcoil,True,True,True,True,True,True,False,,True,-113844.63105420415,123203.97736658735,True,,
ID(pcdiamag3),C0,pcdiamag3,True,True,True,True,True,True,False,,True,-25.35830763471645,30.072909280409696,True,,
ID(prmtan_neped),C0,prmtan_neped,True,True,True,True,True,True,False,,True,3.4671923258695127e+18,8.575189905462996e+19,True,,
ID(prmtan_teped),C0,prmtan_teped,True,True,True,True,True,True,False,,True,-4805.965298409722,5334.169182738993,True,,
ID(fs04),C0,fs04,True,True,True,True,True,True,False,,True,-47911032032666.336,9.160366754808747e+16,True,,
ID(fs03da),C0,fs03da,True,True,True,True,True,True,False,,True,-17068217575164.361,8.580445923974576e+16,True,,
ID(fs05da),C0,fs05da,True,True,True,True,True,True,False,,True,-73909308039129.56,2.657199356765213e+16,True,,
ID(gasa),C0,gasa,True,True,True,True,True,True,False,,True,-0.013968098842014356,7.505603903295197,True,,
ID(gasb),C0,gasb,True,True,True,True,True,True,False,,True,-1.0996112983582287,9.947192613482684,True,,
ID(gasc),C0,gasc,True,True,True,True,True,True,False,,True,-0.09584370100024253,0.15446256953154966,True,,
ID(gasd),C0,gasd,True,True,True,True,True,True,False,,True,-0.8676489340770509,1.0352544862599915,True,,
ID(pinj),C0,pinj,True,True,True,True,True,True,False,,True,-3.098547296880625,15527456.787857302,True,,
ID(pinj_15l),C0,pinj_15l,True,True,True,True,True,True,False,,True,0.0,1938269.8653031276,True,,
ID(pinj_15r),C0,pinj_15r,True,True,True,True,True,True,True,,True,0.0,1801943.2176779269,False,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK
ID(pinj_21l),C0,pinj_21l,True,True,True,True,True,True,True,,True,-20.17053442670444,2260035.930402065,False,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK
ID(pinj_21r),C0,pinj_21r,True,True,True,True,True,True,True,,True,0.0,2024254.7544295208,False,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK
ID(pinj_30l),C0,pinj_30l,True,True,True,True,True,True,False,,True,0.0,2723321.026329586,True,,
ID(pinj_30r),C0,pinj_30r,True,True,True,True,True,True,False,,True,-16.216432132785833,2196248.218358709,True,,
ID(pinj_33l),C0,pinj_33l,True,True,True,True,True,True,True,,True,0.0,2669107.173614864,False,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK
ID(pinj_33r),C0,pinj_33r,True,True,True,True,True,True,False,,True,-29.012278812420703,2447935.0169095956,True,,
ID(tinj),C0,tinj,True,True,True,True,True,True,False,,True,-2.0391358209522044,12.184444284061849,True,,
ID(ece1),C0,ece1,True,True,True,True,True,True,False,,True,13.499818922189823,1488.4161269504693,True,,
ID(ece2),C0,ece2,True,True,True,True,True,True,False,,True,80.9973495619693,6934.683365389541,True,,
ID(ece3),C0,ece3,True,True,True,True,True,True,False,,True,29.98262925334651,3410.401507071326,True,,
ID(ece4),C0,ece4,True,True,True,True,True,True,False,,True,24.262714795957084,3361.8198805139414,True,,
ID(ece5),C0,ece5,True,True,True,True,True,True,False,,True,16.20182116685839,4318.468113107756,True,,
ID(ece6),C0,ece6,True,True,True,True,True,True,False,,True,20.624771360391076,3960.208379328832,True,,
ID(ece7),C0,ece7,True,True,True,True,True,True,False,,True,37.479897081012616,4711.963357632545,True,,
ID(ece8),C0,ece8,True,True,True,True,True,True,False,,True,54.77132950343557,5078.625166305576,True,,
ID(ece9),C0,ece9,True,True,True,True,True,True,False,,True,78.40675118738238,4294.76456670994,True,,
ID(ece10),C0,ece10,True,True,True,True,True,True,False,,True,125.01762247749653,4628.149308623538,True,,
ID(ece11),C0,ece11,True,True,True,True,True,True,False,,True,128.52889723338515,5493.7541094927055,True,,
ID(ece12),C0,ece12,True,True,True,True,True,True,False,,True,172.37064327976702,5780.109740028699,True,,
ID(ece13),C0,ece13,True,True,True,True,True,True,False,,True,201.76618422919978,5815.526003454166,True,,
ID(ece14),C0,ece14,True,True,True,True,True,True,False,,True,212.44463096890198,6026.217773803232,True,,
ID(ece15),C0,ece15,True,True,True,True,True,True,False,,True,225.15987119792646,5893.846428239211,True,,
ID(ece16),C0,ece16,True,True,True,True,True,True,False,,True,278.9047160024189,5973.283583505479,True,,
ID(ece18),C0,ece18,True,True,True,True,True,True,False,,True,295.29962495305637,7518.585328896091,True,,
ID(ece19),C0,ece19,True,True,True,True,True,True,False,,True,299.8651012733002,6887.403952628922,True,,
ID(ece20),C0,ece20,True,True,True,True,True,True,False,,True,358.1363079138092,6522.649594534683,True,,
ID(ece21),C0,ece21,True,True,True,True,True,True,False,,True,395.0871226196675,6637.425890123911,True,,
ID(ece22),C0,ece22,True,True,True,True,True,True,False,,True,472.37392573152397,6408.18215722581,True,,
ID(ece25),C0,ece25,True,True,True,True,True,True,False,,True,636.1971266645323,6386.15156081848,True,,
ID(ece27),C0,ece27,True,True,True,True,True,True,False,,True,664.635877918557,6534.141825009806,True,,
ID(ece28),C0,ece28,True,True,True,True,True,True,False,,True,596.5244568167844,15681.46382635358,True,,
ID(ece29),C0,ece29,True,True,True,True,True,True,False,,True,750.3242640055938,6208.518418507947,True,,
ID(ece30),C0,ece30,True,True,True,True,True,True,False,,True,613.8913469097222,6615.250468556139,True,,
ID(ece31),C0,ece31,True,True,True,True,True,True,False,,True,703.3759169936388,5810.27392472606,True,,
ID(ece33),C0,ece33,True,True,True,True,True,True,False,,True,776.5998713619691,77234.04365932374,True,,
ID(ece35),C0,ece35,True,True,True,True,True,True,False,,True,772.2574187521363,7094.396976500219,True,,
ID(ece36),C0,ece36,True,True,True,True,True,True,False,,True,673.1748923472404,5878.864126254081,True,,
ID(ece37),C0,ece37,True,True,True,True,True,True,False,,True,506.6817998992685,5769.160231264928,True,,
ID(ece38),C0,ece38,True,True,True,True,True,True,False,,True,490.5484038356752,5155.119010014463,True,,
