dependency_group_id,constructor_family,linear_context,exact_relation,aggregate_coordinate,component_coordinates,n_members,linearity_argument,evidence_class,all_members_admissible,n_inadmissible_members,inadmissible_members,status,vacuous_reason
DEP_C0_LEVEL,C0,ID(pinj_b),ID(pinj) = sum_b ID(pinj_b),ID(pinj),ID(pinj_15l)|ID(pinj_15r)|ID(pinj_21l)|ID(pinj_21r)|ID(pinj_30l)|ID(pinj_30r)|ID(pinj_33l)|ID(pinj_33r),9,aggregate enters linearly: sum_b (a_b) = (sum_b a_b),LOCAL_DOCUMENTED,False,4,ID(pinj_15r)|ID(pinj_21l)|ID(pinj_21r)|ID(pinj_33l),VACUOUS,"at least one member is inadmissible, so no admissible support can contain the complete exact set; the constraint is well defined but has no binding instance"
DEP_C1_DERIV,C1,DOT(pinj_b),DOT(pinj) = sum_b DOT(pinj_b),DOT(pinj),DOT(pinj_15l)|DOT(pinj_15r)|DOT(pinj_21l)|DOT(pinj_21r)|DOT(pinj_30l)|DOT(pinj_30r)|DOT(pinj_33l)|DOT(pinj_33r),9,"d/dt is linear and FD2_PHYSICAL_TIME_V1 is a fixed linear stencil on the shared grid, so dot(pinj) = sum_b dot(pinj_b)",LOCAL_DOCUMENTED,False,4,DOT(pinj_15r)|DOT(pinj_21l)|DOT(pinj_21r)|DOT(pinj_33l),VACUOUS,"at least one member is inadmissible, so no admissible support can contain the complete exact set; the constraint is well defined but has no binding instance"
DEP_C2_PROD_bt,C2,"PROD(pinj_b,bt)","PROD(pinj,bt) = sum_b PROD(pinj_b,bt)","PROD(bt,pinj)","PROD(bt,pinj_15l)|PROD(bt,pinj_15r)|PROD(bt,pinj_21l)|PROD(bt,pinj_21r)|PROD(bt,pinj_30l)|PROD(bt,pinj_30r)|PROD(bt,pinj_33l)|PROD(bt,pinj_33r)",9,aggregate enters linearly: sum_b (a_b) = (sum_b a_b),LOCAL_DOCUMENTED,False,4,"PROD(bt,pinj_15r)|PROD(bt,pinj_21l)|PROD(bt,pinj_21r)|PROD(bt,pinj_33l)",VACUOUS,"at least one member is inadmissible, so no admissible support can contain the complete exact set; the constraint is well defined but has no binding instance"
DEP_C3_RATIO_bt,C3,"RATIO(pinj_b,bt)","RATIO(pinj,bt) = sum_b RATIO(pinj_b,bt)","RATIO(pinj,bt)","RATIO(pinj_15l,bt)|RATIO(pinj_15r,bt)|RATIO(pinj_21l,bt)|RATIO(pinj_21r,bt)|RATIO(pinj_30l,bt)|RATIO(pinj_30r,bt)|RATIO(pinj_33l,bt)|RATIO(pinj_33r,bt)",9,aggregate enters linearly: sum_b (a_b) = (sum_b a_b) (aggregate in NUMERATOR only),LOCAL_DOCUMENTED,False,4,"RATIO(pinj_15r,bt)|RATIO(pinj_21l,bt)|RATIO(pinj_21r,bt)|RATIO(pinj_33l,bt)",VACUOUS,"at least one member is inadmissible, so no admissible support can contain the complete exact set; the constraint is well defined but has no binding instance"
DEP_C6_RATE_bt,C6,LEVEL_RATE(bt|pinj_b),LEVEL_RATE(bt|pinj) = sum_b LEVEL_RATE(bt|pinj_b),LEVEL_RATE(bt|pinj),LEVEL_RATE(bt|pinj_15l)|LEVEL_RATE(bt|pinj_15r)|LEVEL_RATE(bt|pinj_21l)|LEVEL_RATE(bt|pinj_21r)|LEVEL_RATE(bt|pinj_30l)|LEVEL_RATE(bt|pinj_30r)|LEVEL_RATE(bt|pinj_33l)|LEVEL_RATE(bt|pinj_33r),9,"d/dt is linear and FD2_PHYSICAL_TIME_V1 is a fixed linear stencil on the shared grid, so dot(pinj) = sum_b dot(pinj_b); x_z * dot(pinj) = sum_b x_z * dot(pinj_b)",LOCAL_DOCUMENTED,False,4,LEVEL_RATE(bt|pinj_15r)|LEVEL_RATE(bt|pinj_21l)|LEVEL_RATE(bt|pinj_21r)|LEVEL_RATE(bt|pinj_33l),VACUOUS,"at least one member is inadmissible, so no admissible support can contain the complete exact set; the constraint is well defined but has no binding instance"
DEP_C7_RATE_OVER_LEVEL_bt,C7,RATE_OVER_LEVEL(pinj_b|bt),RATE_OVER_LEVEL(pinj|bt) = sum_b RATE_OVER_LEVEL(pinj_b|bt),RATE_OVER_LEVEL(pinj|bt),RATE_OVER_LEVEL(pinj_15l|bt)|RATE_OVER_LEVEL(pinj_15r|bt)|RATE_OVER_LEVEL(pinj_21l|bt)|RATE_OVER_LEVEL(pinj_21r|bt)|RATE_OVER_LEVEL(pinj_30l|bt)|RATE_OVER_LEVEL(pinj_30r|bt)|RATE_OVER_LEVEL(pinj_33l|bt)|RATE_OVER_LEVEL(pinj_33r|bt),9,"d/dt is linear and FD2_PHYSICAL_TIME_V1 is a fixed linear stencil on the shared grid, so dot(pinj) = sum_b dot(pinj_b); aggregate rate in NUMERATOR only",LOCAL_DOCUMENTED,False,4,RATE_OVER_LEVEL(pinj_15r|bt)|RATE_OVER_LEVEL(pinj_21l|bt)|RATE_OVER_LEVEL(pinj_21r|bt)|RATE_OVER_LEVEL(pinj_33l|bt),VACUOUS,"at least one member is inadmissible, so no admissible support can contain the complete exact set; the constraint is well defined but has no binding instance"
DEP_C2_PROD_ip,C2,"PROD(pinj_b,ip)","PROD(pinj,ip) = sum_b PROD(pinj_b,ip)","PROD(ip,pinj)","PROD(ip,pinj_15l)|PROD(ip,pinj_15r)|PROD(ip,pinj_21l)|PROD(ip,pinj_21r)|PROD(ip,pinj_30l)|PROD(ip,pinj_30r)|PROD(ip,pinj_33l)|PROD(ip,pinj_33r)",9,aggregate enters linearly: sum_b (a_b) = (sum_b a_b),LOCAL_DOCUMENTED,False,4,"PROD(ip,pinj_15r)|PROD(ip,pinj_21l)|PROD(ip,pinj_21r)|PROD(ip,pinj_33l)",VACUOUS,"at least one member is inadmissible, so no admissible support can contain the complete exact set; the constraint is well defined but has no binding instance"
DEP_C3_RATIO_ip,C3,"RATIO(pinj_b,ip)","RATIO(pinj,ip) = sum_b RATIO(pinj_b,ip)","RATIO(pinj,ip)","RATIO(pinj_15l,ip)|RATIO(pinj_15r,ip)|RATIO(pinj_21l,ip)|RATIO(pinj_21r,ip)|RATIO(pinj_30l,ip)|RATIO(pinj_30r,ip)|RATIO(pinj_33l,ip)|RATIO(pinj_33r,ip)",9,aggregate enters linearly: sum_b (a_b) = (sum_b a_b) (aggregate in NUMERATOR only),LOCAL_DOCUMENTED,False,4,"RATIO(pinj_15r,ip)|RATIO(pinj_21l,ip)|RATIO(pinj_21r,ip)|RATIO(pinj_33l,ip)",VACUOUS,"at least one member is inadmissible, so no admissible support can contain the complete exact set; the constraint is well defined but has no binding instance"
DEP_C6_RATE_ip,C6,LEVEL_RATE(ip|pinj_b),LEVEL_RATE(ip|pinj) = sum_b LEVEL_RATE(ip|pinj_b),LEVEL_RATE(ip|pinj),LEVEL_RATE(ip|pinj_15l)|LEVEL_RATE(ip|pinj_15r)|LEVEL_RATE(ip|pinj_21l)|LEVEL_RATE(ip|pinj_21r)|LEVEL_RATE(ip|pinj_30l)|LEVEL_RATE(ip|pinj_30r)|LEVEL_RATE(ip|pinj_33l)|LEVEL_RATE(ip|pinj_33r),9,"d/dt is linear and FD2_PHYSICAL_TIME_V1 is a fixed linear stencil on the shared grid, so dot(pinj) = sum_b dot(pinj_b); x_z * dot(pinj) = sum_b x_z * dot(pinj_b)",LOCAL_DOCUMENTED,False,4,LEVEL_RATE(ip|pinj_15r)|LEVEL_RATE(ip|pinj_21l)|LEVEL_RATE(ip|pinj_21r)|LEVEL_RATE(ip|pinj_33l),VACUOUS,"at least one member is inadmissible, so no admissible support can contain the complete exact set; the constraint is well defined but has no binding instance"
DEP_C7_RATE_OVER_LEVEL_ip,C7,RATE_OVER_LEVEL(pinj_b|ip),RATE_OVER_LEVEL(pinj|ip) = sum_b RATE_OVER_LEVEL(pinj_b|ip),RATE_OVER_LEVEL(pinj|ip),RATE_OVER_LEVEL(pinj_15l|ip)|RATE_OVER_LEVEL(pinj_15r|ip)|RATE_OVER_LEVEL(pinj_21l|ip)|RATE_OVER_LEVEL(pinj_21r|ip)|RATE_OVER_LEVEL(pinj_30l|ip)|RATE_OVER_LEVEL(pinj_30r|ip)|RATE_OVER_LEVEL(pinj_33l|ip)|RATE_OVER_LEVEL(pinj_33r|ip),9,"d/dt is linear and FD2_PHYSICAL_TIME_V1 is a fixed linear stencil on the shared grid, so dot(pinj) = sum_b dot(pinj_b); aggregate rate in NUMERATOR only",LOCAL_DOCUMENTED,False,4,RATE_OVER_LEVEL(pinj_15r|ip)|RATE_OVER_LEVEL(pinj_21l|ip)|RATE_OVER_LEVEL(pinj_21r|ip)|RATE_OVER_LEVEL(pinj_33l|ip),VACUOUS,"at least one member is inadmissible, so no admissible support can contain the complete exact set; the constraint is well defined but has no binding instance"
