primitive,kind,finite_all_required_blocks,constant_in_some_required_block,value_min,value_max,min_calibration_samples_any_block,required_min_samples
bt,level,True,False,-1.981271910699433,2.1611335079663485,130,30
ip,level,True,False,610967.700275721,1601785.1613323195,130,30
pcbcoil,level,True,False,-113844.63105420415,123203.97736658735,130,30
pcdiamag3,level,True,False,-25.35830763471645,30.072909280409696,130,30
prmtan_neped,level,True,False,3.4671923258695127e+18,8.575189905462996e+19,130,30
prmtan_teped,level,True,False,-4805.965298409722,5334.169182738993,130,30
fs04,level,True,False,-47911032032666.336,9.160366754808747e+16,130,30
fs03da,level,True,False,-17068217575164.361,8.580445923974576e+16,130,30
fs05da,level,True,False,-73909308039129.56,2.657199356765213e+16,130,30
gasa,level,True,False,-0.013968098842014356,7.505603903295197,130,30
gasb,level,True,False,-1.0996112983582287,9.947192613482684,130,30
gasc,level,True,False,-0.09584370100024253,0.15446256953154966,130,30
gasd,level,True,False,-0.8676489340770509,1.0352544862599915,130,30
pinj,level,True,False,-3.098547296880625,15527456.787857302,130,30
pinj_15l,level,True,False,0.0,1938269.8653031276,130,30
pinj_15r,level,True,True,0.0,1801943.2176779269,130,30
pinj_21l,level,True,True,-20.17053442670444,2260035.930402065,130,30
pinj_21r,level,True,True,0.0,2024254.7544295208,130,30
pinj_30l,level,True,False,0.0,2723321.026329586,130,30
pinj_30r,level,True,False,-16.216432132785833,2196248.218358709,130,30
pinj_33l,level,True,True,0.0,2669107.173614864,130,30
pinj_33r,level,True,False,-29.012278812420703,2447935.0169095956,130,30
tinj,level,True,False,-2.0391358209522044,12.184444284061849,130,30
ece1,level,True,False,13.499818922189823,1488.4161269504693,130,30
ece2,level,True,False,80.9973495619693,6934.683365389541,130,30
ece3,level,True,False,29.98262925334651,3410.401507071326,130,30
ece4,level,True,False,24.262714795957084,3361.8198805139414,130,30
ece5,level,True,False,16.20182116685839,4318.468113107756,130,30
ece6,level,True,False,20.624771360391076,3960.208379328832,130,30
ece7,level,True,False,37.479897081012616,4711.963357632545,130,30
ece8,level,True,False,54.77132950343557,5078.625166305576,130,30
ece9,level,True,False,78.40675118738238,4294.76456670994,130,30
ece10,level,True,False,125.01762247749653,4628.149308623538,130,30
ece11,level,True,False,128.52889723338515,5493.7541094927055,130,30
ece12,level,True,False,172.37064327976702,5780.109740028699,130,30
ece13,level,True,False,201.76618422919978,5815.526003454166,130,30
ece14,level,True,False,212.44463096890198,6026.217773803232,130,30
ece15,level,True,False,225.15987119792646,5893.846428239211,130,30
ece16,level,True,False,278.9047160024189,5973.283583505479,130,30
ece18,level,True,False,295.29962495305637,7518.585328896091,130,30
ece19,level,True,False,299.8651012733002,6887.403952628922,130,30
ece20,level,True,False,358.1363079138092,6522.649594534683,130,30
ece21,level,True,False,395.0871226196675,6637.425890123911,130,30
ece22,level,True,False,472.37392573152397,6408.18215722581,130,30
ece25,level,True,False,636.1971266645323,6386.15156081848,130,30
ece27,level,True,False,664.635877918557,6534.141825009806,130,30
