coordinate_id,constructor,ordered_operands,operand_roles,primitive_ancestors,n_ancestors,depth,output_dimension,unit_expression,temporal_resolution_rule,temporal_resolution_bound_ms,provenance_lineage,target_independence,aliasing_flag,upsample_flag,uncalibrated_flag,primary_or_sensitivity,numerical_realization_id,domain_predicate
ID(bt),C0,bt,level,bt,1,0,T,T,inherit,0.4999999999999999,bt:magnetics,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,False,False,PRIMARY,NONE,
ID(ip),C0,ip,level,ip,1,0,A,A,inherit,0.4999593727147152,ip:magnetics,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,False,False,PRIMARY,NONE,
ID(pcbcoil),C0,pcbcoil,level,pcbcoil,1,0,UNCALIBRATED,UNCALIBRATED,inherit,0.2500127818618758,pcbcoil:magnetics,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,False,False,True,PRIMARY,NONE,
ID(pcdiamag3),C0,pcdiamag3,level,pcdiamag3,1,0,UNCALIBRATED,UNCALIBRATED,inherit,0.2500127818618758,pcdiamag3:magnetics,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,False,False,True,PRIMARY,NONE,
ID(prmtan_neped),C0,prmtan_neped,level,prmtan_neped,1,0,m^-3,m^-3,inherit,13.267605633802816,prmtan_neped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
ID(prmtan_teped),C0,prmtan_teped,level,prmtan_teped,1,0,eV,eV,inherit,14.186746987951809,prmtan_teped:density,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,True,True,False,PRIMARY,NONE,
ID(fs04),C0,fs04,level,fs04,1,0,ph sr^-1 m^-2 s^-1,ph/(sr m^2 s),inherit,0.0499999017672079,fs04:filterscope_dalpha,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,False,True,False,PRIMARY,NONE,
ID(fs03da),C0,fs03da,level,fs03da,1,0,ph sr^-1 m^-2 s^-1,ph/(sr m^2 s),inherit,0.0499999017672079,fs03da:filterscope_dalpha,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,False,True,False,PRIMARY,NONE,
ID(fs05da),C0,fs05da,level,fs05da,1,0,ph sr^-1 m^-2 s^-1,ph/(sr m^2 s),inherit,0.0499999017672079,fs05da:filterscope_dalpha,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,False,True,False,PRIMARY,NONE,
ID(gasa),C0,gasa,level,gasa,1,0,V,V,inherit,0.5,gasa:gas_injection,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,False,False,False,PRIMARY,NONE,
ID(gasb),C0,gasb,level,gasb,1,0,V,V,inherit,0.5,gasb:gas_injection,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,False,False,False,PRIMARY,NONE,
