coordinate_id,constructor,operands,primitive_ancestors,n_ancestors,depth,output_dimension,unit_expression,temporal_propagation,temporal_resolution_bound_ms,provenance_lineage,aliasing_flag,upsample_flag,uncalibrated_flag,primary_or_sensitivity,domain_predicate,exact_dependency_member
ID(bt),C0,bt,bt,1,0,T,T,inherit,0.4999999999999999,bt:magnetics,True,False,False,PRIMARY,,
ID(ip),C0,ip,ip,1,0,A,A,inherit,0.4999593727147152,ip:magnetics,True,False,False,PRIMARY,,
ID(pcbcoil),C0,pcbcoil,pcbcoil,1,0,UNCALIBRATED,UNCALIBRATED,inherit,0.2500127818618758,pcbcoil:magnetics,False,False,True,PRIMARY,,
ID(pcdiamag3),C0,pcdiamag3,pcdiamag3,1,0,UNCALIBRATED,UNCALIBRATED,inherit,0.2500127818618758,pcdiamag3:magnetics,False,False,True,PRIMARY,,
ID(prmtan_neped),C0,prmtan_neped,prmtan_neped,1,0,m^-3,m^-3,inherit,13.267605633802816,prmtan_neped:density,True,True,False,PRIMARY,,
ID(prmtan_teped),C0,prmtan_teped,prmtan_teped,1,0,eV,eV,inherit,14.186746987951809,prmtan_teped:density,True,True,False,PRIMARY,,
ID(fs04),C0,fs04,fs04,1,0,ph sr^-1 m^-2 s^-1,ph/(sr m^2 s),inherit,0.0499999017672079,fs04:filterscope_dalpha,False,True,False,PRIMARY,,
ID(fs03da),C0,fs03da,fs03da,1,0,ph sr^-1 m^-2 s^-1,ph/(sr m^2 s),inherit,0.0499999017672079,fs03da:filterscope_dalpha,False,True,False,PRIMARY,,
ID(fs04da),C0,fs04da,fs04da,1,0,ph sr^-1 m^-2 s^-1,ph/(sr m^2 s),inherit,0.0499999017672079,fs04da:filterscope_dalpha,False,True,False,PRIMARY,,
ID(fs05da),C0,fs05da,fs05da,1,0,ph sr^-1 m^-2 s^-1,ph/(sr m^2 s),inherit,0.0499999017672079,fs05da:filterscope_dalpha,False,True,False,PRIMARY,,
ID(gasa),C0,gasa,gasa,1,0,V,V,inherit,0.5,gasa:gas_injection,False,False,False,PRIMARY,,
ID(gasb),C0,gasb,gasb,1,0,V,V,inherit,0.5,gasb:gas_injection,False,False,False,PRIMARY,,
ID(gasc),C0,gasc,gasc,1,0,V,V,inherit,0.5,gasc:gas_injection,False,False,False,PRIMARY,,
ID(gasd),C0,gasd,gasd,1,0,V,V,inherit,0.5,gasd:gas_injection,False,False,False,PRIMARY,,
ID(pinj),C0,pinj,pinj,1,0,W,W,inherit,0.1,pinj:neutral_beams,False,False,False,PRIMARY,,
ID(pinj_15l),C0,pinj_15l,pinj_15l,1,0,W,W,inherit,0.1,pinj_15l:neutral_beams,False,False,False,PRIMARY,,
ID(pinj_30l),C0,pinj_30l,pinj_30l,1,0,W,W,inherit,0.1,pinj_30l:neutral_beams,False,False,False,PRIMARY,,
ID(pinj_30r),C0,pinj_30r,pinj_30r,1,0,W,W,inherit,0.1,pinj_30r:neutral_beams,False,False,False,PRIMARY,,
ID(pinj_33r),C0,pinj_33r,pinj_33r,1,0,W,W,inherit,0.1,pinj_33r:neutral_beams,False,False,False,PRIMARY,,
ID(tinj),C0,tinj,tinj,1,0,N m,N m,inherit,0.1,tinj:neutral_beams,False,False,False,PRIMARY,,
ID(ece1),C0,ece1,ece1,1,0,eV,eV,inherit,0.2,ece1:ece_te_profile,False,False,False,PRIMARY,,
ID(ece2),C0,ece2,ece2,1,0,eV,eV,inherit,0.2,ece2:ece_te_profile,False,False,False,PRIMARY,,
ID(ece3),C0,ece3,ece3,1,0,eV,eV,inherit,0.2,ece3:ece_te_profile,False,False,False,PRIMARY,,
ID(ece4),C0,ece4,ece4,1,0,eV,eV,inherit,0.2,ece4:ece_te_profile,False,False,False,PRIMARY,,
ID(ece5),C0,ece5,ece5,1,0,eV,eV,inherit,0.2,ece5:ece_te_profile,False,False,False,PRIMARY,,
ID(ece6),C0,ece6,ece6,1,0,eV,eV,inherit,0.2,ece6:ece_te_profile,False,False,False,PRIMARY,,
ID(ece7),C0,ece7,ece7,1,0,eV,eV,inherit,0.2,ece7:ece_te_profile,False,False,False,PRIMARY,,
ID(ece8),C0,ece8,ece8,1,0,eV,eV,inherit,0.2,ece8:ece_te_profile,False,False,False,PRIMARY,,
ID(ece9),C0,ece9,ece9,1,0,eV,eV,inherit,0.2,ece9:ece_te_profile,False,False,False,PRIMARY,,
ID(ece10),C0,ece10,ece10,1,0,eV,eV,inherit,0.2,ece10:ece_te_profile,False,False,False,PRIMARY,,
