coordinate_id,constructor,ordered_operands,operand_roles,family_signature,role_semantics,search_stratum
ID(bt),C0,bt,level,MAG,(family_i),C0:MAG
ID(ip),C0,ip,level,MAG,(family_i),C0:MAG
ID(pcbcoil),C0,pcbcoil,level,MAG,(family_i),C0:MAG
ID(pcdiamag3),C0,pcdiamag3,level,MAG,(family_i),C0:MAG
ID(prmtan_neped),C0,prmtan_neped,level,DEN,(family_i),C0:DEN
ID(prmtan_teped),C0,prmtan_teped,level,DEN,(family_i),C0:DEN
ID(fs04),C0,fs04,level,FS,(family_i),C0:FS
ID(fs03da),C0,fs03da,level,FS,(family_i),C0:FS
ID(fs05da),C0,fs05da,level,FS,(family_i),C0:FS
ID(gasa),C0,gasa,level,GAS,(family_i),C0:GAS
ID(gasb),C0,gasb,level,GAS,(family_i),C0:GAS
ID(gasc),C0,gasc,level,GAS,(family_i),C0:GAS
ID(gasd),C0,gasd,level,GAS,(family_i),C0:GAS
ID(pinj),C0,pinj,level,NBI,(family_i),C0:NBI
ID(pinj_15l),C0,pinj_15l,level,NBI,(family_i),C0:NBI
ID(pinj_30l),C0,pinj_30l,level,NBI,(family_i),C0:NBI
ID(pinj_30r),C0,pinj_30r,level,NBI,(family_i),C0:NBI
ID(pinj_33r),C0,pinj_33r,level,NBI,(family_i),C0:NBI
ID(tinj),C0,tinj,level,NBI,(family_i),C0:NBI
ID(ece1),C0,ece1,level,ECE,(family_i),C0:ECE
ID(ece2),C0,ece2,level,ECE,(family_i),C0:ECE
ID(ece3),C0,ece3,level,ECE,(family_i),C0:ECE
ID(ece4),C0,ece4,level,ECE,(family_i),C0:ECE
ID(ece5),C0,ece5,level,ECE,(family_i),C0:ECE
ID(ece6),C0,ece6,level,ECE,(family_i),C0:ECE
ID(ece7),C0,ece7,level,ECE,(family_i),C0:ECE
ID(ece8),C0,ece8,level,ECE,(family_i),C0:ECE
ID(ece9),C0,ece9,level,ECE,(family_i),C0:ECE
ID(ece10),C0,ece10,level,ECE,(family_i),C0:ECE
ID(ece11),C0,ece11,level,ECE,(family_i),C0:ECE
ID(ece12),C0,ece12,level,ECE,(family_i),C0:ECE
ID(ece13),C0,ece13,level,ECE,(family_i),C0:ECE
ID(ece14),C0,ece14,level,ECE,(family_i),C0:ECE
ID(ece15),C0,ece15,level,ECE,(family_i),C0:ECE
ID(ece16),C0,ece16,level,ECE,(family_i),C0:ECE
ID(ece18),C0,ece18,level,ECE,(family_i),C0:ECE
ID(ece19),C0,ece19,level,ECE,(family_i),C0:ECE
ID(ece20),C0,ece20,level,ECE,(family_i),C0:ECE
ID(ece21),C0,ece21,level,ECE,(family_i),C0:ECE
ID(ece22),C0,ece22,level,ECE,(family_i),C0:ECE
ID(ece25),C0,ece25,level,ECE,(family_i),C0:ECE
ID(ece27),C0,ece27,level,ECE,(family_i),C0:ECE
ID(ece28),C0,ece28,level,ECE,(family_i),C0:ECE
ID(ece29),C0,ece29,level,ECE,(family_i),C0:ECE
ID(ece30),C0,ece30,level,ECE,(family_i),C0:ECE
ID(ece31),C0,ece31,level,ECE,(family_i),C0:ECE
ID(ece33),C0,ece33,level,ECE,(family_i),C0:ECE
ID(ece35),C0,ece35,level,ECE,(family_i),C0:ECE
ID(ece36),C0,ece36,level,ECE,(family_i),C0:ECE
ID(ece37),C0,ece37,level,ECE,(family_i),C0:ECE
ID(ece38),C0,ece38,level,ECE,(family_i),C0:ECE
ID(ece39),C0,ece39,level,ECE,(family_i),C0:ECE
ID(cerqrott3),C0,cerqrott3,level,CER,(family_i),C0:CER
ID(cerqrott6),C0,cerqrott6,level,CER,(family_i),C0:CER
ID(cerqrott8),C0,cerqrott8,level,CER,(family_i),C0:CER
ID(cerqrott10),C0,cerqrott10,level,CER,(family_i),C0:CER
ID(cerqrott11),C0,cerqrott11,level,CER,(family_i),C0:CER
ID(cerqrott12),C0,cerqrott12,level,CER,(family_i),C0:CER
ID(cerqrott13),C0,cerqrott13,level,CER,(family_i),C0:CER
ID(cerqtit3),C0,cerqtit3,level,CER,(family_i),C0:CER
ID(cerqtit6),C0,cerqtit6,level,CER,(family_i),C0:CER
ID(cerqtit8),C0,cerqtit8,level,CER,(family_i),C0:CER
ID(cerqtit10),C0,cerqtit10,level,CER,(family_i),C0:CER
ID(cerqtit11),C0,cerqtit11,level,CER,(family_i),C0:CER
ID(cerqtit12),C0,cerqtit12,level,CER,(family_i),C0:CER
ID(cerqtit13),C0,cerqtit13,level,CER,(family_i),C0:CER
DOT(bt),C1,bt,rate,MAG,(family_i),C1:MAG
DOT(ip),C1,ip,rate,MAG,(family_i),C1:MAG
DOT(gasa),C1,gasa,rate,GAS,(family_i),C1:GAS
DOT(gasb),C1,gasb,rate,GAS,(family_i),C1:GAS
DOT(gasc),C1,gasc,rate,GAS,(family_i),C1:GAS
DOT(gasd),C1,gasd,rate,GAS,(family_i),C1:GAS
DOT(pinj),C1,pinj,rate,NBI,(family_i),C1:NBI
DOT(pinj_15l),C1,pinj_15l,rate,NBI,(family_i),C1:NBI
DOT(pinj_30l),C1,pinj_30l,rate,NBI,(family_i),C1:NBI
DOT(pinj_30r),C1,pinj_30r,rate,NBI,(family_i),C1:NBI
DOT(pinj_33r),C1,pinj_33r,rate,NBI,(family_i),C1:NBI
